level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,58.2914,C,53,32,,,25,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,42.0692,C,21,10,0.4762,0.4762,11,10,,,
pillar,G,G,G,61.9967,CC,13,8,0.6154,0.5385,6,7,,,
pillar,S,S,S,71.3375,B,19,14,0.7368,0.6842,6,13,,,
theme,business_ethics,商业道德,G,63.9214,CC,6,4,0.6667,0.6667,2,4,,business_ethics,商业道德
theme,climate_change,气候变化,E,47.9793,C,11,6,0.5455,0.5455,5,6,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,56.8857,C,3,2,0.6667,0.6667,1,2,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,18.0909,C,5,1,0.2,0.2,4,1,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,54.7143,C,6,3,0.5,0.3333,4,2,,governance_structure,治理结构
theme,human_capital,人力资本,S,70.5656,B,15,11,0.7333,0.6667,5,10,,human_capital,人力资本
theme,resource_utilization,资源利用,E,39.8,C,2,1,0.5,0.5,1,1,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,66.2333,CCC,3,2,0.6667,0.6667,1,2,,social_contribution,社会贡献
theme,supply_chain,供应链,S,99.0,AAA,1,1,1.0,1.0,0,1,,supply_chain,供应链
