field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,温室气体排放总量,E,quantitative,number,extracted,304.05,304.05,吨二氧化碳当量,2024,route_a_appendix_table,0.95,温室气体排放量 吨二氧化碳当量 2024年 304.05,page_51.png,温室气体排放量,,环境绩效,page_51.png,extracted,0.95,alias_match:温室气体排放量; schema_match_validated,,,,,,
scope_1_emissions,范围一温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
energy_consumption_total,能源消耗总量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
electricity_consumption,电力消耗量,E,quantitative,number,extracted,566618,"566,618",千瓦时,2024,route_a_appendix_table,0.92,"外购电力总量 千瓦时 2024年 566,618",page_51.png,外购电力总量,,环境绩效,page_51.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,可再生能源使用量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
natural_gas_consumption,天然气消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
coal_consumption,煤炭消耗量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
water_consumption,水资源消耗量,E,quantitative,number,extracted,1658,"1,658",吨,2024,route_a_appendix_table,0.92,"总用水量 吨 2024年 1,658",page_51.png,总用水量,,环境绩效,page_51.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
recycled_water_volume,循环水或回用水量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
wastewater_discharge,废水排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
cod_emissions,化学需氧量排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
so2_emissions,二氧化硫排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
nox_emissions,氮氧化物排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
total_waste,废弃物总量,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
waste_recycling_rate,废弃物回收利用率,E,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
environmental_investment,环保投入金额,E,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,number,extracted,0,0,件,2024,route_a_appendix_table,0.96,因环境事件受到生态环境等有关部门重大行政处罚的处罚事件 件 2024年 0,page_51.png,因环境事件受到生态环境等有关部门重大行政处罚的处罚事件,,环境绩效,page_51.png,extracted,0.96,alias_match:因环境事件受到生态环境等有关部门重大行政处罚的处罚事件; schema_match_validated,,,,,,
total_employees,员工总数,S,quantitative,number,extracted,7,7,人,2024,route_a_appendix_table,0.93,残疾员工人数 人 2024年 7,page_49.png,残疾员工人数,,社会绩效-员工权益,page_49.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,男性员工人数,S,quantitative,number,extracted,546,546,人,2024,route_a_appendix_table,0.92,男性员工人数 人 2024年 546,page_49.png,男性员工人数,,员工雇佣,page_49.png,extracted,0.92,heuristic_male_employees; schema_match_validated,,,,,,
female_employees,女性员工人数,S,quantitative,number,extracted,365,365,人,2024,route_a_appendix_table,0.92,女性员工人数 人 2024年 365,page_49.png,女性员工人数,,员工雇佣,page_49.png,extracted,0.92,heuristic_female_employees; schema_match_validated,,,,,,
female_employee_ratio,女性员工比例,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
female_management_ratio,女性管理层比例,S,quantitative,percentage,extracted,34,34.00,%,2024,route_a_appendix_table,0.92,管理人员中女性人数比例 % 2024年 34.00,page_49.png,管理人员中女性人数比例,,社会绩效-员工权益,page_49.png,extracted,0.92,heuristic_female_management_ratio; schema_match_validated,,,,,,
minority_employees,少数民族员工人数,S,quantitative,number,extracted,23,23,人,2024,route_a_appendix_table,0.92,少数民族员工数 人 2024年 23,page_49.png,少数民族员工数,,社会绩效-员工权益,page_49.png,extracted,0.92,alias_match:少数民族; schema_match_validated,,,,,,
employees_under_30,30岁以下员工人数,S,quantitative,number,extracted,177,177,人,2024,route_a_appendix_table,0.96,30岁以下（不含30岁） 人 2024年 177,page_49.png,30岁以下（不含30岁）,,员工雇佣,page_49.png,extracted,0.96,alias_match:30岁以下（不含30岁）; schema_match_validated,,,,,,
employees_30_to_50,30至50岁员工人数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
employees_over_50,50岁以上员工人数,S,quantitative,number,extracted,27,27,人,2024,route_a_appendix_table,0.94,50岁及以上 人 2024年 27,page_49.png,50岁及以上,,员工雇佣,page_49.png,extracted,0.94,alias_match:50岁及以上; schema_match_validated,,,,,,
employee_turnover_rate,员工流失率,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
training_total_hours,员工培训总时长,S,quantitative,number,extracted,5002,"5,002",小时,2024,route_a_appendix_table,0.95,"专项培训课程 培训总时长 小时 2024年 5,002",page_41.png,培训总时长,专项培训课程,2024年培训体系开展情况,page_41.png,extracted,0.95,llm_match:指标名称'培训总时长'与field_key 'training_total_hours'的aliases完全匹配，单位'小时'也在unit_examples中，且属于S类社会维度指标。; schema_match_validated,,,,,,
training_hours_per_employee,人均培训时长,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
training_coverage_rate,员工培训覆盖率,S,quantitative,percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
training_expense,培训投入金额,S,quantitative,number,extracted,20,20,万元,2024,route_a_appendix_table,0.9,员工培训投入 万元 2024年 20,page_41.png,员工培训投入,,关键绩效,page_41.png,extracted,0.9,heuristic_training_expense; schema_match_validated,,,,,,
trained_employees_count,受训员工人数或人次,S,quantitative,number,extracted,72,72,人,2024,route_a_appendix_table,0.96,新员工培训 累计参加培训学员人数 人 2024年 72,page_41.png,累计参加培训学员人数,新员工培训,2024年培训体系开展情况,page_41.png,extracted,0.96,alias_match:累计参加培训学员人数; schema_match_validated,,,,,,
work_injury_rate,工伤率,S,quantitative,number_or_percentage,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
work_related_fatalities,因工死亡人数,S,quantitative,number,extracted,0,0,人,2024,route_a_appendix_table,0.96,员工健康与安全 因工作关系死亡总人数 人 2024年 0,page_50.png,因工作关系死亡总人数,员工健康与安全,员工健康与安全,page_50.png,extracted,0.96,alias_match:因工作关系死亡总人数; schema_match_validated,,,,,,
lost_workdays_due_to_injury,因工伤损失工作日数,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
social_insurance_coverage_rate,社会保险覆盖率,S,quantitative,percentage,extracted,100,100%,%,2024,route_a_appendix_table,0.96,工伤保险人员覆盖率 % 2024年 100%,page_43.png,工伤保险人员覆盖率,,关键绩效,page_43.png,extracted,0.96,alias_match:工伤保险人员覆盖率; schema_match_validated,,,,,,
employee_health_record_coverage_rate,员工健康档案或体检覆盖率,S,quantitative,percentage,extracted,100,100,%,2024,route_a_appendix_table,0.95,员工健康与安全 员工体检覆盖率 % 2024年 100,page_50.png,员工体检覆盖率,员工健康与安全,员工健康与安全,page_50.png,extracted,0.95,alias_match:员工体检覆盖率; schema_match_validated,,,,,,
r_and_d_investment,研发投入金额,S,quantitative,number,extracted,1.42,1.42,亿元,2024,route_a_appendix_table,0.92,创新驱动 研发投入 亿元 2024年 1.42,page_50.png,研发投入,创新驱动,创新驱动,page_50.png,extracted,0.92,alias_match:研发投入; schema_match_validated,,,,,,
r_and_d_employees,研发人员数量,S,quantitative,number,extracted,111,111,人,2024,route_a_appendix_table,0.95,创新驱动 研发团队总人数 人 2024年 111,page_50.png,研发团队总人数,创新驱动,创新驱动,page_50.png,extracted,0.95,alias_match:研发团队总人数; schema_match_validated,,,,,,
authorized_patents_new,当年新增授权专利数量,S,quantitative,number,missing,,,,,missing,0.0,,,,,,,missing,0.0,not_found,,,,,,
authorized_patents_total,累计授权专利数量,S,quantitative,number,extracted,117,117,项,2024,route_a_appendix_table,0.96,授权专利累计数（有效期内的专利数） 项 2024年 117,page_51.png,授权专利累计数（有效期内的专利数）,,按性别划分,page_51.png,extracted,0.96,alias_match:授权专利累计数（有效期内的专利数）; schema_match_validated,,,,,,
customer_complaints,客户投诉数量,S,quantitative,number,extracted,21,21,次,2024,route_a_appendix_table,0.94,客户投诉数量 次 2024年 21,page_51.png,客户投诉数量,,产品和服务安全与质量,page_51.png,extracted,0.94,alias_match:客户投诉数量; schema_match_validated,,,,,,
