metric_name,count,llm_action,target_field_key,suggested_field_key,suggested_aliases,suggested_required_any,name_cn,category,value_type,confidence,llm_reason,example_reports
劳动合同签订率,15,new_core_candidate,,labor_contract_signing_rate,[],[],劳动合同签订率,S,percentage,0.89,劳动合同签订率是劳动合规与员工权益保障的核心指标，高频出现在多家上市公司ESG/社会责任报告中（如河钢资源、孚日股份、棕榈股份等），覆盖制造业、建筑业、纺织业等多个行业；其反映企业用工合法性与基本劳动关系管理质量，具有跨行业通用性、强ESG相关性（属S类‘员工权益’子维度）、可量化（百分比）、且未被现有Core Schema覆盖；不同于社保覆盖率或健康档案覆盖率等已有指标，该指标聚焦法定合同义务履行，具备独立信息价值。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 003_002083_孚日股份_2025_孚日股份：社会责任报告; 006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告
营业收入,14,keep_unknown,,,[],[],,,,0.95,营业收入属于典型的经营绩效/财务指标，Core ESG Schema 明确原则指出‘营业收入、净利润、资产总额、纳税总额等一般 keep_unknown’；其在报告中位于‘经济维度’或‘经济绩效’章节，反映企业财务表现而非ESG实质性议题；top_reasons 全部为 business_performance_not_core_esg，且无任何ESG语义关联证据。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告
供应商总数,13,industry_schema_candidate,,,[],[],,,,0.95,供应商总数是供应链管理的基础经营数据，反映企业采购网络规模，但不具备ESG实质性（materiality）：它不直接衡量环境影响、社会绩效或治理质量；未在GRI、SASB、TCFD或ISSB等主流框架中列为通用核心指标；其数值本身无ESG内涵（如数量多不等于ESG表现好），需结合供应商ESG评估、本地化率、绿色供应商占比等衍生指标才具ESG意义；Core ESG Schema中已有'supplier_esg_assessment'（定性机制类指标），而'供应商总数'属于前置性、中性经营统计项，更适合纳入行业特定ESG模块（如电子行业供应链透明度、制造业供应商韧性等场景），不应进入通用Core。,003_002083_孚日股份_2025_孚日股份：社会责任报告; 004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告; 006_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告
资产总额,12,keep_unknown,,,[],[],,,,0.95,资产总额属于典型经营绩效/财务指标，与ESG实质性议题无直接关联，Core ESG Schema明确排除营业收入、净利润、资产总额、纳税总额等财务类指标。所有示例报告均将其归入‘经济维度’或‘经济绩效’但实际反映的是公司规模而非ESG表现，且top_reasons全部为'business_performance_not_core_esg'，符合判断原则。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告
财务人员,11,keep_unknown,,,[],[],,,,0.95,财务人员（含人数、占比、工时、人次等）属于公司内部职能岗位结构指标，反映组织架构或人力资源配置细节，不属于ESG三大维度中的实质性议题；Core ESG Schema中员工相关指标聚焦于通用社会性维度（如总数、性别、年龄、培训、健康、安全、社保、管理层构成等），不涵盖按职能部门（财务、人力、IT等）划分的岗位统计；该指标无跨行业ESG实质性、不可比性高、披露口径不一（单位混杂：人/小时/人次/%），且未体现环境影响、社会公平、治理有效性等ESG核心属性，应归类为公司特色运营指标而非标准ESG指标。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 010_002913_奥士康_2025_奥士康：社会责任报告
销售人员,10,keep_unknown,,,[],[],,,,0.95,销售人员属于职能岗位细分维度的人力资源结构指标，非跨行业高频、通用ESG核心议题；Core ESG Schema中已覆盖员工总数、性别、年龄、管理层、培训、健康安全等通用人力维度，但未纳入销售、研发、生产等职能分类——此类细分口径具有显著公司/行业特性（如科技公司重研发、贸易公司重销售），缺乏统一定义、可比性弱，且不直接对应E/S/G任一维度的核心实质性议题（如公平雇佣、职业健康、供应链责任等），故不属于Core范畴，亦非典型行业指标（无明确行业强绑定），应保持unknown。,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 010_002913_奥士康_2025_奥士康：社会责任报告
生产人员,9,keep_unknown,,,[],[],,,,0.95,生产人员（按岗位职能划分的员工子集）属于企业内部组织结构或人力资源细分维度，Core ESG Schema 中已覆盖 total_employees、gender/age/management-level 等标准化人口统计维度，但未纳入职能岗位类指标（如生产、研发、销售、行政等）。该指标缺乏跨行业通用性、披露口径不一致（单位含人/人次/小时/%）、且ESG实质性关联较弱——其本身不直接反映环境影响、社会公平或治理有效性，而是运营结构描述。因此属于公司特色管理指标，不符合 new_core_candidate 或 add_alias_to_existing_core 条件，应 keep_unknown。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 010_002913_奥士康_2025_奥士康：社会责任报告
行政人员,9,keep_unknown,,,[],[],,,,0.95,行政人员（按人数、人次、小时或占比）属于企业内部组织架构或职能分类口径，非跨行业通用ESG核心指标；Core ESG Schema中S类已覆盖员工总数、性别/年龄结构、培训、健康安全等普适性人力维度，但未纳入职能类别细分（如行政、研发、生产等），该指标缺乏ESG实质性（materiality）、可比性及监管/框架强制披露要求，属于公司特色管理口径，不符合new_core_candidate的高频、跨行业、ESG强相关原则；亦不匹配任何现有field_key的语义或aliases，故应keep_unknown。,002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 010_002913_奥士康_2025_奥士康：社会责任报告
利润总额,8,keep_unknown,,,[],[],,,,0.95,利润总额属于典型的经营绩效/财务指标，与ESG实质性议题无直接关联，Core ESG Schema明确排除营业收入、净利润、资产总额等财务类指标；其在报告中多出现在‘经济维度’或‘经营绩效’章节，且top_reasons全部标注为business_performance_not_core_esg，符合判断原则中‘经营绩效/财务指标一般 keep_unknown’的要求。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告; 011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告
客户满意度,8,keep_unknown,,,[],[],,,,0.95,客户满意度属于经营绩效与客户关系管理类指标，核心ESG框架（如GRI、SASB、TCFD及本Core Schema）均未将其列为通用ESG核心指标；其定义、测量方法（NPS/CSAT/定制问卷等）、基准和行业可比性差异大，且在示例报告中多归类于‘客户服务与隐私保护’或‘治理绩效’等非标准化模块；Core Schema明确排除经营绩效/财务类指标，该指标亦无跨行业强制披露共识或监管要求，故不适合纳入通用Core体系。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告; 002_000923_河钢资源_2024_河钢资源：2024年度环境、社会及公司治理报告; 003_002083_孚日股份_2025_孚日股份：社会责任报告; 007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告; 010_002913_奥士康_2025_奥士康：社会责任报告
按性别划分,8,keep_unknown,,,[],[],,,,0.95,指标名称'按性别划分'仅为表格标题或分组描述性短语，未指明具体计量对象（如男性/女性人数、比例等），缺乏明确语义指向；evidence_text中虽出现'男生''女生'，但未结构化呈现为独立字段，且数值未与性别标签严格绑定（如单行仅列'女生'却含全部员工数），无法可靠映射至male_employees、female_employees或female_employee_ratio等已有Core字段；该表述属于报告排版用的汇总性说明，非标准化ESG指标，不符合Core ESG Schema对精确性、可量化性及字段唯一性的要求。,001_000858_五_粮_液_2024_五_粮_液：2024年度环境、社会及公司治理（ESG）报告
30岁-50岁,8,add_alias_to_existing_core,employees_30_to_50,,"[""30岁-50岁"", ""30-50岁""]","[""30岁-50岁""]",,,,0.95,指标名称'30岁-50岁'与现有field_key 'employees_30_to_50'的aliases中'30至50岁员工人数'、'30-50岁员工人数'语义完全一致，且示例中单位为'人'，匹配value_type: number；虽存在2条%单位记录，但属异常或误标（上下文表格标题为'员工画像'，数值量级为数千，符合人数而非比例），应通过alias覆盖主流用法。,010_002913_奥士康_2025_奥士康：社会责任报告
中国内地,8,keep_unknown,,,[],[],,,,0.95,"‘中国内地’是地域性描述标签，非ESG实质性指标；其数值（如‘4,822人’或‘2,053人’）虽具量化形式，但缺乏明确ESG语义指向（如未说明是员工总数、女性员工、流失员工等），且无法稳定映射至任何现有Core字段（如total_employees、employee_turnover_rate等）的语义范畴；该类地域分项数据属于公司个性化披露维度，不具备跨行业通用性、标准化定义和ESG实质性，应保留在unknown层级。",010_002913_奥士康_2025_奥士康：社会责任报告
