field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p31_55,31,1,0.01587302,4.1 应对气候变化 4.2 统筹环境治理 4.3 污染物排放管理 4.4 推动节能降耗 4.5 倡导绿色运营 4.6 保护生物多样性 贡献联合国可持续发展目标（SDGs)： 环境保护 第四章 57 58,4.1 应对气候变化 4.2 统筹环境治理 4.3 污染物排放管理 4.4 推动节能降耗 4.5 倡导绿色运营 4.6 保护生物多样性 贡献联合国可持续发展目标（SDGs)： 环境保护 第四章 57 58
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p33_58,33,1,0.03639344,气候变化应对策略 为从根本上减缓全球气温上升的进程，降低温室气体排放，华海药业采取了一系列举措，积极应对气候变化风险，具 体包括： 为了积极应对重污染天气，更加科学、精准地制定应急减排措施，华海药业浙江分子公司依据环办大气函【2020】340号，对 重污染天气进行绩效评级。依据B级企业要求，重污染天气时，企业限产20%；黄色及以上预警期间，停止使用国四及以下 重型载货车辆（含燃气）进行运输，有锅炉供能的工厂排放标准按超低排放标准的80%执行。 华海药业下属川南公司通过了浙江省重点行业企业绩效评级B级（2024年第二批），川南公司减污降碳协同增效项目还顺 利入选《浙江省应对气候变化及节能减排工作联席会议办公室关于公布浙江省第三批减污降碳协同试点和第二批标杆项 目名单》，助力华海加速实现“碳达峰” “碳中和”目标，缓解全球气候变化压力。 华海药业持续优化生产工艺、提升能源利用效率，公司积极响应国家双碳战略目标，制定了明确的减排目标与指标，努力 降低生产经营碳排放强度，并推动各分子公司开展清洁能源转型、节能降耗及污染防治等相关工作。 温室气体排放数据 披露项 单位 总计 范围一温室气体排放...,气候变化应对策略 为从根本上减缓全球气温上升的进程，降低温室气体排放，华海药业采取了一系列举措，积极应对气候变化风险，具 体包括： 为了积极应对重污染天气，更加科学、精准地制定应急减排措施，华海药业浙江分子公司依据环办大气函【2020】340号，对 重污染天气进行绩效评级。依据B级企业要求，重污染天气时，企业限产20%；黄色及以上预警期间，停止使用国四及以下 重型载货车辆（含燃气）进行运输，有锅炉供能的工厂排放标准按超低排放标准的80...
scope_1_emissions,范围一温室气体排放量,E,extracted,58691,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_33,33,1,,"范围一温室气体排放量 吨二氧化碳当量 2024年 58,691","范围一温室气体排放量 吨二氧化碳当量 2024年 58,691"
scope_2_emissions,范围二温室气体排放量,E,extracted,349692,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_33,33,1,,"范围二温室气体排放量 吨二氧化碳当量 2024年 349,692","范围二温室气体排放量 吨二氧化碳当量 2024年 349,692"
energy_consumption_total,能源消耗总量,E,extracted,111030,吨标煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_38,38,1,,"综合能源消耗量 吨标煤 2024年 111,030","综合能源消耗量 吨标煤 2024年 111,030"
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p30_54,30,1,0.04587302,"社会责任 员工权益 消费者权益 社区关系 公共安全 环 境 自然资源的利用 能源消耗 废弃物排放 生态保护 治 理 公司管理结构 内部控制 风险管控 供应商赋能 我们针对供应商的品质、服务的持续改进提升，成立专项帮扶小组，制定帮扶方案，并进行实施和监督。具 体帮扶活动及举措包括：与关键供应商定期召开线上质量会，定期现场检查交流会，工艺改进探讨交流等， 通过多维度帮扶不断提升供应商的综合经营能力。整个帮扶过程持续深入，通过不断回顾和检查效果，及时 调整帮扶策略，以达到良好成效。 现场指导交流 线上质量会 截至本报告期末，华海药业总计拥有活跃供应商2,606家，其中重要供应商数量1,523家。重要供应商地区分布如下： 西北地区：36 华北地区：21 华南地区：42 华中地区：82 西南地区：5 东北地区：4 海外地区：7 华东地区：1,326 披露项 单位 总计 供应商总数 中国内地地区的供应商数 港澳台及海外地区的供应商数 接受环境、劳工、道德等方面评估的供应商数 家 家 家 家 2,606 2,599 7 2,236 2024年度企业社会责任报告 浙江华海药业股份有限公司 55 56...",社会责任 员工权益 消费者权益 社区关系 公共安全 环 境 自然资源的利用 能源消耗 废弃物排放 生态保护 治 理 公司管理结构 内部控制 风险管控 供应商赋能 我们针对供应商的品质、服务的持续改进提升，成立专项帮扶小组，制定帮扶方案，并进行实施和监督。具 体帮扶活动及举措包括：与关键供应商定期召开线上质量会，定期现场检查交流会，工艺改进探讨交流等， 通过多维度帮扶不断提升供应商的综合经营能力。整个帮扶过程持续深入，通过不断回顾和检查...
natural_gas_consumption,天然气消耗量,E,extracted,4231675,立方米,2024,route_a_appendix_table,0.9,auto_cited,,table_page_38,38,1,,"天然气用量 立方米 2024年 4,231,675","天然气用量 立方米 2024年 4,231,675"
electricity_consumption,用电量,E,extracted,340842,兆瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_38,38,1,,"外购电力用量 兆瓦时 2024年 340,842","外购电力用量 兆瓦时 2024年 340,842"
water_consumption,用水量,E,extracted,2303965,立方米,2024,route_a_appendix_table,0.92,auto_cited,,table_page_58,58,1,,"能源利用 总取水量 立方米 2,303,965","能源利用 总取水量 立方米 2,303,965"
wastewater_discharge,废水排放量,E,extracted,1487377,立方米,2024,route_a_appendix_table,0.96,auto_cited,,table_page_58,58,1,,"水资源利用 废水排放总量 立方米 1,487,377","水资源利用 废水排放总量 立方米 1,487,377"
air_pollutant_emissions,废气或大气污染物排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p36_64,36,1,0.01639344,"废气排放 华海药业严格遵守《中华人民共和国大气污染防治法》等相关法律法规，遵照《制药工业大气污染物排放标准》《锅炉 大气污染物排放标准》《大气污染物综合排放标准》《恶臭污染物排放标准》等大气污染物排放执行标准，以充分符合 国家废气达标排放标准。2024 年，公司废气排放总量269,951 千克。 序号 企业名称 废水污染物类型 废水污染治理设施配置说明 川南公司 华南公司 立诚药业 建诚药业 制剂分厂 制药科技 华海生物 长兴制药 湖北赛奥 1 2 3 4 5 6 7 8 9 CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH CODCr、氨氮、pH 蒸发脱盐+ 脱溶、蒸发脱溶 A2/O+MBR 蒸发脱盐+ 脱溶、蒸发脱溶、釜式蒸馏 物化+ 水解+A/O+MBR 蒸发脱盐+ 脱溶、蒸发脱溶 厌氧+A/O+MBR+ 臭氧氧化+ 吸附 蒸发脱盐、汽提脱溶、蒸馏浓缩 气浮+USAB 厌氧沉淀+ 二级A/O+MBR 水解酸化+A/O+ 二沉池 水解酸化+...","废气排放 华海药业严格遵守《中华人民共和国大气污染防治法》等相关法律法规，遵照《制药工业大气污染物排放标准》《锅炉 大气污染物排放标准》《大气污染物综合排放标准》《恶臭污染物排放标准》等大气污染物排放执行标准，以充分符合 国家废气达标排放标准。2024 年，公司废气排放总量269,951 千克。 序号 企业名称 废水污染物类型 废水污染治理设施配置说明 川南公司 华南公司 立诚药业 建诚药业 制剂分厂 制药科技 华海生物 长兴制药 湖..."
non_hazardous_waste,一般废弃物产生量,E,extracted,5001,吨,2024,route_a_appendix_table,0.96,auto_cited,,table_page_37,37,1,,"无害废弃物总量 吨 2024年 5,001","无害废弃物总量 吨 2024年 5,001"
hazardous_waste,危险废弃物产生量,E,extracted,87383,吨,2024,route_a_appendix_table,0.93,auto_cited,,table_page_37,37,1,,"有害废弃物总量 吨 2024年 87,383","有害废弃物总量 吨 2024年 87,383"
environmental_investment,环保投入金额,E,extracted,25562.67,万元人民币,2024,route_a_appendix_table,0.92,auto_cited,,table_page_34,34,1,,"年度环保投资支出 万元人民币 25,562.67","年度环保投资支出 万元人民币 25,562.67"
