field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
safety_accident_count,安全生产事故数量,S,False,,,,,,,,[],0.0,证据中提及‘伤亡事故’‘设备事故’‘火灾、责任火警事故’等，但均未提供具体数值；虽有‘安全生产事故’相关制度和演练描述，但无明确事故数量统计，无法满足matched=true的三要素（字段同义词+明确数值+年份）,False,证据中提及‘伤亡事故’‘设备事故’‘火灾、责任火警事故’等，但均未提供具体数值；虽有‘安全生产事故’相关制度和演练描述，但无明确事故数量统计，无法满足matched=true的三要素（字段同义词+明确数值+年份）,84.6489,manufacturing,core,"[{""chunk_id"": ""p30_59"", ""page_number"": 30, ""retrieval_score"": 46, ""bm25_score"": 41.4534, ""vector_score"": 0.432444, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 36, ""bm25_score"": 21.8062, ""vector_score"": 0.347917, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""安全生"", ""全生产"", ""产安"", ""生产安""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p31_62"", ""page_number"": 31, ""retrieval_score"": 33, ""bm25_score"": 61.514, ""vector_score"": 0.429521, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 1}, {""chunk_id"": ""p24_45"", ""page_number"": 24, ""retrieval_score"": 32, ""bm25_score"": 2.7221, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""生产""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p16_29"", ""page_number"": 16, ""retrieval_score"": 31, ""bm25_score"": 2.5177, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,,,,,,,,[],0.0,证据中提及‘困难帮扶累计金额’‘为员工发放福利’等，但未出现‘公益投入金额’或其同义词（如慈善捐赠、对外捐赠等），且无明确对应的社会公益捐赠数值，无法满足matched=true条件,False,证据中提及‘困难帮扶累计金额’‘为员工发放福利’等，但未出现‘公益投入金额’或其同义词（如慈善捐赠、对外捐赠等），且无明确对应的社会公益捐赠数值，无法满足matched=true条件,78.0676,manufacturing,core,"[{""chunk_id"": ""p18_33"", ""page_number"": 18, ""retrieval_score"": 41, ""bm25_score"": 3.27, ""vector_score"": 0.10338, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p16_29"", ""page_number"": 16, ""retrieval_score"": 36, ""bm25_score"": 3.0285, ""vector_score"": 0.084881, ""hit_keywords"": [], ""hit_query_terms"": [""对外""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p24_45"", ""page_number"": 24, ""retrieval_score"": 34, ""bm25_score"": 4.5907, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""对外""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p30_59"", ""page_number"": 30, ""retrieval_score"": 34, ""bm25_score"": 3.0285, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p13_22"", ""page_number"": 13, ""retrieval_score"": 29, ""bm25_score"": 3.4975, ""vector_score"": 0.094958, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""会公""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
female_employee_ratio,女性员工比例,S,False,12.52,65人,人,%,女性员工人数65人 ÷ 员工总人数519人 × 100% = 12.52%,2024,报告期内，390 519 接受绩效考核或职业发展考评的员工总人数为 男性员工人数 人 人 129 人 449 人 65 人 5 人 女性员工人数 基层员工人数 中层管理员工人数 高级管理员工人数,[29],0.0,b2_validation_failed:required_keyword_missing_in_evidence;ratio_field_without_percent_unit,False,required_keyword_missing_in_evidence;ratio_field_without_percent_unit,76.8891,manufacturing,core,"[{""chunk_id"": ""p18_33"", ""page_number"": 18, ""retrieval_score"": 36, ""bm25_score"": 4.4968, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 36, ""bm25_score"": 14.0507, ""vector_score"": 0.294455, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""女性员"", ""性员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p12_20"", ""page_number"": 12, ""retrieval_score"": 31, ""bm25_score"": 3.2798, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p27_52"", ""page_number"": 27, ""retrieval_score"": 31, ""bm25_score"": 26.4689, ""vector_score"": 0.239942, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""女性员"", ""性员工"", ""女员"", ""女员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p13_22"", ""page_number"": 13, ""retrieval_score"": 30, ""bm25_score"": 3.2798, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
energy_consumption_intensity,能源消耗强度,E,False,,,,,,,,[],0.0,证据中虽出现'能源强度'一词（p42_85），但无对应数值、年份或单位，仅为指标名称列表；其他章节提及研发投入占比、能耗管理职责等，均无能源消耗强度的定量数据，无法满足matched=true的三要素（字段同义词+明确数值+年份）,False,证据中虽出现'能源强度'一词（p42_85），但无对应数值、年份或单位，仅为指标名称列表；其他章节提及研发投入占比、能耗管理职责等，均无能源消耗强度的定量数据，无法满足matched=true的三要素（字段同义词+明确数值+年份）,74.4056,manufacturing,core,"[{""chunk_id"": ""p18_33"", ""page_number"": 18, ""retrieval_score"": 35, ""bm25_score"": 2.6249, ""vector_score"": 0.0, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p30_59"", ""page_number"": 30, ""retrieval_score"": 28, ""bm25_score"": 3.1368, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""综合""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 28, ""bm25_score"": 5.4336, ""vector_score"": 0.0, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""综合"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p35_71"", ""page_number"": 35, ""retrieval_score"": 26, ""bm25_score"": 15.2893, ""vector_score"": 0.220278, ""hit_keywords"": [""单位""], ""hit_query_terms"": [""能源"", ""源消"", ""消耗"", ""能源消"", ""源消耗"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p42_85"", ""page_number"": 42, ""retrieval_score"": 25, ""bm25_score"": 19.399, ""vector_score"": 0.164816, ""hit_keywords"": [""强度""], ""hit_query_terms"": [""能源"", ""源消"", ""消耗"", ""强度"", ""能源消"", ""源消耗""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}]",B2_quant_text_rag
ghg_emissions_intensity,温室气体排放强度,E,False,,,,,,,,[],0.0,证据中虽提及温室气体排放管理、节能降碳、研发绿色产品等，但未出现温室气体排放强度、单位营收排放等同义词与具体数值的明确对应语句；研发投入占比、排放物指标（如COD、氮氧化物）均非温室气体排放强度，且无任何以'吨CO2e/万元'等单位表达的强度数据，无法满足matched=true的三要素（字段同义词+数值+年份）,False,证据中虽提及温室气体排放管理、节能降碳、研发绿色产品等，但未出现温室气体排放强度、单位营收排放等同义词与具体数值的明确对应语句；研发投入占比、排放物指标（如COD、氮氧化物）均非温室气体排放强度，且无任何以'吨CO2e/万元'等单位表达的强度数据，无法满足matched=true的三要素（字段同义词+数值+年份）,73.4492,manufacturing,core,"[{""chunk_id"": ""p18_33"", ""page_number"": 18, ""retrieval_score"": 33, ""bm25_score"": 7.7789, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""单位"", ""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p19_35"", ""page_number"": 19, ""retrieval_score"": 26, ""bm25_score"": 3.2798, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 3}, {""chunk_id"": ""p34_68"", ""page_number"": 34, ""retrieval_score"": 24, ""bm25_score"": 10.434, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""体排"", ""排放"", ""体排放"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p38_76"", ""page_number"": 38, ""retrieval_score"": 23, ""bm25_score"": 37.6476, ""vector_score"": 0.272461, ""hit_keywords"": [], ""hit_query_terms"": [""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""温室气"", ""室气体"", ""气体排"", ""体排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p39_79"", ""page_number"": 39, ""retrieval_score"": 21, ""bm25_score"": 10.4115, ""vector_score"": 0.149908, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""碳排"", ""碳排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}]",B2_quant_text_rag
wastewater_discharge,废水排放量,E,False,,,,,,,,[],0.0,matched_evidence_without_number,False,matched_evidence_without_number,73.3534,manufacturing,core,"[{""chunk_id"": ""p38_77"", ""page_number"": 38, ""retrieval_score"": 38, ""bm25_score"": 33.0014, ""vector_score"": 0.231333, ""hit_keywords"": [""排放总量"", ""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""放总"", ""总量"", ""排放总"", ""放总量"", ""排放总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 1}, {""chunk_id"": ""p37_74"", ""page_number"": 37, ""retrieval_score"": 30, ""bm25_score"": 8.0525, ""vector_score"": 0.0, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""污水"", ""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 5}, {""chunk_id"": ""p36_72"", ""page_number"": 36, ""retrieval_score"": 25, ""bm25_score"": 14.429, ""vector_score"": 0.0, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p34_68"", ""page_number"": 34, ""retrieval_score"": 24, ""bm25_score"": 21.714, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""水排"", ""排放"", ""水排放"", ""污水"", ""污水排""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p38_76"", ""page_number"": 38, ""retrieval_score"": 23, ""bm25_score"": 30.1241, ""vector_score"": 0.267669, ""hit_keywords"": [], ""hit_query_terms"": [""废水"", ""水排"", ""排放"", ""废水排"", ""水排放"", ""污水"", ""污水排""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}]",B2_quant_text_rag
environmental_penalty_count,环境违规或处罚事件数量,E,False,0,0 起,起,起,无需转换,2024,截至报告期末，年，公司发生环境事故0 起,[35],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,72.7168,manufacturing,core,"[{""chunk_id"": ""p15_27"", ""page_number"": 15, ""retrieval_score"": 37, ""bm25_score"": 20.1846, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""违规"", ""事件"", ""违法"", ""规事"", ""违规事"", ""规事件""], ""hit_units"": [""次"", ""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p16_29"", ""page_number"": 16, ""retrieval_score"": 34, ""bm25_score"": 4.4476, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""事件"", ""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p34_68"", ""page_number"": 34, ""retrieval_score"": 31, ""bm25_score"": 20.8699, ""vector_score"": 0.234367, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""处罚"", ""环保"", ""行政"", ""政处"", ""行政处""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p35_70"", ""page_number"": 35, ""retrieval_score"": 31, ""bm25_score"": 4.193, ""vector_score"": 0.2055, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件""], ""hit_units"": [""次"", ""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 1}, {""chunk_id"": ""p34_67"", ""page_number"": 34, ""retrieval_score"": 30, ""bm25_score"": 5.6468, ""vector_score"": 0.285841, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""环保""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 4}]",B2_quant_text_rag
employee_turnover_rate,员工流失率,S,True,10.05,10.05%,%,%,无需转换,2024,"员工流失率
10.05%",[40],0.95,在附录关键绩效表中明确出现目标字段同义词'员工流失率'，并有对应数值10.05%和年份2024（表头为2024年度），语义一一对应，单位为%，无需转换,True,,69.6518,manufacturing,core,"[{""chunk_id"": ""p27_52"", ""page_number"": 27, ""retrieval_score"": 34, ""bm25_score"": 25.3784, ""vector_score"": 0.161271, ""hit_keywords"": [""员工流失率""], ""hit_query_terms"": [""员工流失率"", ""员工"", ""工流"", ""流失"", ""失率"", ""员工流"", ""工流失"", ""流失率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p20_36"", ""page_number"": 20, ""retrieval_score"": 31, ""bm25_score"": 4.0169, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""失率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p40_81"", ""page_number"": 40, ""retrieval_score"": 30, ""bm25_score"": 34.7793, ""vector_score"": 0.28259, ""hit_keywords"": [""员工流失率""], ""hit_query_terms"": [""员工流失率"", ""员工"", ""工流"", ""流失"", ""失率"", ""员工流"", ""工流失"", ""流失率"", ""离职"", ""雇员""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 27, ""bm25_score"": 1.555, ""vector_score"": 0.27377, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p18_33"", ""page_number"": 18, ""retrieval_score"": 22, ""bm25_score"": 0.7371, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 19}]",B2_quant_text_rag
social_security_coverage,社会保险覆盖率,S,True,100,100%,%,%,无需转换,2024,报告期内，社会保险覆盖率 100%,[28],0.95,定位到目标字段同义词'社会保险覆盖率'，提取到明确数值100%和年份2024（通过上下文'报告期内'指2024年），单位为%，与目标单位一致，无需转换,True,,67.7764,manufacturing,core,"[{""chunk_id"": ""p27_52"", ""page_number"": 27, ""retrieval_score"": 35, ""bm25_score"": 41.3335, ""vector_score"": 0.0, ""hit_keywords"": [""社会保险覆盖率"", ""社会保险""], ""hit_query_terms"": [""社会保险覆盖率"", ""社会"", ""会保"", ""保险"", ""险覆"", ""覆盖"", ""盖率"", ""社会保"", ""会保险"", ""保险覆"", ""险覆盖"", ""覆盖率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p28_55"", ""page_number"": 28, ""retrieval_score"": 35, ""bm25_score"": 41.1401, ""vector_score"": 0.138822, ""hit_keywords"": [""社会保险覆盖率"", ""社会保险""], ""hit_query_terms"": [""社会保险覆盖率"", ""社会"", ""会保"", ""保险"", ""险覆"", ""覆盖"", ""盖率"", ""社会保"", ""会保险"", ""保险覆"", ""险覆盖"", ""覆盖率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 4}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 31, ""bm25_score"": 9.1579, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""覆盖"", ""盖率"", ""覆盖率"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p15_27"", ""page_number"": 15, ""retrieval_score"": 28, ""bm25_score"": 6.2556, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""员工"", ""缴纳""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p32_64"", ""page_number"": 32, ""retrieval_score"": 28, ""bm25_score"": 9.0771, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""覆盖"", ""盖率"", ""覆盖率"", ""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 7}]",B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,,,,,,,,[],0.0,matched_evidence_without_number,False,matched_evidence_without_number,66.4955,manufacturing,core,"[{""chunk_id"": ""p38_77"", ""page_number"": 38, ""retrieval_score"": 31, ""bm25_score"": 40.5584, ""vector_score"": 0.274774, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""污染"", ""排放"", ""放量"", ""排放量"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 1}, {""chunk_id"": ""p37_74"", ""page_number"": 37, ""retrieval_score"": 26, ""bm25_score"": 3.0285, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""化物""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 5}, {""chunk_id"": ""p34_68"", ""page_number"": 34, ""retrieval_score"": 24, ""bm25_score"": 6.2433, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p36_72"", ""page_number"": 36, ""retrieval_score"": 23, ""bm25_score"": 35.5159, ""vector_score"": 0.135458, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""放量"", ""污染物"", ""染物排"", ""物排放"", ""排放量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p38_76"", ""page_number"": 38, ""retrieval_score"": 23, ""bm25_score"": 55.343, ""vector_score"": 0.272995, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放"", ""气排"", ""废气排"", ""气排放"", ""氮氧""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 2}]",B2_quant_text_rag
