field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
environmental_penalty_count,环境违规或处罚事件数量,E,False,,,,,,,,[],0.0,证据中虽有'一般及以上环境突发事件数'、'重大违法违规处罚数'等类似表述，但数值均为0，且无任何关于'环境违规或处罚事件数量'、'环境处罚次数'、'环保处罚'等目标字段或其同义词的非零数值记录；'重大违法违规处罚数'虽为同义词，但数值为0且无其他正数证据支持，不符合'明确数值'要求，故无法匹配,False,证据中虽有'一般及以上环境突发事件数'、'重大违法违规处罚数'等类似表述，但数值均为0，且无任何关于'环境违规或处罚事件数量'、'环境处罚次数'、'环保处罚'等目标字段或其同义词的非零数值记录；'重大违法违规处罚数'虽为同义词，但数值为0且无其他正数证据支持，不符合'明确数值'要求，故无法匹配,89.721,pharma,core,"[{""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 51, ""bm25_score"": 18.016, ""vector_score"": 0.186052, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""件数"", ""事件数"", ""次数"", ""环保""], ""hit_units"": [""次"", ""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p40_61"", ""page_number"": 40, ""retrieval_score"": 45, ""bm25_score"": 6.0971, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""次数""], ""hit_units"": [""次"", ""起""], ""hit_forbidden"": [], ""number_count"": 87}, {""chunk_id"": ""p41_63"", ""page_number"": 41, ""retrieval_score"": 42, ""bm25_score"": 27.0392, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""违规"", ""处罚"", ""次数"", ""违法"", ""法违"", ""违法违"", ""法违规""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 90}, {""chunk_id"": ""p37_57"", ""page_number"": 37, ""retrieval_score"": 39, ""bm25_score"": 3.2884, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 18}, {""chunk_id"": ""p21_31"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 6.0655, ""vector_score"": 0.144533, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""环保""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 33}]",B2_quant_text_rag
r_and_d_expense,研发投入金额,S,True,40157,40157万元,万元,万元,无需转换,2024,2024 年研发投入40157 万元，同比增长2.90%。,[27],0.95,定位到目标字段同义词'研发投入'，提取到明确年份2024和原始数值40157万元，单位为万元，与目标单位一致，无需转换,True,,88.3156,pharma,core,"[{""chunk_id"": ""p27_40"", ""page_number"": 27, ""retrieval_score"": 48, ""bm25_score"": 21.4407, ""vector_score"": 0.265778, ""hit_keywords"": [""研发投入""], ""hit_query_terms"": [""研发"", ""发投"", ""投入"", ""研发投"", ""发投入"", ""研发投入""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p27_41"", ""page_number"": 27, ""retrieval_score"": 46, ""bm25_score"": 14.1705, ""vector_score"": 0.147516, ""hit_keywords"": [""研发投入""], ""hit_query_terms"": [""研发"", ""发投"", ""投入"", ""研发投"", ""发投入"", ""研发投入""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p11_14"", ""page_number"": 11, ""retrieval_score"": 45, ""bm25_score"": 6.4521, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""投入"", ""金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p40_61"", ""page_number"": 40, ""retrieval_score"": 45, ""bm25_score"": 6.1707, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""费用""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 87}, {""chunk_id"": ""p6_6"", ""page_number"": 6, ""retrieval_score"": 44, ""bm25_score"": 18.0998, ""vector_score"": 0.14534, ""hit_keywords"": [""研发投入""], ""hit_query_terms"": [""研发"", ""发投"", ""投入"", ""研发投"", ""发投入"", ""研发投入""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 8}]",B2_quant_text_rag
wastewater_discharge,废水排放量,E,False,,,,,,,,[],0.0,证据中提及COD排放强度、污水处理服务、废水处理项目等，但未出现废水排放量、污水排放量或废水排放总量的明确数值与年份对应；'万元产值COD排放量'为强度指标，非总量，且'回用水''循环水'相关表述存在但未构成目标字段的直接证据，不符合matched=true条件,False,证据中提及COD排放强度、污水处理服务、废水处理项目等，但未出现废水排放量、污水排放量或废水排放总量的明确数值与年份对应；'万元产值COD排放量'为强度指标，非总量，且'回用水''循环水'相关表述存在但未构成目标字段的直接证据，不符合matched=true条件,86.8157,pharma,core,"[{""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 49, ""bm25_score"": 15.2028, ""vector_score"": 0.140785, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""方米""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p6_6"", ""page_number"": 6, ""retrieval_score"": 40, ""bm25_score"": 6.1597, ""vector_score"": 0.099433, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""污水""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p21_31"", ""page_number"": 21, ""retrieval_score"": 40, ""bm25_score"": 8.9097, ""vector_score"": 0.0, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 33}, {""chunk_id"": ""p22_33"", ""page_number"": 22, ""retrieval_score"": 35, ""bm25_score"": 4.0589, ""vector_score"": 0.123084, ""hit_keywords"": [], ""hit_query_terms"": [""污水""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 26}, {""chunk_id"": ""p22_34"", ""page_number"": 22, ""retrieval_score"": 33, ""bm25_score"": 10.5088, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""废水"", ""排放"", ""污水""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 13}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,114211.19,114211.19元,元,元,无需转换,2024,2024 年，共组织900 余名名员工捐款114211.19 元救助困难职工。,[34],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,85.7943,pharma,core,"[{""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 48, ""bm25_score"": 7.8546, ""vector_score"": 0.139714, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p11_14"", ""page_number"": 11, ""retrieval_score"": 47, ""bm25_score"": 4.6897, ""vector_score"": 0.118078, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p40_61"", ""page_number"": 40, ""retrieval_score"": 45, ""bm25_score"": 9.87, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""社会"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 87}, {""chunk_id"": ""p30_45"", ""page_number"": 30, ""retrieval_score"": 39, ""bm25_score"": 6.51, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 60}, {""chunk_id"": ""p34_52"", ""page_number"": 34, ""retrieval_score"": 39, ""bm25_score"": 8.1138, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""社会"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 34}]",B2_quant_text_rag
board_meetings,董事会会议次数,G,True,7,7 次,次,次,无需转换,2024,召开7 次董事会会议，审议51 项议案。,[15],0.95,定位到目标字段同义词'董事会会议'，提取到明确数值'7'和年份'2024'，单位为'次'，符合目标单位，无 forbidden_any 干扰,True,,85.3282,pharma,core,"[{""chunk_id"": ""p15_21"", ""page_number"": 15, ""retrieval_score"": 45, ""bm25_score"": 34.2835, ""vector_score"": 0.266408, ""hit_keywords"": [""董事会会议""], ""hit_query_terms"": [""董事"", ""事会"", ""会会"", ""会议"", ""董事会"", ""事会会"", ""会会议"", ""召开"", ""董事会会议""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p40_61"", ""page_number"": 40, ""retrieval_score"": 42, ""bm25_score"": 4.2438, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""次数""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 87}, {""chunk_id"": ""p32_49"", ""page_number"": 32, ""retrieval_score"": 41, ""bm25_score"": 3.7133, ""vector_score"": 0.103268, ""hit_keywords"": [], ""hit_query_terms"": [""次数""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 37}, {""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 40, ""bm25_score"": 2.7006, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""次数""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p18_27"", ""page_number"": 18, ""retrieval_score"": 36, ""bm25_score"": 5.8082, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""董事"", ""事会"", ""董事会""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
training_hours_per_employee,人均培训时长,S,False,48.91,312450小时,小时,小时,无需转换,2024,员工培训总时长 小时 283995 291780 312450,[40],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,83.5451,pharma,core,"[{""chunk_id"": ""p40_61"", ""page_number"": 40, ""retrieval_score"": 45, ""bm25_score"": 11.3636, ""vector_score"": 0.177254, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""时长"", ""员工"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 87}, {""chunk_id"": ""p30_45"", ""page_number"": 30, ""retrieval_score"": 44, ""bm25_score"": 16.8933, ""vector_score"": 0.162209, ""hit_keywords"": [""人均"", ""平均""], ""hit_query_terms"": [""人均"", ""培训"", ""员工"", ""工平"", ""平均"", ""工平均""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 60}, {""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 42, ""bm25_score"": 5.6674, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""小时""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p28_42"", ""page_number"": 28, ""retrieval_score"": 37, ""bm25_score"": 3.506, ""vector_score"": 0.0, ""hit_keywords"": [""人均""], ""hit_query_terms"": [""人均"", ""员工""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 24}, {""chunk_id"": ""p28_43"", ""page_number"": 28, ""retrieval_score"": 37, ""bm25_score"": 2.9519, ""vector_score"": 0.0, ""hit_keywords"": [""人均""], ""hit_query_terms"": [""人均""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,,,,,,,,[],0.0,证据中虽有‘二氧化碳排放当量约5.6万吨’，但二氧化碳不属于目标字段同义词列表（废气排放量、大气污染物排放量、氮氧化物、二氧化硫、颗粒物、VOCs）；其他如‘一般废弃物排放量’‘危险废弃物排放量’为固废，非废气或大气污染物；无任何目标字段或其同义词与明确数值、年份的直接对应语句,False,证据中虽有‘二氧化碳排放当量约5.6万吨’，但二氧化碳不属于目标字段同义词列表（废气排放量、大气污染物排放量、氮氧化物、二氧化硫、颗粒物、VOCs）；其他如‘一般废弃物排放量’‘危险废弃物排放量’为固废，非废气或大气污染物；无任何目标字段或其同义词与明确数值、年份的直接对应语句,83.3988,pharma,core,"[{""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 45, ""bm25_score"": 21.2939, ""vector_score"": 0.16994, ""hit_keywords"": [], ""hit_query_terms"": [""物排"", ""排放"", ""放量"", ""物排放"", ""排放量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p6_6"", ""page_number"": 6, ""retrieval_score"": 36, ""bm25_score"": 13.0729, ""vector_score"": 0.120873, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p21_31"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 8.9097, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放量"", ""排放量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 33}, {""chunk_id"": ""p22_34"", ""page_number"": 22, ""retrieval_score"": 33, ""bm25_score"": 27.9058, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p6_7"", ""page_number"": 6, ""retrieval_score"": 30, ""bm25_score"": 12.1981, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
ghg_emissions_intensity,温室气体排放强度,E,False,0.2428,0.2428吨标煤 / 万元,吨标煤 / 万元,吨标煤 / 万元,无需转换,2024,"万元营业收入综合能耗
吨标煤 / 万元
0.2487
0.2257
0.2428",[40],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,81.3146,pharma,core,"[{""chunk_id"": ""p11_14"", ""page_number"": 11, ""retrieval_score"": 43, ""bm25_score"": 6.5203, ""vector_score"": 0.0, ""hit_keywords"": [""强度""], ""hit_query_terms"": [""强度"", ""单位"", ""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 39, ""bm25_score"": 7.0386, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""单位"", ""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p41_63"", ""page_number"": 41, ""retrieval_score"": 39, ""bm25_score"": 2.9944, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""单位"", ""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 90}, {""chunk_id"": ""p12_16"", ""page_number"": 12, ""retrieval_score"": 37, ""bm25_score"": 4.4158, ""vector_score"": 0.0, ""hit_keywords"": [""强度""], ""hit_query_terms"": [""强度"", ""单位""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p12_17"", ""page_number"": 12, ""retrieval_score"": 36, ""bm25_score"": 2.9944, ""vector_score"": 0.16573, ""hit_keywords"": [], ""hit_query_terms"": [""单位"", ""收入""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 44}]",B2_quant_text_rag
r_and_d_personnel_count,研发人员数量,S,False,,,,,,,,[],0.0,没有找到字段名或同义词（研发人员数量/人数等）与明确数值、年份一一对应的证据；虽提及培训人次、员工查体人数等，但非研发人员专属统计，且存在‘比例’‘投入’等干扰词风险，无法可靠排除其他字段,False,没有找到字段名或同义词（研发人员数量/人数等）与明确数值、年份一一对应的证据；虽提及培训人次、员工查体人数等，但非研发人员专属统计，且存在‘比例’‘投入’等干扰词风险，无法可靠排除其他字段,80.6865,pharma,core,"[{""chunk_id"": ""p31_47"", ""page_number"": 31, ""retrieval_score"": 42, ""bm25_score"": 4.3064, ""vector_score"": 0.184325, ""hit_keywords"": [], ""hit_query_terms"": [""人员"", ""员工""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p9_11"", ""page_number"": 9, ""retrieval_score"": 36, ""bm25_score"": 4.0787, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""人员"", ""员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p24_37"", ""page_number"": 24, ""retrieval_score"": 36, ""bm25_score"": 3.5247, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""人员""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p32_50"", ""page_number"": 32, ""retrieval_score"": 36, ""bm25_score"": 3.9974, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""人员"", ""员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 21}, {""chunk_id"": ""p8_9"", ""page_number"": 8, ""retrieval_score"": 34, ""bm25_score"": 3.3234, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 8}]",B2_quant_text_rag
hazardous_waste,危险废弃物产生量,E,False,95832.57,95832.57吨,吨,吨,无需转换,2024,"危险废弃物排放量
吨
101378.63
103115.23
95832.57",[40],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,80.6427,pharma,core,"[{""chunk_id"": ""p40_62"", ""page_number"": 40, ""retrieval_score"": 42, ""bm25_score"": 28.7485, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""危险"", ""险废"", ""废弃"", ""弃物"", ""危险废"", ""险废弃"", ""废弃物""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 61}, {""chunk_id"": ""p22_33"", ""page_number"": 22, ""retrieval_score"": 40, ""bm25_score"": 27.7259, ""vector_score"": 0.182134, ""hit_keywords"": [""危险废物""], ""hit_query_terms"": [""危险"", ""险废"", ""危险废"", ""危险废物"", ""废物"", ""险废物""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 26}, {""chunk_id"": ""p21_31"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 3.2884, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""废物""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 33}, {""chunk_id"": ""p32_50"", ""page_number"": 32, ""retrieval_score"": 33, ""bm25_score"": 3.7133, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""危险""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 21}, {""chunk_id"": ""p32_49"", ""page_number"": 32, ""retrieval_score"": 31, ""bm25_score"": 2.7006, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""危险""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 37}]",B2_quant_text_rag
