page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_74_right.png,ESG 绩效数据表,,供应商总数,家,2024,2024年,274,274,"{""2024年"": ""274""}",供应商总数 家 2024年 274,no_schema_match,0.0
page_76.png,气候风险类型与应对措施表,,急性物理风险,,,应对措施,加强对天气预报的关注；强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,加强对天气预报的关注；强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,"{""潜在影响"": ""极端天气或自然灾害可能对公司经营网点、项目所在地等造成破坏，增加财产损失风险以及供应链风险。"", ""影响周期"": ""短期、中期"", ""应对措施"": ""加强对天气预报的关注；强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。""}",急性物理风险 极端天气或自然灾害可能对公司经营网点、项目所在地等造成破坏，增加财产损失风险以及供应链风险。 短期、中期 加强对天气预报的关注；强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,no_schema_match,0.0
page_76.png,气候风险类型与应对措施表,,慢性物理风险,,,应对措施,定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素；利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素；利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,"{""潜在影响"": ""海平面上升、持续性高温等长期的气候变化可能会影响公司供应链的价格变动风险，给公司带来潜在的成本上升影响。"", ""影响周期"": ""长期"", ""应对措施"": ""定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素；利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。""}",慢性物理风险 海平面上升、持续性高温等长期的气候变化可能会影响公司供应链的价格变动风险，给公司带来潜在的成本上升影响。 长期 定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素；利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,no_schema_match,0.0
page_76.png,气候风险类型与应对措施表,,政策与法规风险,,,应对措施,及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,"{""潜在影响"": ""各级政府、监管机构对于企业的环境信息披露要求将进一步提升，同时对公司环境数据的准确性要求不断提高，增加信息披露的合规风险。"", ""影响周期"": ""中期、长期"", ""应对措施"": ""及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。""}",政策与法规风险 各级政府、监管机构对于企业的环境信息披露要求将进一步提升，同时对公司环境数据的准确性要求不断提高，增加信息披露的合规风险。 中期、长期 及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,no_schema_match,0.0
page_76.png,气候风险类型与应对措施表,,市场风险,,,应对措施,在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性前提下，兼顾低碳环保因素的考量。,在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性前提下，兼顾低碳环保因素的考量。,"{""潜在影响"": ""市场客户的偏好逐渐将转变为采用更低碳环保的替代产品、服务以及设计理念，可能增加设计难度以及营运成本。"", ""影响周期"": ""短期、中期、长期"", ""应对措施"": ""在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性前提下，兼顾低碳环保因素的考量。""}",市场风险 市场客户的偏好逐渐将转变为采用更低碳环保的替代产品、服务以及设计理念，可能增加设计难度以及营运成本。 短期、中期、长期 在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性前提下，兼顾低碳环保因素的考量。,no_schema_match,0.0
page_76_right.png,量化数据绩效表,急性物理风险,极端天气或自然灾害可能对公司经营网点、项目所在地等造成破坏，增加财产损失风险以及供应链风险。,短期、中期,2024,2024年,加强对天气预报的关注，强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,加强对天气预报的关注，强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,"{""2024年"": ""加强对天气预报的关注，强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。""}",急性物理风险 极端天气或自然灾害可能对公司经营网点、项目所在地等造成破坏，增加财产损失风险以及供应链风险。 短期、中期 加强对天气预报的关注，强化极端气候灾害风险防范措施，根据天气变化灵活调整项目时间周期。,no_schema_match,0.0
page_76_right.png,量化数据绩效表,慢性物理风险,海平面上升、持续性高温等长期的气候变化可能会影响公司供应链的价格变动风险，给公司带来潜在的成本上升影响。,长期,2024,2024年,定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素。利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素。利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,"{""2024年"": ""定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素。利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。""}",慢性物理风险 海平面上升、持续性高温等长期的气候变化可能会影响公司供应链的价格变动风险，给公司带来潜在的成本上升影响。 长期 定期对实际原材料成本及销售成本进行差异分析，密切关注成本上升的因素。利用数字化技术对供应链平台进行持续升级，打造供应链生态，拓宽材料选择空间。,no_schema_match,0.0
page_76_right.png,量化数据绩效表,政策与法规风险,各级政府、监管机构对于企业的环境信息披露要求将进一步提升，同时对公司环境数据的准确性要求不断提高，增加信息披露的合规风险。,中期、长期,2024,2024年,及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,"{""2024年"": ""及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。""}",政策与法规风险 各级政府、监管机构对于企业的环境信息披露要求将进一步提升，同时对公司环境数据的准确性要求不断提高，增加信息披露的合规风险。 中期、长期 及时关注各级政府、交易所等监管机构发布的最新政策，按照政策要求加强可持续发展信息披露。,no_schema_match,0.0
page_76_right.png,量化数据绩效表,市场风险,市场客户的偏好逐渐转变为采用更低碳环保的替代产品、服务以及设计理念，可能增加设计难度以及营运成本。,短期、中期、长期,2024,2024年,在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性的前提下，兼顾低碳环保因素的考量。,在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性的前提下，兼顾低碳环保因素的考量。,"{""2024年"": ""在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性的前提下，兼顾低碳环保因素的考量。""}",市场风险 市场客户的偏好逐渐转变为采用更低碳环保的替代产品、服务以及设计理念，可能增加设计难度以及营运成本。 短期、中期、长期 在选材环节一直坚持使用最高标准的环保材料，根据客户以及市场要求持续更新公司选材标准。转变设计理念，在考虑美学和功能性的前提下，兼顾低碳环保因素的考量。,no_schema_match,0.0
page_78.png,2024能源消耗,,汽油,升,2024,2024年,60541.63,"60,541.63","{""2024年"": ""60,541.63""}","2024能源消耗
汽油 升 2024年 60,541.63",no_schema_match,0.0
page_78.png,2024能源消耗,,柴油,升,2024,2024年,283.79,283.79,"{""2024年"": ""283.79""}","2024能源消耗
柴油 升 2024年 283.79",no_schema_match,0.0
page_78_left.png,2024能源消耗,,汽油,升,2024,2024年,60541.63,"60,541.63","{""2024年"": ""60,541.63""}","汽油 升 2024年 60,541.63",no_schema_match,0.0
page_78_left.png,2024能源消耗,,柴油,升,2024,2024年,283.79,283.79,"{""2024年"": ""283.79""}",柴油 升 2024年 283.79,no_schema_match,0.0
page_82.png,废弃物处置,,纸张,吨,2024,2024年,5.83,5.83,"{""2024年"": ""5.83""}",纸张 吨 2024年 5.83,no_schema_match,0.0
page_82.png,废弃物处置,,碳粉盒,个,2024,2024年,188,188,"{""2024年"": ""188""}",碳粉盒 个 2024年 188,no_schema_match,0.0
page_82.png,废弃物处置,,硒鼓墨盒,个,2024,2024年,21,21,"{""2024年"": ""21""}",硒鼓墨盒 个 2024年 21,no_schema_match,0.0
page_82.png,废弃物处置,,无害废弃物密度,吨/人,2024,2024年,0.0011,0.0011,"{""2024年"": ""0.0011""}",无害废弃物密度 吨/人 2024年 0.0011,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_non_hazardous_waste,0.93
page_82_right.png,废弃物处置情况,,纸张,吨,2024,2024年,5.83,5.83,"{""2024年"": ""5.83""}",纸张 吨 2024年 5.83,no_schema_match,0.0
page_82_right.png,废弃物处置情况,,碳粉盒,个,2024,2024年,188,188,"{""2024年"": ""188""}",碳粉盒 个 2024年 188,no_schema_match,0.0
page_82_right.png,废弃物处置情况,,硒鼓墨盒,个,2024,2024年,21,21,"{""2024年"": ""21""}",硒鼓墨盒 个 2024年 21,no_schema_match,0.0
page_82_right.png,废弃物处置情况,,无害废弃物密度,吨/人,2024,2024年,0.0011,0.0011,"{""2024年"": ""0.0011""}",无害废弃物密度 吨/人 2024年 0.0011,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_non_hazardous_waste,0.93
