field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
total_ghg_emissions,温室气体排放总量,E,False,408383,"408,383",吨二氧化碳当量,吨二氧化碳当量,无需转换,2024,"温室气体排放总量（范围一+ 范围二）
吨二氧化碳当量
408,383","[33, 58]",0.0,"b2_validation_failed:forbidden_hit:范围一,范围二",False,"forbidden_hit:范围一,范围二",95.1736,pharma,core,"[{""chunk_id"": ""p33_58"", ""page_number"": 33, ""retrieval_score"": 55, ""bm25_score"": 195.1965, ""vector_score"": 0.50868, ""hit_keywords"": [""温室气体排放总量"", ""温室气体排放量"", ""碳排放"", ""二氧化碳"", ""吨二氧化碳当量"", ""范围一"", ""范围二""], ""hit_query_terms"": [""温室气体排放总量"", ""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""放总"", ""总量"", ""温室气"", ""室气体"", ""气体排"", ""体排放""], ""hit_units"": [""吨二氧化碳当量""], ""hit_forbidden"": [""范围一"", ""范围二"", ""强度""], ""number_count"": 14}, {""chunk_id"": ""p58_101"", ""page_number"": 58, ""retrieval_score"": 50, ""bm25_score"": 184.3988, ""vector_score"": 0.349305, ""hit_keywords"": [""温室气体排放总量"", ""温室气体排放量"", ""二氧化碳"", ""吨二氧化碳当量"", ""范围一"", ""范围二""], ""hit_query_terms"": [""温室气体排放总量"", ""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""放总"", ""总量"", ""温室气"", ""室气体"", ""气体排"", ""体排放""], ""hit_units"": [""吨二氧化碳当量""], ""hit_forbidden"": [""范围一"", ""范围二""], ""number_count"": 31}, {""chunk_id"": ""p36_64"", ""page_number"": 36, ""retrieval_score"": 39, ""bm25_score"": 34.1561, ""vector_score"": 0.309433, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放总"", ""总量"", ""排放总"", ""放总量"", ""总计"", ""放量"", ""排放量"", ""氧化""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 17}, {""chunk_id"": ""p33_59"", ""page_number"": 33, ""retrieval_score"": 37, ""bm25_score"": 8.5365, ""vector_score"": 0.0, ""hit_keywords"": [""碳排放""], ""hit_query_terms"": [""排放"", ""碳排"", ""碳排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p58_100"", ""page_number"": 58, ""retrieval_score"": 35, ""bm25_score"": 114.0881, ""vector_score"": 0.393268, ""hit_keywords"": [""温室气体排放总量"", ""温室气体排放量"", ""范围一"", ""范围二""], ""hit_query_terms"": [""温室气体排放总量"", ""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""放总"", ""总量"", ""温室气"", ""室气体"", ""气体排"", ""体排放""], ""hit_units"": [], ""hit_forbidden"": [""范围一"", ""范围二""], ""number_count"": 28}]",B2_quant_text_rag
safety_accident_count,安全生产事故数量,S,False,,,,,,,,[],0.0,证据中提及‘未发生重大生产安全事故’和‘因工伤关系而死亡的员工人数0人’，但无‘安全生产事故数量’或其同义词与具体事故起数/次/件的明确数值对应；‘0件’为处罚事件数，非事故数量；无任何行或句明确给出安全生产事故的计数,False,证据中提及‘未发生重大生产安全事故’和‘因工伤关系而死亡的员工人数0人’，但无‘安全生产事故数量’或其同义词与具体事故起数/次/件的明确数值对应；‘0件’为处罚事件数，非事故数量；无任何行或句明确给出安全生产事故的计数,92.5208,pharma,core,"[{""chunk_id"": ""p51_89"", ""page_number"": 51, ""retrieval_score"": 50, ""bm25_score"": 55.3346, ""vector_score"": 0.37604, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p52_91"", ""page_number"": 52, ""retrieval_score"": 43, ""bm25_score"": 42.4438, ""vector_score"": 0.26844, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 5}, {""chunk_id"": ""p58_101"", ""page_number"": 58, ""retrieval_score"": 41, ""bm25_score"": 6.8658, ""vector_score"": 0.255707, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""工伤""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 31}, {""chunk_id"": ""p28_51"", ""page_number"": 28, ""retrieval_score"": 39, ""bm25_score"": 7.5814, ""vector_score"": 0.260471, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全事"", ""安全事""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p51_90"", ""page_number"": 51, ""retrieval_score"": 37, ""bm25_score"": 2.6305, ""vector_score"": 0.180875, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""生产""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
trained_employees_count,受训员工人数,S,False,9065,"9,065",人,人,无需转换,2024,"接受培训的员工总人数
9,065",[45],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,92.2393,pharma,core,"[{""chunk_id"": ""p58_101"", ""page_number"": 58, ""retrieval_score"": 46, ""bm25_score"": 37.5163, ""vector_score"": 0.561963, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""人数"", ""员工人"", ""工人数"", ""培训"", ""参与"", ""工培"", ""员工培"", ""工培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 31}, {""chunk_id"": ""p45_81"", ""page_number"": 45, ""retrieval_score"": 43, ""bm25_score"": 33.4034, ""vector_score"": 0.39978, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""人数"", ""员工人"", ""工人数"", ""培训"", ""工培"", ""员工培"", ""工培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 18}, {""chunk_id"": ""p59_102"", ""page_number"": 59, ""retrieval_score"": 42, ""bm25_score"": 20.9703, ""vector_score"": 0.281405, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""人数"", ""员工人"", ""工人数"", ""培训"", ""累计""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 20}, {""chunk_id"": ""p41_75"", ""page_number"": 41, ""retrieval_score"": 41, ""bm25_score"": 7.0673, ""vector_score"": 0.302371, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""员工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p16_25"", ""page_number"": 16, ""retrieval_score"": 40, ""bm25_score"": 18.2186, ""vector_score"": 0.292653, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""人数"", ""员工人"", ""工人数"", ""培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,269.951,"269,951 千克",千克,吨,千克转吨，除以1000,2024,"2024 年，公司废气排放总量269,951 千克。",[36],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,90.2211,pharma,core,"[{""chunk_id"": ""p33_58"", ""page_number"": 33, ""retrieval_score"": 47, ""bm25_score"": 34.1317, ""vector_score"": 0.292773, ""hit_keywords"": [], ""hit_query_terms"": [""大气"", ""污染"", ""排放"", ""放量"", ""排放量"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p36_64"", ""page_number"": 36, ""retrieval_score"": 43, ""bm25_score"": 95.1365, ""vector_score"": 0.411057, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""大气"", ""气污"", ""污染"", ""染物"", ""物排"", ""排放"", ""放量"", ""大气污"", ""气污染"", ""污染物"", ""染物排""], ""hit_units"": [""千克""], ""hit_forbidden"": [], ""number_count"": 17}, {""chunk_id"": ""p58_100"", ""page_number"": 58, ""retrieval_score"": 39, ""bm25_score"": 32.0439, ""vector_score"": 0.298662, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""污染"", ""染物"", ""排放"", ""放量"", ""污染物"", ""排放量"", ""气排"", ""废气排"", ""气排放""], ""hit_units"": [""吨"", ""千克""], ""hit_forbidden"": [], ""number_count"": 28}, {""chunk_id"": ""p60_105"", ""page_number"": 60, ""retrieval_score"": 38, ""bm25_score"": 18.9932, ""vector_score"": 0.261755, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 44}, {""chunk_id"": ""p58_101"", ""page_number"": 58, ""retrieval_score"": 36, ""bm25_score"": 40.1908, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""放量"", ""污染物"", ""染物排"", ""物排放"", ""排放量"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 31}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,True,895.69,895.69万元,万元,万元,无需转换,2024,2024年，公司合计对外捐赠895.69万元，广泛支持慈善、教育、乡村振兴等领域。,[56],0.77,定位到目标字段同义词'对外捐赠'，提取到明确年份2024和原始数值895.69万元，单位与目标单位一致，无需转换;soft_penalty:public_welfare_single_project_or_partial_donation,True,public_welfare_single_project_or_partial_donation,85.9895,pharma,core,"[{""chunk_id"": ""p56_98"", ""page_number"": 56, ""retrieval_score"": 47, ""bm25_score"": 31.7702, ""vector_score"": 0.199476, ""hit_keywords"": [""对外捐赠""], ""hit_query_terms"": [""公益"", ""社会"", ""慈善"", ""捐赠"", ""对外捐赠"", ""对外"", ""外捐"", ""对外捐"", ""外捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 15}, {""chunk_id"": ""p56_97"", ""page_number"": 56, ""retrieval_score"": 43, ""bm25_score"": 29.9697, ""vector_score"": 0.0, ""hit_keywords"": [""对外捐赠""], ""hit_query_terms"": [""公益"", ""社会"", ""慈善"", ""捐赠"", ""对外捐赠"", ""对外"", ""外捐"", ""对外捐"", ""外捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 22}, {""chunk_id"": ""p57_99"", ""page_number"": 57, ""retrieval_score"": 41, ""bm25_score"": 19.0843, ""vector_score"": 0.102313, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""社会"", ""会公"", ""社会公"", ""会公益"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 15}, {""chunk_id"": ""p59_102"", ""page_number"": 59, ""retrieval_score"": 40, ""bm25_score"": 29.0279, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""金额"", ""社会"", ""慈善"", ""捐赠"", ""赠金"", ""捐赠金"", ""赠金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 20}, {""chunk_id"": ""p46_83"", ""page_number"": 46, ""retrieval_score"": 38, ""bm25_score"": 2.8913, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
female_employee_ratio,女性员工比例,S,False,41.08,"3,724",人,%,"女性员工人数3,724除以员工总数9,065，乘以100得到百分比41.08%",2024,"员工分布/ 按性别
3,724
5,341
女性 
 男性",[41],0.0,b2_validation_failed:required_keyword_missing_in_evidence;ratio_field_without_percent_unit,False,required_keyword_missing_in_evidence;ratio_field_without_percent_unit,84.3205,pharma,core,"[{""chunk_id"": ""p41_75"", ""page_number"": 41, ""retrieval_score"": 42, ""bm25_score"": 14.8711, ""vector_score"": 0.317641, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""性员工"", ""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p58_101"", ""page_number"": 58, ""retrieval_score"": 42, ""bm25_score"": 40.2091, ""vector_score"": 0.314713, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""工比"", ""比例"", ""女性员"", ""性员工"", ""员工比"", ""工比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 31}, {""chunk_id"": ""p42_77"", ""page_number"": 42, ""retrieval_score"": 41, ""bm25_score"": 33.0377, ""vector_score"": 0.366025, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""女性员"", ""性员工"", ""女员"", ""女员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p45_81"", ""page_number"": 45, ""retrieval_score"": 41, ""bm25_score"": 18.5021, ""vector_score"": 0.282122, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""女性员"", ""性员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 18}, {""chunk_id"": ""p41_74"", ""page_number"": 41, ""retrieval_score"": 40, ""bm25_score"": 7.3901, ""vector_score"": 0.206935, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 19}]",B2_quant_text_rag
independent_directors,独立董事人数,G,False,,,,,,,,[],0.0,没有找到字段名、同义词（独立董事人数/数量/独董人数）与明确数值和年份一一对应的证据；虽提及董事会、独立董事作用，但未提供具体人数,False,没有找到字段名、同义词（独立董事人数/数量/独董人数）与明确数值和年份一一对应的证据；虽提及董事会、独立董事作用，但未提供具体人数,83.1828,pharma,core,"[{""chunk_id"": ""p12_17"", ""page_number"": 12, ""retrieval_score"": 42, ""bm25_score"": 25.8369, ""vector_score"": 0.309141, ""hit_keywords"": [], ""hit_query_terms"": [""独立"", ""立董"", ""董事"", ""独立董"", ""立董事"", ""数量""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p16_25"", ""page_number"": 16, ""retrieval_score"": 39, ""bm25_score"": 21.8923, ""vector_score"": 0.206311, ""hit_keywords"": [], ""hit_query_terms"": [""董事"", ""事人"", ""人数"", ""董事人"", ""事人数""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p30_54"", ""page_number"": 30, ""retrieval_score"": 35, ""bm25_score"": 2.8467, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 17}, {""chunk_id"": ""p58_100"", ""page_number"": 58, ""retrieval_score"": 34, ""bm25_score"": 4.8175, ""vector_score"": 0.161669, ""hit_keywords"": [], ""hit_query_terms"": [""人数""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 28}, {""chunk_id"": ""p56_97"", ""page_number"": 56, ""retrieval_score"": 32, ""bm25_score"": 2.8467, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 22}]",B2_quant_text_rag
r_and_d_personnel_count,研发人员数量,S,False,,,,,,,,[],0.0,没有找到字段名或同义词（如研发人员数量、研发人员人数等）与明确数值、年份一一对应的证据；虽有党建、员工、研发集群等信息，但无研发人员具体人数或相关统计,False,没有找到字段名或同义词（如研发人员数量、研发人员人数等）与明确数值、年份一一对应的证据；虽有党建、员工、研发集群等信息，但无研发人员具体人数或相关统计,82.3997,pharma,core,"[{""chunk_id"": ""p12_17"", ""page_number"": 12, ""retrieval_score"": 40, ""bm25_score"": 4.6474, ""vector_score"": 0.196921, ""hit_keywords"": [], ""hit_query_terms"": [""人员"", ""数量""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p17_26"", ""page_number"": 17, ""retrieval_score"": 39, ""bm25_score"": 4.6391, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员人"", ""员工""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p3_2"", ""page_number"": 3, ""retrieval_score"": 37, ""bm25_score"": 2.6706, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""员工""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 62}, {""chunk_id"": ""p7_8"", ""page_number"": 7, ""retrieval_score"": 36, ""bm25_score"": 4.4972, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""人员""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 30}, {""chunk_id"": ""p20_32"", ""page_number"": 20, ""retrieval_score"": 36, ""bm25_score"": 3.1232, ""vector_score"": 0.369985, ""hit_keywords"": [], ""hit_query_terms"": [""研发""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 3}]",B2_quant_text_rag
anti_corruption_training_sessions,反腐败培训次数,G,False,1530,1530场,场,次,场与次为同义单位，无需换算,2024,2024年，公司共组织实施了1530场公司级/厂级培训，年度培训费用支出378万元。,[43],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,79.2146,pharma,core,"[{""chunk_id"": ""p17_26"", ""page_number"": 17, ""retrieval_score"": 39, ""bm25_score"": 3.5701, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""商业""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p12_17"", ""page_number"": 12, ""retrieval_score"": 36, ""bm25_score"": 3.4657, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""次数""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p24_42"", ""page_number"": 24, ""retrieval_score"": 36, ""bm25_score"": 15.4713, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""道德"", ""德培"", ""道德培"", ""德培训""], ""hit_units"": [""场""], ""hit_forbidden"": [], ""number_count"": 12}, {""chunk_id"": ""p43_78"", ""page_number"": 43, ""retrieval_score"": 35, ""bm25_score"": 2.7354, ""vector_score"": 0.260729, ""hit_keywords"": [], ""hit_query_terms"": [""培训""], ""hit_units"": [""场""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p27_48"", ""page_number"": 27, ""retrieval_score"": 34, ""bm25_score"": 4.4707, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""商业""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 5}]",B2_quant_text_rag
environmental_penalty_count,环境违规或处罚事件数量,E,False,,,,,,,,[],0.0,虽然在p58_100中出现'因违反环境保护法律法规而受到处罚的事件数'及其值为0，但该字段与目标字段同义词匹配，且数值为0、年份为2024（隐含在上下文），但根据规则1，matched=true需满足'语义一一对应'且数值为明确正向披露；此处数值为0，属于无处罚事件，虽符合字面匹配，但结合上下文（如p28_50中明确列出'违反产品和服务有关法律法规的事件数0件'，p58_100中多个环境处罚项均为0），该数据为零值且无具体事件描述，无法确认是否为独立、可验证的处罚事件记录，为避免误判，宁可不匹配。此外，p51_89中'因违反职业健康与安全法律法规而受到处罚的事件数'为0，但职业健康与安全不属于环境处罚，不属同义词范围。故综合判断，无可靠、非零、明确环境处罚事件的正向证据，不满足matched=true条件。,False,虽然在p58_100中出现'因违反环境保护法律法规而受到处罚的事件数'及其值为0，但该字段与目标字段同义词匹配，且数值为0、年份为2024（隐含在上下文），但根据规则1，matched=true需满足'语义一一对应'且数值为明确正向披露；此处数值为0，属于无处罚事件，虽符合字面匹配，但结合上下文（如p28_50中明确列出'违反产品和服务有关法律法规的事件数0件'，p58_100中多个环境处罚项均为0），该数据为零值且无具体事件描述，无法确认是否为独立、可验证的处罚事件记录，为避免误判，宁可不匹配。此外，p51_89中'因违反职业健康与安全法律法规而受到处罚的事件数'为0，但职业健康与安全不属于环境处罚，不属同义词范围。故综合判断，无可靠、非零、明确环境处罚事件的正向证据，不满足matched=true条件。,77.6863,pharma,core,"[{""chunk_id"": ""p51_89"", ""page_number"": 51, ""retrieval_score"": 39, ""bm25_score"": 9.7168, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""处罚"", ""事件"", ""件数"", ""事件数""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p59_102"", ""page_number"": 59, ""retrieval_score"": 39, ""bm25_score"": 25.6423, ""vector_score"": 0.109877, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""处罚"", ""事件"", ""件数"", ""事件数"", ""行政"", ""政处"", ""行政处"", ""政处罚""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 20}, {""chunk_id"": ""p41_75"", ""page_number"": 41, ""retrieval_score"": 38, ""bm25_score"": 3.2955, ""vector_score"": 0.105074, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""数量""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 19}, {""chunk_id"": ""p28_50"", ""page_number"": 28, ""retrieval_score"": 37, ""bm25_score"": 8.4503, ""vector_score"": 0.103207, ""hit_keywords"": [], ""hit_query_terms"": [""事件"", ""件数"", ""事件数""], ""hit_units"": [""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p58_100"", ""page_number"": 58, ""retrieval_score"": 37, ""bm25_score"": 20.0033, ""vector_score"": 0.184313, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""违规"", ""处罚"", ""事件"", ""件数"", ""事件数"", ""环保""], ""hit_units"": [""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 28}]",B2_quant_text_rag
