field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,17741.19,17741.19,吨二氧化碳当量,2024,温室气体排放总量,,0.94,heuristic_total_ghg_unit_pivot; schema_match_validated,page_39.png,温室气体排放总量 吨二氧化碳当量 2024年 17741.19
ghg_emissions_intensity,温室气体排放强度,E,quantitative,extracted,0.027,0.0270,吨二氧化碳当量/万元营收,2024,温室气体排放强度,,0.94,heuristic_ghg_emissions_intensity; schema_match_validated,page_39.png,温室气体排放强度 吨二氧化碳当量/万元营收 2024年 0.0270
scope_1_emissions,范围一温室气体排放量,E,quantitative,extracted,2674.96,2674.96,吨二氧化碳当量,2024,范围一,,0.96,heuristic_scope_1; schema_match_validated,page_39.png,范围一 吨二氧化碳当量 2024年 2674.96
scope_2_emissions,范围二温室气体排放量,E,quantitative,extracted,15066.72,15066.72,吨二氧化碳当量,2024,范围二,,0.96,heuristic_scope_2; schema_match_validated,page_39.png,范围二 吨二氧化碳当量 2024年 15066.72
energy_consumption_total,能源消耗总量,E,quantitative,extracted,5154.04,5154.04,吨标准煤,2024,能源消耗总量,,0.96,normalized_alias_match:能源消耗总量; schema_match_validated,page_35.png,能源消耗总量 吨标准煤 2024年 5154.04
energy_consumption_intensity,能源消耗强度,E,quantitative,extracted,0.0078,0.0078,吨标准煤/万元营收,2024,能源消耗强度,,0.94,heuristic_energy_consumption_intensity; schema_match_validated,page_35.png,能源消耗强度 吨标准煤/万元营收 2024年 0.0078
natural_gas_consumption,天然气消耗量,E,quantitative,extracted,1099897,1099897,立方米,2024,天然气使用量,,0.9,heuristic_natural_gas_consumption; schema_match_validated,page_35.png,天然气使用量 立方米 2024年 1099897
electricity_consumption,用电量,E,quantitative,extracted,30028.23,30028.23,兆瓦时,2024,总用电量,,0.92,heuristic_electricity; schema_match_validated,page_35.png,总用电量 兆瓦时 2024年 30028.23
water_consumption,用水量,E,quantitative,extracted,27.17,27.17,万吨,2024,新鲜水用量,,0.92,heuristic_water; schema_match_validated,page_67.png,新鲜水用量 万吨 2024年 27.17
wastewater_discharge,废水排放量,E,quantitative,extracted,25.12,25.12,万吨,2024,废水排放量,,0.9500000000000001,normalized_alias_match:废水排放量; schema_match_validated,page_39.png,废水排放量 万吨 2024年 25.12
