applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.94,温室气体排放量 万吨二氧化碳当量 0.1131,total_ghg_emissions,温室气体排放总量,quantitative,manufacturing,route_a_selected,,page_45.png,0.1131,0.94,heuristic_total_ghg_unit_pivot; unit_pivot_soft_warning:ghg_unit_anchor,extracted,,,,,,,,,,,,,,,,温室气体排放量,page_45.png,route_a_appendix_table,extracted,关键绩效表-环保绩效,环保绩效,万吨二氧化碳当量,0.1131,number,2024
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_1_emissions,范围一温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_2_emissions,范围二温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.95,"年度用电总量
千瓦时
779438",energy_consumption_total,能源消耗总量,quantitative,manufacturing,route_b2_filled_missing_route_a,,,779438千瓦时,0.0,not_found,missing,0.95,"年度用电总量
千瓦时
779438",true,779438千瓦时,定位到目标字段同义词'年度用电总量'，与'能源消耗总量'语义一致，有明确年份2024和原始数值779438千瓦时，且未出现任何禁止词；单位千瓦时是目标单位示例之一，无需转换;soft_penalty:soft_pass_strong_unit_anchor:千瓦时;vector=0.1500,[45],千瓦时,779438,2024,,,,,,,能源消耗总量,[45],route_b2_quant_text_rag,extracted,,quant_text_rag,千瓦时,779438,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
optional,E,0.0,,natural_gas_consumption,天然气消耗量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,electricity_consumption,用电量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.92,年使用水电总量 立方米 4810,water_consumption,用水量,quantitative,manufacturing,route_a_selected,,page_45.png,4810,0.92,heuristic_water_ocr_correction; unit_pivot_soft_warning:water_ocr_or_alias,extracted,,,,,,,,,,,,,,,,年使用水电总量,page_45.png,route_a_appendix_table,extracted,关键绩效表-环保绩效,环保绩效,立方米,4810,number,2024
core,E,0.0,,wastewater_discharge,废水排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,air_pollutant_emissions,废气或大气污染物排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,non_hazardous_waste,一般废弃物产生量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.93,危险废物处置量 万吨 0,hazardous_waste,危险废弃物产生量,quantitative,manufacturing,route_a_selected,,page_45.png,0,0.93,heuristic_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,危险废物处置量,page_45.png,route_a_appendix_table,extracted,关键绩效表-环保绩效,环保绩效,万吨,0,number,2024
core,E,0.96,环保总投资 万元 10.05,environmental_investment,环保投入金额,quantitative,manufacturing,route_a_selected,,page_45.png,10.05,0.96,manual_alias_override:环保总投资; schema_match_validated,extracted,,,,,,,,,,,,,,,,环保总投资,page_45.png,route_a_appendix_table,extracted,关键绩效表-环保绩效,环保绩效,万元,10.05,number,2024
core,E,0.0,,environmental_penalty_count,环境违规或处罚事件数量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,total_employees,员工总数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,male_employees,男性员工人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,female_employees,女性员工人数,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.0,,female_employee_ratio,女性员工比例,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,percentage,
core,S,0.9500000000000001,员工流失率 % 6.92 9.11 3.66,employee_turnover_rate,员工流失率,quantitative,manufacturing,route_a_selected,,page_45.png,6.92,0.9500000000000001,normalized_alias_match:员工流失率; schema_match_validated,extracted,,,,,,,,,,,,,,,,员工流失率,page_45.png,route_a_appendix_table,extracted,关键绩效表-社会绩效,,%,6.92,percentage,2024
core,S,0.0,,training_total_hours,员工培训总时长,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.95,全体党员全年人均学习32 学时,training_hours_per_employee,人均培训时长,quantitative,manufacturing,route_b2_filled_missing_route_a,,,32 学时,0.0,not_found,missing,0.95,全体党员全年人均学习32 学时,true,32 学时,定位到目标字段同义词'人均'和数值'32学时'，年份为2024，且'学时'与'小时'等价，符合定义且无 forbidden_any 干扰,[9],小时,32,2024,,,,,,,人均培训时长,[9],route_b2_quant_text_rag,extracted,,quant_text_rag,小时,32,number,2024
core,S,0.0,,training_coverage_rate,员工培训覆盖率,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,percentage,
core,S,0.92,社会保险覆盖率 % 100 100 100,social_security_coverage,社会保险覆盖率,quantitative,manufacturing,route_a_selected,,page_45.png,100,0.92,heuristic_social_security_coverage; schema_match_validated,extracted,,,,,,,,,,,,,,,,社会保险覆盖率,page_45.png,route_a_appendix_table,extracted,关键绩效表-社会绩效,,%,100,percentage,2024
