field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,913572.36,吨,2024,route_b2_quant_text_rag,0.95,auto_cited,,p13_20,13,1,0.01639344,2024年温室气体排放量为91.357236万吨CO2e。,气候行动 中国一重积极响应全球气候变化，以清洁能源规模化开发、低碳技术研发及碳减排实践为核心， 构建多维度气候行动体系，助力“双碳”目标实现。 清洁能源规模化开发，推动减碳增效 公司加速风电全产业链布局，报告期内建成国内领先清洁能源项目集群。 低碳技术研发与应用 联合中科院等顶尖机构，攻关长时储能技术，深入研究压缩空气储能、熔盐储热等路径，为高比 例可再生能源并网提供技术支撑；同步推进退役风电叶片热解气化资源化利用技术，减少固废产 生...
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p18_30,18,1,0.08639344,"吨 576,879 562,773 总用水量 吨 69,113,761 83,907,646 循环用水量 吨 66,972,236 81,954,530 循环用水占总用水量的比例 % 97.50 97.67 管理维度 具体措施 实施成效 节能管理 推行办公区域能耗数字化监测，动态追踪“长明灯”“长空调”异常 耗能；严格规范空调温度标准 办公用电强度同比下降，设 备待机能耗显著减少 节水管理 升级卫生间、茶水间节水装置，结合巡检系统实时排查“跑冒滴漏” 人均办公用水量持续降低 少纸化办公 全面推广电子审批流程，建立云端文件共享平台，推行双面打印 与废纸分类回收制度 纸质文件使用量减少 绿色出行 优化公务车调度系统，优先调配新能源车辆；倡导员工拼车通勤， 增设自行车停放点 燃油车碳排放强度稳步下降 低碳文化 将随手关灯、垃圾分类等行为纳入考核 员工主动参与率提升，浪费 现象大幅减少 绿色低碳 守护碧水蓝天 中国一重2024年环境，社会和治理（ESG）报告","吨 576,879 562,773 总用水量 吨 69,113,761 83,907,646 循环用水量 吨 66,972,236 81,954,530 循环用水占总用水量的比例 % 97.50 97.67 管理维度 具体措施 实施成效 节能管理 推行办公区域能耗数字化监测，动态追踪“长明灯”“长空调”异常 耗能；严格规范空调温度标准 办公用电强度同比下降，设 备待机能耗显著减少 节水管理 升级卫生间、茶水间节水装置，结合巡检系统实时..."
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p8_11,8,1,0.01639344,13 14 分 割 线  ESG治理架构 中国一重构建了系统化、层级分明的可持续治理体系，以三级管理架构驱动ESG战略落地。该体 系涵盖决策层、管理层与执行层： 公司通过专业培训、外部智库支持及常态化沟通机制强化能力建设，确保可持续发展理念全面融 入企业运营。这一治理体系兼顾战略高度与执行深度，为环境责任履行、社会责任践行及治理效 能提升提供了长效保障机制。  利益相关方沟通 中国一重将利益相关方参与作为ESG治理的核心环节，构建体系化利益相关方对话机制，精准识 别并动态响应多元诉求，推动可持续发展目标与利益相关方价值诉求的深度协同。公司通过常态 化沟通渠道收集环境、社会及治理议题的关键反馈，将其纳入战略决策与执行评估流程，动态优 化ESG管理策略与行动方案。2024年，公司重点围绕以下维度深化利益相关方合作： 利益相关方 期望与诉求 回应与行动 政府及监管机构 依法合规经营 响应国家政策 支持地方发展 减少污染排放 诚信合规经营 助力乡村振兴 带动地方就业 加强环境保护 股东 风险管理 信息透明公开 防范经营风险 保障投资者权益 可持续盈利 加强风险管理 透明信息披露 提升内控...,13 14 分 割 线  ESG治理架构 中国一重构建了系统化、层级分明的可持续治理体系，以三级管理架构驱动ESG战略落地。该体 系涵盖决策层、管理层与执行层： 公司通过专业培训、外部智库支持及常态化沟通机制强化能力建设，确保可持续发展理念全面融 入企业运营。这一治理体系兼顾战略高度与执行深度，为环境责任履行、社会责任践行及治理效 能提升提供了长效保障机制。  利益相关方沟通 中国一重将利益相关方参与作为ESG治理的核心环节，构建...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p54_95,54,1,0.01639344,",907,646 用水强度 吨/万元营收 29.49 40.26 循环用水 50.49 量 吨 68,384,937 66,972,236 81,954,530 循环用水占总用水量的比例 % 97.12 97.50 97.67 废水排放 废水排放量 吨 1,624,018.60 1,372,728.80 1,247,578.4 废水回收利用量 吨 68,384,937 66,972,236 81,594,530 废水回收利用率 % 98.27 97.50 98.12 废水污染物种类排放情况 化学需氧量（COD） 吨 36.08 28.70 28.51 氨氮（NH3-N） 吨 0.34 2.31 2.54 废气排放 废气排放量 万立方米 487,268.91 492,105.62 462,977.353 废气污染物种类排放情况 氮氧化物（NOX） 吨 354.92 286.45 219.6 硫化物（SOX） 吨 10.95 14.55 13.536 颗粒物（PM） 吨 1,358.57 1,069.52 962.705 绩效表 中国一重2024年环境，社会和治理（ESG）报告",",907,646 用水强度 吨/万元营收 29.49 40.26 循环用水 50.49 量 吨 68,384,937 66,972,236 81,954,530 循环用水占总用水量的比例 % 97.12 97.50 97.67 废水排放 废水排放量 吨 1,624,018.60 1,372,728.80 1,247,578.4 废水回收利用量 吨 68,384,937 66,972,236 81,594,530 废水回收利用率 % 9..."
energy_consumption_total,能源消耗总量,E,extracted,234351.1,吨标准煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_17,17,1,,"直接能源消耗总量 吨标准煤 2023年 228,194.96 2024年 234,351.1","直接能源消耗总量 吨标准煤 2023年 228,194.96 2024年 234,351.1"
energy_consumption_intensity,能源消耗强度,E,extracted,0.21,吨标准煤/万元营收,2024,route_a_appendix_table,0.94,auto_cited,,table_page_17,17,1,,能源消耗强度 吨标准煤/万元营收 2023年 0.21 2024年 0.21,能源消耗强度 吨标准煤/万元营收 2023年 0.21 2024年 0.21
natural_gas_consumption,天然气消耗量,E,extracted,12788.37,万立方米,2024,route_a_appendix_table,0.9,auto_cited,,table_page_17,17,1,,"天然气 万立方米 2023年 12,687.31 2024年 12,788.37","天然气 万立方米 2023年 12,687.31 2024年 12,788.37"
electricity_consumption,用电量,E,extracted,519704861,千瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_17,17,1,,"外购电力总量 千瓦时 2023年 532,738,005 2024年 519,704,861","外购电力总量 千瓦时 2023年 532,738,005 2024年 519,704,861"
water_consumption,用水量,E,extracted,996700,吨,2024,route_a_appendix_table,0.93,auto_cited,,table_page_18,18,1,,"地表水取水量 吨 2023年 1,130,052 2024年 996,700","地表水取水量 吨 2023年 1,130,052 2024年 996,700"
wastewater_discharge,废水排放量,E,extracted,1247578.4,吨,2024,route_a_appendix_table,0.9500000000000001,auto_cited,,table_page_19,19,1,,"废水排放量 吨 1,372,728.80 1,247,578.4","废水排放量 吨 1,372,728.80 1,247,578.4"
