level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,54.5976,C,53,30,,,28,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,34.4077,C,21,8,0.381,0.381,13,8,,,
pillar,G,G,G,52.8767,C,13,7,0.5385,0.5385,6,7,,,
pillar,S,S,S,76.2625,BB,19,15,0.7895,0.7368,5,14,,,
theme,business_ethics,商业道德,G,63.8786,CC,6,4,0.6667,0.6667,2,4,,business_ethics,商业道德
theme,climate_change,气候变化,E,30.869,C,11,4,0.3636,0.3636,7,4,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,56.7714,C,3,2,0.6667,0.6667,1,2,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,18.0909,C,5,1,0.2,0.2,4,1,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,35.2143,C,6,2,0.3333,0.3333,4,2,,governance_structure,治理结构
theme,human_capital,人力资本,S,76.6844,BB,15,12,0.8,0.7333,4,11,,human_capital,人力资本
theme,resource_utilization,资源利用,E,59.52,C,2,1,0.5,0.5,1,1,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,66.2667,CCC,3,2,0.6667,0.6667,1,2,,social_contribution,社会贡献
theme,supply_chain,供应链,S,99.5,AAA,1,1,1.0,1.0,0,1,,supply_chain,供应链
