field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,45332.89,"45,332.89",公吨,2024,年度温室气体排放量,,0.95,alias_match:温室气体排放量; schema_match_validated,page_52.png,"年度温室气体排放量 公吨 2024年 45,332.89 2023年 /"
scope_1_emissions,范围一温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,extracted,70876.16,"70,876.16",吨标煤,2024,综合能源消耗总量,,0.94,alias_match:能源消耗总量; schema_match_validated,page_52_left.png,"综合能源消耗总量 吨标煤 2024年 70,876.16 2023年 81,798.86"
energy_consumption_intensity,能源消耗强度,E,quantitative,extracted,3.48,3.48,吨标煤/百万元营收,2024,综合能源消耗强度,,0.94,alias_match:能源消耗强度; schema_match_validated,page_52_left.png,综合能源消耗强度 吨标煤/百万元营收 2024年 3.48 2023年 3.58
electricity_consumption,电力消耗量,E,quantitative,extracted,184365.86,"184,365.86",兆瓦时,2024,报告期内电力消耗量,,0.92,alias_match:电力消耗; schema_match_validated,page_52.png,"报告期内电力消耗量 兆瓦时 2024年 184,365.86 2023年 203,178.63"
renewable_energy_consumption,可再生能源使用量,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,extracted,1962659.5,"1,962,659.50",吨,2024,年度循环水总用量,,0.95,llm_match:‘年度循环水总用量’与 field_key ‘recycled_water_volume’ 的中文名‘循环水或回用水量’及别名‘循环水使用量’‘循环用水量’‘循环水量’‘回用水量’等高度一致，单位‘吨’在 unit_examples 中明确列出。; schema_match_validated,page_52.png,"年度循环水总用量 吨 2024年 1,962,659.50 2023年 1,839,806.49"
wastewater_discharge,废水排放量,E,quantitative,extracted,29791.46,"29,791.46",吨,2024,废水排放量,,0.93,alias_match:废水排放量; schema_match_validated,page_52.png,"废水排放量 吨 2024年 29,791.46 2023年 38,205.25"
cod_emissions,化学需氧量排放量,E,quantitative,extracted,0.1,0.10,吨,2024,化学需氧量COD,,0.93,alias_match:化学需氧量; schema_match_validated,page_52.png,化学需氧量COD 吨 2024年 0.10 2023年 3.27
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,extracted,0,0.00,吨,2024,氨氮,,0.9,alias_match:氨氮; schema_match_validated,page_52.png,氨氮 吨 2024年 0.00 2023年 0.00
so2_emissions,二氧化硫排放量,E,quantitative,extracted,161.96,161.96,吨,2024,其中：二氧化硫SO2排放总量,,0.91,alias_match:氧化硫; schema_match_validated,page_52.png,其中：二氧化硫SO2排放总量 吨 2024年 161.96 2023年 80.23
nox_emissions,氮氧化物排放量,E,quantitative,extracted,161.96,161.96,吨,2024,其中：氮氧化物（NOX）排放总量,,0.92,alias_match:氮氧化物; schema_match_validated,page_52_left.png,其中：氮氧化物（NOX）排放总量 吨 2024年 161.96 2023年 90.23
particulate_matter_emissions,颗粒物排放量,E,quantitative,extracted,18.78,18.78,吨,2024,其中：工业颗粒物排放量,,0.94,alias_match:颗粒物排放量; schema_match_validated,page_52.png,其中：工业颗粒物排放量 吨 2024年 18.78 2023年 62.24
hazardous_waste,危险废弃物产生或排放量,E,quantitative,extracted,0,0.00,吨,2024,有有害废弃物产生量,,0.93,heuristic_hazardous_waste; schema_match_validated,page_52.png,有有害废弃物产生量 吨 2024年 0.00 2023年 0.00
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,extracted,269498.49,"269,498.49",吨,2024,无害废弃物循环利用量,,0.93,heuristic_non_hazardous_waste; schema_match_validated,page_52_right.png,"无害废弃物循环利用量 吨 2024年 269,498.49 2023年 129,045.21"
total_waste,废弃物总量,E,quantitative,missing,,,,,,,0.0,,,
waste_recycling_rate,废弃物回收利用率,E,quantitative,missing,,,,,,,0.0,,,
environmental_investment,环保投入金额,E,quantitative,extracted,2348.33,"2,348.33",万元人民币,2024,本年度公司环保总投入,,0.93,alias_match:环保总投入; schema_match_validated,page_52.png,"本年度公司环保总投入 万元人民币 2024年 2,348.33 2023年 2,263.54"
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,missing,,,,,,,0.0,,,
total_employees,员工总数,S,quantitative,extracted,309,309,人,2024,新招聘员工总数,,0.93,heuristic_total_employees; schema_match_validated,page_52_right.png,新招聘员工总数 人 2024年 309 2023年 367
male_employees,男性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employees,女性员工人数,S,quantitative,missing,,,,,,,0.0,,,
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
female_management_ratio,女性管理层比例,S,quantitative,missing,,,,,,,0.0,,,
minority_employees,少数民族员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_under_30,30岁以下员工人数,S,quantitative,extracted,2783,"2,783",人,2024,其中：30岁以下,,0.93,alias_match:30岁以下; schema_match_validated,page_52.png,"其中：30岁以下 人 2024年 2,783 2023年 2,931"
employees_30_to_50,30至50岁员工人数,S,quantitative,extracted,2783,"2,783",人,2024,30至50岁,,0.95,llm_match:指标名称'30至50岁'与field_key 'employees_30_to_50'的aliases完全匹配，单位'人'符合unit_examples，且属于S类人口结构指标。; schema_match_validated,page_52_right.png,"30至50岁 人 2024年 2,783 2023年 2,981"
employees_over_50,50岁以上员工人数,S,quantitative,extracted,587,587,人,2024,其中：50岁以上,,0.95,llm_match:指标名称'其中：50岁以上'明确指向50岁以上员工人数，与Core ESG Schema中field_key 'employees_over_50'的aliases（如'50岁以上员工人数'、'50岁及以上'）完全语义匹配，单位'人'一致，且属于S类社会维度标准指标。; schema_match_validated,page_52.png,其中：50岁以上 人 2024年 587 2023年 588
employee_turnover_rate,员工流失率,S,quantitative,missing,,,,,,,0.0,,,
training_total_hours,员工培训总时长,S,quantitative,extracted,48910,"48,910.00",小时,2024,培训总小时数,,0.94,alias_match:培训总小时数; schema_match_validated,page_53.png,"培训总小时数 小时 2024年 48,910.00 2023年 50,348.00"
training_hours_per_employee,人均培训时长,S,quantitative,extracted,9.74,9.74,小时/人,2024,人均培训小时数,,0.95,alias_match:人均培训小时数; schema_match_validated,page_53.png,人均培训小时数 小时/人 2024年 9.74 2023年 9.48
training_coverage_rate,员工培训覆盖率,S,quantitative,extracted,100,100,%,2024,年度举办和组织参加的廉洁教育培训覆盖率,,0.93,alias_match:培训覆盖率; schema_match_validated,page_53.png,年度举办和组织参加的廉洁教育培训覆盖率 % 2024年 100 2023年 100
training_expense,培训投入金额,S,quantitative,missing,,,,,,,0.0,,,
trained_employees_count,受训员工人数或人次,S,quantitative,missing,,,,,,,0.0,,,
work_injury_rate,工伤率,S,quantitative,missing,,,,,,,0.0,,,
work_related_fatalities,因工死亡人数,S,quantitative,extracted,0,0,人,2024,员工非因工死亡人数,,0.94,alias_match:因工死亡人数; schema_match_validated,page_53.png,员工非因工死亡人数 人 2024年 0 2023年 0
lost_workdays_due_to_injury,因工伤损失工作日数,S,quantitative,extracted,0,0,天,2024,因工伤损失工作日数,,0.96,alias_match:因工伤损失工作日数; schema_match_validated,page_53_left.png,因工伤损失工作日数 天 0 64
social_insurance_coverage_rate,社会保险覆盖率,S,quantitative,missing,,,,,,,0.0,,,
employee_health_record_coverage_rate,员工健康档案或体检覆盖率,S,quantitative,missing,,,,,,,0.0,,,
r_and_d_investment,研发投入金额,S,quantitative,extracted,51380.43,"51,380.43",万元人民币,2024,研发投入,,0.92,alias_match:研发投入; schema_match_validated,page_52.png,"研发投入 万元人民币 2024年 51,380.43 2023年 61,853.25"
r_and_d_employees,研发人员数量,S,quantitative,extracted,1024,"1,024",人,2024,研发人员数量,,0.94,alias_match:研发人员数量; schema_match_validated,page_52.png,"研发人员数量 人 2024年 1,024 2023年 1,078"
authorized_patents_new,当年新增授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
authorized_patents_total,累计授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
customer_complaints,客户投诉数量,S,quantitative,missing,,,,,,,0.0,,,
board_size,董事会人数,G,quantitative,missing,,,,,,,0.0,,,
independent_directors,独立董事人数,G,quantitative,missing,,,,,,,0.0,,,
independent_director_ratio,独立董事比例,G,quantitative,missing,,,,,,,0.0,,,
female_directors,女性董事人数,G,quantitative,missing,,,,,,,0.0,,,
board_meetings,董事会会议次数,G,quantitative,missing,,,,,,,0.0,,,
shareholder_meetings,股东大会会议次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,extracted,303,303,次,2024,年度举办和组织参加的反腐败培训次数,,0.92,heuristic_anti_corruption_training_sessions; schema_match_validated,page_53.png,年度举办和组织参加的反腐败培训次数 次 2024年 303 2023年 400
