field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
wastewater_discharge,废水排放量,E,False,,,,,,,,[],0.0,industry_not_applicable_skipped,False,industry_not_applicable_skipped,0.0,finance,not_applicable,[],B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,,,,,,,,[],0.0,industry_not_applicable_skipped,False,industry_not_applicable_skipped,0.0,finance,not_applicable,[],B2_quant_text_rag
hazardous_waste,危险废弃物产生量,E,False,,,,,,,,[],0.0,industry_not_applicable_skipped,False,industry_not_applicable_skipped,0.0,finance,not_applicable,[],B2_quant_text_rag
lost_work_days_due_to_injury,因工伤损失工作日数,S,False,,,,,,,,[],0.0,industry_not_applicable_skipped,False,industry_not_applicable_skipped,0.0,finance,not_applicable,[],B2_quant_text_rag
trained_employees_count,受训员工人数,S,False,4907,"4,907",人,人,无需转换,2024,"反洗钱培训覆盖人次（人）
4,907
4,097
3,649",[30],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,82.3969,finance,core,"[{""chunk_id"": ""p30_50"", ""page_number"": 30, ""retrieval_score"": 43, ""bm25_score"": 10.3976, ""vector_score"": 0.194784, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""人数"", ""培训"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 79}, {""chunk_id"": ""p30_51"", ""page_number"": 30, ""retrieval_score"": 42, ""bm25_score"": 6.6825, ""vector_score"": 0.158418, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 48}, {""chunk_id"": ""p23_37"", ""page_number"": 23, ""retrieval_score"": 40, ""bm25_score"": 7.599, ""vector_score"": 0.219843, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""参与""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p19_29"", ""page_number"": 19, ""retrieval_score"": 36, ""bm25_score"": 3.1091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""累计""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p21_34"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 5.6687, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 14}]",B2_quant_text_rag
female_employees,女性员工人数,S,False,,,,,,,,[],0.0,matched_without_value,False,matched_without_value,81.1702,finance,core,"[{""chunk_id"": ""p23_37"", ""page_number"": 23, ""retrieval_score"": 40, ""bm25_score"": 12.9581, ""vector_score"": 0.200274, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人"", ""女员"", ""女员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p25_41"", ""page_number"": 25, ""retrieval_score"": 39, ""bm25_score"": 5.0099, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p21_34"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 3.4331, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p23_38"", ""page_number"": 23, ""retrieval_score"": 32, ""bm25_score"": 12.3967, ""vector_score"": 0.308511, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""女员"", ""女员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 2}, {""chunk_id"": ""p22_35"", ""page_number"": 22, ""retrieval_score"": 27, ""bm25_score"": 1.8738, ""vector_score"": 0.275816, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 3}]",B2_quant_text_rag
r_and_d_expense,研发投入金额,S,False,,,,,,,,[],0.0,没有找到字段名或同义词（研发投入金额、研发投入、研发费用、研发支出）与明确数值和年份的对应证据；虽提及绿色金融、贷款、员工培训等，但无任何研发支出相关数据，且存在‘研发人员’等禁用词干扰但未出现，仍因无任何相关数值而无法匹配,False,没有找到字段名或同义词（研发投入金额、研发投入、研发费用、研发支出）与明确数值和年份的对应证据；虽提及绿色金融、贷款、员工培训等，但无任何研发支出相关数据，且存在‘研发人员’等禁用词干扰但未出现，仍因无任何相关数值而无法匹配,80.265,finance,core,"[{""chunk_id"": ""p10_12"", ""page_number"": 10, ""retrieval_score"": 42, ""bm25_score"": 5.0932, ""vector_score"": 0.151922, ""hit_keywords"": [], ""hit_query_terms"": [""研发"", ""投入""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p30_51"", ""page_number"": 30, ""retrieval_score"": 36, ""bm25_score"": 3.1091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额""], ""hit_units"": [""元""], ""hit_forbidden"": [], ""number_count"": 48}, {""chunk_id"": ""p5_3"", ""page_number"": 5, ""retrieval_score"": 35, ""bm25_score"": 2.3206, ""vector_score"": 0.163248, ""hit_keywords"": [], ""hit_query_terms"": [""研发""], ""hit_units"": [""元""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p4_2"", ""page_number"": 4, ""retrieval_score"": 33, ""bm25_score"": 3.1091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 26}, {""chunk_id"": ""p22_35"", ""page_number"": 22, ""retrieval_score"": 29, ""bm25_score"": 3.6199, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""费用""], ""hit_units"": [""元""], ""hit_forbidden"": [], ""number_count"": 3}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,449000,44.9 万元,万元,元,万元转元，乘以10000,2024,2024 年，累计捐赠资金和物资共44.9 万元，用于教育、救灾等多个领域。,[24],0.0,b2_validation_failed:required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,False,required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,79.9125,finance,core,"[{""chunk_id"": ""p10_12"", ""page_number"": 10, ""retrieval_score"": 42, ""bm25_score"": 3.0966, ""vector_score"": 0.145625, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p24_39"", ""page_number"": 24, ""retrieval_score"": 40, ""bm25_score"": 15.5441, ""vector_score"": 0.108005, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""社会"", ""会公"", ""社会公"", ""会公益"", ""捐赠""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p30_51"", ""page_number"": 30, ""retrieval_score"": 36, ""bm25_score"": 3.4331, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额"", ""社会""], ""hit_units"": [""元""], ""hit_forbidden"": [], ""number_count"": 48}, {""chunk_id"": ""p4_2"", ""page_number"": 4, ""retrieval_score"": 33, ""bm25_score"": 3.6183, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""金额"", ""社会""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 26}, {""chunk_id"": ""p3_1"", ""page_number"": 3, ""retrieval_score"": 28, ""bm25_score"": 3.0305, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""社会""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 32}]",B2_quant_text_rag
male_employees,男性员工人数,S,False,1826,"3,284人",人,人,无需转换,2024,"截至2024 年末，公司员工3,284 人",[6],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,78.2022,finance,core,"[{""chunk_id"": ""p23_37"", ""page_number"": 23, ""retrieval_score"": 39, ""bm25_score"": 4.4081, ""vector_score"": 0.165986, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p25_41"", ""page_number"": 25, ""retrieval_score"": 39, ""bm25_score"": 5.0099, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p21_34"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 3.4331, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p6_5"", ""page_number"": 6, ""retrieval_score"": 26, ""bm25_score"": 0.9118, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 29}, {""chunk_id"": ""p22_35"", ""page_number"": 22, ""retrieval_score"": 26, ""bm25_score"": 1.8738, ""vector_score"": 0.210109, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 3}]",B2_quant_text_rag
r_and_d_personnel_count,研发人员数量,S,False,,,,,,,,[],0.0,没有找到字段名或同义词（研发人员数量/人数等）与明确数值、年份对应的语句；所有证据均涉及社会活动、金融宣传、员工文体、支付服务或公司治理，无任何研发人员相关数据,False,没有找到字段名或同义词（研发人员数量/人数等）与明确数值、年份对应的语句；所有证据均涉及社会活动、金融宣传、员工文体、支付服务或公司治理，无任何研发人员相关数据,77.0723,finance,core,"[{""chunk_id"": ""p25_41"", ""page_number"": 25, ""retrieval_score"": 39, ""bm25_score"": 6.7839, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""人员"", ""员工"", ""工人""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p23_37"", ""page_number"": 23, ""retrieval_score"": 38, ""bm25_score"": 4.4081, ""vector_score"": 0.088397, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p21_34"", ""page_number"": 21, ""retrieval_score"": 36, ""bm25_score"": 3.4331, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""工人""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p20_31"", ""page_number"": 20, ""retrieval_score"": 35, ""bm25_score"": 2.7878, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""人员""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p27_45"", ""page_number"": 27, ""retrieval_score"": 35, ""bm25_score"": 1.7741, ""vector_score"": 0.153613, ""hit_keywords"": [], ""hit_query_terms"": [""人员""], ""hit_units"": [""人"", ""名""], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
