applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.94,温室气体排放总量 吨二氧化碳当量 2024年 1751.5,total_ghg_emissions,温室气体排放总量,quantitative,manufacturing,route_a_selected,,page_38.png,1751.5,0.94,heuristic_total_ghg_unit_pivot; schema_match_validated,extracted,,,,,,,,,,,,,,,,温室气体排放总量,page_38.png,route_a_appendix_table,extracted,2024年温室气体排放情况,,吨二氧化碳当量,1751.5,number,2024
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,直接温室气体排放量（范围一） 吨二氧化碳当量 2024年 460.2,scope_1_emissions,范围一温室气体排放量,quantitative,manufacturing,route_a_selected,,page_38.png,460.2,0.96,heuristic_scope_1; schema_match_validated,extracted,,,,,,,,,,,,,,,,直接温室气体排放量（范围一）,page_38.png,route_a_appendix_table,extracted,2024年温室气体排放情况,,吨二氧化碳当量,460.2,number,2024
core,E,0.96,间接温室气体排放量（范围二） 吨二氧化碳当量 2024年 1291.3,scope_2_emissions,范围二温室气体排放量,quantitative,manufacturing,route_a_selected,,page_38.png,1291.3,0.96,heuristic_scope_2; schema_match_validated,extracted,,,,,,,,,,,,,,,,间接温室气体排放量（范围二）,page_38.png,route_a_appendix_table,extracted,2024年温室气体排放情况,,吨二氧化碳当量,1291.3,number,2024
core,E,0.96,能源消耗总量 吨标准煤 320.37,energy_consumption_total,能源消耗总量,quantitative,manufacturing,route_a_selected,,page_36.png,320.37,0.96,normalized_alias_match:能源消耗总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,能源消耗总量,page_36.png,route_a_appendix_table,extracted,2024年公司能源消耗情况,,吨标准煤,320.37,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
optional,E,0.0,,natural_gas_consumption,天然气消耗量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.92,"电力消耗量 度（千瓦时） 1,817,405",electricity_consumption,用电量,quantitative,manufacturing,route_a_selected,,page_36.png,"1,817,405",0.92,heuristic_electricity_total_alias; schema_match_validated,extracted,,,,,,,,,,,,,,,,电力消耗量,page_36.png,route_a_appendix_table,extracted,2024年公司能源消耗情况,,度（千瓦时）,1817405,number,2024
core,E,0.0,,water_consumption,用水量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,wastewater_discharge,废水排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,air_pollutant_emissions,废气或大气污染物排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.93,一般废弃物产生量 吨 2024年 50,non_hazardous_waste,一般废弃物产生量,quantitative,manufacturing,route_a_selected,,page_38.png,50,0.93,heuristic_non_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,一般废弃物产生量,page_38.png,route_a_appendix_table,extracted,废弃物管理-2024年,,吨,50,number,2024
core,E,0.93,危险废弃物产生量 吨 2024年 13.86,hazardous_waste,危险废弃物产生量,quantitative,manufacturing,route_a_selected,,page_38.png,13.86,0.93,heuristic_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,危险废弃物产生量,page_38.png,route_a_appendix_table,extracted,废弃物管理-2024年,,吨,13.86,number,2024
core,E,0.92,生态环保保护目标 全年生态环境保护投入 万元 2024年 34.55,environmental_investment,环保投入金额,quantitative,manufacturing,route_a_selected,,page_34.png,34.55,0.92,heuristic_environmental_investment; schema_match_validated,extracted,,,,,,,,,,,,,,,,全年生态环境保护投入,page_34.png,route_a_appendix_table,extracted,关键绩效表,生态环保保护目标,万元,34.55,number,2024
core,E,0.0,,environmental_penalty_count,环境违规或处罚事件数量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,S,0.93,员工雇佣 员工总数(人) 551,total_employees,员工总数,quantitative,manufacturing,route_a_selected,,page_40.png,551,0.93,heuristic_total_employees; schema_match_validated,extracted,,,,,,,,,,,,,,,,员工总数(人),page_40.png,route_a_appendix_table,extracted,S1: 员工权益,员工雇佣,人,551,number,2024
core,S,0.92,职业发展 接受考核的男性员工人数(人) 390,male_employees,男性员工人数,quantitative,manufacturing,route_a_selected,,page_40.png,390,0.92,heuristic_male_employees; schema_match_validated,extracted,,,,,,,,,,,,,,,,接受考核的男性员工人数(人),page_40.png,route_a_appendix_table,extracted,S2: 人才发展,职业发展,人,390,number,2024
