field_key,field_name_cn,category,indicator_type,value_type,status,value,raw_value,unit,year,source_route,confidence,evidence,source_pages,row_label,topic,table_title,page_image,route_a_status,route_a_confidence,route_a_reason,route_b_matched,route_b_confidence,route_b_summary,route_b_evidence,route_b_source_pages,route_b_reason
total_ghg_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
scope_1_emissions,,E,quantitative,,extracted,15.75,15.75,吨二氧化碳当量,2024,route_a_appendix_table,0.96,直接温室气体排放总量（范围一） 吨二氧化碳当量 2024 年数值 15.75,page_37.png,直接温室气体排放总量（范围一）,,,page_37.png,extracted,0.96,heuristic_scope_1; schema_match_validated,,,,,,
scope_2_emissions,,E,quantitative,,extracted,627.2,627.20,吨二氧化碳当量,2024,route_a_appendix_table,0.96,间接温室气体排放总量（范围二） 吨二氧化碳当量 2024 年数值 627.20,page_37.png,间接温室气体排放总量（范围二）,,,page_37.png,extracted,0.96,heuristic_scope_2; schema_match_validated,,,,,,
scope_3_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ghg_emissions_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
energy_consumption_total,,E,quantitative,,extracted,100051,"100,051.00",吨标煤,2024,route_a_appendix_table,0.94,"环境绩效 综合能源消耗总量 吨标煤 2024年 100,051.00",page_39.png,综合能源消耗总量,环境绩效,,page_39.png,extracted,0.94,alias_match:能源消耗总量; schema_match_validated,,,,,,
energy_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
electricity_consumption,,E,quantitative,,extracted,1390069,"1,390,069",千瓦时,2024,route_a_appendix_table,0.92,"营业办公耗用电量 千瓦时 2024 年数值 1,390,069",page_37.png,营业办公耗用电量,,,page_37.png,extracted,0.92,heuristic_electricity; schema_match_validated,,,,,,
renewable_energy_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
natural_gas_consumption,,E,quantitative,,extracted,0.002162,0.002162,立方米,2024,route_a_appendix_table,0.95,3 燃气 / 天然气 立方米 0.002162 【吨二氧化碳】/（立方米） 国家发展改革委相关行业温室气体核算方法与报告指南,page_40.png,燃气 / 天然气,,,page_40.png,extracted,0.95,llm_match:指标名称'燃气 / 天然气'与别名'天然气消耗量、天然气使用量、天然气用量'高度一致，单位'立方米'在natural_gas_consumption的unit_examples中明确列出。; schema_match_validated,,,,,,
coal_consumption,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
water_consumption,,E,quantitative,,extracted,4114,"4,114",吨,2024,route_a_appendix_table,0.92,"营业办公耗水 吨 2024年 4,114",page_37_right.png,营业办公耗水,,,page_37_right.png,extracted,0.92,heuristic_water; schema_match_validated,,,,,,
water_consumption_intensity,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
recycled_water_volume,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
wastewater_discharge,,E,quantitative,,extracted,100,100.00,万吨,2024,route_a_appendix_table,0.93,环境绩效 废水排放量 万吨 2024年 100.00,page_39.png,废水排放量,环境绩效,,page_39.png,extracted,0.93,alias_match:废水排放量; schema_match_validated,,,,,,
cod_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
ammonia_nitrogen_emissions,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
so2_emissions,,E,quantitative,,extracted,9.84,9.84,吨/年,2024,route_a_appendix_table,0.91,二氧化硫削减量 吨/年 2024年 9.84,page_37_right.png,二氧化硫削减量,,,page_37_right.png,extracted,0.91,alias_match:氧化硫; schema_match_validated,,,,,,
nox_emissions,,E,quantitative,,extracted,15.46,15.46,吨/年,2024,route_a_appendix_table,0.92,氮氧化物减排量 吨/年 2024 年数值 15.46,page_37.png,氮氧化物减排量,,,page_37.png,extracted,0.92,alias_match:氮氧化物; schema_match_validated,,,,,,
particulate_matter_emissions,,E,quantitative,,extracted,1.67,1.67,吨/年,2024,route_a_appendix_table,0.9,烟尘减排量 吨/年 2024 年数值 1.67,page_37.png,烟尘减排量,,,page_37.png,extracted,0.9,alias_match:烟尘; schema_match_validated,,,,,,
hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
non_hazardous_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_waste,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
waste_recycling_rate,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
environmental_investment,,E,quantitative,,extracted,10000,"10,000.00",万元,2024,route_a_appendix_table,0.92,"环境绩效 环保投资总额 万元 2024年 10,000.00",page_39.png,环保投资总额,环境绩效,,page_39.png,extracted,0.92,heuristic_environmental_investment; schema_match_validated,,,,,,
environmental_violation_cases,,E,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
total_employees,,S,quantitative,,extracted,3496,"3,496",名,2024,route_a_appendix_table,0.93,"截至2024年末非共有员工 3,496 名",page_30_left.png,截至2024年末非共有员工总数,员工雇佣,,page_30_left.png,extracted,0.93,heuristic_total_employees; schema_match_validated,,,,,,
male_employees,,S,quantitative,,extracted,1802,"1,802",人,2024,route_a_appendix_table,0.92,"男性员工 人 2024年 1,802",page_30.png,男性员工,按性别划分,,page_30.png,extracted,0.92,alias_match:男性员工; schema_match_validated,,,,,,
female_employees,,S,quantitative,,extracted,1694,"1,694",人,2024,route_a_appendix_table,0.92,"女性员工 人 2024年 1,694",page_30.png,女性员工,按性别划分,,page_30.png,extracted,0.92,alias_match:女性员工; schema_match_validated,,,,,,
female_employee_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
female_management_ratio,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
minority_employees,,S,quantitative,,extracted,148,148,人,2024,route_a_appendix_table,0.96,按民族划分 少数民族 148 人,page_30_left.png,少数民族员工数量,按民族划分,,page_30_left.png,extracted,0.96,alias_match:少数民族员工数量; schema_match_validated,,,,,,
employees_under_30,,S,quantitative,,extracted,352,352,人,2024,route_a_appendix_table,0.96,30岁及30岁以下 人 2024年 352,page_30.png,30岁及30岁以下,按年龄划分,,page_30.png,extracted,0.96,alias_match:30岁及30岁以下; schema_match_validated,,,,,,
employees_30_to_50,,S,quantitative,,extracted,628,628,人,2024,route_a_appendix_table,0.96,大于30岁且小于50岁 人 2024年 628,page_30.png,大于30岁且小于50岁,按年龄划分,,page_30.png,extracted,0.96,alias_match:大于30岁且小于50岁; schema_match_validated,,,,,,
employees_over_50,,S,quantitative,,extracted,352,352,人,2024,route_a_appendix_table,0.96,按年龄划分的员工人数 50岁及50岁以上 人 2024年 352,page_38_left.png,50岁及50岁以上,,,page_38_left.png,extracted,0.96,alias_match:50岁及50岁以上; schema_match_validated,,,,,,
employee_turnover_rate,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
training_total_hours,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
training_hours_per_employee,,S,quantitative,,extracted,4.3,4.30,小时,2024,route_a_appendix_table,0.9,员工 员工平均培训时数 小时 2024年 4.30,page_31.png,员工平均培训时数,员工,,page_31.png,extracted,0.9,heuristic_training_hours_per_employee; schema_match_validated,,,,,,
training_coverage_rate,,S,quantitative,,extracted,90,90.00,%,2024,route_a_appendix_table,0.93,环境绩效 环保培训覆盖率 % 2024年 90.00,page_39.png,环保培训覆盖率,环境绩效,,page_39.png,extracted,0.93,alias_match:培训覆盖率; schema_match_validated,,,,,,
training_expense,,S,quantitative,,extracted,121,121,万元,2024,route_a_appendix_table,0.95,员工培训 培训支出 万元 2024年 121,page_31_left.png,培训支出,员工培训,,page_31_left.png,extracted,0.95,llm_match:培训支出与 training_expense 的别名 '培训费用'、'培训支出费用' 等语义一致，单位 '万元' 符合 unit_examples，且属于 S 类社会维度指标。; schema_match_validated,,,,,,
trained_employees_count,,S,quantitative,,extracted,4.3,4.30,万人次,2024,route_a_appendix_table,0.93,培训总人次 万人次 2024年 4.30,page_38.png,培训总人次,,,page_38.png,extracted,0.93,alias_match:培训总人次; schema_match_validated,,,,,,
work_injury_rate,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
work_related_fatalities,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
lost_workdays_due_to_injury,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
social_insurance_coverage_rate,,S,quantitative,,extracted,100,100,%,2024,route_a_appendix_table,0.95,社会保险覆盖率 % 2024年 100,page_30_right.png,社会保险覆盖率,,,page_30_right.png,extracted,0.95,alias_match:社会保险覆盖率; schema_match_validated,,,,,,
employee_health_record_coverage_rate,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
r_and_d_investment,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
r_and_d_employees,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
authorized_patents_new,,S,quantitative,,extracted,3,3,件,2024,route_a_appendix_table,0.88,获得科技发明专利授权证书 件 2024 年数值 3,page_37.png,获得科技发明专利授权证书,,,page_37.png,extracted,0.88,heuristic_authorized_patents_new; schema_match_validated,,,,,,
authorized_patents_total,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
customer_complaints,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
board_size,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
independent_directors,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
independent_director_ratio,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
female_directors,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
board_meetings,,G,quantitative,,extracted,11,11,次,2024,route_a_appendix_table,0.95,董事会会议召开次数 次 2024 年数值 11,page_37.png,董事会会议召开次数,,,page_37.png,extracted,0.95,heuristic_board_meetings; schema_match_validated,,,,,,
shareholder_meetings,,G,quantitative,,extracted,2,2,次,2024,route_a_appendix_table,0.95,股东大会会议召开次数 次 2024 年数值 2,page_37.png,股东大会会议召开次数,,,page_37.png,extracted,0.95,heuristic_shareholder_meetings; schema_match_validated,,,,,,
anti_corruption_training_sessions,,G,quantitative,,extracted,480,480,次,2024,route_a_appendix_table,0.92,员工反腐败培训次数 次 2024 年数值 480,page_37.png,员工反腐败培训次数,,,page_37.png,extracted,0.92,heuristic_anti_corruption_training_sessions; schema_match_validated,,,,,,
anti_corruption_training_participants,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
anti_corruption_training_hours,,G,quantitative,,extracted,480,480,小时,2024,route_a_appendix_table,0.94,员工反腐败培训时数 小时 2024 年数值 480,page_37.png,员工反腐败培训时数,,,page_37.png,extracted,0.94,heuristic_anti_corruption_training_hours; schema_match_validated,,,,,,
confirmed_corruption_cases,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
whistleblowing_cases,,G,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
patent_applications_new,,S,quantitative,,missing,,,,,missing,0.0,,,,,,,missing,0.0,,,,,,,
