field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
energy_consumption_total,能源消耗总量,E,False,,,,,,,,[],0.0,llm_error:Invalid control character at: line 8 column 1225 (char 1382),,,100.4273,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 46, ""bm25_score"": 7.2143, ""vector_score"": 0.221366, ""hit_keywords"": [], ""hit_query_terms"": [""能源"", ""消耗"", ""总量""], ""hit_units"": [""千瓦时""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p28_55"", ""page_number"": 28, ""retrieval_score"": 33, ""bm25_score"": 3.8573, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""能源"", ""使用""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 33, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p26_52"", ""page_number"": 26, ""retrieval_score"": 32, ""bm25_score"": 2.7972, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""综合""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p32_62"", ""page_number"": 32, ""retrieval_score"": 32, ""bm25_score"": 2.0343, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""综合""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
lost_work_days_due_to_injury,因工伤损失工作日数,S,True,0,0,日,日,无需转换,2024,因工伤损失工作日数 日 0 0 0,[31],0.95,定位到目标字段的精确同义词'因工伤损失工作日数'，有明确年份2024年对应数值0，单位为'日'，符合目标单位，无需转换,True,,97.6907,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 59, ""bm25_score"": 64.82, ""vector_score"": 0.184537, ""hit_keywords"": [""因工伤损失工作日数"", ""工伤损失工作日""], ""hit_query_terms"": [""因工伤损失工作日数"", ""因工"", ""工伤"", ""伤损"", ""损失"", ""失工"", ""工作"", ""作日"", ""日数"", ""因工伤"", ""工伤损"", ""伤损失""], ""hit_units"": [""天"", ""日"", ""小时""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p25_50"", ""page_number"": 25, ""retrieval_score"": 39, ""bm25_score"": 4.3473, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""工作"", ""天数""], ""hit_units"": [""天"", ""日""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p32_62"", ""page_number"": 32, ""retrieval_score"": 27, ""bm25_score"": 1.0892, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""工作""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p9_15"", ""page_number"": 9, ""retrieval_score"": 25, ""bm25_score"": 1.173, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""工作""], ""hit_units"": [""日""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p7_11"", ""page_number"": 7, ""retrieval_score"": 24, ""bm25_score"": 0.9531, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""工作""], ""hit_units"": [""日""], ""hit_forbidden"": [], ""number_count"": 30}]",B2_quant_text_rag
safety_accident_count,安全生产事故数量,S,False,0,0,起,起,无需转换,2024,"安全生产事故数
起
0
0
0",[31],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,95.9472,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 51, ""bm25_score"": 41.2782, ""vector_score"": 0.317117, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""故数"", ""数量"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""事故数""], ""hit_units"": [""起"", ""次""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p15_28"", ""page_number"": 15, ""retrieval_score"": 43, ""bm25_score"": 58.8945, ""vector_score"": 0.446442, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""全事"", ""安全事"", ""全事故""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 7}, {""chunk_id"": ""p15_29"", ""page_number"": 15, ""retrieval_score"": 40, ""bm25_score"": 12.7303, ""vector_score"": 0.246955, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""安全生"", ""全生产""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 12}, {""chunk_id"": ""p15_27"", ""page_number"": 15, ""retrieval_score"": 39, ""bm25_score"": 71.7175, ""vector_score"": 0.497359, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""产事"", ""事故"", ""安全生"", ""全生产"", ""生产事"", ""产事故"", ""全事"", ""安全事"", ""全事故""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 1}, {""chunk_id"": ""p9_16"", ""page_number"": 9, ""retrieval_score"": 34, ""bm25_score"": 1.8337, ""vector_score"": 0.100356, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""生产""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
water_consumption,用水量,E,False,,,,,,,,[],0.0,证据中未出现用水量、取水量、新鲜水用量、总耗水量、市政用水量、市政购水量等目标字段或同义词，虽有电力、天然气、包装材料等数据，但无任何与水消耗直接相关数值，且存在‘献血总量’等易混淆项，无法可靠匹配,False,证据中未出现用水量、取水量、新鲜水用量、总耗水量、市政用水量、市政购水量等目标字段或同义词，虽有电力、天然气、包装材料等数据，但无任何与水消耗直接相关数值，且存在‘献血总量’等易混淆项，无法可靠匹配,90.4508,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 54, ""bm25_score"": 13.7176, ""vector_score"": 0.072539, ""hit_keywords"": [""立方米"", ""吨""], ""hit_query_terms"": [""总量"", ""立方米"", ""立方"", ""方米""], ""hit_units"": [""吨"", ""立方米""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p18_36"", ""page_number"": 18, ""retrieval_score"": 40, ""bm25_score"": 3.2581, ""vector_score"": 0.043086, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""方米""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 33, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p4_4"", ""page_number"": 4, ""retrieval_score"": 31, ""bm25_score"": 3.7689, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""市政""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p29_58"", ""page_number"": 29, ""retrieval_score"": 30, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}]",B2_quant_text_rag
wastewater_discharge,废水排放量,E,False,,,,,,,,[],0.0,没有找到字段名或同义词（废水排放量、污水排放量、废水排放总量）与明确数值、年份一一对应的证据；虽提及废水管理，但无具体排放量数据,False,没有找到字段名或同义词（废水排放量、污水排放量、废水排放总量）与明确数值、年份一一对应的证据；虽提及废水管理，但无具体排放量数据,89.95,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 53, ""bm25_score"": 13.7176, ""vector_score"": 0.0, ""hit_keywords"": [""立方米"", ""吨""], ""hit_query_terms"": [""总量"", ""立方米"", ""立方"", ""方米""], ""hit_units"": [""吨"", ""立方米""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p18_36"", ""page_number"": 18, ""retrieval_score"": 39, ""bm25_score"": 4.9068, ""vector_score"": 0.0, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""方米""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 37, ""bm25_score"": 5.5124, ""vector_score"": 0.097501, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""废水"", ""排放""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 33, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p29_58"", ""page_number"": 29, ""retrieval_score"": 30, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}]",B2_quant_text_rag
environmental_penalty_count,环境违规或处罚事件数量,E,False,,,,,,,,[],0.0,没有找到字段名或同义词（如环境违规、处罚次数等）与明确数值和年份对应的证据，虽有安全生产事故数、供应商违规等数据，但均非环境处罚类指标,False,没有找到字段名或同义词（如环境违规、处罚次数等）与明确数值和年份对应的证据，虽有安全生产事故数、供应商违规等数据，但均非环境处罚类指标,87.3652,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 48, ""bm25_score"": 7.271, ""vector_score"": 0.172757, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""数量"", ""环保""], ""hit_units"": [""次"", ""起""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 39, ""bm25_score"": 2.9852, ""vector_score"": 0.174095, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""环保""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p9_16"", ""page_number"": 9, ""retrieval_score"": 37, ""bm25_score"": 2.6593, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p9_15"", ""page_number"": 9, ""retrieval_score"": 35, ""bm25_score"": 2.3026, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""事件""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p17_33"", ""page_number"": 17, ""retrieval_score"": 33, ""bm25_score"": 5.0067, ""vector_score"": 0.218261, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 3}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,13346100,1334.61万元,万元,元,万元转元，乘以10000,2024,"公益慈善投入
万元
1062.57
1470.88
1334.61",[31],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,86.4906,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 48, ""bm25_score"": 9.1846, ""vector_score"": 0.174528, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""社会"", ""慈善""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 39, ""bm25_score"": 8.6373, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""投入"", ""社会"", ""慈善""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p25_50"", ""page_number"": 25, ""retrieval_score"": 38, ""bm25_score"": 2.7833, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 36, ""bm25_score"": 15.2457, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""社会"", ""会公"", ""社会公"", ""慈善"", ""捐赠""], ""hit_units"": [""元""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p7_10"", ""page_number"": 7, ""retrieval_score"": 33, ""bm25_score"": 3.932, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""社会"", ""会公""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}]",B2_quant_text_rag
employee_medical_checkup_coverage,员工体检覆盖率,S,False,,,,,,,,[],0.0,证据中提及职业健康检测、职业病危害因素评估，但未出现员工体检覆盖率、健康体检覆盖率等目标字段或同义词及其对应数值，无法确认体检覆盖率的具体比例，不符合matched=true的严格条件,False,证据中提及职业健康检测、职业病危害因素评估，但未出现员工体检覆盖率、健康体检覆盖率等目标字段或同义词及其对应数值，无法确认体检覆盖率的具体比例，不符合matched=true的严格条件,83.1644,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 45, ""bm25_score"": 14.8958, ""vector_score"": 0.158221, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""覆盖"", ""盖率"", ""覆盖率"", ""职业""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p25_50"", ""page_number"": 25, ""retrieval_score"": 39, ""bm25_score"": 15.3495, ""vector_score"": 0.141229, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""覆盖"", ""盖率"", ""覆盖率"", ""职业""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p26_52"", ""page_number"": 26, ""retrieval_score"": 35, ""bm25_score"": 19.8028, ""vector_score"": 0.134793, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""健康"", ""职业"", ""业健"", ""职业健"", ""业健康""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p13_22"", ""page_number"": 13, ""retrieval_score"": 33, ""bm25_score"": 4.0051, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""健康"", ""职业""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p15_29"", ""page_number"": 15, ""retrieval_score"": 33, ""bm25_score"": 2.9234, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""覆盖""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 12}]",B2_quant_text_rag
training_total_hours,员工培训总时长,S,False,82432,82432 小时,小时,小时,无需转换,2024,累计开展安全培训82432 小时，参训人员达49676 人次,[15],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,81.3329,pharma,core,"[{""chunk_id"": ""p15_29"", ""page_number"": 15, ""retrieval_score"": 41, ""bm25_score"": 18.6028, ""vector_score"": 0.266645, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""培训"", ""小时"", ""累计"", ""安全"", ""全培"", ""安全培"", ""全培训""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 12}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 40, ""bm25_score"": 26.4272, ""vector_score"": 0.246024, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""培训"", ""时长"", ""小时"", ""训时"", ""培训时"", ""训时长"", ""安全""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p26_52"", ""page_number"": 26, ""retrieval_score"": 36, ""bm25_score"": 4.9059, ""vector_score"": 0.171604, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""培训"", ""安全""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 36, ""bm25_score"": 15.9758, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总时"", ""时长"", ""总时长"", ""小时"", ""累计"", ""安全""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p13_22"", ""page_number"": 13, ""retrieval_score"": 33, ""bm25_score"": 3.1934, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""培训"", ""安全""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
non_hazardous_waste,一般废弃物产生量,E,False,,,,,,,,[],0.0,证据中虽提及‘固体废物’‘废渣’‘废弃物资源化利用’，但未出现目标字段或其同义词（如一般废弃物、无害废弃物等）与明确数值的直接对应；‘废渣’属于中药加工副产物，未量化为‘产生量’，且未明确区分为‘非危险废弃物’，无法排除与危险废弃物混淆可能，不符合matched=true条件,False,证据中虽提及‘固体废物’‘废渣’‘废弃物资源化利用’，但未出现目标字段或其同义词（如一般废弃物、无害废弃物等）与明确数值的直接对应；‘废渣’属于中药加工副产物，未量化为‘产生量’，且未明确区分为‘非危险废弃物’，无法排除与危险废弃物混淆可能，不符合matched=true条件,80.581,pharma,core,"[{""chunk_id"": ""p31_60"", ""page_number"": 31, ""retrieval_score"": 42, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 93}, {""chunk_id"": ""p32_62"", ""page_number"": 32, ""retrieval_score"": 38, ""bm25_score"": 5.7805, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""一般""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 34, ""bm25_score"": 18.7428, ""vector_score"": 0.179048, ""hit_keywords"": [], ""hit_query_terms"": [""废弃"", ""弃物"", ""产生"", ""废弃物"", ""固体"", ""体废"", ""固体废""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p29_57"", ""page_number"": 29, ""retrieval_score"": 33, ""bm25_score"": 2.9216, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p31_61"", ""page_number"": 31, ""retrieval_score"": 33, ""bm25_score"": 7.8103, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""废弃"", ""弃物"", ""废弃物""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 76}]",B2_quant_text_rag
