field_key,field_name_cn,category,matched,value,summary,evidence,source_pages,confidence,reason,route
esg_strategy_targets,ESG战略目标,E,True,True,华海药业将CSR发展目标与战略融入日常经营，并通过三级管理架构推动战略目标的拆解与落地。,"华海药业高度重视CSR 管理工作, 在董事会的领导下, 公司形成了自上而下的社会责任治理体系, 通过决策层、管理层、执行层三级管理架构, 对策略、目标制定以及执行等环节进行严格把控。华海药业将CSR 发展目标与战略融入公司的日常经营发展之中，各职能部门、分子公司均将相关因素融入工作绩效考核指标之中。",[9],0.92,文本明确提及'CSR发展目标与战略'的制定、管理架构及落地机制，且CSR在上下文中与ESG战略目标同义，符合'ESG战略目标'的别名定义。,B_text_rag
climate_risk_management,气候风险识别与管理,E,True,True,华海药业制定了完善的气候变化风险管理策略，分析并评估物理风险与转型风险对公司经营活动的影响。,华海药业积极响应国家“双碳”战略目标，制定了完善的气候变化风险管理策略，分析并评估重大气候变化风险对公司经营活动的影响，包括物理风险与转型风险。其中，物理风险指对实体资产造成影响的风险，转型风险指公司向低碳经济过渡时的相关风险。,[32],0.95,候选文本明确提及公司制定了‘气候变化风险管理策略’，并系统分析了物理风险与转型风险，完全符合‘气候风险识别与管理’指标的定义，且证据为原文完整段落。,B_text_rag
environmental_management_system,环境管理体系,E,True,True,华海药业按照ISO 14001环境管理体系标准建立并落实内部环境管理体系，持续完善EHS管理体系。,华海药业按照ISO 14001 环境管理体系标准，对本公司及附属公司制定环境管理要求并落实监管。截至报告期末，华海药业及附属公司共有5 家通过ISO 14001 认证。,[33],0.95,候选文本明确提及公司依据ISO 14001环境管理体系标准建立和落实环境管理要求，并有具体认证数量支撑，符合目标指标的定义和抽取规则。,B_text_rag
energy_saving_measures,节能减排措施,E,True,True,华海药业通过优化生产工艺、改进技术、实施能源管理体系、开展余热回收、设备替换和管路保温等具体措施推动节能降耗。,公司不断优化能源结构，通过改进生产工艺技术等多种手段，有效减少能源损耗，显著提高能效，从而更好地助力节能减排，构建低成本的生产能耗体系。在节能降耗方面，各分厂不断推进并优化蒸汽冷凝水余热回收利用、管路系统优化保温、高能效设备替换以及设备运行工况优化等工作。,[37],0.95,候选文本明确提及了多项具体的节能降耗措施，如改进生产工艺技术、余热回收、管路保温、设备替换和工况优化，这些均属于‘节能措施’或‘节能降耗’的直接表述，符合目标指标的定义和 aliases。,B_text_rag
water_management_measures,水资源管理措施,E,True,True,公司通过采用节水设备、优化工艺、循环水系统等措施减少水资源使用并提升用水效率。,报告期内，公司通过采用节水设备、优化改进工艺、采用循环水系统等措施以减少水资源的使用量并提升用水效率，不断强化对水资源的科学管理。在生产过程中，公司采取的节水措施包括蒸汽冷凝水的回收再利用以及循环水的多次利用等。,[38],0.95,候选文本明确提及了水资源管理的具体措施，包括节水设备、工艺优化、循环水系统、蒸汽冷凝水回收和循环水多次利用，这些均属于水资源管理措施的直接描述，符合定性指标抽取规则。,B_text_rag
waste_management_measures,废弃物管理措施,E,True,True,华海药业通过制定《废弃物管理程序》《固体废物管理制度》等制度，明确管理举措与处理流程，并实施全过程管理系统，落实固体废弃物减量化、资源化、无害化原则。,公司制定了《废水排放管理制度》《废气排放管理制度》《废弃物管理程序》等制度，通过各类科学、有效的措施，对废气、废水及固体废弃物实行严格的处置与管理，以确保污染物排放符合国家及地方的各项规定与政策要求。,[35],0.95,候选文本明确提及《废弃物管理程序》这一具体管理制度，并在后续段落中进一步说明《固体废物管理制度》及危险废物管理措施，符合‘废弃物管理措施’的定义，且证据为原文完整句子。,B_text_rag
employee_rights_policy,员工权益保障政策,S,True,True,公司建立完善的用工管理制度体系，依法保障员工各项合法权益，维护平等、和谐、包容的工作环境。,华海药业高度重视员工权益保障，始终坚持以人为本，尊重员工，维护和保障员工的各项合法权益，致力于营造平等、和谐、包容、民主的工作环境。公司严格遵守《中华人民共和国劳动法》及当地颁布的相关法律法规，遵循中国政府批准的有关国际公约，以及业务所在地相关法律法规，对员工权利的保护做到依法合规。我们建立了完善的用工管理制度体系，包括《劳动合同管理制度》《作业类/ 非作业类薪酬制度》《员工福利管理制度》《培训管理制度》《绩效管理制度》《员工考勤管理制度》等；我们重视员工的切身利益，最大限度地保障员工和退休人员的各项合法权益，努力形成公司和员工利益共享机制，建立和谐劳动关系。,[42],0.95,候选文本在第42页明确提及'员工权益保障'，并详细描述了相关的制度体系、法律遵循和保障措施，完全符合目标指标的定义和抽取规则。,B_text_rag
occupational_health_safety_system,职业健康安全管理体系,S,True,True,华海药业基于安全生产标准化管理体系，建立职业健康安全管理体系，并制定和执行多项相关制度以保障员工健康与安全。,华海药业基于安全生产标准化管理体系，建立职业健康安全管理体系，制定并严格执行安全规章制度，充分明确管理原则和方法，主要文件及制度包括《环境与职业健康安全管理体系范围》《环境与职业健康安全管理体系》《领导干部带班值班管理规定》《环境与职业健康安全方针》《安全生产责任制管理制度》《环保管理责任制》《安全生产奖惩管理规定》以及《员工协商与参与》等制度，确保员工在生产工作过程中享有充分的安全健康保障。,[51],0.95,候选文本明确提及'建立职业健康安全管理体系'，并列出多项配套制度，完全符合目标指标的定义和 aliases 范围，且证据为原文完整段落。,B_text_rag
employee_training_development,员工培训与发展机制,S,True,True,公司建立了系统化、全方位、多维度的培训体系，涵盖管理干部、专业技术、新员工等多个层面，支持员工职业发展。,"华海药业将员工的成长与发展视为企业进步的基石，把创建学习型组织，营造全员学习的氛围，作为公司长期发展战略的重要组成部分。公司设立了华海干部培训中心，在“战略牵引、业务驱动、绩效导向”的指引下，着力搭建“人才梯队、专业技术、关键人员”三大领域培训架构，通过系统化、全方位、多维度的培训模式，为各层级人员提供清晰可视的人才发展体系。

公司针对不同层级管理干部，设立了专项培养项目

除了干部系列培训外，我们的培训体系还涵盖了基于专业能力提升的研发、生产、销售、职能等培训，如设立国际销售中心业务总监后备班，聚焦以促进销售业绩结果达成为目标，提高国际销售业务骨干销售思维和销售技能等综合能力，为公司业务裂变式发展提供人才保障。此外，我们还开展了基于安全、健康、环境的EHS培训以及新员工的岗位培训，全方位支撑业务的发展。

2024年，公司共组织实施了1530场公司级/厂级培训，年度培训费用支出378万元。各部门级及岗位级培训有序开展，员工培训覆盖率达100%，员工年平均接受培训105课时。培训内容涵盖领导力、专业技能培训、合规培训、公司规章制度/操作规程、新员工入职培训等。",[43],0.95,候选文本明确描述了公司建立的培训体系架构、培训类别、覆盖范围、实施频次和内容，涵盖管理干部、专业技术、新员工等多维度发展机制，完全符合'员工培训与发展机制'的定义，且有完整原文支持。,B_text_rag
diversity_equal_opportunity,多元化与平等雇佣政策,S,True,True,华海药业明确实施平等雇佣原则，禁止基于性别、种族、宗教信仰等多因素的歧视，并积极构建多元化人才队伍。,"华海药业严格遵守《中华人民共和国劳动法》《中华人民共和国劳动合同法》等法律法规，贯彻平等雇佣原则和合法用工，科学和规范地进行公开、公平、公正的招聘活动。我们根据岗位要求审查其专业能力，依据应聘人员的技能高低决定是否录用，而不因性别、种族、宗教信仰、年龄、残疾、性取向、国籍、政治观点、社会地位、社会或种族背景等因素而区别对待。

华海药业践行“德为基、能为本、勤为先”的用人理念，以多元化人才结构赋能企业高质量发展，持续构建多层次、多元化的人才队伍，推进人才转型升级。公司大力引进培育人才，珍惜爱护人才，充分信任人才，放手使用人才，不断引进海内外优秀人才和少数民族员工，打造了一支涵盖不同专业背景、技能特长、文化素养的高素质人才队伍。",[41],0.95,候选文本在第41页明确提及“平等雇佣原则”和“不因性别、种族、宗教信仰等因素区别对待”，符合“平等雇佣”和“反歧视”等别名；同时明确描述“多元化人才结构”“引进海内外优秀人才和少数民族员工”等多元化雇佣措施，直接覆盖目标指标的全部核心含义，且无任何推测或常识补全。,B_text_rag
supplier_esg_assessment,供应商ESG管理机制,S,False,,,,[],0.0,候选文本未明确提及供应商ESG管理机制、政策、目标或措施，仅提及公司内部风险管理架构，未涉及供应商评估、责任采购或相关供应链ESG管理内容。,B_text_rag
data_security_privacy,数据安全与隐私保护机制,S,True,True,华海药业通过遵守法律法规、完善网络安全管理机制、开展员工培训、加强数据防泄漏技术建设及定期审计，保障数据安全与客户隐私保护。,华海药业高度重视客户隐私保护，严格遵守《中华人民共和国网络安全法》《中华人民共和国数据安全法》等法律法规，不断完善网络安全管理机制和技术保障体系。公司还通过多种形式定期对员工进行信息安全知识培训，以强化个人隐私和商业秘密的保护。同时，公司致力于加强数据防泄漏技术建设，确保核心数据不外泄，从而为客户提供更优质、安心的产品和服务。为保护数据安全，公司不断优化信息系统，密切监测潜在的信息安全风险，快速识别并有效应对潜在的安全事件和数据泄露，以确保各类数据的安全传输，全力维护客户以及合作伙伴的信息及数据安全。公司建立了完善的网络安全政策体系，不断升级网络安全技术和网络安全基础设施，以确保公司网络安全体系的韧性及稳健性。基于法律法规及ISO/IEC 27001 信息安全管理体系认证等国际标准，我们制定了一系列保障网络安全的政策及规章制度，为网络安全工作奠定了坚实基础。公司持续加强在流程、技术及人员管理等方面的网络安全管理，全方位抵御网络安全威胁。此外，我们通过定期开展网络安全相关审计，以确保公司网络安全管理的有效性。报告期内，公司未发生重大网络安全和商业秘密信息泄露事件。,[28],0.95,候选文本明确提及了数据安全与客户隐私保护的多项机制、政策和措施，包括遵守法律法规、网络安全管理机制、员工培训、数据防泄漏技术、信息系统优化、安全审计等，且与目标指标的别名'数据安全'和'客户隐私'直接对应。,B_text_rag
board_esg_oversight,董事会ESG监督机制,G,False,,,,[],0.0,候选文本提及董事会参与风险管理与内部控制的监督，但未明确说明董事会直接监督ESG事务，也未使用任何与‘董事会ESG监督’相关的术语或明确将ESG作为董事会监督的独立职责。虽然提到ESG被纳入风险管理体系，但未体现董事会对此的专门 oversight 机制。,B_text_rag
esg_committee,ESG治理架构或委员会,G,False,,,,[],0.0,候选文本提到了董事会下设的发展战略委员会、人力资源委员会、审计委员会，但未明确提及任何与ESG委员会、可持续发展委员会、ESG工作小组或ESG治理架构直接相关的组织机制。虽然提及ESG相关实践和风险管理，但未建立专门的ESG治理机构。,B_text_rag
anti_corruption_policy,反腐败政策,G,True,True,公司制定了《反腐败反商业贿赂制度》等明确的反腐败政策，并通过制度建设、培训、监督和零容忍态度落实反腐败措施。,公司还不断完善廉洁制度建设，拓宽内外部监督渠道，以期打造一个多维度、全方位的风险管理与监督体系。……制定《反腐败反商业贿赂制度》《职务犯罪预防约谈实施办法》，对任何贪腐行为实行零容忍,[16],0.95,候选文本中明确提及《反腐败反商业贿赂制度》，并多次使用‘反腐败’‘反贪污’‘廉洁从业’等与目标指标同义的表述，且描述了制度建设、零容忍态度和监督机制，完全符合定性指标的明确提及要求。,B_text_rag
whistleblowing_mechanism,举报机制与举报人保护,G,True,True,公司设立了专门的举报渠道并明确保护举报人信息，严禁打击报复行为。,设立专门的举报渠道，包括举报邮箱、举报电话、举报网上平台等，并向全体员工和外部合作伙伴公开。对举报人信息严格保密，对任何打击报复举报人的行为予以严厉惩处。,[16],0.95,候选文本在page 16中明确描述了举报渠道的设立（邮箱、电话、网上平台）、对举报人信息的保密要求，以及对打击报复行为的惩处措施，完全符合'举报机制与举报人保护'指标的定义。,B_text_rag
business_ethics_training,商业道德培训机制,G,True,True,公司通过常态化合规培训、新员工专项培训及多元化教育形式，开展商业道德与反腐败培训。,新员工入职时，须参加企业文化和员工行为规范专项培训，确保新员工从入职伊始就深入理解相关制度和要求。\n\n定期组织全体员工参加持续培训，开展多元化培训和日常宣传，筑牢抵御风险和拒腐防变的防线，不断增强员工的合规意识和风险应对能力。\n\n合规培训工作常态化\n•通过公众号、网络课堂、法制宣传周等多种形式推出相应的培训课程与法律知识普及，扩大法律宣传途径，多维度地提升全员风险防范意识。\n•区分不同岗位的合规风险程度，对于高风险的岗位人员设置更详细、深入的专门培训，提高关键岗位人员的合规工作能力。2024 年公司根据需求开展了3 场合规培训，覆盖约800 人。,"[16, 15]",0.95,候选文本明确提及针对新员工和全体员工的合规培训、商业道德培训、反腐败培训，并具体说明了培训形式、频率和覆盖人数，完全符合'商业道德培训机制'的定义及其别名。,B_text_rag
investor_communication,信息披露与投资者沟通机制,G,True,True,公司制定信息披露制度并定期举办投资者接待日活动，以加强与投资者的沟通与互动。,华海药业根据《上市公司信息披露管理办法》《上海证券交易所股票上市规则》等法律法规要求以及《公司章程》的相关规定，制定《信息披露管理制度》，规范公司信息披露行为，确保披露信息真实、准确、完整。同时，公司积极利用官方网站、官方微信公众号等多元化平台，发布药品研发进展、重大活动等公司重要信息，以便投资者能够及时了解公司的发展现状和经营成果，以更好地维护广大投资者，尤其是中小投资者的合法权益。★华海药业成功举办2024年投资者接待日活动，与投资者进行充分沟通与良好互动。,"[13, 7]",0.95,文本明确提及制定《信息披露管理制度》以规范信息披露，并通过官方网站、微信公众号等平台发布信息，同时明确记录了举办'投资者接待日活动'，直接对应'信息披露'和'投资者沟通'的定义，符合目标指标的多个别名。,B_text_rag
