metric_name,count,suggested_action,suggested_field_key,suggested_name_cn,suggested_alias,score,validator_status,validator_reason,unit,topic_examples,table_title_examples,page_examples,report_examples,candidate_details
按性别,4,review_candidate_rejected,female_employees,女性员工人数,按性别,0.86,rejected,forbidden_keyword_hit,人,,员工雇佣情况;员工雇佣情况及员工流失情况表,page_54.png;page_54_right.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""female_employees"", ""name_cn"": ""女性员工人数"", ""alias"": ""女性员工"", ""score"": 0.86, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}, {""field_key"": ""female_employee_ratio"", ""name_cn"": ""女性员工比例"", ""alias"": ""女性员工比例"", ""score"": 0.86, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:percentage""}]"
按年龄,4,keep_unknown,,,,0,,no_candidate,人,,员工雇佣情况;员工雇佣情况及员工流失情况表,page_54.png;page_54_right.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
按职级,4,keep_unknown,,,,0,,no_candidate,人,,员工雇佣情况;员工雇佣情况及员工流失情况表,page_54.png;page_54_right.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
按学历,3,keep_unknown,,,,0,,no_candidate,人,,员工雇佣情况;员工雇佣情况及员工流失情况表,page_54.png;page_54_right.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
总耗水强度=总耗水量/每百万营收,2,review_candidate_rejected,water_consumption,用水量,总耗水强度=总耗水量/每百万营收,0.92,rejected,forbidden_keyword_hit,吨/百万元,水资源,环境绩效-水资源;关键绩效表-环境绩效,page_53.png;page_53_left.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""water_consumption"", ""name_cn"": ""用水量"", ""alias"": ""总耗水量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
税务培训覆盖率,2,review_candidate_rejected,training_coverage_rate,员工培训覆盖率,税务培训覆盖率,0.92,rejected,forbidden_keyword_hit,%,,治理绩效,page_53.png;page_53_right.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
研发投入占营收比,2,review_candidate_rejected,r_and_d_expense,研发投入金额,研发投入占营收比,0.92,rejected,unit_type_mismatch:money,%,,附录：关键绩效表-社会绩效,page_54.png;page_54_left.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""r_and_d_expense"", ""name_cn"": ""研发投入金额"", ""alias"": ""研发投入"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:money""}]"
营业收入,2,keep_unknown,,,,0,,no_candidate,万元,,经济绩效;关键绩效表-经济绩效,page_53.png;page_53_left.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
纳税总额,2,keep_unknown,,,,0,,no_candidate,万元,,经济绩效;关键绩效表-经济绩效,page_53.png;page_53_left.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
汽油总量,2,keep_unknown,,,,0,,no_candidate,升,能源,环境绩效-能源;关键绩效表-环境绩效,page_53.png;page_53_left.png,001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,[]
