field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p21_34,21,1,0.01639344,"善安全防护功能，分级、分类、分技术进行数据传输、存储及防泄漏、防Web 漏洞；通过数据防泄 漏系统、数据库防水坝、未知威胁感知系统等技术平台全方位提高网络与数据安全风险监测和排查处置能力； 实施网络隔离，确保数据安全。 企业微信消费者权益保护专栏推出《银行服务零投诉》服务案例分析系列图文，通过案例回顾和深入分析， 持续提升柜面服务品质和与客户有效沟通的能力。 结合员工岗位类别和工作需求，针对投诉多发的问题、风险较高的业务开展培训，组织相关业务部门参 加了由国家金融监督管理总局陕西监管局开展的“12378 热线陕西分中心讲师团2024 年消保业务培训”， 培训内容包括规范电话营销和银行代销业务投诉焦点、成因及治理等方面。 积极响应国家金融监督管理总局陕西监管局号召，组织全行开展“3·15”金融消费者权益保护教育宣传、“普及金融知 识万里行” “金融教育宣传月”等活动。同时，结合社会热点话题，聚焦金融重点领域，融合地域文化特色，开展教育 宣传工作。2024 年，共组织开展线上线下宣传1,600 余次，发放宣传资料7 万余份，其中大型集中宣传活动4 次， 宣传受众达30 余万人。 线上线下...",善安全防护功能，分级、分类、分技术进行数据传输、存储及防泄漏、防Web 漏洞；通过数据防泄 漏系统、数据库防水坝、未知威胁感知系统等技术平台全方位提高网络与数据安全风险监测和排查处置能力； 实施网络隔离，确保数据安全。 企业微信消费者权益保护专栏推出《银行服务零投诉》服务案例分析系列图文，通过案例回顾和深入分析， 持续提升柜面服务品质和与客户有效沟通的能力。 结合员工岗位类别和工作需求，针对投诉多发的问题、风险较高的业务开展培训，组织...
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p10_12,10,1,0.01639344,13 14 相知更近 相伴更远 2024 年社会责任（ESG）报告 案例 升级产品策略 打造绿色服务体系 环境篇 围绕陕西省、西安市重点产业链深化服务，打造包含基础类、特色类、挂钩类、贸易融资类、投行类和政策类等在 内的绿色金融产品体系，服务绿色低碳产业的企业。截至2024 年末，本公司绿色贷款余额52.01 亿元，较上年末增 长202.75%。 2024 年12 月5 日，在全国银行间债券市场公开发行绿色 金融债券15 亿元。募集资金主要投向清洁能源、生态环境 和基础设施绿色升级等领域的绿色项目。 某钛业公司主要从事稀有金属材料的研发、生产和销售，部分产品的生产是资源再生产利用，属于绿色循 环经济。目前，该企业被列入国家绿色工厂名单，企业发展有利于促进工业节能减排。近年来，本公司持 续优化绿色优先的信贷政策，在贷款调查、审查、额度配置和放款等环节向绿色经济倾斜。经调查，该企 业经营发展符合本公司绿色发展要求。2024 年7 月，向其发放500 万元流动资金贷款，解决了企业发展 中出现的资金不足的问题。 创新绿色金融产品 强化绿色战略引领 搭建绿色治理架构 建立专门工作机制 打造绿色...,13 14 相知更近 相伴更远 2024 年社会责任（ESG）报告 案例 升级产品策略 打造绿色服务体系 环境篇 围绕陕西省、西安市重点产业链深化服务，打造包含基础类、特色类、挂钩类、贸易融资类、投行类和政策类等在 内的绿色金融产品体系，服务绿色低碳产业的企业。截至2024 年末，本公司绿色贷款余额52.01 亿元，较上年末增 长202.75%。 2024 年12 月5 日，在全国银行间债券市场公开发行绿色 金融债券15 亿元。募集资...
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p6_6,6,1,0.01639344,位列第356 位 9 家省内分行 178 家营业网点 控股2 家村镇银行 公司主体长期信用 等级AAA（最高级） 参股1 家 汽车金融公司 356 AAA 9 178 2 1 政府 监管 A 级纳税人 国家税务总局陕西省税务局 2023 年陕西金融好网民精品视频一等奖 中国人民银行陕西省分行 入选陕西省数字金融典型案例 中国人民银行陕西省分行 2023 年度陕西银行业保险业机构优秀调研课题二等奖 国家金融监督管理总局陕西监管局 金融支持陕西重点领域创新案例 《陕西金融发展报告﹙2024 ﹚》组委会 住房公积金业务先进管理银行 西安住房公积金管理中心 2023 年西安市劳动竞赛优秀组织单位 西安市劳动竞赛委员会办公室 2023 年西安市职工经济技术创新优秀成果 西安市劳动竞赛委员会办公室 西安市职工电竞大赛亚军 西安市总工会 2024 年西安市班组建设大赛“优胜奖” 西安市总工会 杂志 报刊 媒体 “全球银行品牌价值500 强”第419 名 Brand finance “2024 年全球银行1000 强”第356 名 英国《银行家》 入选2024 金融科技产品创新优秀案例 英国《银行家...,位列第356 位 9 家省内分行 178 家营业网点 控股2 家村镇银行 公司主体长期信用 等级AAA（最高级） 参股1 家 汽车金融公司 356 AAA 9 178 2 1 政府 监管 A 级纳税人 国家税务总局陕西省税务局 2023 年陕西金融好网民精品视频一等奖 中国人民银行陕西省分行 入选陕西省数字金融典型案例 中国人民银行陕西省分行 2023 年度陕西银行业保险业机构优秀调研课题二等奖 国家金融监督管理总局陕西监管局 金融支...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p4_2,4,1,0.01639344,01 02 相知更近 相伴更远 2024 年社会责任（ESG）报告 报告编制说明 报告编制说明 报告时间范围： 2024 年1 月1 日至2024 年12 月31 日，特别注明的除外。 报告组织范围： 报告覆盖西安银行股份有限公司总行、分支机构和控股机构。为了便于表达，在报告表述中使用“西安银 行”“本公司”或“本行”。 报告发布周期： 报告每年发布一次。 报告数据说明： 报告中的财务数据来自2024 年年度报告，其他指标如年度报告中未涉及，则以母公司为统计口径。报告中涉及的货 币金额以人民币作为计量币种，特别说明的除外。 报告参考标准： 报告参照国际标准化组织（ISO）《实施环境、社会和治理（ESG）原则框架》、全球可持续发展标准委员会《GRI 可持续发展报告标准（2021 版）》、财政部《企业可持续披露准则——基本准则（试行）》、中国人民银行《金融 机构环境信息披露指南》、原中国银行保险监督管理委员会《银行业保险业绿色金融指引》、上海证券交易所《上海 证券交易所上市公司自律监管指引第1 号——规范运作（2023 年12 月修订）》《上海证券交易所股票上市规则（2024 年4 月修...,01 02 相知更近 相伴更远 2024 年社会责任（ESG）报告 报告编制说明 报告编制说明 报告时间范围： 2024 年1 月1 日至2024 年12 月31 日，特别注明的除外。 报告组织范围： 报告覆盖西安银行股份有限公司总行、分支机构和控股机构。为了便于表达，在报告表述中使用“西安银 行”“本公司”或“本行”。 报告发布周期： 报告每年发布一次。 报告数据说明： 报告中的财务数据来自2024 年年度报告，其他指标如年度报告中...
energy_consumption_total,能源消耗总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p10_12,10,1,0.01639344,13 14 相知更近 相伴更远 2024 年社会责任（ESG）报告 案例 升级产品策略 打造绿色服务体系 环境篇 围绕陕西省、西安市重点产业链深化服务，打造包含基础类、特色类、挂钩类、贸易融资类、投行类和政策类等在 内的绿色金融产品体系，服务绿色低碳产业的企业。截至2024 年末，本公司绿色贷款余额52.01 亿元，较上年末增 长202.75%。 2024 年12 月5 日，在全国银行间债券市场公开发行绿色 金融债券15 亿元。募集资金主要投向清洁能源、生态环境 和基础设施绿色升级等领域的绿色项目。 某钛业公司主要从事稀有金属材料的研发、生产和销售，部分产品的生产是资源再生产利用，属于绿色循 环经济。目前，该企业被列入国家绿色工厂名单，企业发展有利于促进工业节能减排。近年来，本公司持 续优化绿色优先的信贷政策，在贷款调查、审查、额度配置和放款等环节向绿色经济倾斜。经调查，该企 业经营发展符合本公司绿色发展要求。2024 年7 月，向其发放500 万元流动资金贷款，解决了企业发展 中出现的资金不足的问题。 创新绿色金融产品 强化绿色战略引领 搭建绿色治理架构 建立专门工作机制 打造绿色...,13 14 相知更近 相伴更远 2024 年社会责任（ESG）报告 案例 升级产品策略 打造绿色服务体系 环境篇 围绕陕西省、西安市重点产业链深化服务，打造包含基础类、特色类、挂钩类、贸易融资类、投行类和政策类等在 内的绿色金融产品体系，服务绿色低碳产业的企业。截至2024 年末，本公司绿色贷款余额52.01 亿元，较上年末增 长202.75%。 2024 年12 月5 日，在全国银行间债券市场公开发行绿色 金融债券15 亿元。募集资...
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_26,16,1,0.04587302,网点”；1 家网点被陕西银行业协会评为“服务老年人特色网点”。 开展便于老年人使用的存折预约取款业务，推出手机银行及网点智能柜台关爱版界面，提供容易辨识、理解和操 作的电子化金融服务交互界面，方便老年客户选择适合的渠道办理业务。 整合公证、法律、反诈、医院和志愿者等多方资源，建立养老金融服务网络，形成 “西银禧安健” 养老金融服务生态圈， 提供一站式养老金融综合服务。 与广电、信托、公证处和律师事务所等单位签署战略合作协议，通过跨界联盟合作，满足老年客户的资产传承、 法律咨询等需求。,网点”；1 家网点被陕西银行业协会评为“服务老年人特色网点”。 开展便于老年人使用的存折预约取款业务，推出手机银行及网点智能柜台关爱版界面，提供容易辨识、理解和操 作的电子化金融服务交互界面，方便老年客户选择适合的渠道办理业务。 整合公证、法律、反诈、医院和志愿者等多方资源，建立养老金融服务网络，形成 “西银禧安健” 养老金融服务生态圈， 提供一站式养老金融综合服务。 与广电、信托、公证处和律师事务所等单位签署战略合作协议，通过跨界联...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p14_20,14,1,0.01639344,21 22 相知更近 相伴更远 2024 年社会责任（ESG）报告 社会篇 坚守金融本源 支持实体经济发展 制定《西安银行关于进一步加强与市级部门政金合作的工作方案》，深化与市级管理部门的合作，建立专项 工作机制。 制定《“进园区”工作机制》《“进园区”金融产品手册》，服务制造业、科创和绿色等领域的客户。同时，根 据客户所属行业领域及自身特点，强化“一行一策”工作，建立“进园区”专项工作机制。 建立政金合作机制 建立“进园区”工作机制 聚焦地方经济社会发展的重点领域和薄弱环节， 全力支持省市重点项目、优质企业和优势产业建 设发展；不断加大对基础设施、节能环保、文化 旅游和高端装备制造业等重点领域的支持力度， 加强对战略新兴产业、科技创新等领域资源配 置，助力培育新质生产力。2024 年，为航空航天、 光伏、清洁能源等陕西省西安市重点项目和重点 领域提供资金支持超过160 亿元。 聚焦区域产业，加大对陕西省重点产业链的支 持力度。制定《西安银行 “四链融合” 工作机制》， 绘制34 条重点产业链图谱，明确各产业链链 主企业，提升产业链服务效能，重点支持了太 阳能光伏、氢能、新型显示、医...,21 22 相知更近 相伴更远 2024 年社会责任（ESG）报告 社会篇 坚守金融本源 支持实体经济发展 制定《西安银行关于进一步加强与市级部门政金合作的工作方案》，深化与市级管理部门的合作，建立专项 工作机制。 制定《“进园区”工作机制》《“进园区”金融产品手册》，服务制造业、科创和绿色等领域的客户。同时，根 据客户所属行业领域及自身特点，强化“一行一策”工作，建立“进园区”专项工作机制。 建立政金合作机制 建立“进园区”工作机制...
electricity_consumption,用电量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p30_51,30,1,0.07987302,"订率（%） 100.00 100.00 100.00 社会保险覆盖率（%） 100.00 100.00 100.00 客户投诉解决率（%） 100.00 100.00 100.00 反洗钱培训次数（次） 96 67 44 反洗钱培训覆盖人次（人） 4,907 4,097 3,649 反腐倡廉培训次数（次） 5 4 2 反腐倡廉培训覆盖人次（人） 3,464 4,024 4,546 投资者教育活动（次） 1,610 1,592 1,187 环境类 绿色贷款余额（千元） 5,200,630 1,717,809 1,160,409 个人网银交易金额（千元） 9,146,818 15,999,187 11,898,698 总行人均耗水量（吨/ 人） 20.05 19.36 22.44 总行人均耗电量（度/ 人） 2,796 2,543 2,424 总行公务车耗油总量（升） 23,641 35,532 41,670 总行办公用纸总量（吨） 9.37 8.52 8.00 关键绩效表 治理篇 指标类型 指标类型 2024 年 2024 年 2023 年 2023 年 2022 年 2022 年 指...","订率（%） 100.00 100.00 100.00 社会保险覆盖率（%） 100.00 100.00 100.00 客户投诉解决率（%） 100.00 100.00 100.00 反洗钱培训次数（次） 96 67 44 反洗钱培训覆盖人次（人） 4,907 4,097 3,649 反腐倡廉培训次数（次） 5 4 2 反腐倡廉培训覆盖人次（人） 3,464 4,024 4,546 投资者教育活动（次） 1,610 1,592 1,18..."
water_consumption,用水量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p30_51,30,1,0.01639344,"订率（%） 100.00 100.00 100.00 社会保险覆盖率（%） 100.00 100.00 100.00 客户投诉解决率（%） 100.00 100.00 100.00 反洗钱培训次数（次） 96 67 44 反洗钱培训覆盖人次（人） 4,907 4,097 3,649 反腐倡廉培训次数（次） 5 4 2 反腐倡廉培训覆盖人次（人） 3,464 4,024 4,546 投资者教育活动（次） 1,610 1,592 1,187 环境类 绿色贷款余额（千元） 5,200,630 1,717,809 1,160,409 个人网银交易金额（千元） 9,146,818 15,999,187 11,898,698 总行人均耗水量（吨/ 人） 20.05 19.36 22.44 总行人均耗电量（度/ 人） 2,796 2,543 2,424 总行公务车耗油总量（升） 23,641 35,532 41,670 总行办公用纸总量（吨） 9.37 8.52 8.00 关键绩效表 治理篇 指标类型 指标类型 2024 年 2024 年 2023 年 2023 年 2022 年 2022 年 指...","订率（%） 100.00 100.00 100.00 社会保险覆盖率（%） 100.00 100.00 100.00 客户投诉解决率（%） 100.00 100.00 100.00 反洗钱培训次数（次） 96 67 44 反洗钱培训覆盖人次（人） 4,907 4,097 3,649 反腐倡廉培训次数（次） 5 4 2 反腐倡廉培训覆盖人次（人） 3,464 4,024 4,546 投资者教育活动（次） 1,610 1,592 1,18..."
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p9_11,9,1,0.01639344,守护绿水青山 擦亮绿色发展底色 2024 年，本公司将实现“双碳”目标作为重要的战略机遇，不断深化绿色转型发展，完善 绿色金融服务体系，加大绿色信贷投放，提高绿色发展能力，努力在生态文明和美丽中 国建设中砥砺前行，让绿色成为经营发展的鲜明底色。 环境篇,守护绿水青山 擦亮绿色发展底色 2024 年，本公司将实现“双碳”目标作为重要的战略机遇，不断深化绿色转型发展，完善 绿色金融服务体系，加大绿色信贷投放，提高绿色发展能力，努力在生态文明和美丽中 国建设中砥砺前行，让绿色成为经营发展的鲜明底色。 环境篇
air_pollutant_emissions,废气或大气污染物排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p24_39,24,1,0.01639344,41 42 相知更近 相伴更远 2024 年社会责任（ESG）报告 2024 年7 月，陕西商洛市遭遇多年不遇的连续暴雨，部分 县区受到洪涝灾害侵袭。本公司商洛分行助力灾后重建：一 是为陕西某公路工程有限公司办理保理业务，帮助其解决资 金短缺的问题。二是为陕西某科技有限公司办理“西银e 贷” 业务，资金用于灾后园区基础设施修复。 2024 年，累计捐赠资金和物资共44.9 万元，用于教育、救灾等多个领域。此外，“以购代捐” 采购柿子饼、鸡蛋、蔬菜、苹果和水蜜桃等农产品120 万元，通过消费帮扶，支持帮扶地区发展。 开展送温暖行动，走访慰问困难党员、困难职工和驻村干部等，传递组织关怀，为困难群众排 忧解难。 面对陕南地区洪涝灾害，特事特办，精准对接灾后修复需求，强化基建、民生等重点领域资金 保障，确保金融服务不断档。 坚守教育公益初心，持续开展捐资助学活动，助力人才成长。 携手社区，组织开展退休教师专项慰问活动，给予退休教师节日关怀。 持续向户外工作者提供“歇脚地”“热水房”“手机充电站”等服务，开展节日慰问活动，赠送暖心物资。 开展消费帮扶 慰问困难群众 助力灾后重建 护航人才成长 ...,41 42 相知更近 相伴更远 2024 年社会责任（ESG）报告 2024 年7 月，陕西商洛市遭遇多年不遇的连续暴雨，部分 县区受到洪涝灾害侵袭。本公司商洛分行助力灾后重建：一 是为陕西某公路工程有限公司办理保理业务，帮助其解决资 金短缺的问题。二是为陕西某科技有限公司办理“西银e 贷” 业务，资金用于灾后园区基础设施修复。 2024 年，累计捐赠资金和物资共44.9 万元，用于教育、救灾等多个领域。此外，“以购代捐” 采购柿子饼...
