field_key,field_name_cn,category,matched,value,summary,evidence,source_pages,confidence,reason,route
esg_strategy_targets,ESG战略目标,E,True,True,公司明确将ESG目标纳入治理架构与战略实施体系，并通过组织机制推进落实。,新华医疗依据经营特点和情况，构建董事会监督、ESG领导小组管理、各职能部门和权属子公司执行的ESG治理机制，形成了有牵头、有配合、有分工的架构清晰、职责明确的组织体系。...定期识别与分析ESG相关议题的风险和机遇，制定ESG目标，并负责推进落实,[13],0.92,候选文本明确提及'制定ESG目标'，并描述了由ESG领导小组及各职能部门负责推进落实的机制，符合ESG战略目标的定义，且证据为原文完整段落。,B_text_rag
climate_risk_management,气候风险识别与管理,E,True,True,公司识别实体及转型气候风险，建立气候风险管理机制，定期评估和监测风险，并制定应对预案。,"公司积极开展气候风险分析与应对，结合自身情况识别实体及转型气候风险，评估其发生的时间范围及对公司的影响，并根据各类气候风险特点，有针对性地采取应对措施。

建立健全气候风险管理机制，定期评估和监测气候风险，制定相应的应对预案。例如，为应对极端天气事件，制定详细的应急响应计划，确保生产设施和供应链的稳定运行。",[38],0.95,文本明确提及‘识别实体及转型气候风险’、‘建立气候风险管理机制’、‘定期评估和监测气候风险’及‘制定应对预案’，完全覆盖‘气候风险识别与管理’指标的核心要素，且为原文直接陈述。,B_text_rag
environmental_management_system,环境管理体系,E,True,True,公司构建并持续完善环境管理体系，修订《环境保护管理制度汇编》，设立环境管理领导小组，并推进ISO 14001认证与监督审核。,公司严格遵守《中华人民共和国环境保护法》等相关法律法规，积极践行绿色发展理念，构建完善的环境管理体系。报告期内，公司修订完善了《环境保护管理制度汇编》，包含《危险废物管理制度》《污水管理制度》《废气管理制度》《环保目标管理考核细则》等18项保障制度，持续提升环保管理能力。公司持续完善环境管理，设立了以董事长为组长、分管领导、各经营单位负责人组成的环境管理领导小组，全面管理公司的环保工作。公司积极推进环境管理体系的建设与认证，持续加强环境管理，通过环境管理体系监督审核。新华医疗ISO 14001环境管理体系认证,[34],0.95,候选文本明确提及'构建完善的环境管理体系'、'推进环境管理体系的建设与认证'、'通过环境管理体系监督审核'，并列出具体制度和ISO 14001认证，完全符合环境管理体系的定义和 aliases 范围。,B_text_rag
energy_saving_measures,节能减排措施,E,True,True,公司通过节能改造项目、使用高效节能设备、建设光伏发电项目、实施水资源梯级利用与循环使用等措施落实节能减排。,公司主要使用能源为电力、天然气，通过积极推动节能改造项目以减少能源浪费，并持续建设光伏发电项目以提升清洁能源使用比例。公司制定节约用水管理制度，采用节水技术和节水设备等措施，探索水资源的“梯级利用”和循环使用，积极履行环境保护责任、推动绿色低碳发展。莎罗雅将纯水生产过程中产生的浓水再利用，用于厂区景观池补水，实现资源高效利用与生态美化双赢。新华血液公司积极探索并实施了一系列行之有效的节水措施。该公司在产品完整性测试中使用高纯度的注射用水，通过对测试用水回收并进行严格的水质评估，能够满足蒸汽蒸发器系统的水质要求，作为生产蒸汽的水源进行再利用。这一措施每年可节水超1000吨，节水效果显著，同时降低运营成本。热泵新风换气机使用热回收技术，压缩制冷循环工况改善，能效比提高，与传统的热泵新风机组相比，节能达50%以上。公司在2024年项目节能改造时，采购变频空压机等高效节能设备，应用智能控制系统，实现低能耗低噪声运行。,[36],0.95,候选文本中明确提及了多项具体的节能减排措施，包括节能改造、光伏发电、节水技术、设备升级、水资源循环利用等，均属于‘节能减排措施’的直接表述，符合定性指标抽取规则。,B_text_rag
water_management_measures,水资源管理措施,E,True,True,公司制定节约用水管理制度，采用节水技术和设备，探索水资源梯级利用与循环使用，并开展节水宣传活动。,"公司制定节约用水管理制度，采用节水技术和节水设备等措施，探索水资源的“梯级利用”和循环使用，积极履行环境保护责任、推动绿色低碳发展。
公司在公共场所设置节约用水标识，组织开展节约用水宣传活动，提高员工的节水意识。
莎罗雅将纯水生产过程中产生的浓水再利用，用于厂区景观池补水，实现资源高效利用与生态美化双赢。
新华血液公司积极探索并实施了一系列行之有效的节水措施。该公司在产品完整性测试中使用高纯度的注射用水，通过对测试用水回收并进行严格的水质评估，能够满足蒸汽蒸发器系统的水质要求，作为生产蒸汽的水源进行再利用。这一措施每年可节水超1000吨，节水效果显著，同时降低运营成本。",[36],0.95,候选文本明确提及了多项水资源管理措施，包括制定节约用水管理制度、使用节水技术与设备、水资源梯级利用与循环使用、回收再利用废水、设置节水标识和开展宣传活动，这些均属于水资源管理措施的直接描述，符合定性指标抽取规则。,B_text_rag
waste_management_measures,废弃物管理措施,E,True,True,公司通过制定并执行《危险废物管理制度》和《一般固体废物管理制度》，对一般固体废物和危险废物进行分类收集、合规管理，并交由有资质单位处置，实现资源循环利用。,公司在生产过程中产生的固体废弃物包含生活垃圾、一般固体废物和危险废物，严格遵守公司《危险废物管理制度》《一般固体废物管理制度》等要求进行分类收集，合规管理，减少固废对环境的污染，实现资源的循环利用。,[40],0.95,候选文本明确提及公司依据《危险废物管理制度》和《一般固体废物管理制度》对废弃物进行分类收集与合规管理，符合废弃物管理措施的定性指标要求，且证据为完整原文句子。,B_text_rag
employee_rights_policy,员工权益保障政策,S,True,True,公司通过完善薪酬福利体系、关注职业健康、保障安全生产等措施保障员工权益。,"完善薪酬福利体系
打通晋升通道
关注职业健康
保障安全生产",[14],0.9,候选文本在‘员工权益和福利’‘职业健康与安全’‘完善薪酬福利体系’‘保障安全生产’等条目中明确提及了保障员工权益的具体措施，符合‘员工权益保障政策’的定义，且证据来自原文直接列出的措施清单。,B_text_rag
occupational_health_safety_system,职业健康安全管理体系,S,True,True,公司通过职业健康检查、防护设施管理、培训考核及法律法规遵循等措施，系统性推进职业健康与安全管理。,新华医疗严格落实《中华人民共和国职业病防治法》等相关法律法规，全面保障员工的职业健康与安全，持续推进职业健康与安全管理建设，加强职业病危害识别和防治工作，创造良好职业环境，切实保障员工的职业健康与安全。,[48],0.9,文本明确提及'持续推进职业健康与安全管理建设'，并结合职业健康检查、防护设施、培训考核等系统性措施，符合'职业健康安全管理体系'的定义，且未使用常识补全。,B_text_rag
employee_training_development,员工培训与发展机制,S,True,True,公司构建了涵盖文化制度类、通用管理类、专业技能类等多个模块的全方位培训体系，并完善双通道晋升机制，系统化推进员工培训与发展。,"公司开展多元职业发展培训项目，制定并发布了《教育培训管理办法》，优化培训资源配置，构建了涵盖文化制度类、通用管理类、专业技能类等多个模块的全方位培训体系。报告期内，公司共举办培训334场，参与员工30578人次，培训覆盖率100%。公司完善双通道晋升机制,启动岗位任职资格体系建设,通过任职资格体系指导人才引进、岗位聘用、薪酬体系设计、考核激励设计、培训体系建设等人才队伍建设工作,牵引员工提升专业能力,促进优秀人才脱颖而出,激发员工活力与组织创新动能。",[46],0.95,候选文本明确提及'全方位培训体系'、'多元职业发展培训项目'、'教育培训管理办法'以及'双通道晋升机制'，并将其与员工能力提升和人才发展直接关联，完全覆盖'员工培训与发展机制'的定义及别名。,B_text_rag
diversity_equal_opportunity,多元化与平等雇佣政策,S,True,True,公司明确制定并实施不因国籍、民族、性别、年龄、宗教、婚姻状况、残疾状况等个人特征影响录用决策的平等雇佣政策，并致力于提供多元、包容的职场环境。,新华医疗恪守国家及业务运营所在地相关劳动和就业法律法规，进一步修订《公司招聘管理制度》，严格规范招聘及入职流程，以公平公正、公开透明原则开展人才引进工作，不因国籍、民族、性别、年龄、宗教、婚姻状况、残疾状况等个人特征影响录用决策，致力于为所有应聘者提供平等的竞争机会。公司严格遵守《中华人民共和国未成年人保护法》《禁止使用童工规定》的要求，公司在员工招聘、入职等重要环节进行年龄审核，避免发生雇佣童工和强制劳动的现象。...致力于为员工提供平等、多元、包容、健康的职场环境，不断提升员工归属感和幸福感。,[43],0.95,文本明确提及招聘中不因多种个人特征（包括性别、民族、年龄等）影响录用决策，强调平等竞争机会，并直接使用'平等、多元、包容'等与目标指标高度相关的术语，符合'多元化与平等雇佣政策'的定义。,B_text_rag
