page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_40_right.png,2024年质量目标及达成情况,,出厂产品批次合格率,%,2024,2024年,100,100,"{""2024年"": ""100""}",目标 出厂产品批次合格率 % 2024年 100,llm_no_match:出厂产品批次合格率属于质量管理或经营绩效类指标，Core ESG Schema 中无对应 field_key；质量类指标（如合格率、客户满意度、投诉解决率等）未被纳入当前 Schema。,0.25
page_40_right.png,2024年质量目标及达成情况,,顾客满意度,%,2024,2024年,80,80,"{""2024年"": ""80""}",目标 顾客满意度 % 2024年 80,llm_no_match:顾客满意度属于客户关系或服务质量类指标，Core ESG Schema 中无对应 field_key；党建活动、投资者教育、绿色融资、客户满意度等明确要求 matched=false。,0.3
page_40_right.png,2024年质量目标及达成情况,,产品综合一等品率,%,2024,2024年,94,94,"{""2024年"": ""94""}",目标 产品综合一等品率 % 2024年 94,llm_no_match:该指标属于产品质量绩效类指标，反映生产质量控制水平，不属于 Core ESG Schema 中的环境（E）、社会（S）或治理（G）标准字段。,0.25
page_40_right.png,2024年质量目标及达成情况,,出厂产品批次合格率,%,2024,2024年,100,100,"{""2024年"": ""100""}",完成情况 出厂产品批次合格率 % 2024年 100,llm_no_match:出厂产品批次合格率属于产品质量管理或经营绩效类指标，Core ESG Schema 中无对应 field_key；质量相关指标（如客户投诉、产品召回等）虽有部分覆盖，但‘出厂产品批次合格率’未在 aliases 或语义范围内匹配任何 S 或 G 类字段。,0.25
page_40_right.png,2024年质量目标及达成情况,,顾客满意度,%,2024,2024年,95.04,95.04,"{""2024年"": ""95.04""}",完成情况 顾客满意度 % 2024年 95.04,llm_no_match:顾客满意度属于客户关系或服务质量类指标，Core ESG Schema 中无对应 field_key；党建活动、投资者教育、绿色融资、客户满意度等明确要求 matched=false。,0.3
page_40_right.png,2024年质量目标及达成情况,,产品综合一等品率,%,2024,2024年,98.15,98.15,"{""2024年"": ""98.15""}",完成情况 产品综合一等品率 % 2024年 98.15,llm_no_match:该指标属于产品质量绩效类指标，反映生产质量水平，不属于 Core ESG Schema 中的环境、社会或治理范畴。,0.25
page_48_left.png,量化数据绩效表-环境绩效,,环境行政处罚金额,万元,2024,2024年,0,0,"{""2024年"": ""0""}",环境行政处罚金额 万元 2024年 0,llm_no_match:环境行政处罚金额属于经济处罚金额类指标，Core ESG Schema 中仅有 'environmental_violation_cases'（环境违规或处罚事件数量），未包含处罚金额，且经营绩效类金额指标通常不属于 Core ESG Schema。,0.3
page_48_left.png,量化数据绩效表-环境绩效,,汽油,升,2024,2024年,16483,"16,483.00","{""2024年"": ""16,483.00""}","汽油 升 2024年 16,483.00",llm_no_match:汽油消耗量未在 Core ESG Schema 中定义；Schema 中包含天然气、煤炭、电力、可再生能源等能源类型，但无汽油（gasoline）相关 field_key。不属于已列能源消耗子类，且非标准ESG核心指标。,0.3
page_48_left.png,量化数据绩效表-环境绩效,,柴油,升,2024,2024年,379720,"379,720.00","{""2024年"": ""379,720.00""}","柴油 升 2024年 379,720.00",llm_no_match:柴油消耗量未在 Core ESG Schema 中定义；Schema 中仅包含天然气、煤炭、电力、可再生能源等能源类型，无柴油相关 field_key。,0.3
page_48_left.png,量化数据绩效表-环境绩效,,热力,百万千焦,2024,2024年,1329091,"1,329,091.00","{""2024年"": ""1,329,091.00""}","热力 百万千焦 2024年 1,329,091.00",llm_no_match:热力不属于 Core ESG Schema 中定义的任何 field_key；Core Schema 中无对应别名或语义匹配项（如能源消耗总量 alias 中未包含'热力'，且热力作为单一能源形式未在 energy_consumption_total、natural_gas_consumption 等字段中被覆盖），亦非标准 ESG 报告通用指标。,0.3
