level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,70.3427,B,53,39,,,15,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,86.0385,A,21,18,0.8571,0.8571,3,18,,,
pillar,G,G,G,53.0667,C,13,7,0.5385,0.5385,6,7,,,
pillar,S,S,S,69.455,CCC,19,14,0.7368,0.7368,5,14,,,
theme,business_ethics,商业道德,G,49.75,C,6,3,0.5,0.5,3,3,,business_ethics,商业道德
theme,climate_change,气候变化,E,99.4241,AAA,11,11,1.0,1.0,0,11,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,56.8857,C,3,2,0.6667,0.6667,1,2,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,63.2636,CC,5,3,0.6,0.6,2,3,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,49.75,C,6,3,0.5,0.5,3,3,,governance_structure,治理结构
theme,human_capital,人力资本,S,61.9625,CC,15,10,0.6667,0.6667,5,10,,human_capital,人力资本
theme,resource_utilization,资源利用,E,99.32,AAA,2,2,1.0,1.0,0,2,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,99.5,AAA,3,3,1.0,1.0,0,3,,social_contribution,社会贡献
theme,supply_chain,供应链,S,99.2,AAA,1,1,1.0,1.0,0,1,,supply_chain,供应链
