page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_34.png,环境管理目标,,固体废弃物分类收集处理率,%,{'2024年': '100%'},固体废弃物分类收集处理率 % 2024年 100%,no_schema_match
page_34.png,环境管理目标,,污染物达标排放,,{'2024年': '目标达成'},污染物达标排放 % 2024年 目标达成,no_schema_match
page_35.png,公司能源能效消耗数据表,,国家电网电耗,兆瓦时,{'2024年': '23043.35'},国家电网电耗 兆瓦时 2024年 23043.35,no_schema_match
page_35.png,公司能源能效消耗数据表,,光伏发电,兆瓦时,{'2024年': '6994.88'},光伏发电 兆瓦时 2024年 6994.88,no_schema_match
page_35.png,公司能源能效消耗数据表,,汽油使用量,吨,{'2024年': '86.97'},汽油使用量 吨 2024年 86.97,no_schema_match
page_36.png,水资源消耗数据表,,新鲜水消耗量,万吨,{'2024年': '36.71'},新鲜水消耗量 万吨 2024年 36.71,no_schema_match
page_36.png,水资源消耗数据表,,耗水强度,吨/万元营收,{'2024年': '0.558'},耗水强度 吨/万元营收 2024年 0.558,no_schema_match
page_36.png,清洁能源使用数据表,,分布式光伏装机容量,MW,{'2024年': '1.56'},分布式光伏装机容量 MW 2024年 1.56,no_schema_match
page_36.png,清洁能源使用数据表,,分布式光伏发电量,MWh,{'2024年': '976'},分布式光伏发电量 MWh 2024年 976,no_schema_match
page_36.png,清洁能源使用数据表,,分布式清洁能源发电量,MWh,{'2024年': '11290.93'},分布式清洁能源发电量 MWh 2024年 11290.93,no_schema_match
page_36.png,清洁能源使用数据表,,分布式清洁能源使用量,MWh,{'2024年': '6984.88'},分布式清洁能源使用量 MWh 2024年 6984.88,no_schema_match
page_36.png,清洁能源使用数据表,,清洁能源使用占比,%,{'2024年': '23.62'},清洁能源使用占比 % 2024年 23.62,no_schema_match
page_37.png,分布式光伏相关数据,,分布式光伏装机容量,兆瓦,{'2024年': '9.76'},分布式光伏装机容量 兆瓦 2024年 9.76,no_schema_match
page_37.png,分布式光伏相关数据,,分布式光伏发电量,兆瓦时,{'2024年': '11290.93'},分布式光伏发电量 兆瓦时 2024年 11290.93,no_schema_match
page_37.png,分布式光伏相关数据,,分布式光伏使用量,兆瓦时,{'2024年': '6984.88'},分布式光伏使用量 兆瓦时 2024年 6984.88,no_schema_match
page_38.png,风险类型与应对措施表,,法规政策风险,,,法规政策风险 各国政府为应对气候变化，不断出台更严格的环保法规和减排政策，未来，公司可能面临环保罚款、限产甚至停产等风险。 中、长期 健全企业合规管理及风险管控体系，提升运营韧性，强化合规经营。,no_schema_match
page_38.png,风险类型与应对措施表,,技术变革风险,,,技术变革风险 随着清洁能源、节能技术等快速发展，若公司在未来5-8年不能及时跟进技术革新，可能导致产品和服务落后，失去市场竞争力。 中、长期 加大对低碳技术的研究投入，改进生产工艺，提高能源利用效率，减少温室气体排放。如采用先进的生产设备和技术，优化生产流程，降低能源消耗和废物排放。,no_schema_match
