field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,125285.17,二氧化碳当量公吨数,2024,route_a_appendix_table,0.94,auto_cited,,table_page_53,53,1,,"温室气体排放 温室气体排放总量 2024 125,285.17 二氧化碳当量公吨数","温室气体排放 温室气体排放总量 2024 125,285.17 二氧化碳当量公吨数"
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p9_17,9,1,0.01612903,于公司在环境保护、社会责 任履行、产品质量与服务、社 区关系等方面的表现，旨在收 集外部利益相关方对公司可 持续发展的意见和建议。 问卷 调查 影响重要性 财 务 重 要 性 员工权益与薪酬福利 员工平等雇佣 投资者权益 研发与创新 风险管理 环境管理 乡村振兴 能源管理 产品/服务质量与安全 员工培训与发展 污染物排放 供应链管理 循环经济 社会贡献 数据安全与客户隐私保护 公司治理 客户服务 废弃物处 利益相关方沟通 反商业贿赂及反贪污 水资源利用 反不正当竞争 应对气候变化 员工职业健康与安全 访谈对象包括公司高层管理人员、各部门负责人及关键岗位人员，访谈内容涵盖ESG议题的识别、实 质性评估、目标设定以及相关举措的推进情况。通过管理层访谈，公司进一步明确了ESG管理的重点 领域和行动方向。 管理层访谈 基于问卷调查和访谈收集到的信息，公司运用矩阵评估工具对利益相关方关注的ESG议题进行了系 统性分析。以下为公司本年度调研分析评估结果： 矩阵评估结果 15 16 利益相关方沟通,于公司在环境保护、社会责 任履行、产品质量与服务、社 区关系等方面的表现，旨在收 集外部利益相关方对公司可 持续发展的意见和建议。 问卷 调查 影响重要性 财 务 重 要 性 员工权益与薪酬福利 员工平等雇佣 投资者权益 研发与创新 风险管理 环境管理 乡村振兴 能源管理 产品/服务质量与安全 员工培训与发展 污染物排放 供应链管理 循环经济 社会贡献 数据安全与客户隐私保护 公司治理 客户服务 废弃物处 利益相关方沟通 反商业贿赂及...
scope_1_emissions,范围一温室气体排放量,E,extracted,124060.83,二氧化碳当量公吨数,2024,route_a_appendix_table,0.96,auto_cited,,table_page_53,53,1,,"温室气体排放 温室气体排放（范围一） 2024 124,060.83 二氧化碳当量公吨数","温室气体排放 温室气体排放（范围一） 2024 124,060.83 二氧化碳当量公吨数"
scope_2_emissions,范围二温室气体排放量,E,extracted,1224.34,二氧化碳当量公吨数,2024,route_a_appendix_table,0.96,auto_cited,,table_page_53,53,1,,"温室气体排放 温室气体排放（范围二） 2024 1,224.34 二氧化碳当量公吨数","温室气体排放 温室气体排放（范围二） 2024 1,224.34 二氧化碳当量公吨数"
energy_consumption_total,能源消耗总量,E,extracted,59232.26,吨标准煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_53,53,1,,"能源 直接能源消耗 2024 59,232.26 吨标准煤","能源 直接能源消耗 2024 59,232.26 吨标准煤"
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p53_104,53,1,0.07639344,"附录：关键绩效表 经济绩效 营业收入 万元 万元 纳税总额 指标 单位 2024 391,441.96 22,687.20 环境绩效 类型 单位 2024 治理绩效 柴油总量 能源 水资源 温室气体排放 汽油总量 直接能源消耗 电力总量 全年能源消耗总量 间接能源消耗 全年能源消耗强度 市政购水量 总耗水强度=总耗水量/每百万营收 温室气体排放（范围一） 温室气体排放（范围二） 温室气体排放总量 36,265,333.68 4,029,540.24 59,232.26 2,281,669.00 280.42 59,512.67 25,041 6.40 15.20 124,060.83 1,224.34 125,285.17 升 升 吨标准煤 千瓦时 吨标准煤 吨标准煤 吨标准煤/百万元 吨 吨/百万元 二氧化碳当量公吨数 二氧化碳当量公吨数 指标 单位 2024 二氧化碳当量公吨数 公司治理 风险管理 投资者权益 数据安全与隐私保护 监事会召开次数 战略委员会会议召开次数 薪酬与考核委员会会议召开次数 提名委员会会议召开次数 审计委员会会议召开次数 开展税务合规培训场次 税务培训覆盖...","附录：关键绩效表 经济绩效 营业收入 万元 万元 纳税总额 指标 单位 2024 391,441.96 22,687.20 环境绩效 类型 单位 2024 治理绩效 柴油总量 能源 水资源 温室气体排放 汽油总量 直接能源消耗 电力总量 全年能源消耗总量 间接能源消耗 全年能源消耗强度 市政购水量 总耗水强度=总耗水量/每百万营收 温室气体排放（范围一） 温室气体排放（范围二） 温室气体排放总量 36,265,333.68 4,029..."
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p24_46,24,1,0.01639344,在作业执行环节，平台推出的“调度一张图”功能，为指挥调度工作提 供了强大的可视化解决方案。该功能依托地图系统，能够实时动态呈现 车辆、船舶及人员的位置信息，使管理的透明度与灵活度得到大幅提升。 例如，作业管理人员轻点定位按钮，便能精准锁定目标车辆，实时查看 其运行状态与历史轨迹；借助胸卡、手环打卡数据，系统可以直观展示 人员分布情况，作业管理人员通过出勤数据分析，能够科学优化任务分 配方案。 升级AI管理 精服务品质 在数字化时代，AI 技术为环卫行业管理和服务带来了新机遇。侨银股份依托 AI 技术升级智慧环卫 管理平台，实现了作业管理效能和服务质量的显著提升。该平台通过全面监测、高效调度和智能决 策三大维度相互支撑，形成完整闭环：全面监测提供实时数据，高效调度确保作业顺利，智能决策 优化资源配置。这种模块化应用使平台能够灵活应对多样化的城市管理需求。 平台借助大数据分析与人工智能算法构建智能决策能力，实现资源配置与设备管理的全面优化。在垃圾收运方面，系统通过分析历史数据和实 时动态，精准预测垃圾产生量的变化趋势，优化收运路线和频率。例如，在某个区域，周末的垃圾产生量显著增加。为了应...,在作业执行环节，平台推出的“调度一张图”功能，为指挥调度工作提 供了强大的可视化解决方案。该功能依托地图系统，能够实时动态呈现 车辆、船舶及人员的位置信息，使管理的透明度与灵活度得到大幅提升。 例如，作业管理人员轻点定位按钮，便能精准锁定目标车辆，实时查看 其运行状态与历史轨迹；借助胸卡、手环打卡数据，系统可以直观展示 人员分布情况，作业管理人员通过出勤数据分析，能够科学优化任务分 配方案。 升级AI管理 精服务品质 在数字化时代，A...
electricity_consumption,用电量,E,extracted,2281669,千瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_53,53,1,,"能源 电力总量 2024 2,281,669.00 千瓦时","能源 电力总量 2024 2,281,669.00 千瓦时"
water_consumption,用水量,E,extracted,25041,吨,2024,route_a_appendix_table,0.92,auto_cited,,table_page_53,53,1,,"水资源 市政购水量 2024 25,041 吨","水资源 市政购水量 2024 25,041 吨"
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p9_17,9,1,0.01639344,于公司在环境保护、社会责 任履行、产品质量与服务、社 区关系等方面的表现，旨在收 集外部利益相关方对公司可 持续发展的意见和建议。 问卷 调查 影响重要性 财 务 重 要 性 员工权益与薪酬福利 员工平等雇佣 投资者权益 研发与创新 风险管理 环境管理 乡村振兴 能源管理 产品/服务质量与安全 员工培训与发展 污染物排放 供应链管理 循环经济 社会贡献 数据安全与客户隐私保护 公司治理 客户服务 废弃物处 利益相关方沟通 反商业贿赂及反贪污 水资源利用 反不正当竞争 应对气候变化 员工职业健康与安全 访谈对象包括公司高层管理人员、各部门负责人及关键岗位人员，访谈内容涵盖ESG议题的识别、实 质性评估、目标设定以及相关举措的推进情况。通过管理层访谈，公司进一步明确了ESG管理的重点 领域和行动方向。 管理层访谈 基于问卷调查和访谈收集到的信息，公司运用矩阵评估工具对利益相关方关注的ESG议题进行了系 统性分析。以下为公司本年度调研分析评估结果： 矩阵评估结果 15 16 利益相关方沟通,于公司在环境保护、社会责 任履行、产品质量与服务、社 区关系等方面的表现，旨在收 集外部利益相关方对公司可 持续发展的意见和建议。 问卷 调查 影响重要性 财 务 重 要 性 员工权益与薪酬福利 员工平等雇佣 投资者权益 研发与创新 风险管理 环境管理 乡村振兴 能源管理 产品/服务质量与安全 员工培训与发展 污染物排放 供应链管理 循环经济 社会贡献 数据安全与客户隐私保护 公司治理 客户服务 废弃物处 利益相关方沟通 反商业贿赂及...
