field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,35042.2,吨,2024,route_a_appendix_table,0.94,auto_cited,,table_page_37,37,1,,温室气体排放总量 吨 13876.4 35042.2 35042.2,温室气体排放总量 吨 13876.4 35042.2 35042.2
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_28,16,1,0.04538462,—— H260-18MW 海上风电机组。它不仅承载着我国能源安全和海洋强国的梦想，更是全球风轮直径最大和单 机功率最大的机组，创造了“两个全球第一”的辉煌纪录。2024 年6 月30 日，这台18 兆瓦的中速集成海 上风电机组在辽宁营口华能仙人岛热电厂成功完成吊装，标志着它即将投入商业化应用，为千家万户送去 清洁的电能。 自主创新，攻克关键核心技术。中船海装的工程师们在研制过程中，攻克了多项关键技术，如复杂环境下 的超长柔性叶片翼型气动设计技术，使得机组整机国产化率高于99%，成功解决了我国大功率海上风电机 组安全高效运行的共性技术难题。这台风电机组的集成式设计，相比传统半直驱传动链路线，功率密度提 升10%。在满发风速下，机组每转动一圈可发44 度电，一台机组每年输出约7400 万度清洁电能，可满足 4 万户家庭用电需求，相当于每年可节约标煤约2.5 万吨、减少二氧化碳排放约6 万吨，为我国的可持续 发展贡献了巨大力量。 新质生产，测试验证保稳定。在海上风电的日常运行中，机组必须面对强烈的海风和腐蚀等恶劣环境的考 验。中船海装高度重视机组的测试验证，为确保风电整机及机电传动系统的质...,—— H260-18MW 海上风电机组。它不仅承载着我国能源安全和海洋强国的梦想，更是全球风轮直径最大和单 机功率最大的机组，创造了“两个全球第一”的辉煌纪录。2024 年6 月30 日，这台18 兆瓦的中速集成海 上风电机组在辽宁营口华能仙人岛热电厂成功完成吊装，标志着它即将投入商业化应用，为千家万户送去 清洁的电能。 自主创新，攻克关键核心技术。中船海装的工程师们在研制过程中，攻克了多项关键技术，如复杂环境下 的超长柔性叶片翼型气...
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p37_68,37,1,0.01587302,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量 兆瓦时 - 47794.48 53133.88 能源消耗总量 吨标准煤 - 13335.31 9082.79 清洁能源使用量 千瓦时 - 1274704 1499027.31 温室气体排放总量 吨 - 13676.4 35042.2 减少排放二氧化碳当量 万吨 - 147.95 442.69 总耗水量 吨 19274 298050 293341.33 年度新鲜水用水量 吨 - 204260 122168 废水排放总量 立方米 - 120000 106190 一般废弃物排放量 吨 - 10908.04 48740 危险废弃物排放量 吨 - 624.13 ...,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p3_2,3,1,0.01639344,01 02 本报告为年度报告，是中船科技股份有限公司自2022 年以来发布的第四份社会责任/ 环境、社会及公司治理（ESG） 报告。 报告周期 除有特殊说明，本报告主要描述2024 年1 月1 日至2024 年12 月31 日期间，中船科技本部及相关子公司在经济、 社会和环境等方面的履责实践及绩效表现。报告实体范围的选择主要基于重要性和实质性考虑。 报告范围 关于本报告 称谓说明 “中国船舶集团”“集团”为公司间接控股股东“中国船舶集团有限公司”的简称 “中船科技”“公司”“我们”均为“中船科技股份有限公司”的简称 “中船九院”为全资子公司“中船第九设计研究院工程有限公司”的简称 “中船风电”为“中国船舶集团风电发展有限公司”的简称 “中船海装”为“中船海装风电有限公司”的简称 “新疆海为”为“中船海为（新疆）新能源有限公司”的简称 “洛阳双瑞”为“洛阳双瑞风电叶片有限公司”的简称 “凌久电气”为“中船重工（武汉）凌久电气有限公司”的简称 全球报告倡议组织《可持续发展报告标准（GRI Standards）》 联合国可持续发展目标（SDGs） 中国国家标准《社会责任报告编制指南》（GB...,01 02 本报告为年度报告，是中船科技股份有限公司自2022 年以来发布的第四份社会责任/ 环境、社会及公司治理（ESG） 报告。 报告周期 除有特殊说明，本报告主要描述2024 年1 月1 日至2024 年12 月31 日期间，中船科技本部及相关子公司在经济、 社会和环境等方面的履责实践及绩效表现。报告实体范围的选择主要基于重要性和实质性考虑。 报告范围 关于本报告 称谓说明 “中国船舶集团”“集团”为公司间接控股股东“中国船舶集...
energy_consumption_total,能源消耗总量,E,extracted,100051,吨标煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_30,30,1,,"能源总量情况 综合能源消耗总量 吨标煤 2024年 100,051.00","能源总量情况 综合能源消耗总量 吨标煤 2024年 100,051.00"
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_28,16,1,0.04449275,—— H260-18MW 海上风电机组。它不仅承载着我国能源安全和海洋强国的梦想，更是全球风轮直径最大和单 机功率最大的机组，创造了“两个全球第一”的辉煌纪录。2024 年6 月30 日，这台18 兆瓦的中速集成海 上风电机组在辽宁营口华能仙人岛热电厂成功完成吊装，标志着它即将投入商业化应用，为千家万户送去 清洁的电能。 自主创新，攻克关键核心技术。中船海装的工程师们在研制过程中，攻克了多项关键技术，如复杂环境下 的超长柔性叶片翼型气动设计技术，使得机组整机国产化率高于99%，成功解决了我国大功率海上风电机 组安全高效运行的共性技术难题。这台风电机组的集成式设计，相比传统半直驱传动链路线，功率密度提 升10%。在满发风速下，机组每转动一圈可发44 度电，一台机组每年输出约7400 万度清洁电能，可满足 4 万户家庭用电需求，相当于每年可节约标煤约2.5 万吨、减少二氧化碳排放约6 万吨，为我国的可持续 发展贡献了巨大力量。 新质生产，测试验证保稳定。在海上风电的日常运行中，机组必须面对强烈的海风和腐蚀等恶劣环境的考 验。中船海装高度重视机组的测试验证，为确保风电整机及机电传动系统的质...,—— H260-18MW 海上风电机组。它不仅承载着我国能源安全和海洋强国的梦想，更是全球风轮直径最大和单 机功率最大的机组，创造了“两个全球第一”的辉煌纪录。2024 年6 月30 日，这台18 兆瓦的中速集成海 上风电机组在辽宁营口华能仙人岛热电厂成功完成吊装，标志着它即将投入商业化应用，为千家万户送去 清洁的电能。 自主创新，攻克关键核心技术。中船海装的工程师们在研制过程中，攻克了多项关键技术，如复杂环境下 的超长柔性叶片翼型气...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p18_32,18,1,0.01639344,业综合优势，协同进行节能降碳 技术研究，推进低碳建/ 构筑、新型发电 储能技术、无碳燃料应用等，促进降碳技 术与船厂设计结合。 工艺降碳 技术降碳 推动BIM 三维正向设计应用，贯通设计、 施工和运维阶段，开展数字化仿真应用研 究，实施智能电气节能控制，构建能碳综 合管控平台。 遵循减量化、再利用、资源化原则，通过低 碳原料替代、发展循环经济、优化资源配置， 实现资源高效循环利用，降低碳排放。 数字降碳 循环降碳 公司充分识别气候变化可能给业务带来影响的实体风险、转型风险。公司及时采集气候变化相关风险信息，分析评 估风险带来的相关影响并进行有效控制和应对，防控风险演变。 为响应国家自主贡献目标，公司贯彻工信部、发改委《船舶制造业绿色发展行动纲要 （2024—2030 年）》及落实中国船舶集团《碳达峰行动方案》的重要举措和创新实践， 制定了全面的碳达峰、碳中和目标体系。同时，督促各子公司积极制定并落实“双碳” 目标。 2024 年度绿色电力发电达到34 亿千瓦时，减少二氧化碳排放量442.69 万吨；各风电 场共核发“绿证”60 万张，随着哈密百万项目9 月投入运行，预计全年核发900...,业综合优势，协同进行节能降碳 技术研究，推进低碳建/ 构筑、新型发电 储能技术、无碳燃料应用等，促进降碳技 术与船厂设计结合。 工艺降碳 技术降碳 推动BIM 三维正向设计应用，贯通设计、 施工和运维阶段，开展数字化仿真应用研 究，实施智能电气节能控制，构建能碳综 合管控平台。 遵循减量化、再利用、资源化原则，通过低 碳原料替代、发展循环经济、优化资源配置， 实现资源高效循环利用，降低碳排放。 数字降碳 循环降碳 公司充分识别气候变化...
electricity_consumption,用电量,E,extracted,53133.88,兆瓦时,2024,route_b2_quant_text_rag,0.95,auto_cited,,p37_68,37,1,0.16012903,"年度用电量
兆瓦时
-
47794.48
53133.88",69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量...
water_consumption,用水量,E,extracted,293341.33,吨,2024,route_a_appendix_table,0.92,auto_cited,,table_page_37,37,1,,总耗水量 吨 19274 298050 293341.33,总耗水量 吨 19274 298050 293341.33
wastewater_discharge,废水排放量,E,extracted,106150,立方米,2024,route_a_appendix_table,0.96,auto_cited,,table_page_37,37,1,,废水排放总量 立方米 120000 106150 106150,废水排放总量 立方米 120000 106150 106150
air_pollutant_emissions,废气或大气污染物排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p37_68,37,1,0.01639344,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量 兆瓦时 - 47794.48 53133.88 能源消耗总量 吨标准煤 - 13335.31 9082.79 清洁能源使用量 千瓦时 - 1274704 1499027.31 温室气体排放总量 吨 - 13676.4 35042.2 减少排放二氧化碳当量 万吨 - 147.95 442.69 总耗水量 吨 19274 298050 293341.33 年度新鲜水用水量 吨 - 204260 122168 废水排放总量 立方米 - 120000 106190 一般废弃物排放量 吨 - 10908.04 48740 危险废弃物排放量 吨 - 624.13 ...,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量...
non_hazardous_waste,一般废弃物产生量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_35,19,1,0.01538462,"，积极开展环保行动，增强员 工环保意识，践行绿色发展，全力守护蓝天、碧水和净土，为可持续发展筑牢根基。 公司聚焦节能减排，深度挖掘各类资源潜力，致力于实现全方位的资源高效利用与可持续发展。 公司对于新建项目严格开展环境评估，确保项目符合环保要求，对环保违法违规行为进行严肃处罚，对环境风险隐 患开展专项整治行动。同时，通过强化监管职能，不断提升子企业的环境风险管理水平。 节能减排 加强风险管理 2024 年度 中船海装不断完善监测体系，编制《突发环境事件应急预案》，针对事故类型详细描述预防与预警、信息报 告和处置、应急响应、后期处置以及应急保障流程，保障突发环境事件时迅速、及时、有效响应。 公司高度重视污染防治，全方位推进废水、废气、固废的综合治理，严格把控污染物排放标准，持续完善相关机制。 污染防治 中船风电可核发绿证238 万余张，截至2024 年12 月31 日, 已核发绿证222 万余张， 涉及新疆、甘肃、内蒙古、河北等多个区域。 中船海装下属新疆公司获评国家级绿色工厂。 中船海装下属生产基地重庆总装厂、内蒙古公司获评省级绿色工厂和绿色供应链。",，积极开展环保行动，增强员 工环保意识，践行绿色发展，全力守护蓝天、碧水和净土，为可持续发展筑牢根基。 公司聚焦节能减排，深度挖掘各类资源潜力，致力于实现全方位的资源高效利用与可持续发展。 公司对于新建项目严格开展环境评估，确保项目符合环保要求，对环保违法违规行为进行严肃处罚，对环境风险隐 患开展专项整治行动。同时，通过强化监管职能，不断提升子企业的环境风险管理水平。 节能减排 加强风险管理 2024 年度 中船海装不断完善监测体系，...
hazardous_waste,危险废弃物产生量,E,extracted,967.6,吨,2024,route_a_appendix_table,0.93,auto_cited,,table_page_37,37,1,,危险废物排放量 吨 624.13 967.6 967.6,危险废物排放量 吨 624.13 967.6 967.6
environmental_investment,环保投入金额,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p37_68,37,1,0.08039344,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量 兆瓦时 - 47794.48 53133.88 能源消耗总量 吨标准煤 - 13335.31 9082.79 清洁能源使用量 千瓦时 - 1274704 1499027.31 温室气体排放总量 吨 - 13676.4 35042.2 减少排放二氧化碳当量 万吨 - 147.95 442.69 总耗水量 吨 19274 298050 293341.33 年度新鲜水用水量 吨 - 204260 122168 废水排放总量 立方米 - 120000 106190 一般废弃物排放量 吨 - 10908.04 48740 危险废弃物排放量 吨 - 624.13 ...,69 70 中船科技股份有限公司 2024 环境、社会及公司治理（ESG）报告 指标 单位 2022年 2023年 2024年 新增专利授权 件 56 15 175 全员劳动生产率 万元/人 49.12 49.16 57.16 环保总投入 万元 - 4199.58 5538.72 环保总投入占营业收入比例 % - 0.29 0.66 环保培训覆盖率 % - 100 100 全年上网电量 亿千瓦时 - 14.47 33.94 年度用电量...
