level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,51.8448,C,53,28,,,28,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,52.9423,C,21,11,0.5238,0.4762,11,10,,,
pillar,G,G,G,53.0667,C,13,7,0.5385,0.5385,6,7,,,
pillar,S,S,S,49.7,C,19,10,0.5263,0.5263,9,10,,,
theme,business_ethics,商业道德,G,49.75,C,6,3,0.5,0.5,3,3,,business_ethics,商业道德
theme,climate_change,气候变化,E,72.0,B,11,8,0.7273,0.7273,3,8,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,24.1429,C,3,1,0.3333,0.0,3,0,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,18.0364,C,5,1,0.2,0.2,4,1,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,49.75,C,6,3,0.5,0.5,3,3,,governance_structure,治理结构
theme,human_capital,人力资本,S,37.2812,C,15,6,0.4,0.4,9,6,,human_capital,人力资本
theme,resource_utilization,资源利用,E,59.52,C,2,1,0.5,0.5,1,1,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,99.4333,AAA,3,3,1.0,1.0,0,3,,social_contribution,社会贡献
theme,supply_chain,供应链,S,99.2,AAA,1,1,1.0,1.0,0,1,,supply_chain,供应链
