field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,0.1131,万吨二氧化碳当量,2024,route_a_appendix_table,0.94,auto_cited,,table_page_45,45,1,,温室气体排放量 万吨二氧化碳当量 0.1131,温室气体排放量 万吨二氧化碳当量 0.1131
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p17_33,17,1,0.045625,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回收技术，减少向环境的能量排放并 充分实现自然通风，有效降低能耗；综合考虑噪声对室内及周围的影响，使用低 噪声设备和消声减振措施。 暖通空调 选用节水节能型材料，卫生间采用节水型洁具，绿化灌溉使用滴灌技术，并采取 分区供水控制，加强计量管理，减少损失和漏损；给水管采用内壁光滑的材料， 并配备节能型叠压供水设备；水池、水箱设置溢流报警，控制静水压和支管减压； 充分利用雨水，根据景观需要，部分引入绿地回灌地下。 给排水系统 控制室外景观照明中射向夜空、溢出场地边界的光束，室外夜景 照明光污染的限制符合行业标准《城市夜景照明设计规范》JGJ/ T163 的规定。...,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回...
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_31,16,1,0.01639344,1 材料选择：采用可回收贵金属和 实验室培育钻石等材料，显著降 低了能耗和碳排放，也减少了对 自然资源的依赖。 供应链合作：与符合环保要求的 供应商合作，确保原材料从源头 开始就符合绿色标准，提升了产 品的整体环保性。 包装设计创新：通过设计多功能 包装（如首饰收纳盒、摆件、存 钱罐等），不仅增加了产品的趣 味性和竞争力，还减少了包装浪 费，延长了包装的生命周期，体 现了循环经济理念。 回收阶段 3 规范化回购体系：建立了标准 化、透明化的黄金回收流程体系， 确保回收价格公开透明，增强了 客户信任度。 差异化竞争力：通过严格的质量 检测和工艺优化，提升了回收产 品的附加值，同时保证了回收过 程的高效性和环保性。 线上回购平台：线上回购小程序 为客户提供安全、快捷、高效的 回收体验，扩大了回收服务的覆 盖范围，推动了绿色消费理念的 普及。 生产加工 阶段 2 环保生产技术：采用环保技术和 工艺，严格遵守污染物处理规定， 有效减少了废气、废水、废渣对 环境的影响，体现了对生产环节 环境责任的重视。 资源高效利用：通过优化生产工 艺，减少资源浪费，进一步提升 生产环节的绿色化水平。 《黄金...,1 材料选择：采用可回收贵金属和 实验室培育钻石等材料，显著降 低了能耗和碳排放，也减少了对 自然资源的依赖。 供应链合作：与符合环保要求的 供应商合作，确保原材料从源头 开始就符合绿色标准，提升了产 品的整体环保性。 包装设计创新：通过设计多功能 包装（如首饰收纳盒、摆件、存 钱罐等），不仅增加了产品的趣 味性和竞争力，还减少了包装浪 费，延长了包装的生命周期，体 现了循环经济理念。 回收阶段 3 规范化回购体系：建立了标准 化、透...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_31,16,1,0.01639344,1 材料选择：采用可回收贵金属和 实验室培育钻石等材料，显著降 低了能耗和碳排放，也减少了对 自然资源的依赖。 供应链合作：与符合环保要求的 供应商合作，确保原材料从源头 开始就符合绿色标准，提升了产 品的整体环保性。 包装设计创新：通过设计多功能 包装（如首饰收纳盒、摆件、存 钱罐等），不仅增加了产品的趣 味性和竞争力，还减少了包装浪 费，延长了包装的生命周期，体 现了循环经济理念。 回收阶段 3 规范化回购体系：建立了标准 化、透明化的黄金回收流程体系， 确保回收价格公开透明，增强了 客户信任度。 差异化竞争力：通过严格的质量 检测和工艺优化，提升了回收产 品的附加值，同时保证了回收过 程的高效性和环保性。 线上回购平台：线上回购小程序 为客户提供安全、快捷、高效的 回收体验，扩大了回收服务的覆 盖范围，推动了绿色消费理念的 普及。 生产加工 阶段 2 环保生产技术：采用环保技术和 工艺，严格遵守污染物处理规定， 有效减少了废气、废水、废渣对 环境的影响，体现了对生产环节 环境责任的重视。 资源高效利用：通过优化生产工 艺，减少资源浪费，进一步提升 生产环节的绿色化水平。 《黄金...,1 材料选择：采用可回收贵金属和 实验室培育钻石等材料，显著降 低了能耗和碳排放，也减少了对 自然资源的依赖。 供应链合作：与符合环保要求的 供应商合作，确保原材料从源头 开始就符合绿色标准，提升了产 品的整体环保性。 包装设计创新：通过设计多功能 包装（如首饰收纳盒、摆件、存 钱罐等），不仅增加了产品的趣 味性和竞争力，还减少了包装浪 费，延长了包装的生命周期，体 现了循环经济理念。 回收阶段 3 规范化回购体系：建立了标准 化、透...
energy_consumption_total,能源消耗总量,E,extracted,779438,千瓦时,2024,route_b2_quant_text_rag,0.95,needs_review,source_page_mismatch,p18_36,18,1,0.01639344,"年度用电总量
千瓦时
779438",对产品的“可持续”属性要求提升，若不能采取措施树立起环境友 好的形象，可能流失部分消费者，削弱品牌竞争力。 市场风险 剧烈的气候变化如台风、洪水等将产生极端天气或自然灾害，可能影响公 司上下游供应链、产品生产、产品运输与日常经营。此外，这些灾害还可 能诱发其他灾害和安全事故，直接对人员安全造成危害。 急性物理风险 海平面上升、持续性高温等长期自然模式转变可能对公司产品生产和上下游供应 链造成影响。 慢性物理风险 我们紧密跟踪政策趋势，...
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p8_12,8,1,0.11587302,12 中国黄金集团黄金珠宝股份有限公司 2024 环境、社会及管治报告 13 中国黄金集团黄金珠宝股份有限公司 2024 环境、社会及管治报告 企业文化 年度主要荣誉 服务理念 黄金为民、送福万家 经营理念 品牌制胜、渠道制胜、规模制胜、服务制胜 荣获上海黄金交易所“可提供标准 金锭企业认证”证书。 2024.01 荣获上海黄金交易所“2022 年度 最佳可提供标准金锭、标准银锭”证书。 2024.01 荣获上海黄金交易所“2023 年度 最佳竞价交易代理员”称号。 2024.06 荣获上海黄金交易所“2023 年度 综合类优秀会员三等奖”。 2024.06 荣获中国珠宝玉石首饰行业协会“2023 年黄金珠宝品牌 集群成员单位零售业品牌评价结果通知书”，品牌价值评估 为731.69 亿元人民币。 2024.06 获得中国品牌建设 促进会“中国品牌价值 评价结果通知书”，品 牌强度评估为808，品 牌价值评估为103.35 亿元。 2024.05 2024.12 获任中国品牌建设促进会第二届理 事会常务理事单位。 企业愿景 建设成为有国际影响力的黄金珠宝行 业领军企业 发展理念 冲市场...,12 中国黄金集团黄金珠宝股份有限公司 2024 环境、社会及管治报告 13 中国黄金集团黄金珠宝股份有限公司 2024 环境、社会及管治报告 企业文化 年度主要荣誉 服务理念 黄金为民、送福万家 经营理念 品牌制胜、渠道制胜、规模制胜、服务制胜 荣获上海黄金交易所“可提供标准 金锭企业认证”证书。 2024.01 荣获上海黄金交易所“2022 年度 最佳可提供标准金锭、标准银锭”证书。 2024.01 荣获上海黄金交易所“2023 ...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p17_33,17,1,0.01639344,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回收技术，减少向环境的能量排放并 充分实现自然通风，有效降低能耗；综合考虑噪声对室内及周围的影响，使用低 噪声设备和消声减振措施。 暖通空调 选用节水节能型材料，卫生间采用节水型洁具，绿化灌溉使用滴灌技术，并采取 分区供水控制，加强计量管理，减少损失和漏损；给水管采用内壁光滑的材料， 并配备节能型叠压供水设备；水池、水箱设置溢流报警，控制静水压和支管减压； 充分利用雨水，根据景观需要，部分引入绿地回灌地下。 给排水系统 控制室外景观照明中射向夜空、溢出场地边界的光束，室外夜景 照明光污染的限制符合行业标准《城市夜景照明设计规范》JGJ/ T163 的规定。...,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回...
electricity_consumption,用电量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p17_33,17,1,0.01639344,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回收技术，减少向环境的能量排放并 充分实现自然通风，有效降低能耗；综合考虑噪声对室内及周围的影响，使用低 噪声设备和消声减振措施。 暖通空调 选用节水节能型材料，卫生间采用节水型洁具，绿化灌溉使用滴灌技术，并采取 分区供水控制，加强计量管理，减少损失和漏损；给水管采用内壁光滑的材料， 并配备节能型叠压供水设备；水池、水箱设置溢流报警，控制静水压和支管减压； 充分利用雨水，根据景观需要，部分引入绿地回灌地下。 给排水系统 控制室外景观照明中射向夜空、溢出场地边界的光束，室外夜景 照明光污染的限制符合行业标准《城市夜景照明设计规范》JGJ/ T163 的规定。...,成本20 余万元，若按照减少商务旅程25 万公里计算，则至 少减少二氧化碳排放量20 吨。 智能化视频会议系统助力低碳减排 绿色建筑改造 在推动可持续发展的进 程中，我们深刻理解并积极 响应循环经济等环保理念的 号召，明确了以资源高效利 用、环境友好、经济持续增 长为目标，推动公司内部工 程项目的绿色化改造，采取 了一系列具体且富有成效的 措施。 建筑节能验收记录表 老办公楼节能改造措施 采用R410A 环保冷媒、高效保温材料以及热回...
water_consumption,用水量,E,extracted,4810,立方米,2024,route_a_appendix_table,0.92,auto_cited,,table_page_45,45,1,,年使用水电总量 立方米 4810,年使用水电总量 立方米 4810
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_39,19,1,0.01639344,自行检测数据等。 固体废物 我们生产经营过程中产生的一般废弃物，主要是废包装材料和生活 垃圾。我们积极做好废弃物的利用和处置工作，最大限度减少固体废物 的排放对环境造成的影响，实现固体废物的减量化、资源化。 2024 年，三门峡金银制品公司工业固废主要是废钢材，总量为6.26 吨，均已进行回收处理。 危险废物 我们制定了完善的危险废物管理制度，确保从产生、 收集、储存、运输到最终处置的每一个环节都严格遵守国 家相关法律法规和行业标准。我们与有资质的废物处理单 位合作，采用先进的技术和方法，确保危险废物得到无害 化处理和资源化利用，并接受政府监管机构和社会各界对 危险废物处置结果的监督。 水资源管理 我们致力于打造节水型企业，积极保护水资源，严格 管控生产及生活污水的排放。依据国家和地方的相关规定 申领并延续排污许可证，确保污染物排放符合标准；同时， 我们规范收集和处置化验室废液，委托具备相应资质的专 业单位进行合法处理。在化验室废液的产生和贮存区域， 我们采取了有效的防渗措施。此外，工业废水实现闭路循 环，确保有害污水实现零排放。 中金精炼在生产中，配酸、清洗及酸雾净化塔补充 新鲜水...,自行检测数据等。 固体废物 我们生产经营过程中产生的一般废弃物，主要是废包装材料和生活 垃圾。我们积极做好废弃物的利用和处置工作，最大限度减少固体废物 的排放对环境造成的影响，实现固体废物的减量化、资源化。 2024 年，三门峡金银制品公司工业固废主要是废钢材，总量为6.26 吨，均已进行回收处理。 危险废物 我们制定了完善的危险废物管理制度，确保从产生、 收集、储存、运输到最终处置的每一个环节都严格遵守国 家相关法律法规和行业标准。...
