page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_44.png,公司治理-股东大会、董事会、监事会召开情况,股东大会,召开年度股东大会次数,次,{'2024年': '1'},召开年度股东大会 1 次，审议并通过议案 15 项。,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=llm_match:召开年度股东大会次数与'股东大会会议次数'语义一致，属于公司治理类指标，unit为'次'，符合field_key shareholder_meetings的aliases和unit_examples。
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开临时股东大会次数,次,{'2024年': '1'},召开临时股东大会 1 次，审议并通过议案 3 项。,llm_no_match:‘召开临时股东大会次数’不属于 Core ESG Schema 中任何 field_key；Schema 中仅包含‘股东大会会议次数’（field_key: shareholder_meetings），其别名及定义均指常规/年度股东大会，未涵盖‘临时’股东大会，且无对应别名支持该细分类型，故不匹配。
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会次数,次,{'2024年': '18'},召开董事会 18 次，审议议案 44 项；涉及利润分配、重大工程项目等事项。,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=llm_match:指标名称'召开董事会次数'与field_key 'board_meetings'的aliases中'董事会会议次数'、'董事会召开次数'等高度一致，单位'次'匹配，topic为'董事会'进一步佐证。
page_44.png,公司治理-股东大会、董事会、监事会召开情况,监事会,召开监事会次数,次,{'2024年': '4'},召开监事会 4 次，审议、听取议案 16 项。,llm_no_match:监事会会议次数属于公司治理类指标，但 Core ESG Schema 中未定义任何与监事会相关的 field_key（如 board_meetings 仅指董事会，不包含监事会），因此不属于 Core ESG Schema。
page_44.png,公司治理-股东大会、董事会、监事会召开情况,董事会,召开董事会专门委员会次数,次,{'2024年': '19'},召开董事会专门委员会 19 次，审议、听取议案 27 项。,llm_no_match:召开董事会专门委员会次数不在 Core ESG Schema 中；Schema 中仅有董事会会议次数（board_meetings）、董事会人数、独立董事等字段，未涵盖专门委员会层面的会议次数。
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,{'2024年': '15'},股东大会 审议并通过议案数量 项 2024年 15,llm_no_match:审议并通过议案数量属于公司治理过程性活动的量化描述，Core ESG Schema 中无对应字段（如董事会会议次数、股东大会次数等均指会议频次，而非议案数量），且该指标未在任何 field_key 的 aliases 中出现。
page_44_right.png,2024年公司治理相关会议情况,股东大会,审议并通过议案数量,项,{'2024年': '3'},股东大会 审议并通过议案数量 项 2024年 3,llm_no_match:审议并通过议案数量属于公司治理过程性指标，Core ESG Schema 中无对应 field_key；董事会会议次数（board_meetings）和股东大会会议次数（shareholder_meetings）均指会议召开频次，而非议案数量，故不匹配。
page_44_right.png,2024年公司治理相关会议情况,董事会,审议议案数量,项,{'2024年': '44'},董事会 审议议案数量 项 2024年 44,llm_no_match:审议议案数量属于公司治理过程性活动指标，Core ESG Schema 中无对应 field_key；董事会相关字段仅涵盖人数、独立性、会议次数、董事性别等结构性或频率性指标，不包括议案数量。
page_44_right.png,2024年公司治理相关会议情况,董事会,涉及利润分配、重大工程项目等事项数量,项,{'2024年': '不适用'},董事会 涉及利润分配、重大工程项目等事项数量 项 2024年 不适用,llm_no_match:该指标描述董事会审议的事项类型（如利润分配、重大工程项目），属于公司治理过程性或议题分类统计，Core ESG Schema 中无对应 field_key；董事会相关字段仅涵盖人数、独立性、会议次数、女性董事等结构性或活动频率指标，不包括所议事项内容类别数量。
page_44_right.png,2024年公司治理相关会议情况,监事会,召开监事会次数,次,{'2024年': '4'},监事会 召开监事会次数 次 2024年 4,llm_no_match:监事会会议次数属于公司治理（G）范畴，但 Core ESG Schema 中未定义监事会相关字段（如 field_key: supervisory_board_meetings 不存在），仅包含董事会、股东大会、反腐败及举报等字段。因此不匹配。
page_44_right.png,2024年公司治理相关会议情况,监事会,审议、听取议案数量,项,{'2024年': '16'},监事会 审议、听取议案数量 项 2024年 16,llm_no_match:该指标涉及监事会履职行为（审议、听取议案数量），属于公司治理过程性活动，但 Core ESG Schema 中无对应 field_key；董事会会议次数（board_meetings）仅覆盖董事会层面，不涵盖监事会，且‘审议、听取议案数量’非标准治理指标，未在任何 aliases 中出现。
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,召开董事会各专门委员会次数,次,{'2024年': '19'},董事会各专门委员会 召开董事会各专门委员会次数 次 2024年 19,llm_no_match:召开董事会各专门委员会次数属于公司治理过程性活动，Core ESG Schema 中无对应 field_key；board_meetings 仅指董事会会议，不包含其下设专门委员会会议，且无任何 aliases 覆盖该表述。
page_44_right.png,2024年公司治理相关会议情况,董事会各专门委员会,审议、听取议案数量,项,{'2024年': '27'},董事会各专门委员会 审议、听取议案数量 项 2024年 27,llm_no_match:该指标描述董事会专门委员会审议、听取议案数量，属于公司治理过程性活动统计，Core ESG Schema 中无对应 field_key（如 board_meetings 仅指董事会会议次数，不涵盖专门委员会议案审议数量），且未在 aliases 中出现任何匹配表述。
page_48.png,反商业贿赂及反贪污风险管理策略,,商业道德风险,,{'2024年': '中长期'},商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,llm_no_match:商业道德风险是定性描述性指标，非量化ESG核心指标；Core ESG Schema中无对应field_key，且未定义任何‘风险等级’‘风险期限’类字段。
page_48.png,反商业贿赂及反贪污风险管理策略,,关键岗位风险,,{'2024年': '中长期'},关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制、强化供应商准入审核与定期评估机制，推行分级审批与定能核查制度。,llm_no_match:关键岗位风险属于公司治理或合规管理的定性描述，非量化指标，且 Core ESG Schema 中无对应 field_key；其值为'中长期'，非数值或百分比，不符合任何 field_key 的 value_type 要求。
page_48.png,反商业贿赂及反贪污风险管理策略,,业务流程风险,,{'2024年': '中长期'},业务流程风险 中长期 合规成本增加 建立考核、监督内控机制；加强教育培训和廉洁文化建设。,llm_no_match:业务流程风险属于公司治理或运营风险管理范畴，但 Core ESG Schema 中无对应 field_key；该指标为定性描述（如'中长期'），非可量化ESG指标，且未在 aliases 或语义上匹配任何标准字段。
page_48.png,反商业贿赂及反贪污风险管理策略,,制度机制风险,,{'2024年': '中长期'},制度机制风险 中长期 成本增加、诉讼费用增加 完善反商业贿赂与反贪污制度和管理机制；完善举报渠道，加强科技手段保护措施。,llm_no_match:制度机制风险属于定性风险管理描述，非量化ESG指标，Core ESG Schema中无对应field_key；其值'中长期'为时间维度定性表述，非数值型数据，且evidence_text中内容属管理措施说明，不匹配任何标准字段。
page_48.png,反商业贿赂及反贪污风险管理策略,,重点领域/项目决策风险,,{'2024年': '中长期'},重点领域/项目决策风险 中长期 项目成本上升 加强“三重一大”事项监督，完善集体决策机制。,llm_no_match:重点领域/项目决策风险属于公司治理过程中的风险描述性内容，非量化指标，且 Core ESG Schema 中无对应 field_key；'中长期'为定性判断，非数值型ESG度量，不符合任何 field_key 的 value_type 要求。
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,商业道德风险,,{'2024年': None},商业道德风险 中长期 合规成本增加 公布《反贿赂反腐败政策》，涵盖员工及商业合作伙伴；推行廉洁教育，提高全员廉洁意识。,llm_no_match:商业道德风险是定性描述性主题，非可量化ESG指标；Core ESG Schema中无对应field_key（如反腐败相关字段均要求具体可量化数据：培训次数、参与人数、事件数量等），且evidence_text中未提供任何数值或可映射的量化指标。
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,关键岗位风险,,{'2024年': None},关键岗位风险 中长期 合规成本增加 加强廉洁教育；实行轮岗机制。强化供应商准入审核与定期评估机制，推行分级审批与定期核查制度。,llm_no_match:关键岗位风险属于公司治理或内部控制范畴的定性描述，Core ESG Schema 中无对应 field_key；其内容为风险类型及管理措施，非可量化指标，且未在 aliases 或语义上匹配任何 G 类字段（如 anti_corruption_training_sessions、confirmed_corruption_cases 等）。
page_48_right.png,反商业贿赂及反贪污风险及管理策略,,业务流程风险,,{'2024年': None},业务流程风险 中长期 合规成本增加 建立考核、监督检查机制，加强教育培训和廉洁文化建设。,llm_no_match:业务流程风险属于公司治理中的风险类型描述，但 Core ESG Schema 中无对应 field_key；Schema 中的 G 类指标聚焦于董事会、反腐败、举报等可量化结构化字段，不包含定性风险类别名称。
