applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.95,2024年温室气体排放量为91.357236万吨CO2e。,total_ghg_emissions,温室气体排放总量,quantitative,manufacturing,route_b2_filled_missing_route_a,,,91.357236万吨,0.0,not_found,missing,0.95,2024年温室气体排放量为91.357236万吨CO2e。,true,91.357236万吨,定位到目标字段同义词“温室气体排放量”（符合“温室气体排放总量”同义词），有明确年份2024，原始数值为91.357236万吨CO2e，单位“万吨”可转换为“吨”，符合所有规则且无 forbidden_any 干扰;soft_penalty:soft_pass_strong_unit_anchor:co2e;vector=0.2568,[13],吨,913572.36,2024,,,,,,,温室气体排放总量,[13],route_b2_quant_text_rag,extracted,,quant_text_rag,吨,913572.36,number,2024
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_1_emissions,范围一温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,scope_2_emissions,范围二温室气体排放量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,"直接能源消耗总量 吨标准煤 2023年 228,194.96 2024年 234,351.1",energy_consumption_total,能源消耗总量,quantitative,manufacturing,route_a_selected,,page_17.png,"234,351.1",0.96,normalized_alias_match:能源消耗总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,直接能源消耗总量,page_17.png,route_a_appendix_table,extracted,资源循环与工艺革新，深挖降本潜力,,吨标准煤,234351.1,number,2024
core,E,0.94,能源消耗强度 吨标准煤/万元营收 2023年 0.21 2024年 0.21,energy_consumption_intensity,能源消耗强度,quantitative,manufacturing,route_a_selected,,page_17.png,0.21,0.94,heuristic_energy_consumption_intensity; schema_match_validated,extracted,,,,,,,,,,,,,,,,能源消耗强度,page_17.png,route_a_appendix_table,extracted,资源循环与工艺革新，深挖降本潜力,,吨标准煤/万元营收,0.21,number,2024
optional,E,0.9,"天然气 万立方米 2023年 12,687.31 2024年 12,788.37",natural_gas_consumption,天然气消耗量,quantitative,manufacturing,route_a_selected,,page_17.png,"12,788.37",0.9,heuristic_natural_gas_consumption; schema_match_validated,extracted,,,,,,,,,,,,,,,,天然气,page_17.png,route_a_appendix_table,extracted,资源循环与工艺革新，深挖降本潜力,,万立方米,12788.37,number,2024
core,E,0.92,"外购电力总量 千瓦时 2023年 532,738,005 2024年 519,704,861",electricity_consumption,用电量,quantitative,manufacturing,route_a_selected,,page_17.png,"519,704,861",0.92,heuristic_electricity; schema_match_validated,extracted,,,,,,,,,,,,,,,,外购电力总量,page_17.png,route_a_appendix_table,extracted,资源循环与工艺革新，深挖降本潜力,,千瓦时,519704861,number,2024
core,E,0.93,"地表水取水量 吨 2023年 1,130,052 2024年 996,700",water_consumption,用水量,quantitative,manufacturing,route_a_selected,,page_18.png,"996,700",0.93,normalized_alias_match:取水量; schema_match_validated,extracted,,,,,,,,,,,,,,,,地表水取水量,page_18.png,route_a_appendix_table,extracted,绿色物流节水管理,,吨,996700,number,2024
core,E,0.9500000000000001,"废水排放量 吨 1,372,728.80 1,247,578.4",wastewater_discharge,废水排放量,quantitative,manufacturing,route_a_selected,,page_19.png,"1,247,578.4",0.9500000000000001,normalized_alias_match:废水排放量; schema_match_validated,extracted,,,,,,,,,,,,,,,,废水排放量,page_19.png,route_a_appendix_table,extracted,废水排放情况,,吨,1247578.4,number,2024
