page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_40.png,关键绩效表,员工关怀,公司工会会员人数,人,2024,2024年,191,191,"{""2024年"": ""191""}",员工关怀 公司工会会员人数 人 2024年 191,llm_no_match:公司工会会员人数属于组织建设或员工关系类指标，Core ESG Schema 中无对应 field_key；未在 S 类别中定义工会相关字段，且不属于员工总数、性别、年龄、培训、健康、社保等已覆盖维度。,0.3
page_40.png,关键绩效表,员工关怀,开展职工代表大会次数,次,2024,2024年,3,3,"{""2024年"": ""3""}",员工关怀 开展职工代表大会次数 次 2024年 3,llm_no_match:开展职工代表大会次数属于公司治理过程性活动，Core ESG Schema 中无对应 field_key；董事会会议、股东大会会议等有明确定义，但职代会不属于 G 类标准指标，亦未在 S 类中列出。,0.3
page_40.png,关键绩效表,员工关怀,审议通过议题数,个,2024,2024年,3,3,"{""2024年"": ""3""}",员工关怀 审议通过议题数 个 2024年 3,llm_no_match:审议通过议题数属于公司治理过程性记录，非 Core ESG Schema 中定义的标准化指标；Core Schema 中无任何字段对应‘议题审议’或类似治理程序数量类指标（如 board_meetings 指会议次数而非议题数），且该指标未在 aliases 或语义上与任一 field_key 匹配。,0.25
page_40_right.png,关键绩效表,员工关怀,公司工会会员人数,人,2024,2024年,191,191,"{""2024年"": ""191""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,llm_no_match:工会会员人数属于组织建设或员工关系类指标，Core ESG Schema 中无对应 field_key；既非员工总数、性别、年龄等人口统计字段，也非培训、健康、社保等标准 S 类指标。,0.3
page_40_right.png,关键绩效表,员工关怀,开展职工代表大会次数,次,2024,2024年,3,3,"{""2024年"": ""3""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,llm_no_match:开展职工代表大会次数属于公司治理实践中的民主管理活动，但 Core ESG Schema 中无对应 field_key（如董事会会议、股东大会等有定义，但职代会未纳入）；不属于 E、S、G 类已列指标。,0.25
page_40_right.png,关键绩效表,员工关怀,审议通过议题数,个,2024,2024年,3,3,"{""2024年"": ""3""}",报告期内，公司工会会员 191 人，开展职工代表大会大会 3 次，审议通过 3 个议题。,llm_no_match:审议通过议题数属于公司治理过程性活动描述，但 Core ESG Schema 中无对应 field_key；董事会会议次数（board_meetings）和股东大会会议次数（shareholder_meetings）均不涵盖工会职代会审议议题，且该指标未在任何 aliases 中出现，不属于标准化 ESG 指标。,0.25
page_41.png,2024年培训体系开展情况,新员工培训,组织新员工入职技能培训批次,批,2024,2024年,5,5,"{""2024年"": ""5""}",新员工培训 组织新员工入职技能培训批次 批 2024年 5,llm_no_match:组织新员工入职技能培训批次属于培训组织形式的计数指标，Core ESG Schema 中无对应 field_key；Schema 中培训相关字段均聚焦于时长、人数、覆盖率、费用等维度，不包含‘批次’这一非标准化运营指标。,0.3
page_41.png,2024年培训体系开展情况,新员工培训,学习课程覆盖单位数量,个,2024,2024年,20,20,"{""2024年"": ""20""}",新员工培训 学习课程覆盖单位数量 个 2024年 20,llm_no_match:学习课程覆盖单位数量属于培训组织维度的管理过程指标，Core ESG Schema 中无对应字段；Schema 中培训相关指标均聚焦于员工个体（如培训时长、覆盖率、人次、费用等），不涉及‘单位’这一组织层级。,0.3
page_41.png,2024年培训体系开展情况,专项培训课程,组织专业培训场次,场,2024,2024年,61,61,"{""2024年"": ""61""}",专项培训课程 组织专业培训场次 场 2024年 61,llm_no_match:组织专业培训场次不属于 Core ESG Schema 中定义的任何培训相关字段（如 training_total_hours、training_coverage_rate、anti_corruption_training_sessions 等），Schema 中无‘培训场次’或‘组织场次’的别名，且该指标未在 aliases 中出现；属于公司内部管理细化指标，非标准 ESG 披露项。,0.3
page_41.png,2024年培训体系开展情况,专项培训课程,覆盖专业类别数量,个,2024,2024年,15,15,"{""2024年"": ""15""}",专项培训课程 覆盖专业类别数量 个 2024年 15,llm_no_match:覆盖专业类别数量属于培训管理的内部运营指标，Core ESG Schema 中无对应 field_key；既非环境类（E）、社会类（S）或治理类（G）标准指标，也未在 aliases 中出现，且不属于党建、客户满意度等明确排除项之外的可匹配范畴。,0.25
page_41.png,2024年培训体系开展情况,专项培训课程,满意度,%,2024,2024年,90,90,"{""2024年"": ""90""}",专项培训课程 满意度 % 2024年 90,llm_no_match:客户满意度或培训满意度属于非Core ESG Schema指标，Core Schema中无对应field_key；ESG标准中不包含满意度类主观绩效指标。,0.25
page_41.png,2024年培训体系开展情况,讲师队伍搭建,内部优秀讲师队伍人数,人,2024,2024年,4,4,"{""2024年"": ""4""}",讲师队伍搭建 内部优秀讲师队伍人数 人 2024年 4,llm_no_match:内部优秀讲师队伍人数属于企业内部能力建设或培训体系特色指标，Core ESG Schema 中无对应 field_key；虽与培训相关，但 Schema 中培训类字段均聚焦于员工受训情况（如培训时长、覆盖率、费用等），不涵盖讲师队伍建设。,0.25
page_41.png,2024年培训体系开展情况,讲师队伍搭建,累计认证讲师人数,人,2024,2024年,超过100,超过100,"{""2024年"": ""超过100""}",讲师队伍搭建 累计认证讲师人数 人 2024年 超过100,llm_no_match:该指标属于内部培训能力建设类特色指标，Core ESG Schema 中无对应字段（如讲师人数、认证讲师等未被定义），不属于环境、社会或治理基础披露项。,0.25
page_41_right.png,2024年培训体系开展情况,新员工培训,组织新员工入职赋能培训批次,批,2024,2024年,5,5,"{""2024年"": ""5""}",新员工培训 组织新员工入职赋能培训批次 批 2024年 5,llm_no_match:组织新员工入职赋能培训批次属于培训组织形式的计数指标，Core ESG Schema 中无对应 field_key；Schema 中培训相关字段均围绕员工覆盖、时长、费用、人次等维度，不包含‘批次’这一非标准化计量单位，且‘新员工培训’未在任何 alias 中出现。,0.3
page_41_right.png,2024年培训体系开展情况,新员工培训,学习课程覆盖单位数量,个,2024,2024年,20,20,"{""2024年"": ""20""}",新员工培训 学习课程覆盖单位数量 个 2024年 20,llm_no_match:学习课程覆盖单位数量属于培训组织维度的管理指标，Core ESG Schema 中无对应 field_key；Schema 中培训相关字段均聚焦于员工个体（如培训时长、覆盖率、人次等），不涉及‘单位数量’这一组织级统计口径。,0.3
page_41_right.png,2024年培训体系开展情况,专项培训课程,专业培训场次,场,2024,2024年,61,61,"{""2024年"": ""61""}",专项培训课程 专业培训场次 场 2024年 61,llm_no_match:专业培训场次不属于 Core ESG Schema 中定义的任何 field_key；Schema 中仅包含培训相关指标如培训总时长、人均培训时长、培训覆盖率、培训投入金额、受训员工人次等，但无‘培训场次’或类似别名。,0.3
page_41_right.png,2024年培训体系开展情况,专项培训课程,覆盖专业类别数量,个,2024,2024年,15,15,"{""2024年"": ""15""}",专项培训课程 覆盖专业类别数量 个 2024年 15,llm_no_match:覆盖专业类别数量属于培训体系内部管理维度指标，Core ESG Schema 中无对应 field_key；既非标准ESG环境、社会或治理量化指标（如培训覆盖率、人均培训时长等），也未在 aliases 中出现任何匹配项。,0.3
page_41_right.png,2024年培训体系开展情况,专项培训课程,满意度,%,2024,2024年,90,90,"{""2024年"": ""90""}",专项培训课程 满意度 % 2024年 90,llm_no_match:客户满意度或培训满意度属于主观评价类指标，Core ESG Schema 中无对应 field_key；'满意度'未在任何 aliases 中出现，且不属于环境、社会或治理的标准化量化披露指标。,0.25
page_41_right.png,2024年培训体系开展情况,讲师队伍搭建,内部优秀讲师队伍人数,人,2024,2024年,超过100,超过100,"{""2024年"": ""超过100""}",讲师队伍搭建 内部优秀讲师队伍人数 人 2024年 超过100,llm_no_match:内部优秀讲师队伍人数属于企业培训能力建设的细化指标，Core ESG Schema 中无对应 field_key；虽与培训相关，但 schema 中仅包含培训时长、覆盖率、费用、人次等通用人力发展指标，未涵盖讲师队伍建设。,0.3
page_41_right.png,2024年培训体系开展情况,讲师队伍搭建,年度新增初级讲师人数,人,2024,2024年,4,4,"{""2024年"": ""4""}",讲师队伍搭建 年度新增初级讲师人数 人 2024年 4,llm_no_match:‘年度新增初级讲师人数’属于内部能力建设或培训体系管理指标，Core ESG Schema 中无对应 field_key；虽与培训相关，但 Schema 中所有培训类字段（如 trained_employees_count、training_hours_per_employee 等）均聚焦于员工受训情况，而非讲师队伍建设，故不匹配。,0.2
page_43.png,指标与目标,,特种作业人员持证率100%,,2024,2024年,达成,达成,"{""2024年"": ""达成""}",特种作业人员持证率100% 达成,llm_no_match:特种作业人员持证率属于职业资质管理或合规运营类指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但 Schema 中未定义持证率、资质覆盖率等字段。,0.3
page_43.png,指标与目标,,工伤人数为零,,2024,2024年,达成,达成,"{""2024年"": ""达成""}",工伤人数为零 达成,llm_no_match:“工伤人数为零”是定性目标陈述，非可量化指标；Core ESG Schema 中对应的是工伤率、因工死亡人数、因工伤损失工作日数等量化字段，无匹配的 field_key 表达‘零工伤’这一目标状态。,0.3
page_43.png,指标与目标,,新增职业病例为零,,2024,2024年,达成,达成,"{""2024年"": ""达成""}",新增职业病例为零 达成,llm_no_match:‘新增职业病例为零’是定性目标陈述（达成/未达成），非可量化ESG指标；Core ESG Schema中无对应field_key（如职业健康相关指标仅含工伤率、因工死亡人数、健康档案覆盖率等，但无‘新增职业病例数量’或‘零职业病例’类二元目标字段）；且该表述为结果性声明，无数值型测量，不符合任何field_key的value_type要求。,0.3
page_43.png,指标与目标,,安全处罚为零,,2024,2024年,达成,达成,"{""2024年"": ""达成""}",安全处罚为零 达成,llm_no_match:安全处罚为零是定性目标达成状态（'达成'），非可量化ESG指标；Core ESG Schema中无对应field_key，且未定义类似'安全处罚次数为零'或'零安全处罚事件数'等量化字段。环境违规类仅覆盖'环境违规或处罚事件数量'（environmental_violation_cases），不涵盖安全生产处罚。,0.3
page_43.png,指标与目标,,定期开展员工体检工作,,2024,2024年,达成,达成,"{""2024年"": ""达成""}",定期开展员工体检工作 达成,llm_no_match:该指标为定性描述（'达成'），无量化数值，且'定期开展员工体检工作'属于管理实践或活动类表述，Core ESG Schema 中对应的是员工健康档案或体检覆盖率（employee_health_record_coverage_rate），但本行未提供覆盖率、人数或比例等可量化指标，仅表示工作状态，不满足 value_type: percentage 或 number 要求。,0.3
page_43.png,关键绩效,,公司安全生产责任险人员覆盖,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",公司安全生产责任险人员覆盖 % 2024年 100%,llm_no_match:安全生产责任险人员覆盖率属于保险覆盖类指标，Core ESG Schema 中无对应 field_key；既非环境类（E）核心指标（如排放、能耗、水耗等），也非社会类（S）标准指标（如社保覆盖率、体检覆盖率等），亦非治理类（G）指标。该指标未在 aliases 或语义上匹配任何 schema 字段。,0.3
page_43_left.png,指标与目标,,特种作业人员持证率100%,,,报告期内达成情况,达成,达成,"{""报告期内达成情况"": ""达成""}",特种作业人员持证率100% 达成,llm_no_match:特种作业人员持证率属于职业安全合规管理指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但未在 schema 中定义（如无 'special_operations_certification_rate' 或类似字段），且不属于已列示的 S 类指标（如工伤率、培训覆盖率等）。,0.3
page_43_left.png,指标与目标,,工伤人数为零,,,报告期内达成情况,达成,达成,"{""报告期内达成情况"": ""达成""}",工伤人数为零 达成,llm_no_match:‘工伤人数为零’是定性达成状态描述，非可量化指标值；Core ESG Schema 中对应安全类指标为 work_injury_rate（工伤率）、work_related_fatalities（因工死亡人数）或 lost_workdays_due_to_injury（因工伤损失工作日数），均要求数值型输入，不包含‘零人数’的二元状态表述。该行无数值型测量结果，且‘为零’属于目标达成判断而非指标本身，无法匹配任何 field_key。,0.3
page_43_left.png,指标与目标,,新增职业病例为零,,,报告期内达成情况,达成,达成,"{""报告期内达成情况"": ""达成""}",新增职业病例为零 达成,llm_no_match:新增职业病例为零是定性目标达成状态（'达成'），非可量化ESG指标；Core ESG Schema中无对应field_key，且未在aliases中出现职业病相关量化字段（如职业病发病数、职业健康事件等）；该表述属于目标声明而非测量值。,0.3
page_43_left.png,指标与目标,,安全处罚为零,,,报告期内达成情况,达成,达成,"{""报告期内达成情况"": ""达成""}",安全处罚为零 达成,llm_no_match:安全处罚为零是定性达成状态描述，非可量化ESG指标；Core ESG Schema中无对应field_key（如environmental_violation_cases仅匹配数量，不匹配‘为零’的达成状态），且该表述属于合规结果声明而非标准计量指标。,0.2
page_43_left.png,指标与目标,,定期开展员工体检工作,,,报告期内达成情况,达成,达成,"{""报告期内达成情况"": ""达成""}",定期开展员工体检工作 达成,llm_no_match:该指标为定性描述性陈述（'定期开展员工体检工作'），未提供可量化的数值，且Core ESG Schema中无对应field_key；'员工健康档案或体检覆盖率'（employee_health_record_coverage_rate）要求量化覆盖率（%），而本行仅表示'达成'，不满足value_type: percentage要求。,0.3
