page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_49.png,隐患排查整改达标率,,隐患排查整改达标率,%,{'2024年': '100'},报告期间 隐患排查整改达标率 100%,llm_no_match:隐患排查整改达标率属于安全生产管理过程性指标，Core ESG Schema 中无对应 field_key；虽与 ESG 相关，但未在标准字段中定义，且不属于环境、社会或治理类核心披露项。
page_50.png,安全教育绩效表,安全教育,安全教育培训覆盖人次,人次,"{'2024年': '63,932'}","安全教育培训覆盖人次 人次 2024年 63,932",llm_no_match:安全教育培训覆盖人次不属于 Core ESG Schema 中任何 field_key；Schema 中无与‘安全教育’直接对应的指标，相关安全类指标仅限工伤率、因工死亡人数、损失工作日等事故结果性指标，不包含培训覆盖人次。
page_50.png,安全教育绩效表,安全教育,开展安全教育培训场次,场,"{'2024年': '2,212'}","开展安全教育培训场次 场 2024年 2,212",llm_no_match:安全教育培训场次不属于 Core ESG Schema 中的任何 field_key；Schema 中无与‘安全教育’或‘培训场次’直接对应的指标（培训相关指标均聚焦员工培训覆盖、时长、费用、人次等，且明确指向‘员工能力发展’范畴，而非安全生产专项教育场次）；该指标未在 aliases 或语义中被涵盖。
page_50.png,职业健康绩效表,职业健康,职业病发生,起,{'2024年': '0'},职业病发生 起 2024年 0,llm_no_match:职业病发生属于职业健康安全事件类指标，但 Core ESG Schema 中未定义对应 field_key（如无 'occupational_disease_cases' 等字段）；现有 S 类指标包含工伤率、因工死亡人数、损失工作日等，但不涵盖职业病发生数量，因此不匹配。
page_50.png,职业健康绩效表,职业健康,特殊作业人员持证上岗率,%,{'2024年': '100%'},特殊作业人员持证上岗率 % 2024年 100%,llm_no_match:特殊作业人员持证上岗率属于职业健康安全管理的执行类指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但未在 schema 中定义（如无 'certified_special_workers_rate' 或类似字段），且不属于已列示的工伤、健康档案、培训覆盖率等明确字段。
page_50.png,职业健康绩效表,职业健康,安全生产责任人员覆盖率,%,{'2024年': '100%'},安全生产责任人员覆盖率 % 2024年 100%,llm_no_match:安全生产责任人员覆盖率不属于 Core ESG Schema 中定义的任何 field_key；Schema 中无对应别名或语义匹配项，且该指标未在 S 类（社会）或 G 类（治理）中被覆盖。
page_50.png,职业健康绩效表,职业健康,职业病危害因素检测率,%,{'2024年': '100%'},职业病危害因素检测率 % 2024年 100%,llm_no_match:职业病危害因素检测率未在 Core ESG Schema 中定义，Schema 中无对应 field_key；相关健康类指标仅有员工健康档案或体检覆盖率（employee_health_record_coverage_rate），但检测率不等同于覆盖率，语义和管理目标不同。
page_50_left.png,安全教育培训绩效表,,,,"{'安全教育培训参与人次': '63,932', '安全教育培训覆盖比率': '100%', '开展安全教育培训场': '2,212'}","报告期间 安全教育培训参与人次 安全教育培训覆盖比率 开展安全教育培训场 63,932 人次 100% 2,212 场",llm_no_match:安全教育培训相关指标（参与人次、覆盖比率、场次）在 Core ESG Schema 中无对应 field_key；虽培训类指标存在（如 training_total_hours、training_coverage_rate 等），但明确限定为‘员工培训’，且‘安全教育培训’属于细分场景，Schema 中未将安全教育作为独立或可映射的培训子类；无 aliases 覆盖‘安全教育培训’，故不匹配。
page_50_right.png,报告期内职业健康绩效,,职业病发生,起,{'2024年': '0'},职业病发生 起 2024年 0,llm_no_match:职业病发生属于职业健康安全事件类指标，但 Core ESG Schema 中未定义对应字段（如职业病发病数、职业病病例数等），现有 schema 仅包含工伤率、因工死亡人数、损失工作日等，不涵盖职业病发生数量。
page_50_right.png,报告期内职业健康绩效,,特殊作业人员持证上岗率,%,{'2024年': '100'},特殊作业人员持证上岗率 % 2024年 100,llm_no_match:特殊作业人员持证上岗率属于安全生产管理或合规运营类指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但 Schema 中未定义此类资质覆盖率指标。
page_50_right.png,报告期内职业健康绩效,,安全生产责任险人员覆盖率,%,{'2024年': '100'},安全生产责任险人员覆盖率 % 2024年 100,llm_no_match:安全生产责任险人员覆盖率属于保险覆盖类管理实践指标，Core ESG Schema 中无对应 field_key；虽与员工保障相关，但 Schema 中未定义保险覆盖率类字段（如社保覆盖率有 social_insurance_coverage_rate，但不涵盖商业保险或责任险），故不匹配。
page_50_right.png,报告期内职业健康绩效,,职业病危害因素检测率,%,{'2024年': '100'},职业病危害因素检测率 % 2024年 100,llm_no_match:职业病危害因素检测率未在 Core ESG Schema 中定义，不属于环境（E）、社会（S）或治理（G）类标准字段；Schema 中无对应 aliases 或语义匹配项。
page_51.png,员工构成情况,,按性别划分员工数,,{'2024': ''},按性别划分员工数 单位 2024,llm_no_match:“按性别划分员工数”是汇总性描述，非具体可匹配的原子指标；其子行“女性”“男性”虽分别对应 female_employees 和 male_employees，但主行本身无独立 field_key，且 Core ESG Schema 中无涵盖该聚合层级的字段（如 gender_breakdown 或类似 field_key），故主行不匹配。
page_51.png,员工构成情况,,按生产状况划分员工数,,{'2024': ''},按生产状况划分员工数 单位 2024,llm_no_match:该指标按生产状况（如生产、销售）划分员工数，属于内部组织管理或业务结构分类，Core ESG Schema 中无对应 field_key；既非标准人力结构维度（如性别、年龄、管理层比例等），也非 S 类核心社会议题指标。
page_51.png,员工构成情况,,按专业划分员工数,,{'2024': ''},按专业划分员工数 单位 2024,llm_no_match:该指标按专业划分员工数（如技术、财务、行政）属于人力资源结构细分，Core ESG Schema 中无对应 field_key；既非标准人口统计维度（如性别、年龄、民族），也非培训、健康、社保等 S 类标准指标。
page_51.png,员工构成情况,,员工中30岁以下占比,%,{'2024': '31.11'},员工中30岁以下占比 % 2024 31.11,llm_no_match:Core ESG Schema 中无 '30岁以下员工占比' 字段，仅有按年龄段划分的员工人数（如 employees_under_30），但无对应比例类指标；'员工中30岁以下占比' 不在任何 field_key 的 aliases 中，且 value_type 为 percentage 的年龄相关字段未被定义。
page_51.png,员工构成情况,,员工中30～50岁占比,%,{'2024': '61.77'},员工中30～50岁占比 % 2024 61.77,rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:指标名称'员工中30～50岁占比'虽含'占比'，但其实际含义为30至50岁员工人数占员工总数的比例；然而Core Schema中employees_30_to_50定义为人数（value_type: number），而本行unit为'%'且值为百分比，与schema中定义的value_type不一致；但进一步核查发现：Core Schema中无任何'30～50岁员工比例'字段，所有年龄分段字段均为人数类型（number），且无对应percentage类型字段；因此该指标实质是年龄结构比例，但Schema未定义该类比例指标；故应判定为不匹配。更正：该指标不属于现有field_key，因employees_30_to_50要求value_type=number，而此处为percentage，且无employees_30_to_50_ratio等对应字段。
page_51.png,员工构成情况,,员工中50岁以上占比,%,{'2024': '7.12'},员工中50岁以上占比 % 2024 7.12,rejected_by_schema_validator:unit_type_mismatch:person_count; original_reason=llm_match:员工中50岁以上占比对应的是50岁以上员工人数，但该指标名称含'占比'且单位为%，而 employees_over_50 的 value_type 是 number、unit_examples 是 '人、名'，不匹配；需检查是否存在比例类字段。Core Schema 中无 '50岁以上员工比例' 字段，仅有 employees_over_50（人数）、female_employee_ratio（比例）等明确比例字段。'员工中50岁以上占比' 应匹配女性员工比例类结构，但 Schema 中未定义 age-based 比例字段（如 employees_over_50_ratio），因此不属于 Core ESG Schema。
page_51.png,员工构成情况,,国内员工占比,%,{'2024': '78.94'},国内员工占比 % 2024 78.94,llm_no_match:国内员工占比不属于 Core ESG Schema 中任何 field_key 的别名或语义范畴；Schema 中无涉及地域分布（如国内/海外）的员工结构指标，仅包含性别、年龄、民族等人口统计维度。
page_51.png,员工构成情况,,国外员工占比,%,{'2024': '21.06'},国外员工占比 % 2024 21.06,llm_no_match:国外员工占比未在 Core ESG Schema 中定义，无对应 field_key；Schema 中仅包含性别、年龄、民族等人口结构维度，不涵盖国籍/地域分布。
page_51.png,报告期内,,正式员工劳动合同签订率,%,{'2024': '100'},正式员工劳动合同签订率 % 2024 100,llm_no_match:正式员工劳动合同签订率属于劳动合规类指标，Core ESG Schema 中无对应 field_key（如无 'labor_contract_signing_rate' 或类似别名），且未在任何 aliases 中出现。该指标虽与 S 类相关，但 Schema 中现有字段聚焦于员工结构、培训、健康、安全、社保覆盖等，不涵盖劳动合同签订情况。
page_51.png,报告期内,,使用童工事件数,宗,{'2024': '0'},使用童工事件数 宗 2024 0,llm_no_match:使用童工事件数属于劳工权益相关严重负面指标，但 Core ESG Schema 中未定义对应 field_key（如无 child_labor_cases 或类似字段），且不属于现有 S 类指标范畴，故不匹配。
page_51.png,报告期内,,劳动歧视事件数,宗,{'2024': '0'},劳动歧视事件数 宗 2024 0,llm_no_match:劳动歧视事件数在 Core ESG Schema 中无对应 field_key；Schema 中未定义任何关于歧视、平等权侵害或类似社会违规事件的量化指标，不属于现有 S 类（如员工结构、培训、健康、安全）或 G 类（治理）字段。
page_51_right.png,员工构成情况,,生产,人,"{'2024': '10,438'}","按专业划分员工数 生产 人 2024 10,438",llm_no_match:该指标为按专业划分的员工数（生产类员工），Core ESG Schema 中无对应 field_key；'生产' 是岗位/职能分类，非标准化 ESG 指标，且未在任何 aliases 中出现。
page_51_right.png,员工构成情况,,销售,人,{'2024': '239'},按专业划分员工数 销售 人 2024 239,llm_no_match:销售（此处指销售岗位员工人数）未在 Core ESG Schema 中定义；Core Schema 中无按职能/专业划分的员工子类指标（如销售、研发、行政等），仅包含总员工数、性别、年龄、管理层、研发人员等特定维度。该指标不属于 E/S/G 任一标准字段。
page_51_right.png,员工构成情况,,技术,人,"{'2024': '2,149'}","按专业划分员工数 技术 人 2024 2,149",llm_no_match:该指标'技术'指按专业划分的员工类别，属于人力资源结构细分，但 Core ESG Schema 中无对应字段（如无'technical_staff_count'或类似字段）；其名称、上下文及单位均不匹配任何现有S类员工构成指标（如total_employees、r_and_d_employees等），且未在aliases中出现。
page_51_right.png,员工构成情况,,财务,人,{'2024': '132'},按专业划分员工数 财务 人 2024 132,llm_no_match:该指标'财务'指财务部门员工人数，属于按职能划分的员工结构信息，Core ESG Schema 中无对应 field_key（如无 'finance_department_employees' 等字段）；且未在任何 S 类别 aliases 中出现，不属于员工总数、性别、年龄、培训、健康等标准化社会维度指标。
