field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
electricity_consumption,用电量,E,False,779438,779438千瓦时,千瓦时,千瓦时,无需转换,2024,"年度用电总量
千瓦时
779438",[45],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,102.0,manufacturing,core,"[{""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 52, ""bm25_score"": 59.8817, ""vector_score"": 0.0, ""hit_keywords"": [""用电总量"", ""年度用电总量"", ""千瓦时"", ""度""], ""hit_query_terms"": [""用电"", ""总量"", ""用电总量"", ""电总"", ""用电总"", ""电总量"", ""年度用电总量"", ""年度"", ""度用"", ""年度用"", ""度用电"", ""千瓦时""], ""hit_units"": [""千瓦时""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p29_59"", ""page_number"": 29, ""retrieval_score"": 35, ""bm25_score"": 4.2485, ""vector_score"": 0.0, ""hit_keywords"": [""度""], ""hit_query_terms"": [""力总""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 8}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 34, ""bm25_score"": 6.8876, ""vector_score"": 0.0, ""hit_keywords"": [""度""], ""hit_query_terms"": [""用电"", ""总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}, {""chunk_id"": ""p7_11"", ""page_number"": 7, ""retrieval_score"": 33, ""bm25_score"": 2.33, ""vector_score"": 0.0, ""hit_keywords"": [""度""], ""hit_query_terms"": [""年度""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 25}, {""chunk_id"": ""p8_12"", ""page_number"": 8, ""retrieval_score"": 33, ""bm25_score"": 2.33, ""vector_score"": 0.0, ""hit_keywords"": [""度""], ""hit_query_terms"": [""年度""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 18}]",B2_quant_text_rag
shareholder_meetings,股东大会会议次数,G,True,3,3 次,次,次,无需转换,2024,"2024 年 公司召开股东大会3 次, 审议通过18 项议案",[43],0.95,定位到目标字段同义词'股东大会'，提取到明确年份2024和原始数值3次，单位为次，符合目标单位，无禁止词干扰,True,,98.9197,manufacturing,core,"[{""chunk_id"": ""p43_94"", ""page_number"": 43, ""retrieval_score"": 53, ""bm25_score"": 55.7656, ""vector_score"": 0.545983, ""hit_keywords"": [""召开股东大会""], ""hit_query_terms"": [""股东"", ""东大"", ""大会"", ""会议"", ""股东大"", ""东大会"", ""会召"", ""召开"", ""大会召"", ""会召开"", ""召开股东大会"", ""开股""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 17}, {""chunk_id"": ""p7_10"", ""page_number"": 7, ""retrieval_score"": 39, ""bm25_score"": 8.4045, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""大会"", ""会议"", ""召开""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 37}, {""chunk_id"": ""p7_11"", ""page_number"": 7, ""retrieval_score"": 39, ""bm25_score"": 6.3299, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""会议"", ""召开""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 25}, {""chunk_id"": ""p9_15"", ""page_number"": 9, ""retrieval_score"": 39, ""bm25_score"": 5.3136, ""vector_score"": 0.150461, ""hit_keywords"": [], ""hit_query_terms"": [""会议"", ""召开""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p17_32"", ""page_number"": 17, ""retrieval_score"": 39, ""bm25_score"": 5.2086, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""会议"", ""召开""], ""hit_units"": [""次"", ""场""], ""hit_forbidden"": [], ""number_count"": 16}]",B2_quant_text_rag
scope_2_emissions,范围二温室气体排放量,E,False,1131,0.1131万吨二氧化碳当量,万吨二氧化碳当量,吨,万吨二氧化碳当量转吨，乘以10000,2024,温室气体排放量 万吨二氧化碳当量 - 0.1131 0.1042,[45],0.0,b2_validation_failed:required_keyword_missing_in_evidence;scope_2_requires_explicit_scope_or_indirect_emission,False,required_keyword_missing_in_evidence;scope_2_requires_explicit_scope_or_indirect_emission,93.2629,manufacturing,core,"[{""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 39, ""bm25_score"": 37.7129, ""vector_score"": 0.146599, ""hit_keywords"": [], ""hit_query_terms"": [""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""放量"", ""温室气"", ""室气体"", ""气体排"", ""体排放"", ""排放量""], ""hit_units"": [""吨二氧化碳当量""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p19_38"", ""page_number"": 19, ""retrieval_score"": 37, ""bm25_score"": 9.8136, ""vector_score"": 0.213145, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放量"", ""排放量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p46_98"", ""page_number"": 46, ""retrieval_score"": 36, ""bm25_score"": 6.3253, ""vector_score"": 0.139026, ""hit_keywords"": [], ""hit_query_terms"": [""e2""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 67}, {""chunk_id"": ""p2_1"", ""page_number"": 2, ""retrieval_score"": 33, ""bm25_score"": 3.4012, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""co""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p3_3"", ""page_number"": 3, ""retrieval_score"": 33, ""bm25_score"": 4.6766, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""co""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 53}]",B2_quant_text_rag
scope_1_emissions,范围一温室气体排放量,E,False,1131,0.1131万吨二氧化碳当量,万吨二氧化碳当量,吨,万吨二氧化碳当量转吨，乘以10000；0.1131 × 10000 = 1131,2023,温室气体排放量	万吨二氧化碳当量	-	0.1131	0.1042,[45],0.0,b2_validation_failed:required_keyword_missing_in_evidence;scope_1_requires_explicit_scope_or_direct_emission,False,required_keyword_missing_in_evidence;scope_1_requires_explicit_scope_or_direct_emission,93.2201,manufacturing,core,"[{""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 39, ""bm25_score"": 37.7129, ""vector_score"": 0.169404, ""hit_keywords"": [], ""hit_query_terms"": [""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""放量"", ""温室气"", ""室气体"", ""气体排"", ""体排放"", ""排放量""], ""hit_units"": [""吨二氧化碳当量""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p19_38"", ""page_number"": 19, ""retrieval_score"": 37, ""bm25_score"": 9.8136, ""vector_score"": 0.211007, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放量"", ""排放量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p2_1"", ""page_number"": 2, ""retrieval_score"": 36, ""bm25_score"": 3.4012, ""vector_score"": 0.140712, ""hit_keywords"": [], ""hit_query_terms"": [""co""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 34, ""bm25_score"": 44.352, ""vector_score"": 0.203233, ""hit_keywords"": [], ""hit_query_terms"": [""温室"", ""室气"", ""气体"", ""体排"", ""排放"", ""温室气"", ""室气体"", ""气体排"", ""体排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}, {""chunk_id"": ""p3_3"", ""page_number"": 3, ""retrieval_score"": 33, ""bm25_score"": 4.6766, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""co""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 53}]",B2_quant_text_rag
energy_consumption_total,能源消耗总量,E,True,779438,779438千瓦时,千瓦时,千瓦时,无需转换,2024,"年度用电总量
千瓦时
779438",[45],0.95,定位到目标字段同义词'年度用电总量'，与'能源消耗总量'语义一致，有明确年份2024和原始数值779438千瓦时，且未出现任何禁止词；单位千瓦时是目标单位示例之一，无需转换;soft_penalty:soft_pass_strong_unit_anchor:千瓦时;vector=0.1500,True,soft_pass_strong_unit_anchor:千瓦时;vector=0.1500,92.0006,manufacturing,core,"[{""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 39, ""bm25_score"": 4.3311, ""vector_score"": 0.150031, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [""千瓦时""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p5_6"", ""page_number"": 5, ""retrieval_score"": 33, ""bm25_score"": 3.041, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""综合""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p13_24"", ""page_number"": 13, ""retrieval_score"": 33, ""bm25_score"": 3.1499, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""直接""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p19_38"", ""page_number"": 19, ""retrieval_score"": 33, ""bm25_score"": 3.041, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""综合""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p42_91"", ""page_number"": 42, ""retrieval_score"": 33, ""bm25_score"": 3.1499, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""直接""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}]",B2_quant_text_rag
wastewater_discharge,废水排放量,E,False,,,,,,,,[],0.0,证据中提及废水处理、回用、零排放和化验室废液处理，但未提供任何废水排放量的数值；虽有'废水'相关描述，但无明确排放量数据，且多次强调'无外排'或'循环使用'，不符合'排放量'的定量要求,False,证据中提及废水处理、回用、零排放和化验室废液处理，但未提供任何废水排放量的数值；虽有'废水'相关描述，但无明确排放量数据，且多次强调'无外排'或'循环使用'，不符合'排放量'的定量要求,87.6348,manufacturing,core,"[{""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 47, ""bm25_score"": 24.8881, ""vector_score"": 0.0, ""hit_keywords"": [""立方米"", ""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""总量"", ""立方米"", ""立方"", ""方米""], ""hit_units"": [""吨"", ""立方米""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p17_32"", ""page_number"": 17, ""retrieval_score"": 40, ""bm25_score"": 8.529, ""vector_score"": 0.0, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""排放"", ""放量"", ""排放量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p19_39"", ""page_number"": 19, ""retrieval_score"": 40, ""bm25_score"": 23.5032, ""vector_score"": 0.208112, ""hit_keywords"": [""吨""], ""hit_query_terms"": [""废水"", ""水排"", ""排放"", ""污水"", ""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p19_38"", ""page_number"": 19, ""retrieval_score"": 38, ""bm25_score"": 13.2148, ""vector_score"": 0.281742, ""hit_keywords"": [], ""hit_query_terms"": [""废水"", ""排放"", ""放量"", ""排放量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 34, ""bm25_score"": 23.3815, ""vector_score"": 0.0, ""hit_keywords"": [""排放总量""], ""hit_query_terms"": [""排放"", ""放总"", ""总量"", ""排放总"", ""放总量"", ""排放总量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}]",B2_quant_text_rag
air_pollutant_emissions,废气或大气污染物排放量,E,False,,,,,,,,[],0.0,虽然文中多次提及废气排放、大气污染物治理和检测，但未提供任何具体的排放量数值（如氮氧化物、二氧化硫、颗粒物或VOCs等的具体吨数或千克数），仅描述了治理措施、标准合规和检测行为，不符合matched=true必须有明确数值的规则,False,虽然文中多次提及废气排放、大气污染物治理和检测，但未提供任何具体的排放量数值（如氮氧化物、二氧化硫、颗粒物或VOCs等的具体吨数或千克数），仅描述了治理措施、标准合规和检测行为，不符合matched=true必须有明确数值的规则,85.1706,manufacturing,core,"[{""chunk_id"": ""p19_38"", ""page_number"": 19, ""retrieval_score"": 41, ""bm25_score"": 97.5075, ""vector_score"": 0.458532, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""大气"", ""气污"", ""污染"", ""染物"", ""物排"", ""排放"", ""放量"", ""大气污"", ""气污染"", ""污染物"", ""染物排""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p17_32"", ""page_number"": 17, ""retrieval_score"": 38, ""bm25_score"": 18.7326, ""vector_score"": 0.108868, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 36, ""bm25_score"": 18.0151, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""排放"", ""放量"", ""排放量"", ""氧化"", ""二氧"", ""二氧化""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p19_39"", ""page_number"": 19, ""retrieval_score"": 35, ""bm25_score"": 27.8015, ""vector_score"": 0.160481, ""hit_keywords"": [], ""hit_query_terms"": [""污染"", ""染物"", ""物排"", ""排放"", ""污染物"", ""染物排"", ""物排放""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 6}, {""chunk_id"": ""p18_35"", ""page_number"": 18, ""retrieval_score"": 32, ""bm25_score"": 10.3765, ""vector_score"": 0.135977, ""hit_keywords"": [], ""hit_query_terms"": [""废气"", ""气或"", ""排放""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 7}]",B2_quant_text_rag
anti_corruption_training_participants,反腐败培训人数,G,False,,,,,,,,[],0.0,证据中虽有'全年累计培训员工人次'和'营销公司组织合规管理培训'等表述，但无'反腐败培训人数'、'廉洁培训人数'、'反舞弊培训人数'、'商业道德培训人数'或其同义词的明确数值记录；'合规管理培训'不等同于目标字段，且'人次'虽为单位匹配，但无对应字段名，无法满足matched=true的严格条件,False,证据中虽有'全年累计培训员工人次'和'营销公司组织合规管理培训'等表述，但无'反腐败培训人数'、'廉洁培训人数'、'反舞弊培训人数'、'商业道德培训人数'或其同义词的明确数值记录；'合规管理培训'不等同于目标字段，且'人次'虽为单位匹配，但无对应字段名，无法满足matched=true的严格条件,84.7371,manufacturing,core,"[{""chunk_id"": ""p45_97"", ""page_number"": 45, ""retrieval_score"": 44, ""bm25_score"": 12.1077, ""vector_score"": 0.286857, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""人数"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 73}, {""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 40, ""bm25_score"": 5.4114, ""vector_score"": 0.1961, ""hit_keywords"": [], ""hit_query_terms"": [""培训"", ""人数""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p11_20"", ""page_number"": 11, ""retrieval_score"": 39, ""bm25_score"": 2.9492, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p17_32"", ""page_number"": 17, ""retrieval_score"": 39, ""bm25_score"": 5.7314, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""人数"", ""人次""], ""hit_units"": [""人"", ""人次""], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p24_47"", ""page_number"": 24, ""retrieval_score"": 39, ""bm25_score"": 3.2135, ""vector_score"": 0.180756, ""hit_keywords"": [], ""hit_query_terms"": [""培训""], ""hit_units"": [""人""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
female_employee_ratio,女性员工比例,S,False,62.51,822人,人,%,女性员工人数822除以职工总数1315，计算得比例为62.51%,2024,"职工总数
人
1315
女职工
人
822",[45],0.0,b2_validation_failed:required_keyword_missing_in_evidence;ratio_field_without_percent_unit,False,required_keyword_missing_in_evidence;ratio_field_without_percent_unit,81.5913,manufacturing,core,"[{""chunk_id"": ""p45_97"", ""page_number"": 45, ""retrieval_score"": 40, ""bm25_score"": 20.6793, ""vector_score"": 0.202394, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""员工"", ""工比"", ""比例"", ""员工比"", ""工比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 73}, {""chunk_id"": ""p24_47"", ""page_number"": 24, ""retrieval_score"": 39, ""bm25_score"": 21.6322, ""vector_score"": 0.329567, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""女性员"", ""性员工""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p22_44"", ""page_number"": 22, ""retrieval_score"": 36, ""bm25_score"": 8.5528, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""比例"", ""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 21}, {""chunk_id"": ""p45_96"", ""page_number"": 45, ""retrieval_score"": 36, ""bm25_score"": 6.9041, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""员工"", ""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 82}, {""chunk_id"": ""p25_49"", ""page_number"": 25, ""retrieval_score"": 34, ""bm25_score"": 2.4, ""vector_score"": 0.190775, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
safety_accident_count,安全生产事故数量,S,False,,,,,,,,[],0.0,虽然出现'员工伤亡人数'和'安全生产投入'等关联字段，但未出现'安全生产事故数量'或其同义词（如安全事故数、生产安全事故数等）与明确数值的对应语句。'员工伤亡人数'为0，但非事故数量指标，且无任何事故数量数据。,False,虽然出现'员工伤亡人数'和'安全生产投入'等关联字段，但未出现'安全生产事故数量'或其同义词（如安全事故数、生产安全事故数等）与明确数值的对应语句。'员工伤亡人数'为0，但非事故数量指标，且无任何事故数量数据。,81.3826,manufacturing,core,"[{""chunk_id"": ""p45_97"", ""page_number"": 45, ""retrieval_score"": 41, ""bm25_score"": 14.1473, ""vector_score"": 0.25398, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""安全生"", ""全生产"", ""工伤""], ""hit_units"": [""次""], ""hit_forbidden"": [], ""number_count"": 73}, {""chunk_id"": ""p25_49"", ""page_number"": 25, ""retrieval_score"": 40, ""bm25_score"": 29.7374, ""vector_score"": 0.269132, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""工伤""], ""hit_units"": [""起""], ""hit_forbidden"": [], ""number_count"": 9}, {""chunk_id"": ""p30_62"", ""page_number"": 30, ""retrieval_score"": 39, ""bm25_score"": 3.4012, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p43_93"", ""page_number"": 43, ""retrieval_score"": 39, ""bm25_score"": 3.3084, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""生产""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 12}, {""chunk_id"": ""p12_21"", ""page_number"": 12, ""retrieval_score"": 38, ""bm25_score"": 10.4667, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""安全生"", ""全生产""], ""hit_units"": [""起"", ""次""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
