level,key,name_cn,pillar,score,rating,field_count,scored_field_count,coverage,evidence_coverage,needs_review_count,auto_cited_count,pillar_weights,theme_key,theme_name_cn
overall,overall,总分,,23.6808,C,53,14,,,49,,"{'E': 0.35, 'S': 0.35, 'G': 0.3}",,
pillar,E,E,E,19.2865,C,21,5,0.2381,0.0952,19,2,,,
pillar,G,G,G,21.6333,C,13,3,0.2308,0.1538,11,2,,,
pillar,S,S,S,29.83,C,19,6,0.3158,0.3158,13,6,,,
theme,business_ethics,商业道德,G,18.0,C,6,1,0.1667,0.0,6,0,,business_ethics,商业道德
theme,climate_change,气候变化,E,22.9621,C,11,3,0.2727,0.1818,9,2,,climate_change,气候变化
theme,disclosure_quality,信披质量,G,99.5,AAA,1,1,1.0,1.0,0,1,,disclosure_quality,信披质量
theme,environmental_management,环境管理,E,24.1429,C,3,1,0.3333,0.0,3,0,,environmental_management,环境管理
theme,environmental_pollution,环境污染,E,0.0,C,5,0,0.0,0.0,5,0,,environmental_pollution,环境污染
theme,governance_structure,治理结构,G,14.1429,C,6,1,0.1667,0.1667,5,1,,governance_structure,治理结构
theme,human_capital,人力资本,S,31.0813,C,15,5,0.3333,0.3333,10,5,,human_capital,人力资本
theme,resource_utilization,资源利用,E,33.6,C,2,1,0.5,0.0,2,0,,resource_utilization,资源利用
theme,social_contribution,社会贡献,S,33.1,C,3,1,0.3333,0.3333,2,1,,social_contribution,社会贡献
theme,supply_chain,供应链,S,0.0,C,1,0,0.0,0.0,1,0,,supply_chain,供应链
