field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,1451.5,吨,2024,route_b2_quant_text_rag,0.95,auto_cited,,p18_35,18,1,0.01612903,相当于减少二氧化碳当量排放 1451.5 吨,息公开栏、贮存设施警示 标志牌及包装识别标签，确保贮存安全。同时，积极推进 固体废物资源化利用，针对熬制中药过程中产生的废渣， 通过技术创新和工艺改进，加工制成有机肥料等产品，实 现环境效益与经济效益双赢。 废气管理 废水管理 固废管理 10 月5 日，鹤龄药事的废气设备主体升级改造项目完成，并通 过南京经济技术开发区环境保护局现场验收。 中药熬制过程中的药渣经过处理成为有机肥料，实现废弃物资源 化利用。 公司主动加装节能设备与能耗管...
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p17_32,17,1,0.01639344,·办公楼及生产型建筑受损，一方 面造成财产损失，另外一方面可 能出现安全风险，影响员工健康。 ·药物流通物流车受损，影响正常 药物配送，间接损害公司营业收 入及利润。 ·制定突发天气应急响应制度，完善应 急响应机制，有效应对突发事件带来 的影响。 ·提前识别可能受极端天气损坏的设备， 并提前做好防护，降低因极端天气而 造成的相关财产损失。 慢性风险： 全球气候变暖、 高温、干旱等 ·随着全球气候变暖，可能需要升 级更多储存药物的制冷设备，增 加运营成本和营业成本。 ·全球气候变暖间接导致的水资源 紧缺，增加用水成本。 ·引入更高能效的制冷设备和技术，有 效降低碳排放。 ·开展水资源管理工作，通过多元化取 水、工艺创新、废水再生等方式降低 水资源消耗。 转型风险 政策和法律风险 ·气候相关法律政策持续出台，对 环境合规管理要求更高，运营成 本增加。 ·及时关注环境法律法规、政策的动态 变化并积极应对。 技术风险 ·发展及使用新技术，促进相关设 备升级改造，增加运营成本。 ·发展太阳能/ 光伏清洁能源，实现节 能降耗。 ·强化产学研合作，重视人才培养，提 高技术研发能力。 市场风险 ·上...,·办公楼及生产型建筑受损，一方 面造成财产损失，另外一方面可 能出现安全风险，影响员工健康。 ·药物流通物流车受损，影响正常 药物配送，间接损害公司营业收 入及利润。 ·制定突发天气应急响应制度，完善应 急响应机制，有效应对突发事件带来 的影响。 ·提前识别可能受极端天气损坏的设备， 并提前做好防护，降低因极端天气而 造成的相关财产损失。 慢性风险： 全球气候变暖、 高温、干旱等 ·随着全球气候变暖，可能需要升 级更多储存药物的制冷设...
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_37,19,1,0.01639344,公司致力降低物流运输对环境的影响，通过智能配送、改善能耗结构、加强驾驶员节油降耗理念宣贯培训与油耗考核激 励等措施，减少运输环节碳排放。 公司在现代化仓储物流项目实施过程中，充分考虑项目建设与投产运营全过程的绿色发展，将环保、节能、低碳等理念 在项目可研、设计、施工、验收、运营等环节贯穿其中。重视建设过程中对周边水环境、大气环境、噪声及固体废弃与 环境敏感区等影响，预留太阳能光伏改造的有关需求与计划，为后期运营提供基础条件，助力能源结构优化升级。 绿色低碳配送 打造绿色仓储 公司采用自营与第三方物流优势互 补模式，扩大物流配送网络覆盖范 围。建立省级物流中心、区域分仓 及城市配送站，布局仓储物流网络， 升级技术与优化管理，完善配送服 务网络与一体化运作能力。 结合公司正在制定的ESG 建设三年 规划，为倡导物流绿色化转型，有 效降低能源消耗和环境影响，公司 拟逐步淘汰高油耗老旧车辆，积极 推进新能源货运车辆在城市物流配 送领域的应用。 创新智能配送 改善能耗结构 公司定期开展节油降耗及节能减排 培训，完善油耗考核激励机制，举 办驾驶员技能竞赛等提升驾驶员节 能意识，使节油降耗、低碳排...,公司致力降低物流运输对环境的影响，通过智能配送、改善能耗结构、加强驾驶员节油降耗理念宣贯培训与油耗考核激 励等措施，减少运输环节碳排放。 公司在现代化仓储物流项目实施过程中，充分考虑项目建设与投产运营全过程的绿色发展，将环保、节能、低碳等理念 在项目可研、设计、施工、验收、运营等环节贯穿其中。重视建设过程中对周边水环境、大气环境、噪声及固体废弃与 环境敏感区等影响，预留太阳能光伏改造的有关需求与计划，为后期运营提供基础条件，助力能源结...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p18_35,18,1,0.01639344,息公开栏、贮存设施警示 标志牌及包装识别标签，确保贮存安全。同时，积极推进 固体废物资源化利用，针对熬制中药过程中产生的废渣， 通过技术创新和工艺改进，加工制成有机肥料等产品，实 现环境效益与经济效益双赢。 废气管理 废水管理 固废管理 10 月5 日，鹤龄药事的废气设备主体升级改造项目完成，并通 过南京经济技术开发区环境保护局现场验收。 中药熬制过程中的药渣经过处理成为有机肥料，实现废弃物资源 化利用。 公司主动加装节能设备与能耗管理设备，探索打造绿色物流园区。积极推进光伏发电项目，利用仓库和办公楼空闲屋顶 铺设分布式光伏发电设备，减少碳排放，有效应对气候变化。改进智能化控制系统，根据气温和药械商品存储要求精准 控制暖通空调及温湿度设备，有效控制仓库温湿度，在确保药品储存质量的同时，实现节能降耗与运营成本的双重优化。 建设低碳园区 绿色物流 低碳环保 公司将绿色发展理念贯穿到业务发展全过程，坚持在系统设备升级、包装耗材、物 流运输配送、仓储作业等各个环节不断推进减碳环保行动，推动物流供应链绿色发展。 8 月9 日，下属子公司康捷物流成为江苏省地方标准《绿色物流园区评价指南》起草单位...,息公开栏、贮存设施警示 标志牌及包装识别标签，确保贮存安全。同时，积极推进 固体废物资源化利用，针对熬制中药过程中产生的废渣， 通过技术创新和工艺改进，加工制成有机肥料等产品，实 现环境效益与经济效益双赢。 废气管理 废水管理 固废管理 10 月5 日，鹤龄药事的废气设备主体升级改造项目完成，并通 过南京经济技术开发区环境保护局现场验收。 中药熬制过程中的药渣经过处理成为有机肥料，实现废弃物资源 化利用。 公司主动加装节能设备与能耗管...
energy_consumption_total,能源消耗总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p19_39,19,1,0.01639344,开，节约成本、提升效率并减 少差旅出行带来的碳排放和能 源消耗。 倡导双面打印，减少纸张消 耗，积极推进无纸化办公；合 理配置办公用品，重复使用办 公用品。 报告期内，公司 信息系统推荐的标准纸箱已应用于所有客户，采纳率达 94% 在下游客户试点可循环周转箱，年累计配送周转约 7.2 万箱次 34 南京医药股份有限公司2024 年环境、社会和公司治理（ESG）报告 绿色低碳 · 寻求健康守护良方 35,开，节约成本、提升效率并减 少差旅出行带来的碳排放和能 源消耗。 倡导双面打印，减少纸张消 耗，积极推进无纸化办公；合 理配置办公用品，重复使用办 公用品。 报告期内，公司 信息系统推荐的标准纸箱已应用于所有客户，采纳率达 94% 在下游客户试点可循环周转箱，年累计配送周转约 7.2 万箱次 34 南京医药股份有限公司2024 年环境、社会和公司治理（ESG）报告 绿色低碳 · 寻求健康守护良方 35
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p18_35,18,1,0.04492537,息公开栏、贮存设施警示 标志牌及包装识别标签，确保贮存安全。同时，积极推进 固体废物资源化利用，针对熬制中药过程中产生的废渣， 通过技术创新和工艺改进，加工制成有机肥料等产品，实 现环境效益与经济效益双赢。 废气管理 废水管理 固废管理 10 月5 日，鹤龄药事的废气设备主体升级改造项目完成，并通 过南京经济技术开发区环境保护局现场验收。 中药熬制过程中的药渣经过处理成为有机肥料，实现废弃物资源 化利用。 公司主动加装节能设备与能耗管理设备，探索打造绿色物流园区。积极推进光伏发电项目，利用仓库和办公楼空闲屋顶 铺设分布式光伏发电设备，减少碳排放，有效应对气候变化。改进智能化控制系统，根据气温和药械商品存储要求精准 控制暖通空调及温湿度设备，有效控制仓库温湿度，在确保药品储存质量的同时，实现节能降耗与运营成本的双重优化。 建设低碳园区 绿色物流 低碳环保 公司将绿色发展理念贯穿到业务发展全过程，坚持在系统设备升级、包装耗材、物 流运输配送、仓储作业等各个环节不断推进减碳环保行动，推动物流供应链绿色发展。 8 月9 日，下属子公司康捷物流成为江苏省地方标准《绿色物流园区评价指南》起草单位...,息公开栏、贮存设施警示 标志牌及包装识别标签，确保贮存安全。同时，积极推进 固体废物资源化利用，针对熬制中药过程中产生的废渣， 通过技术创新和工艺改进，加工制成有机肥料等产品，实 现环境效益与经济效益双赢。 废气管理 废水管理 固废管理 10 月5 日，鹤龄药事的废气设备主体升级改造项目完成，并通 过南京经济技术开发区环境保护局现场验收。 中药熬制过程中的药渣经过处理成为有机肥料，实现废弃物资源 化利用。 公司主动加装节能设备与能耗管...
natural_gas_consumption,天然气消耗量,E,extracted,1.49,万立方米,2024,route_a_appendix_table,0.9,auto_cited,,table_page_31,31,1,,天然气消耗量 万立方米 2022年 1.39 2023年 1.54 2024年 1.49,天然气消耗量 万立方米 2022年 1.39 2023年 1.54 2024年 1.49
electricity_consumption,用电量,E,extracted,3160.76,万千瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_31,31,1,,外购电力 万千瓦时 2022年 2677.22 2023年 2659.03 2024年 3160.76,外购电力 万千瓦时 2022年 2677.22 2023年 2659.03 2024年 3160.76
water_consumption,用水量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p8_13,8,1,0.01587302,提升ESG 工作的针对性 和响应度。基于“双重重要性”原则，综合考量国家宏观政策、行业法规实践并结合 公司发展战略实际，构建系统化的议题识别与评估体系。报告期内，公司以利益相 关方实质性议题问卷调查结果为基础，从“对公司财务的重要性”和“对经济、社会 和环境影响的重要性”两个维度，建立重大议题管理模型，识别并筛选出23 项利益 相关方关注度较高的议题作为ESG 管理和报告披露的重点。 ESG 组织架构 ESG 能力提升 利益相关方沟通 实质性议题分析 5 月15 日，公司应邀参加中国医药商业协会“医药行业企业如何推动ESG 和绿色、可持续发展” 高管沙龙交流，荣获“ESG 先锋引领奖”。 利益相关方 期望与诉求 沟通与回应 政府 遵纪守法 依法纳税 经济效益 合规经营 主动纳税 带动地区发展 股东及投资者 规范运作 持续盈利 稳健经营 完善公司治理 创造经济价值 强化风险管控 员工 保障员工权益 助力员工成长 平衡工作生活 员工健康与安全 健全薪酬福利体系 完善培训及晋升机制 定期开展员工关爱 保障职业健康安全 客户与消费者 产品质量与服务创新 客户满意度与投诉 消费者个人隐私安全 ...,提升ESG 工作的针对性 和响应度。基于“双重重要性”原则，综合考量国家宏观政策、行业法规实践并结合 公司发展战略实际，构建系统化的议题识别与评估体系。报告期内，公司以利益相 关方实质性议题问卷调查结果为基础，从“对公司财务的重要性”和“对经济、社会 和环境影响的重要性”两个维度，建立重大议题管理模型，识别并筛选出23 项利益 相关方关注度较高的议题作为ESG 管理和报告披露的重点。 ESG 组织架构 ESG 能力提升 利益相关方沟通...
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p18_34,18,1,0.01612903,公司深入贯彻落实党中央、国务院关于全面打好污染防治攻坚战的战略部署，通过持续优化生产流程、构建智慧化环境 监管体系、推广应用环保技术等举措，严格把控废气、废水、固体废物等污染物合规排放，最大限度地降低生产经营对 生态环境及社区居民的影响。报告期内，公司废气、废水、固废均全部达标合规排放。 降低污染排放 公司重视煎药生产过程中废气，确保废气达标排放。针对 润药、煎煮、灌注包装及药渣堆放等生产工序过程中排放 的药物气味，下属子公司鹤龄药事积极推进废气治理设施 升级改造，在原有“一级活性炭吸附”装置基础上，改造 为“除雾器+ 一级活性炭+ 一级氧化塔”的多级处理系统， 利用除雾器提高活性炭吸附装置净化处理效率，通过一级 氧化塔提升中药异味处理效果，降低中药异味对周围环境 的影响。 公司严格落实排污许可管理制度，下属子公司鹤龄药事完成《固定污染源排污登记》，并与南京中山制药有限公司签署《污 水处置协议》，明确由其全权负责废水处理工作，确保中药熬制过程中废水处理合规达标排放。同时，为加强过程监管， 建立定期跟踪机制，持续监督污水处理情况，有效防范环境风险。此外，当出现污水处理设施故障或其他不可...,公司深入贯彻落实党中央、国务院关于全面打好污染防治攻坚战的战略部署，通过持续优化生产流程、构建智慧化环境 监管体系、推广应用环保技术等举措，严格把控废气、废水、固体废物等污染物合规排放，最大限度地降低生产经营对 生态环境及社区居民的影响。报告期内，公司废气、废水、固废均全部达标合规排放。 降低污染排放 公司重视煎药生产过程中废气，确保废气达标排放。针对 润药、煎煮、灌注包装及药渣堆放等生产工序过程中排放 的药物气味，下属子公司鹤龄药事...
