report_name,success,industry,skip_harness,task_id,task_status,citation_field_count,auto_cited_count,citation_needs_review_count,rating_score,rating,rating_field_count,scored_field_count,rating_needs_review_count,e_score,e_rating,s_score,s_rating,g_score,g_rating,rating_run_id,summary_path,report_dir,error
001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,True,manufacturing,True,,,60,31,29,53.1635,C,53,29,29,56.7,C,49.71,C,53.0667,C,rating_da0955e040004b79,output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告\full_rating_workflow_summary.json,output\reports\001_002973_侨银股份_2024_侨银股份：2024年度环境、社会及公司治理（ESG）报告,
002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,manufacturing,True,,,60,35,25,57.0449,C,53,32,25,59.2846,C,69.615,CCC,39.7667,C,rating_711b1e0b12a44c45,output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告\full_rating_workflow_summary.json,output\reports\002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,
003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,True,manufacturing,True,,,60,39,21,64.1066,CC,53,35,21,59.2673,C,81.26,BBB,49.74,C,rating_4b4c7f31df00480f,output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告\full_rating_workflow_summary.json,output\reports\003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,
004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,True,manufacturing,True,,,60,32,28,53.3334,C,53,29,28,70.7846,B,33.265,C,56.3867,C,rating_e5c6bbf0e45740fe,output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告\full_rating_workflow_summary.json,output\reports\004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,
005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,True,manufacturing,True,,,60,35,25,57.7248,C,53,33,25,72.6538,B,58.16,C,39.8,C,rating_3c36d2e8ae1b4dfa,output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告\full_rating_workflow_summary.json,output\reports\005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,
006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,True,manufacturing,True,,,60,45,15,70.3468,B,53,39,15,86.05,A,69.455,CCC,53.0667,C,rating_a913fe3c06104f2e,output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告\full_rating_workflow_summary.json,output\reports\006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,
007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,manufacturing,True,,,60,37,23,60.5647,CC,53,33,23,47.8096,C,72.0925,B,61.9967,CC,rating_86a14e95b00c484c,output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告\full_rating_workflow_summary.json,output\reports\007_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,
008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,True,manufacturing,True,,,60,31,29,54.5826,C,53,30,28,34.4077,C,76.2625,BB,52.8267,C,rating_966b6f5f89dd4ce6,output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告\full_rating_workflow_summary.json,output\reports\008_600789_鲁抗医药_2024_鲁抗医药：鲁抗医药2024年环境、社会和治理（ESG）报告,
009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,True,manufacturing,True,,,60,28,32,47.0503,C,53,26,32,50.7481,C,43.91,C,46.4,C,rating_96a065c1319e47b6,output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告\full_rating_workflow_summary.json,output\reports\009_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,
010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,True,manufacturing,True,,,60,11,49,22.544,C,53,13,49,16.0385,C,29.83,C,21.6333,C,rating_a9d90bb4c5ad494d,output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告\full_rating_workflow_summary.json,output\reports\010_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,
