page_image,table_title,topic,metric_name,unit,year,column_label,value,raw_value,values,evidence_text,reason,confidence
page_49.png,隐患排查整改达标率,,隐患排查整改达标率,%,2024,2024年,100,100,"{""2024年"": ""100""}",报告期间 隐患排查整改达标率 100%,llm_no_match:隐患排查整改达标率属于安全生产管理过程性指标，Core ESG Schema 中无对应 field_key；虽与 ESG 相关，但未在标准字段中定义，且不属于环境、社会或治理类已列明的量化核心指标。,0.3
page_50.png,安全教育绩效表,安全教育,安全教育培训覆盖人次,人次,2024,2024年,63932,"63,932","{""2024年"": ""63,932""}","安全教育培训覆盖人次 人次 2024年 63,932",llm_no_match:安全教育培训覆盖人次属于企业内部安全管理或人力资源培训的细分场景指标，Core ESG Schema 中无对应 field_key；虽与 training_coverage_rate、trained_employees_count 等存在语义关联，但‘安全教育’限定显著窄于通用员工培训，且 schema 中所有培训类字段均未包含‘安全’前缀或限定，不满足严格匹配要求。,0.3
page_50.png,安全教育绩效表,安全教育,开展安全教育培训场次,场,2024,2024年,2212,"2,212","{""2024年"": ""2,212""}","开展安全教育培训场次 场 2024年 2,212",llm_no_match:安全教育培训场次不属于 Core ESG Schema 中的任何 field_key；Core Schema 中无对应的安全教育类培训次数指标（如 training_total_hours、training_coverage_rate 等均指员工通用培训，且强调时长/覆盖率/投入等维度，而非‘安全’专项场次），且该指标未在 aliases 或语义上匹配任一现有 field_key。,0.3
page_50.png,职业健康绩效表,职业健康,职业病发生,起,2024,2024年,0,0,"{""2024年"": ""0""}",职业病发生 起 2024年 0,llm_no_match:职业病发生属于职业健康安全事件类指标，Core ESG Schema 中未定义对应 field_key；现有 S 类指标包含工伤率、因工死亡人数、因工伤损失工作日数等，但无‘职业病发生’的标准化字段，且 aliases 中无相关匹配项。,0.3
page_50.png,职业健康绩效表,职业健康,特殊作业人员持证上岗率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",特殊作业人员持证上岗率 % 2024年 100%,llm_no_match:特殊作业人员持证上岗率属于职业健康安全管理的合规性指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但未在 schema 中定义（如无 'certified_special_workers_rate' 或类似字段），且不属于已列示的工伤、健康档案、培训覆盖率等明确字段。,0.3
page_50.png,职业健康绩效表,职业健康,安全生产责任人员覆盖率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",安全生产责任人员覆盖率 % 2024年 100%,llm_no_match:安全生产责任人员覆盖率不在 Core ESG Schema 中定义，Schema 中无对应 field_key；虽属职业健康相关，但 Schema 中已有的健康/安全类指标为工伤率、因工死亡人数、健康档案覆盖率等，未包含‘安全生产责任人员覆盖率’这一特定管理覆盖类指标。,0.3
page_50.png,职业健康绩效表,职业健康,职业病危害因素检测率,%,2024,2024年,100,100%,"{""2024年"": ""100%""}",职业病危害因素检测率 % 2024年 100%,llm_no_match:职业病危害因素检测率未在 Core ESG Schema 中定义，不属于已列示的环境、社会或治理标准字段；虽属职业健康相关，但 Schema 中无对应 field_key（如无 'occupational_hazard_monitoring_rate' 或类似条目），且不匹配现有 S 类指标（如体检覆盖率、健康档案覆盖率等均指向员工覆盖行为，而非检测率）。,0.3
page_50_right.png,报告期内职业健康绩效,,职业病发生,起,2024,2024年,0,0,"{""2024年"": ""0""}",职业病发生 起 2024年 0,llm_no_match:职业病发生属于职业健康安全事件类指标，但 Core ESG Schema 中未定义对应 field_key（如职业病发生数量、职业病病例数等）；现有 S 类指标包含工伤率、因工死亡人数、工伤损失工作日等，但无‘职业病发生’的直接映射，且 aliases 中无相关表述。,0.3
page_50_right.png,报告期内职业健康绩效,,特殊作业人员持证上岗率,%,2024,2024年,100,100,"{""2024年"": ""100""}",特殊作业人员持证上岗率 % 2024年 100,llm_no_match:特殊作业人员持证上岗率属于职业健康安全管理的执行类指标，Core ESG Schema 中无对应 field_key；虽与员工安全相关，但 Schema 中未定义此类合规性比率指标（如上岗率、持证率），且不属于工伤率、健康档案覆盖率等已有 S 类字段。,0.3
page_50_right.png,报告期内职业健康绩效,,安全生产责任险人员覆盖率,%,2024,2024年,100,100,"{""2024年"": ""100""}",安全生产责任险人员覆盖率 % 2024年 100,llm_no_match:安全生产责任险人员覆盖率属于特定保险覆盖类指标，Core ESG Schema 中无对应 field_key；虽与员工保障相关，但未在 S 类指标中定义（如社保覆盖率、健康档案覆盖率等均不涵盖责任险），且非标准 ESG 披露通用指标。,0.3
page_50_right.png,报告期内职业健康绩效,,职业病危害因素检测率,%,2024,2024年,100,100,"{""2024年"": ""100""}",职业病危害因素检测率 % 2024年 100,llm_no_match:职业病危害因素检测率未在 Core ESG Schema 中定义，不属于已列示的环境、社会或治理标准字段；虽与职业健康相关，但 Schema 中对应的社会类指标为健康档案/体检覆盖率、工伤率等，不包含检测率这一过程性合规指标。,0.3
page_51.png,员工构成情况,,按性别划分员工数,,2024,2024,,,"{""2024"": """"}",按性别划分员工数 单位 2024,rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:子行中'女性'明确对应Core ESG Schema中female_employees的aliases（如'女性员工人数'、'女性员工数量'等），单位为'人'，值为数值型，符合value_type: number。,0.95
page_51.png,员工构成情况,,按生产状况划分员工数,,2024,2024,,,"{""2024"": """"}",按生产状况划分员工数 单位 2024,llm_no_match:按生产状况划分员工数（如生产、销售等）属于内部组织结构或业务职能分类，Core ESG Schema 中无对应 field_key；该指标不反映环境、社会或治理实质性议题，不属于标准ESG披露指标。,0.3
page_51.png,员工构成情况,,按专业划分员工数,,2024,2024,,,"{""2024"": """"}",按专业划分员工数 单位 2024,llm_no_match:按专业划分员工数（如技术、财务、行政）属于内部组织结构或人力资源细分维度，Core ESG Schema 中无对应 field_key；该指标未在任何 aliases 或定义中被覆盖，不属于标准 ESG 披露项。,0.25
