applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.0,,total_ghg_emissions,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,ghg_emissions_intensity,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,scope_1_emissions,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,scope_2_emissions,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,energy_consumption_total,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,energy_consumption_intensity,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,natural_gas_consumption,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,electricity_consumption,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,water_consumption,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,wastewater_discharge,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,air_pollutant_emissions,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,non_hazardous_waste,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.93,有害废弃物-产生总量 吨 2024年 699,hazardous_waste,,quantitative,pharma,route_a_selected,,page_17.png,699,0.93,heuristic_hazardous_waste; schema_match_validated,extracted,,,,,,,,,,,,,,,,产生总量,page_17.png,route_a_appendix_table,extracted,,有害废弃物,吨,699,,2024
core,E,0.0,,environmental_investment,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,E,0.0,,environmental_penalty_count,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,S,0.93,"员工-期末在职员工总人数 人 2025年 1,083",total_employees,,quantitative,pharma,route_a_selected,,page_41.png,"1,083",0.93,heuristic_total_employees; schema_match_validated,extracted,,,,,,,,,,,,,,,,期末在职员工总人数,page_41.png,route_a_appendix_table,extracted,,,人,1083,,2025
core,S,0.0,,male_employees,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
core,S,0.0,,female_employees,,quantitative,pharma,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,,
