field_key,field_name_cn,category,matched,value,summary,evidence,source_pages,confidence,reason,route
esg_strategy_targets,ESG战略目标,E,True,True,公司管理层在重要性分析基础上确认了未来ESG管理的工作目标及实施计划。,管理层确认：公司管理层对重要性分析结果进行审阅，确认本报告重点披露内容以及未来ESG 管理的工作目标及实施计划。,[15],0.95,文本明确提到管理层确认了'未来ESG管理的工作目标及实施计划'，这直接对应ESG战略目标的定性描述，符合抽取规则中'明确描述目标'的要求。,B_text_rag
climate_risk_management,气候风险识别与管理,E,True,True,公司识别并分类气候相关风险（物理风险与转型风险），并制定相应的应对措施，将气候风险管理融入日常运营。,有研新材不断强化识别和管理气候变化相关风险的能力，将气候相关风险划分为两大类，一是与气候变化相关的物理风险，二是与气候变化相关、低碳经济相关的转型风险。公司已识别出2 项物理风险、4 项转型风险、2 项机遇，共计8 项对公司影响较大的气候相关风险与机遇。,[46],0.95,文本明确提及公司识别和管理气候相关风险，划分物理风险与转型风险，并列出具体风险项，符合'气候风险识别与管理'指标的定义，且有完整原文支持。,B_text_rag
environmental_management_system,环境管理体系,E,True,True,公司通过建立环境监测工作台账、应急预案、开展专项应急演练，并持续健全环境管理制度及程序，旗下多家子公司通过ISO 14001环境管理体系认证。,公司秉持绿色发展理念，通过签署环保责任书全面落实主体责任，并建立环境监测工作台账和应急预案，开展环境专项应急演练，持续健全各项环境管理制度及程序，全方位、无死角开展环境管理工作。截至报告期末，旗下有研亿金、有研稀土子公司有研高技术、有研医疗、有研国晶辉等均顺利通过环境管理体系认证。有研国晶辉 2024 年10 月6 日通过 GB/T24001-2016/ISO14001:2015 环境管理体系认证；有研医疗 2023 年12 月份通过ISO14001 环境体系认证，2024 年11 月通过复审。,[44],0.95,文本明确提及'持续健全各项环境管理制度及程序'，并具体列出多家子公司通过GB/T24001-2016/ISO14001:2015环境管理体系认证，符合'环境管理体系'的定义和其别名ISO 14001，证据完整且直接支持指标。,B_text_rag
energy_saving_measures,节能减排措施,E,True,True,公司积极落实节能减排措施，规范能源管理体系，并通过培训、设备升级、专项排查等方式推动节能降碳。,严格遵守环境法规，积极落实节能减排措施，规范能源管理体系，积极应对气候变化，为守护地球家园贡献力量。,[4],0.95,候选文本在page 4中明确使用了'节能减排措施'这一目标指标的直接别名，并与'规范能源管理体系'等具体行动并列描述，符合定性指标抽取规则。,B_text_rag
water_management_measures,水资源管理措施,E,True,True,公司成立节能减排领导小组，制定并实施节水计划，强化宣传教育，控制生产生活用水，减少无效损耗。,2024 年，公司加大节能节水工作管理力度，成立节能减排领导小组，制定、实施节水计划并强化宣传教育，生产生活用水得到有效控制，无效损耗大幅减少。,[44],0.95,文本明确提及'制定、实施节水计划'和'强化宣传教育'等具体水资源管理措施，并指出用水控制和损耗减少的成效，符合定性指标抽取规则。,B_text_rag
waste_management_measures,废弃物管理措施,E,True,True,公司通过与有资质的第三方签订合同，定期开展工业固体废物和危险废物的转运处置工作，并投入设备实现废弃物减排。,"山东有研国晶辉严格按照国家有关要求，与有资质的第三方签订合同，每月定期开展工业固废处置工作，安全高效完成公司工业固体废物的跨区域转运处置工作，为区域生态环境保护贡献积极力量。
有研亿金投入39 万元购置切削液冷蒸发处理设备，实现对废切削液进行油水分离处理，实现危险废弃物减排35 吨。
公司积极践行绿色发展理念，注重节能设备更新使用，通过投入资金购置相关设备，实现对废弃物的处理及减排，同时完善循环水系统，提高水资源利用率，积极引入绿色电力优化能源结构，严格落实污染物排放监测，按要求对各类污染物开展定期检测，规范固体废物转运处置，全方位确保污染物排放达标，推动生产过程的绿色可持续发展。","[45, 45, 45]",0.95,候选文本明确提及了工业固废和危险废物的处置机制、与第三方合作的转运流程、专用设备投入以实现废弃物减排，以及规范固体废物转运处置等具体措施，完全符合废弃物管理措施的定义。,B_text_rag
employee_rights_policy,员工权益保障政策,S,True,True,公司完善薪酬福利保障体系，维护全体员工各项合法权益。,我们保障平等雇佣，为员工提供良好的职业发展环境；持续完善薪酬福利保障体系，维护全体员工各项合法权益；开展系列人才培养计划，助力员工成长；关注员工职业健康，畅通发展渠道；以民主管理搭建共治桥梁，用温情关怀浇筑心灵家园，让“家”的温度凝聚成企业发展的澎湃动能。,[4],0.95,候选文本明确提及'维护全体员工各项合法权益'，并结合'保障平等雇佣''完善薪酬福利保障体系''关注职业健康''畅通发展渠道'等具体措施，完整覆盖员工权益保障政策的核心内容，符合定性指标抽取规则。,B_text_rag
occupational_health_safety_system,职业健康安全管理体系,S,True,True,公司严格落实全员安全生产责任制，制定完善的安全生产管理制度和规程，并开展重大隐患整治排查。,严格落实全员安全生产责任制，制定完善的安全生产管理制度和规程，通过开展重大隐患整治排查，为安全生产筑牢防线。,[4],0.92,文本明确提及‘安全生产责任制’‘安全生产管理制度和规程’，属于‘职业健康安全管理体系’的直接体现，且与 aliases 中的‘安全生产管理体系’完全对应。,B_text_rag
employee_training_development,员工培训与发展机制,S,True,True,公司建立了培训管理体系和多通道职业发展体系，明确涵盖员工技能培训与职业发展。,"多通道职业发展体系
培训管理体系
职业健康检查",[15],0.95,候选文本在 p15_25 中明确提及“培训管理体系”和“多通道职业发展体系”，二者均属于员工培训与发展机制的直接表述，符合 aliases 中的“培训体系”和“职业发展”定义。,B_text_rag
diversity_equal_opportunity,多元化与平等雇佣政策,S,True,True,公司倡导多元化和机会平等，禁止任何形式的歧视，公平对待不同年龄、性别、民族、婚姻状况和文化背景的员工。,公司支持《世界人权宣言》《国际人权公约》，遵守国际劳工组织(ILO) 及联合国全球契约在人权方面的规定，倡导多元化和机会平等，禁止任何形式的歧视，反对任何形式的强迫劳动和骚扰虐待，杜绝使用童工，公平对待不同年龄、性别、民族、婚姻状况和文化背景的员工。,[37],0.95,候选文本明确提及'倡导多元化和机会平等'、'禁止任何形式的歧视'、'公平对待不同年龄、性别、民族、婚姻状况和文化背景的员工'，这些表述直接对应目标指标的别名'多元化与平等'、'机会平等'、'反歧视'，符合定性指标抽取规则。,B_text_rag
