field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,304.05,304.05,吨二氧化碳当量,2024,温室气体排放量,,0.95,alias_match:温室气体排放量; schema_match_validated,page_51.png,温室气体排放量 吨二氧化碳当量 2024年 304.05
scope_1_emissions,范围一温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_2_emissions,范围二温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,566618,"566,618",千瓦时,2024,外购电力总量,,0.92,heuristic_electricity; schema_match_validated,page_51.png,"外购电力总量 千瓦时 2024年 566,618"
renewable_energy_consumption,可再生能源使用量,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,1658,"1,658",吨,2024,总用水量,,0.92,heuristic_water; schema_match_validated,page_51.png,"总用水量 吨 2024年 1,658"
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
cod_emissions,化学需氧量排放量,E,quantitative,missing,,,,,,,0.0,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,missing,,,,,,,0.0,,,
so2_emissions,二氧化硫排放量,E,quantitative,missing,,,,,,,0.0,,,
nox_emissions,氮氧化物排放量,E,quantitative,missing,,,,,,,0.0,,,
particulate_matter_emissions,颗粒物排放量,E,quantitative,missing,,,,,,,0.0,,,
hazardous_waste,危险废弃物产生或排放量,E,quantitative,missing,,,,,,,0.0,,,
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,missing,,,,,,,0.0,,,
total_waste,废弃物总量,E,quantitative,missing,,,,,,,0.0,,,
waste_recycling_rate,废弃物回收利用率,E,quantitative,missing,,,,,,,0.0,,,
environmental_investment,环保投入金额,E,quantitative,missing,,,,,,,0.0,,,
environmental_violation_cases,环境违规或处罚事件数量,E,quantitative,extracted,0,0,件,2024,因环境事件受到生态环境等有关部门重大行政处罚的处罚事件,,0.96,alias_match:因环境事件受到生态环境等有关部门重大行政处罚的处罚事件; schema_match_validated,page_51.png,因环境事件受到生态环境等有关部门重大行政处罚的处罚事件 件 2024年 0
total_employees,员工总数,S,quantitative,extracted,7,7,人,2024,残疾员工人数,,0.93,heuristic_total_employees; schema_match_validated,page_49.png,残疾员工人数 人 2024年 7
male_employees,男性员工人数,S,quantitative,extracted,546,546,人,2024,男性员工人数,,0.92,heuristic_male_employees; schema_match_validated,page_49.png,男性员工人数 人 2024年 546
female_employees,女性员工人数,S,quantitative,extracted,365,365,人,2024,女性员工人数,,0.92,heuristic_female_employees; schema_match_validated,page_49.png,女性员工人数 人 2024年 365
female_employee_ratio,女性员工比例,S,quantitative,missing,,,,,,,0.0,,,
female_management_ratio,女性管理层比例,S,quantitative,extracted,34,34.00,%,2024,管理人员中女性人数比例,,0.92,heuristic_female_management_ratio; schema_match_validated,page_49.png,管理人员中女性人数比例 % 2024年 34.00
minority_employees,少数民族员工人数,S,quantitative,extracted,23,23,人,2024,少数民族员工数,,0.92,alias_match:少数民族; schema_match_validated,page_49.png,少数民族员工数 人 2024年 23
employees_under_30,30岁以下员工人数,S,quantitative,extracted,177,177,人,2024,30岁以下（不含30岁）,,0.96,alias_match:30岁以下（不含30岁）; schema_match_validated,page_49.png,30岁以下（不含30岁） 人 2024年 177
employees_30_to_50,30至50岁员工人数,S,quantitative,missing,,,,,,,0.0,,,
employees_over_50,50岁以上员工人数,S,quantitative,extracted,27,27,人,2024,50岁及以上,,0.94,alias_match:50岁及以上; schema_match_validated,page_49.png,50岁及以上 人 2024年 27
employee_turnover_rate,员工流失率,S,quantitative,missing,,,,,,,0.0,,,
training_total_hours,员工培训总时长,S,quantitative,extracted,5002,"5,002",小时,2024,培训总时长,专项培训课程,0.95,llm_match:指标名称'培训总时长'与field_key 'training_total_hours'的中文名及别名完全一致，单位'小时'匹配unit_examples，且属于S类社会维度指标。; schema_match_validated,page_41.png,"专项培训课程 培训总时长 小时 2024年 5,002"
training_hours_per_employee,人均培训时长,S,quantitative,missing,,,,,,,0.0,,,
training_coverage_rate,员工培训覆盖率,S,quantitative,missing,,,,,,,0.0,,,
training_expense,培训投入金额,S,quantitative,extracted,20,20,万元,2024,员工培训投入,,0.9,heuristic_training_expense; schema_match_validated,page_41.png,员工培训投入 万元 2024年 20
trained_employees_count,受训员工人数或人次,S,quantitative,extracted,3900,"3,900",人次,2024,累计参加培训学员人次,专项培训课程,0.95,llm_match:累计参加培训学员人次与 trained_employees_count 的别名 '培训总人次'、'受训员工人次' 高度一致，单位 '人次' 匹配，属于 S 类社会维度指标。; schema_match_validated,page_41_right.png,"专项培训课程 累计参加培训学员人次 人次 2024年 3,900"
work_injury_rate,工伤率,S,quantitative,missing,,,,,,,0.0,,,
work_related_fatalities,因工死亡人数,S,quantitative,extracted,0,0,人,2024,因工作关系死亡总人数,员工健康与安全,0.96,alias_match:因工作关系死亡总人数; schema_match_validated,page_50.png,员工健康与安全 因工作关系死亡总人数 人 2024年 0
lost_workdays_due_to_injury,因工伤损失工作日数,S,quantitative,missing,,,,,,,0.0,,,
social_insurance_coverage_rate,社会保险覆盖率,S,quantitative,extracted,100,100%,%,2024,工伤保险人员覆盖率,,0.96,alias_match:工伤保险人员覆盖率; schema_match_validated,page_43.png,工伤保险人员覆盖率 % 2024年 100%
employee_health_record_coverage_rate,员工健康档案或体检覆盖率,S,quantitative,extracted,100,100,%,2024,员工体检覆盖率,员工健康与安全,0.95,alias_match:员工体检覆盖率; schema_match_validated,page_50.png,员工健康与安全 员工体检覆盖率 % 2024年 100
r_and_d_investment,研发投入金额,S,quantitative,extracted,1.42,1.42,亿元,2024,研发投入,创新驱动,0.92,alias_match:研发投入; schema_match_validated,page_50.png,创新驱动 研发投入 亿元 2024年 1.42
r_and_d_employees,研发人员数量,S,quantitative,extracted,111,111,人,2024,研发团队总人数,创新驱动,0.95,alias_match:研发团队总人数; schema_match_validated,page_50.png,创新驱动 研发团队总人数 人 2024年 111
authorized_patents_new,当年新增授权专利数量,S,quantitative,missing,,,,,,,0.0,,,
authorized_patents_total,累计授权专利数量,S,quantitative,extracted,117,117,项,2024,授权专利累计数（有效期内的专利数）,,0.96,alias_match:授权专利累计数（有效期内的专利数）; schema_match_validated,page_51.png,授权专利累计数（有效期内的专利数） 项 2024年 117
customer_complaints,客户投诉数量,S,quantitative,extracted,21,21,次,2024,客户投诉数量,,0.94,alias_match:客户投诉数量; schema_match_validated,page_51.png,客户投诉数量 次 2024年 21
board_size,董事会人数,G,quantitative,missing,,,,,,,0.0,,,
independent_directors,独立董事人数,G,quantitative,missing,,,,,,,0.0,,,
independent_director_ratio,独立董事比例,G,quantitative,missing,,,,,,,0.0,,,
female_directors,女性董事人数,G,quantitative,missing,,,,,,,0.0,,,
board_meetings,董事会会议次数,G,quantitative,missing,,,,,,,0.0,,,
shareholder_meetings,股东大会会议次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_sessions,反腐败培训次数,G,quantitative,missing,,,,,,,0.0,,,
anti_corruption_training_participants,反腐败培训参与人数或人次,G,quantitative,extracted,825,825,人,2024,参加反商业贿赂及反贪污培训的员工人数,,0.92,heuristic_anti_corruption_training_participants; schema_match_validated,page_49.png,参加反商业贿赂及反贪污培训的员工人数 人 2024年 825
anti_corruption_training_hours,反腐败培训总时长,G,quantitative,missing,,,,,,,0.0,,,
confirmed_corruption_cases,确认的腐败事件数量,G,quantitative,missing,,,,,,,0.0,,,
whistleblowing_cases,举报案件数量,G,quantitative,extracted,0,0,次,2024,反贪污反腐举报事件总数,,0.9,heuristic_whistleblowing_cases; schema_match_validated,page_49.png,反贪污反腐举报事件总数 次 2024年 0
patent_applications_new,当年申请专利数量,S,quantitative,extracted,48,48,项,2024,专利申请数,,0.93,alias_match:专利申请数; schema_match_validated,page_51.png,专利申请数 项 2024年 48
board_esg_oversight,董事会 ESG 监督机制,G,qualitative,missing,,,,,,,0.0,,,
esg_committee,ESG 委员会或可持续发展委员会,G,qualitative,missing,,,,,,,0.0,,,
anti_corruption_policy,反腐败政策,G,qualitative,missing,,,,,,,0.0,,,
whistleblowing_mechanism,举报机制,G,qualitative,missing,,,,,,,0.0,,,
supplier_esg_assessment,供应商 ESG 评估机制,S,qualitative,missing,,,,,,,0.0,,,
