field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p11_19,11,1,0.01639344,关键部门负责人，最终汇总形成各议题的财务 重要性评估结果。 步骤三：评估、确定ESG 议题的重要性程度 社会贡献 产品和服务安全与质量 创新驱动 员工 循环经济 污染物排放 水资源利用 废弃物处理 能源利用 反不正当竞争 乡村振兴 尽职调查 供应链安全 环境合规管理 利益相关方沟通数据安全与客户隐私保护 应对气候变化 生态系统和生物多样性保护 反商业贿赂及反贪污 财务重要性 低 高 影 响 重 要 性 高,关键部门负责人，最终汇总形成各议题的财务 重要性评估结果。 步骤三：评估、确定ESG 议题的重要性程度 社会贡献 产品和服务安全与质量 创新驱动 员工 循环经济 污染物排放 水资源利用 废弃物处理 能源利用 反不正当竞争 乡村振兴 尽职调查 供应链安全 环境合规管理 利益相关方沟通数据安全与客户隐私保护 应对气候变化 生态系统和生物多样性保护 反商业贿赂及反贪污 财务重要性 低 高 影 响 重 要 性 高
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p35_78,35,1,0.04388889,型防腐方案开发 开发天然高效的生物型防腐方案若干，减少传统化学防腐剂使用，为客户提供更健 康友好的保鲜解决方案。 ESG 特色 2025 年创新成果 通过降低热加工强度 与延长货架期，助力 减少能源消耗与食品 损耗 减少化学添加剂使 用，契合健康消费与 合规趋势 缩短研发周期、大幅 度减少研发过程能源 及物料消耗 截至2025 年末 其中硕博占比超 18% （含博士3 名、硕士27 名） 公司研发团队共 160 人 65,型防腐方案开发 开发天然高效的生物型防腐方案若干，减少传统化学防腐剂使用，为客户提供更健 康友好的保鲜解决方案。 ESG 特色 2025 年创新成果 通过降低热加工强度 与延长货架期，助力 减少能源消耗与食品 损耗 减少化学添加剂使 用，契合健康消费与 合规趋势 缩短研发周期、大幅 度减少研发过程能源 及物料消耗 截至2025 年末 其中硕博占比超 18% （含博士3 名、硕士27 名） 公司研发团队共 160 人 65
scope_1_emissions,范围一温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p15_25,15,1,0.01639344,2025 年环境、社会及公司治理报告 圣达绿境 低碳先行 25 26 影响、风险和机遇管理 指标与目标 公司已逐步将低碳发展全面融入经营管理和业务发展之中，现阶段各产业板块已在战略业务和关键项目上实现节能减碳的 有效布局，并积极开展一系列试点和推广工作，在绿色低碳转型上取得显着成效。进一步信息请见“能源利用”章节。 同时，公司已针对主要产品（包括生物素、叶酸、2% 生物素等）开展全生命周期碳足迹核算及认证工作。公司将在今后 工作中进一步明确、细化各项减碳行动，采取更加积极有效措施践行绿色发展理念，助力国家双碳目标的实现。 公司正系统梳理各类排放源，持续完善数据收集与管理机制，并计划开展系统化、全覆盖的温室气体盘查工作，提升数据 的准确性与可追溯性。在数据基础不断完善的前提下，公司将科学开展碳目标设定与减碳路径规划，明确分阶段实施方案 与重点举措，稳步推进节能减排与低碳转型，逐步迈向碳中和目标。 主要气候相关机遇分析及应对 25 风险 类型 具体表现 影响分析 影响范围 影响周期 应对措施 市场 风险 绿色产品认证、 碳足迹标签要求 产品研发和认证成本增加 高碳产品竞争力下降 市场准入...,2025 年环境、社会及公司治理报告 圣达绿境 低碳先行 25 26 影响、风险和机遇管理 指标与目标 公司已逐步将低碳发展全面融入经营管理和业务发展之中，现阶段各产业板块已在战略业务和关键项目上实现节能减碳的 有效布局，并积极开展一系列试点和推广工作，在绿色低碳转型上取得显着成效。进一步信息请见“能源利用”章节。 同时，公司已针对主要产品（包括生物素、叶酸、2% 生物素等）开展全生命周期碳足迹核算及认证工作。公司将在今后 工作中进一...
scope_2_emissions,范围二温室气体排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p15_25,15,1,0.01639344,2025 年环境、社会及公司治理报告 圣达绿境 低碳先行 25 26 影响、风险和机遇管理 指标与目标 公司已逐步将低碳发展全面融入经营管理和业务发展之中，现阶段各产业板块已在战略业务和关键项目上实现节能减碳的 有效布局，并积极开展一系列试点和推广工作，在绿色低碳转型上取得显着成效。进一步信息请见“能源利用”章节。 同时，公司已针对主要产品（包括生物素、叶酸、2% 生物素等）开展全生命周期碳足迹核算及认证工作。公司将在今后 工作中进一步明确、细化各项减碳行动，采取更加积极有效措施践行绿色发展理念，助力国家双碳目标的实现。 公司正系统梳理各类排放源，持续完善数据收集与管理机制，并计划开展系统化、全覆盖的温室气体盘查工作，提升数据 的准确性与可追溯性。在数据基础不断完善的前提下，公司将科学开展碳目标设定与减碳路径规划，明确分阶段实施方案 与重点举措，稳步推进节能减排与低碳转型，逐步迈向碳中和目标。 主要气候相关机遇分析及应对 25 风险 类型 具体表现 影响分析 影响范围 影响周期 应对措施 市场 风险 绿色产品认证、 碳足迹标签要求 产品研发和认证成本增加 高碳产品竞争力下降 市场准入...,2025 年环境、社会及公司治理报告 圣达绿境 低碳先行 25 26 影响、风险和机遇管理 指标与目标 公司已逐步将低碳发展全面融入经营管理和业务发展之中，现阶段各产业板块已在战略业务和关键项目上实现节能减碳的 有效布局，并积极开展一系列试点和推广工作，在绿色低碳转型上取得显着成效。进一步信息请见“能源利用”章节。 同时，公司已针对主要产品（包括生物素、叶酸、2% 生物素等）开展全生命周期碳足迹核算及认证工作。公司将在今后 工作中进一...
energy_consumption_total,能源消耗总量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p11_17,11,1,0.01639344,2025 年环境、社会及公司治理报告 圣达使命 善治有道 17 18 步骤二：识别与 ESG 议题相关的当前或可能发生的影响、风险与机遇 针对《上海证券交易所上市公司自律监管指引第14 号——可持续发展报告（试行）》中的21 项 ESG 议题，公司基于自身 所处行业和经营业务的特点，首先展开适用性及相关性判定，结果表明“科技伦理”和“平等对待中小企业”议题对于公司、 下属子公司均不适用。因此，本报告不对这两项议题进行评估和回应。 基于现场访谈及桌面对标，公司对其余19 项议题进行充分分析，识别各议题下相关影响、风险与机遇，以“应对气候变化”、 “产品和服务安全与质量”“创新驱动”议题为例： 应对气候变化 正面影响 公司通过淘汰高耗能设备、工艺流程优化、清洁电力使用等推进现有产品绿色转型升级，并在新建 项目中推行绿色制造，减少温室气体排放。 负面影响 公司仍以化石能源消耗为主，且随着业务不断发展与扩大，未能进行有效管控可能进一步加剧气候 变化对环境和人带来的负面影响。 风险 气候变化正在带来实体与转型风险，未来更加频繁的极端天气、愈加严格的政策标准等都可能会导 致成本上升以及运营中断等...,2025 年环境、社会及公司治理报告 圣达使命 善治有道 17 18 步骤二：识别与 ESG 议题相关的当前或可能发生的影响、风险与机遇 针对《上海证券交易所上市公司自律监管指引第14 号——可持续发展报告（试行）》中的21 项 ESG 议题，公司基于自身 所处行业和经营业务的特点，首先展开适用性及相关性判定，结果表明“科技伦理”和“平等对待中小企业”议题对于公司、 下属子公司均不适用。因此，本报告不对这两项议题进行评估和回应。 基于...
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p35_76,35,1,0.04639344,2025 年环境、社会及公司治理报告 圣达担当 价值共创 65 66 影响、风险和机遇管理 可持续创新硕果 圣达生物将创新驱动作为推动企业高质量发展和提升核心竞争力的重要引擎。公司立足维生素及食品添加剂等核心业务领 域，依托长期积累的技术基础，持续优化产品配方、生产工艺与质量控制流程，加快推进生产自动化与数字化升级，持续 提升可持续发展能力。 公司研发创新战略以“精益生产、资源集约、健康安全”为核心抓手，制定《研发项目组织管理制度》《研发投入核算体系制度》 等内部管理文件，在致力提升运营效率与产品健康属性的同时，深度践行绿色低碳与可持续发展理念。通过将环保合规、 节能降耗融入技术研发全流程，公司不仅构筑了产品安全的护城河，更推动企业向环境友好型增长模式转型，实现经济效 益与生态效益的双向奔赴。 在微生物制造领域，公司通过高通量菌种选育、发酵工艺优化及培养基改进，持续提升了单位 原料、单位能耗条件下的产品产出水平，在满足产品质量要求的同时，减少资源消耗，降低单 位生产能耗，减少废水废气的排放，减轻环保压力。 在化学合成与工艺开发领域，公司围绕关键产品及中间体的合成路线持续开展工艺优化研...,2025 年环境、社会及公司治理报告 圣达担当 价值共创 65 66 影响、风险和机遇管理 可持续创新硕果 圣达生物将创新驱动作为推动企业高质量发展和提升核心竞争力的重要引擎。公司立足维生素及食品添加剂等核心业务领 域，依托长期积累的技术基础，持续优化产品配方、生产工艺与质量控制流程，加快推进生产自动化与数字化升级，持续 提升可持续发展能力。 公司研发创新战略以“精益生产、资源集约、健康安全”为核心抓手，制定《研发项目组织管理制度》《...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p35_76,35,1,0.01639344,2025 年环境、社会及公司治理报告 圣达担当 价值共创 65 66 影响、风险和机遇管理 可持续创新硕果 圣达生物将创新驱动作为推动企业高质量发展和提升核心竞争力的重要引擎。公司立足维生素及食品添加剂等核心业务领 域，依托长期积累的技术基础，持续优化产品配方、生产工艺与质量控制流程，加快推进生产自动化与数字化升级，持续 提升可持续发展能力。 公司研发创新战略以“精益生产、资源集约、健康安全”为核心抓手，制定《研发项目组织管理制度》《研发投入核算体系制度》 等内部管理文件，在致力提升运营效率与产品健康属性的同时，深度践行绿色低碳与可持续发展理念。通过将环保合规、 节能降耗融入技术研发全流程，公司不仅构筑了产品安全的护城河，更推动企业向环境友好型增长模式转型，实现经济效 益与生态效益的双向奔赴。 在微生物制造领域，公司通过高通量菌种选育、发酵工艺优化及培养基改进，持续提升了单位 原料、单位能耗条件下的产品产出水平，在满足产品质量要求的同时，减少资源消耗，降低单 位生产能耗，减少废水废气的排放，减轻环保压力。 在化学合成与工艺开发领域，公司围绕关键产品及中间体的合成路线持续开展工艺优化研...,2025 年环境、社会及公司治理报告 圣达担当 价值共创 65 66 影响、风险和机遇管理 可持续创新硕果 圣达生物将创新驱动作为推动企业高质量发展和提升核心竞争力的重要引擎。公司立足维生素及食品添加剂等核心业务领 域，依托长期积累的技术基础，持续优化产品配方、生产工艺与质量控制流程，加快推进生产自动化与数字化升级，持续 提升可持续发展能力。 公司研发创新战略以“精益生产、资源集约、健康安全”为核心抓手，制定《研发项目组织管理制度》《...
electricity_consumption,用电量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p15_26,15,1,0.01639344,低碳技术替代 现有生产线面临淘汰 技术改造投资需求大 技术转换期产能下降 企业运营 中长期 持续研发绿色工艺技术 逐步改造生产设备 与科研机构合作创新 申请绿色技术专利 声誉 风险 利益相关方对于 公司不及时应对 气候变化问题的 负面反馈 未及时与利益相关方沟通企 业应对气候变化进展，产生 负面回馈，导致商誉受损 价值链上游 企业运营 价值链下游 长期 通过信息披露、ESG 评级 等沟通应对气候变化进展 畅通利益相关方沟通渠 道，定期开展对话 机遇 类型 具体表现 影响分析 影响范围 影响周期 应对措施 绿色 产品 绿色产品存在溢 价空间，且市场 认可度高 开拓新市场，增强品牌竞争力 满足客户绿色需求，增加销 售收入 企业运营 价值链下游 中长期 研发高效安全、天然发酵 食品等绿色产品 探索使用可降解包装 获得绿色产品认证 供应 链多 元化 加强屋顶光伏、分 布式风电等应用 降低长期电力成本增强能源 自主性 降低碳排放量，推动碳中和 进程 企业运营 短中期 投资建设屋顶光伏电站及 储能设施 购买绿色电力证书 签订购电协议(PPA) 声誉 风险 建立气候韧性、 多元化供应链 降低供应中...,低碳技术替代 现有生产线面临淘汰 技术改造投资需求大 技术转换期产能下降 企业运营 中长期 持续研发绿色工艺技术 逐步改造生产设备 与科研机构合作创新 申请绿色技术专利 声誉 风险 利益相关方对于 公司不及时应对 气候变化问题的 负面反馈 未及时与利益相关方沟通企 业应对气候变化进展，产生 负面回馈，导致商誉受损 价值链上游 企业运营 价值链下游 长期 通过信息披露、ESG 评级 等沟通应对气候变化进展 畅通利益相关方沟通渠 道，定期...
water_consumption,用水量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p42_91,42,1,0.01639344,"2025 年环境、社会及公司治理报告 附录 79 80 创新驱动 社会贡献 反商业贿赂及反贪污 指标 2025 年 单位 研发投入金额 5,367.42 万元 研发团队人数 160 人 - 博士研究生 3 人 - 硕士研究生 27 人 - 本科及以下 130 人 研发团队占员工总数比例 14.77 % 国家授权专利数量 19 项 - 发明专利 12 项 - 实用新型专利 7 项 新增申请发明专利数量 11 项 指标 2025 年 单位 公益慈善、志愿活动参与人次 116 人次 公益慈善、志愿活动参与时长 278 小时 指标 2025 年 单位 商业贿赂及贪污事件 0 件 反不正当竞争 指标 2025 年 单位 因公司不正当竞争行为导致诉讼或重大行政处 罚的事件 0 件 《上海证券交易所上市公司自律监管指引第14 号——可持续发展报告（试行）》 索引表 维度 序号 议题 章节索引 环境 1 应对气候变化 应对气候变化 2 污染物排放 污染物排放 3 废弃物处理 废弃物处理 4 生态系统和生物多样性保护 生态系统和生物多样性保护 5 环境合规管理 环境合规管理 6 能源利用 能源利用 7...","2025 年环境、社会及公司治理报告 附录 79 80 创新驱动 社会贡献 反商业贿赂及反贪污 指标 2025 年 单位 研发投入金额 5,367.42 万元 研发团队人数 160 人 - 博士研究生 3 人 - 硕士研究生 27 人 - 本科及以下 130 人 研发团队占员工总数比例 14.77 % 国家授权专利数量 19 项 - 发明专利 12 项 - 实用新型专利 7 项 新增申请发明专利数量 11 项 指标 2025 年 单位..."
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p16_29,16,1,0.01639344,集，先进行预 处理，再与其他低浓度废水统一汇入收集池，并通过提升泵及明管输送至厂内 污水处理车间，采用物化处理和/ 或生化处理工艺进行深度、有效处理，达到纳 管标准后排入市政污水管网，送往污水厂进一步处理。针对生活污水，则经污 水处理系统初步处理，达到纳管标准后接入市政污水管网，送往污水厂统一处理。 除部分排放口配备在线监测设备实时传输排放数据至生态环境部门及公司管控 平台外，公司及各子公司每年定期委托有资质单位对生产废水、雨水排放口进 行检测，废水排放均稳定达标，排放水质符合《污水综合排放标准》（GB8978- 1996）及《工业企业废水氮、磷污染物间接排放标准》（DB33/2013）《化学 合成类制药工业水污染物排放标准》（GB21904-2008）等相关规定的限值要求。 同时，公司已完成圣达生物厂区重点区域（罐区、装卸区）的防渗改造工程， 并布设监测井，开展年度土壤与地下水自行监测，有效保障了土壤与地下水环 境安全。 在实现废水稳定达标排放的基础上，公司通过优化处理工艺和完善治理设施， 持续提升废水处理效率，降低排放浓度。为此，公司从两方面措施入手，一是 系统性优化废水治理的管...,集，先进行预 处理，再与其他低浓度废水统一汇入收集池，并通过提升泵及明管输送至厂内 污水处理车间，采用物化处理和/ 或生化处理工艺进行深度、有效处理，达到纳 管标准后排入市政污水管网，送往污水厂进一步处理。针对生活污水，则经污 水处理系统初步处理，达到纳管标准后接入市政污水管网，送往污水厂统一处理。 除部分排放口配备在线监测设备实时传输排放数据至生态环境部门及公司管控 平台外，公司及各子公司每年定期委托有资质单位对生产废水、雨水排放口...
