column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,2024年度绿色电力发电量 亿千瓦时 2024年 34,2024年度绿色电力发电量,page_18.png,34,no_schema_match,指标和目标,,亿千瓦时,34,"{""2024年"": ""34""}",2024
2024年,0.0,2024年度绿色电力电力达到 万千瓦 2024年 34,2024年度绿色电力电力达到,page_18.png,34,no_schema_match,指标和目标,,万千瓦,34,"{""2024年"": ""34""}",2024
2024年,0.0,2024年度减少二氧化碳排放量 万吨 2024年 442.69,2024年度减少二氧化碳排放量,page_18.png,442.69,no_schema_match,指标和目标,,万吨,442.69,"{""2024年"": ""442.69""}",2024
2024年,0.0,2024年度风电场共核发‘绿证’数量 万张 2024年 800,2024年度风电场共核发‘绿证’数量,page_18.png,800,no_schema_match,指标和目标,,万张,800,"{""2024年"": ""800""}",2024
,0.0,物理风险 极端天气事件：风场和海上设施可能受到飓风、暴雨等极端天气事件的影响，导致设备损坏、停机或发生安全性事故。 针对风电场等业务，开展专项风险识别与影响分析,极端天气事件：风场和海上设施可能受到飓风、暴雨等极端天气事件的影响，导致设备损坏、停机或发生安全性事故。,page_18.png,,no_schema_match,风险管理,物理风险,,,null,
,0.0,物理风险 气候变化：长期气候上升可能影响设备的运行效率和使用寿命。 重新评估业务所在地的气候适应性，选择更适宜的生产布局,气候变化：长期气候上升可能影响设备的运行效率和使用寿命。,page_18.png,,no_schema_match,风险管理,物理风险,,,null,
,0.94,转型风险 政策法规变化：国家政府部门对企业、集团对成员与单位的节能降耗考核指标将从能耗使用总量和能耗使用强度向二氧化硫排放总量和二氧化碳排放强度靠拢转变。 公司积极了解和掌握趋严政策，针对性地采取措施减少碳足迹，降低公司经营对气候变化的影响,政策法规变化：国家政府部门对企业、集团对成员与单位的节能降耗考核指标将从能耗使用总量和能耗使用强度向二氧化硫排放总量和二氧化碳排放强度靠拢转变。,page_18.png,,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=heuristic_ghg_emissions_intensity,风险管理,转型风险,,,null,
,0.0,转型风险 市场需求变化：消费者和市场对绿色低碳产品的需求增加。 公司以风力发电机组制造、风力发电项目开发运行为主业业务，深耕新能源市场，持续推进绿色工厂和绿色供应链、制造绿色设备、销售绿色电力,市场需求变化：消费者和市场对绿色低碳产品的需求增加。,page_18.png,,no_schema_match,风险管理,转型风险,,,null,
,0.0,转型风险 技术风险：未能及时识别并应用低碳技术可能导致减排目标无法按期实现。 公司开展风电制氢、制炭、制甲醇等前沿技术攻关，构建全新全方位、多层次的清洁能源利用体系，助力新型电力系统建设和能源结构转型,技术风险：未能及时识别并应用低碳技术可能导致减排目标无法按期实现。,page_18.png,,no_schema_match,风险管理,转型风险,,,null,
2024年,0.0,中船风电可核发绿证 238 万张，截至 2024 年 12 月 31 日，已核发绿证 222 万张。,中船风电可核发绿证数量,page_19.png,238,no_schema_match,中船风电可核发绿证情况,,万张,238,"{""2024年"": ""238""}",2024
2024年,0.0,中船九院 组织开展安全、环保、消防保卫等各类培训 12次，开展新员工入职和实习员工集中安全培训 2次。,组织开展安全、环保、消防保卫等各类培训次数,page_26.png,12,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,次,12,"{""2024年"": ""12""}",2024
2024年,0.0,中船九院 组织开展安全、环保、消防保卫等各类培训 12次，开展新员工入职和实习员工集中安全培训 2次。,开展新员工入职和实习员工集中安全培训次数,page_26.png,2,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,次,2,"{""2024年"": ""2""}",2024
2024年,0.9342857142857143,中船九院 2024年人均安全培训时长 2.85小时。,人均安全培训时长,page_26.png,2.85,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=fuzzy_alias_match:0.86:人均培训时长,中船九院安全培训与风险管理绩效,安全管理,小时,2.85,"{""2024年"": ""2.85""}",2024
2024年,0.0,中船九院 酒本培训方面，新入职员工按要求进行三级安全教育培训，培训合格后上岗。,酒本培训方面，新入职员工按要求进行三级安全教育培训，培训合格后上岗,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 生产一线方面，结合公司业务，开展诸如早装作业、高处作业以及电工作业等安全专项培训，提升员工安全操作技能。,生产一线方面，结合公司业务，开展诸如早装作业、高处作业以及电工作业等安全专项培训，提升员工安全操作技能,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 涉及职业病危害的岗位，进行职业危害防护培训。,涉及职业病危害的岗位，进行职业危害防护培训,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 公司建立“四不两直”安全检查机制，开展安全生产风险辨识评估，通过安全风险隐患排查整治、日常检查，安全监管回头看等及时排查安全隐患，制定管控方案并整改，落实安全生产责任，确保认识到位、追责到位、管理到位。,公司建立“四不两直”安全检查机制，开展安全生产风险辨识评估，通过安全风险隐患排查整治、日常检查，安全监管回头看等及时排查安全隐患，制定管控方案并整改，落实安全生产责任，确保认识到位、追责到位、管理到位,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 公司按照“三严三实”专题教育要求，扎实开展安全生产风险隐患排查整治工作，及时查出隐患，及时整改闭环，坚决杜绝发生安全事故。,公司按照“三严三实”专题教育要求，扎实开展安全生产风险隐患排查整治工作，及时查出隐患，及时整改闭环，坚决杜绝发生安全事故,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 推进公司数字化安全管控平台平安云盾系统的应用，进行全员、系统隐患排查，隐患整改的及时率显著提升。,推进公司数字化安全管控平台平安云盾系统的应用，进行全员、系统隐患排查，隐患整改的及时率显著提升,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 建立“日、周、月”隐患排查机制与“匹不两百”安全检查机制，及时发现生产现场各类安全隐患并由安全管理人员督促隐患整改闭环。,建立“日、周、月”隐患排查机制与“匹不两百”安全检查机制，及时发现生产现场各类安全隐患并由安全管理人员督促隐患整改闭环,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,中船九院 开发运行EHS信息化系统（安全眼）、量体安全环保监控体系、实施垂直归口项目制安全管理等举措，全力保障风电总装及项目场区的安全。,开发运行EHS信息化系统（安全眼）、量体安全环保监控体系、实施垂直归口项目制安全管理等举措，全力保障风电总装及项目场区的安全,page_26.png,无,no_schema_match,中船九院安全培训与风险管理绩效,安全管理,无,无,"{""2024年"": ""无""}",2024
2024年,0.0,不发生集团公 司规定的二类及以 上事故。,不发生集团公司规定的二类及以上事故。,page_27.png,,no_schema_match,中航风电2024年安全生产目标,,,,"{""2024年"": null}",2024
