page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,生产人员,%,{'2024年': '78.20%'},河钢资源员工构成 生产人员 % 2024年 78.20%,llm_no_match:生产人员占比属于内部组织结构或人力资源细分构成，Core ESG Schema 中无对应字段（如 total_employees、female_employees 等均为绝对人数或明确性别/年龄/管理层等维度，不包含职能岗位类型如‘生产人员’的占比）。该指标未在 aliases 或语义范围内覆盖，不属于标准 ESG 披露指标。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,销售人品,%,{'2024年': '12.86%'},河钢资源员工构成 销售人品 % 2024年 12.86%,llm_no_match:“销售人品”为明显错别字（应为“销售人员”），且该指标指代不明，无对应ESG含义；Core ESG Schema中无任何与销售岗位构成、销售类人员占比相关的字段；员工结构相关字段仅涵盖性别、年龄、民族、管理层等维度，不包括职能岗位分布。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,技术人员,%,{'2024年': '5.57%'},河钢资源员工构成 技术人员 % 2024年 5.57%,llm_no_match:技术人员占比属于人力资源结构细分指标，Core ESG Schema 中无对应 field_key；未在 aliases 中出现，且不属于员工总数、性别、年龄、培训、研发人员等已定义维度。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,财务人员,%,{'2024年': '1.88%'},河钢资源员工构成 财务人员 % 2024年 1.88%,llm_no_match:财务人员占比属于公司内部职能岗位结构，Core ESG Schema 中无对应字段；不属于环境（E）、社会（S）或治理（G）类标准ESG指标。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,行政人员,%,{'2024年': '1.49%'},河钢资源员工构成 行政人员 % 2024年 1.49%,llm_no_match:行政人员占比属于公司内部组织结构或人力资源细分指标，Core ESG Schema 中无对应 field_key；既非标准 E/S/G 类核心指标（如员工总数、性别比例、年龄结构等），也未在 aliases 中出现，不属于标准化 ESG 披露范畴。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,本科及以上学历,%,{'2024年': '77.23%'},河钢资源员工构成 本科及以上学历 % 2024年 77.23%,llm_no_match:本科及以上学历比例属于人力资源结构或教育背景指标，Core ESG Schema 中无对应 field_key（如无 'employee_education_level' 或 'bachelor_plus_ratio' 等字段），且未在任何 aliases 中出现。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,大专学历,%,{'2024年': '12.51%'},河钢资源员工构成 大专学历 % 2024年 12.51%,llm_no_match:大专学历比例属于员工教育背景构成，Core ESG Schema 中无对应字段（如无 'employee_education_level' 或类似字段），不属于环境、社会或治理核心指标。
page_34.png,量化数据绩效表-员工构成与教育程度,河钢资源员工构成,中专及高中以下学历,%,{'2024年': '10.26%'},河钢资源员工构成 中专及高中以下学历 % 2024年 10.26%,llm_no_match:员工学历结构（如中专及高中以下学历占比）未在 Core ESG Schema 中定义，不属于环境（E）、社会（S）或治理（G）类标准指标。
page_34.png,量化数据绩效表-薪酬福利政策,薪酬激励政策,医疗救助保险覆盖率,%,{'2024年': '100%'},薪酬激励政策 医疗救助保险覆盖率 % 2024年 100%,llm_no_match:医疗救助保险覆盖率不属于 Core ESG Schema 中的任何字段；Schema 中仅有社会保险覆盖率（social_insurance_coverage_rate）和员工健康档案或体检覆盖率（employee_health_record_coverage_rate），但医疗救助保险为特定补充性保障，未在 aliases 中覆盖，且无对应 field_key。
page_34.png,量化数据绩效表-薪酬福利政策,薪酬激励政策,养老金保险覆盖率,%,{'2024年': '100%'},薪酬激励政策 养老金保险覆盖率 % 2024年 100%,llm_no_match:养老金保险覆盖率不属于 Core ESG Schema 中定义的任何 field_key；Schema 中仅有 'social_insurance_coverage_rate'（社会保险覆盖率），但养老金保险仅为社会保险的子项，未被单独列为标准字段，且无对应别名支持。
page_34.png,量化数据绩效表-薪酬福利政策,薪酬激励政策,人均带薪休假天数,天,{'2024年': '34'},薪酬激励政策 人均带薪休假天数 天 2024年 34,llm_no_match:人均带薪休假天数属于人力资源福利类指标，Core ESG Schema 中无对应 field_key；虽与员工福祉相关，但未在 S 类字段中定义，不属于标准 ESG 指标。
page_35_right.png,PMC 职业发展路径,,,,"{'垂直晋升': '为在当前岗位表现卓越且展现出能够承担更具挑战性工作任务潜力的员工给予晋升机会。', '横向晋升': '职能没有发生明显的变化，但公司通过薪资增长的形式对努力工作、表现优异的员工给予奖励。', '斜向晋升': '将员工调动到其他部门或业务板块的新职位，助力有快速学习能力且能在新岗位上表现出色的员工学习新技能。', '公开晋升': '公司通过在员工公告板或电子邮件发布空缺职位信息，为所有符合条件的员工提供晋升机会。'}","PMC 职业发展路径
垂直晋升：为在当前岗位表现卓越且展现出能够承担更具挑战性工作任务潜力的员工给予晋升机会。
横向晋升：职能没有发生明显的变化，但公司通过薪资增长的形式对努力工作、表现优异的员工给予奖励。
斜向晋升：将员工调动到其他部门或业务板块的新职位，助力有快速学习能力且能在新岗位上表现出色的员工学习新技能。
公开晋升：公司通过在员工公告板或电子邮件发布空缺职位信息，为所有符合条件的员工提供晋升机会。",llm_no_match:该行描述的是员工晋升路径类型（垂直、横向、斜向、公开晋升）的定性定义，属于人力资源管理实践说明，非可量化ESG指标；Core ESG Schema中无任何关于晋升类型、职业发展路径分类的字段，且不涉及数值、单位或标准化度量，不符合value_type要求。
page_36.png,指标和目标-员工培训相关指标,,员工培训次数,次,"{'2024年': '3,169'}","员工培训次数 次 2024年 3,169",llm_no_match:员工培训次数未在 Core ESG Schema 的任何 field_key 的 aliases 中出现；Schema 中仅包含培训时长、覆盖率、投入金额、受训人次等维度，不包含‘次数’这一计量方式，且无对应别名支持。
page_36.png,目标-2025年员工发展项目目标,,助学金项目,人,"{'2025年目标（HDSA）': '7', '2025年目标（非 HDSA，男性）': '2', '2025年目标（非 HDSA，女性）': '10'}",助学金项目 人 2025年目标（HDSA） 15 2025年目标（非 HDSA，男性） 2 2025年目标（非 HDSA，女性） 10 2025年目标（HDSA） 7,llm_no_match:助学金项目属于社会公益或CSR特色活动，Core ESG Schema中无对应field_key；相关字段如员工培训、社区投资等均未涵盖‘助学金’这一具体项目，且无aliases匹配。
page_36.png,目标-2025年员工发展项目目标,,在职培训项目,人,"{'2025年目标（HDSA）': '3', '2025年目标（非 HDSA，男性）': '0', '2025年目标（非 HDSA，女性）': '5'}",在职培训项目 人 2025年目标（HDSA） 8 2025年目标（非 HDSA，男性） 0 2025年目标（非 HDSA，女性） 5 2025年目标（HDSA） 3,llm_no_match:在职培训项目是定性或计划类描述，非标准化ESG指标；Core ESG Schema中对应培训类指标需明确为培训时长、覆盖率、投入金额、受训人次等量化字段，而'在职培训项目'本身不表征可量化的ESG绩效，且单位'人'与上下文数值（如'3'、'0'、'5'）含义模糊（疑似目标人数？但未说明是参与人数、项目数还是其他），无法可靠映射至trained_employees_count、training_coverage_rate等任一field_key。
page_36.png,目标-2025年员工发展项目目标,,应届毕业生实习项目,人,"{'2025年目标（HDSA）': '18', '2025年目标（非 HDSA，男性）': '2', '2025年目标（非 HDSA，女性）': '22'}",应届毕业生实习项目 人 2025年目标（HDSA） 38 2025年目标（非 HDSA，男性） 2 2025年目标（非 HDSA，女性） 22 2025年目标（HDSA） 18,llm_no_match:应届毕业生实习项目属于人力资源发展或校企合作类活动，Core ESG Schema 中无对应 field_key；其数值为人数目标，不匹配任何员工结构、培训、招聘类标准字段（如 trained_employees_count、r_and_d_employees 等均要求实际发生量而非目标值，且语义不符）。
page_36.png,目标-2025年员工发展项目目标,,管理层发展项目,人,"{'2025年目标（HDSA）': '39', '2025年目标（非 HDSA，男性）': '40', '2025年目标（非 HDSA，女性）': '121'}",管理层发展项目 人 2025年目标（HDSA） 120 2025年目标（非 HDSA，男性） 40 2025年目标（非 HDSA，女性） 121 2025年目标（HDSA） 39,llm_no_match:该指标‘管理层发展项目’属于公司内部人才培养计划的描述性名称，未在 Core ESG Schema 中出现对应 field_key；其数值为分组目标人数，非标准ESG量化指标（如培训覆盖率、人均培训时长、培训人次等），且无匹配别名或语义映射依据。
