field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,765.94,765.94,吨二氧化碳当量,2024,温室气体排放量,,0.95,alias_match:温室气体排放量; schema_match_validated,page_78.png,"2024温室气体排放
温室气体排放量 吨二氧化碳当量 2024年 765.94"
scope_1_emissions,范围一温室气体排放量,E,quantitative,extracted,138.86,138.86,吨二氧化碳当量,2024,直接温室气体排放量,,0.96,heuristic_scope_1; schema_match_validated,page_78.png,"2024温室气体排放
直接温室气体排放量 吨二氧化碳当量 2024年 138.86"
scope_2_emissions,范围二温室气体排放量,E,quantitative,extracted,627.07,627.07,吨二氧化碳当量,2024,间接温室气体排放量,,0.96,heuristic_scope_2; schema_match_validated,page_78.png,"2024温室气体排放
间接温室气体排放量 吨二氧化碳当量 2024年 627.07"
scope_3_emissions,范围三温室气体排放量,E,quantitative,missing,,,,,,,0.0,,,
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,extracted,210.76,210.76,吨标准煤,2024,能源消耗总量,,0.94,alias_match:能源消耗总量; schema_match_validated,page_78.png,"2024能源消耗
能源消耗总量 吨标准煤 2024年 210.76"
energy_consumption_intensity,能源消耗强度,E,quantitative,extracted,0.18,0.18,吨标准煤/百万元营收,2024,能源耗尽强度,,0.95,llm_match:能源耗尽强度是能源消耗强度的误写或变体表述，与'能源消耗强度'、'综合能耗强度'、'单位收入能耗'等别名语义一致；单位'吨标准煤/百万元营收'与schema中'吨标准煤/万元'量纲兼容（仅数量级差异，属合理换算）；category为E，value_type为number，完全匹配。; schema_match_validated,page_85.png,能源耗尽强度 吨标准煤/百万元营收 2023年 0.22 2024年 0.18
electricity_consumption,电力消耗量,E,quantitative,extracted,116.86,116.86,万千瓦时,2024,外购电力,,0.92,heuristic_electricity; schema_match_validated,page_78.png,"2024能源消耗
外购电力 万千瓦时 2024年 116.86"
renewable_energy_consumption,可再生能源使用量,E,quantitative,missing,,,,,,,0.0,,,
natural_gas_consumption,天然气消耗量,E,quantitative,missing,,,,,,,0.0,,,
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,6297,"6,297",吨,2024,总用水量,,0.92,heuristic_water; schema_match_validated,page_81_left.png,"总用水量 吨 2024年 6,297"
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,missing,,,,,,,0.0,,,
wastewater_discharge,废水排放量,E,quantitative,missing,,,,,,,0.0,,,
cod_emissions,化学需氧量排放量,E,quantitative,missing,,,,,,,0.0,,,
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,missing,,,,,,,0.0,,,
so2_emissions,二氧化硫排放量,E,quantitative,missing,,,,,,,0.0,,,
