applicability,category,confidence,evidence,field_key,field_name_cn,indicator_type,industry,merge_reason,missing_reason,page_image,raw_value,route_a_confidence,route_a_reason,route_a_status,route_b2_confidence,route_b2_evidence,route_b2_matched,route_b2_raw_value,route_b2_reason,route_b2_source_pages,route_b2_unit,route_b2_value,route_b2_year,route_b_confidence,route_b_evidence,route_b_matched,route_b_reason,route_b_source_pages,route_b_summary,row_label,source_pages,source_route,status,table_title,topic,unit,value,value_type,year
core,E,0.94,"温室气体排放总量 万吨二氧化碳当量 2024 38,356",total_ghg_emissions,温室气体排放总量,quantitative,manufacturing,route_a_selected,,page_49.png,"38,356",0.94,heuristic_total_ghg_unit_pivot; schema_match_validated,extracted,,,,,,,,,,,,,,,,温室气体排放总量,page_49.png,route_a_appendix_table,extracted,关键绩效表-环境范畴,,万吨二氧化碳当量,38356,number,2024
core,E,0.0,,ghg_emissions_intensity,温室气体排放强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.96,范围一排放量 万吨二氧化碳当量 2024 334,scope_1_emissions,范围一温室气体排放量,quantitative,manufacturing,route_a_selected,,page_49.png,334,0.96,heuristic_scope_1; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围一排放量,page_49.png,route_a_appendix_table,extracted,关键绩效表-环境范畴,,万吨二氧化碳当量,334,number,2024
core,E,0.96,"范围二排放量 万吨二氧化碳当量 2024 47,457",scope_2_emissions,范围二温室气体排放量,quantitative,manufacturing,route_a_selected,,page_49.png,"47,457",0.96,heuristic_scope_2; schema_match_validated,extracted,,,,,,,,,,,,,,,,范围二排放量,page_49.png,route_a_appendix_table,extracted,关键绩效表-环境范畴,,万吨二氧化碳当量,47457,number,2024
core,E,0.96,"环境绩效 综合能源消耗总量 吨标煤 2024年 100,051.00",energy_consumption_total,能源消耗总量,quantitative,manufacturing,route_a_selected,,page_19.png,"100,051.00",0.96,normalized_alias_match:能源消耗总量; schema_match_validated,extracted,,,,,,,,,,,,,,,,综合能源消耗总量,page_19.png,route_a_appendix_table,extracted,量化数据绩效表,环境绩效,吨标煤,100051,number,2024
core,E,0.0,,energy_consumption_intensity,能源消耗强度,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
optional,E,0.0,,natural_gas_consumption,天然气消耗量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.0,,electricity_consumption,用电量,quantitative,manufacturing,missing_after_route_a,not_disclosed_or_extraction_failed,,,0.0,not_found,missing,,,,,,,,,,,,,,,,,,missing,missing,,,,,number,
core,E,0.92,"2024年 总耗水量 5,601 万吨",water_consumption,用水量,quantitative,manufacturing,route_a_selected,,page_44.png,"5,601",0.92,heuristic_water_ocr_correction; schema_match_validated,extracted,,,,,,,,,,,,,,,,总耗水量,page_44.png,route_a_appendix_table,extracted,关键绩效,,万吨,5601,number,2024
core,E,0.9500000000000001,环境绩效 废水排放量 万吨 2024年 120.50,wastewater_discharge,废水排放量,quantitative,manufacturing,route_a_selected,,page_19.png,120.50,0.9500000000000001,normalized_alias_match:废水排放量; schema_match_validated,extracted,,,,,,,,,,,,,,,,废水排放量,page_19.png,route_a_appendix_table,extracted,量化数据绩效表,环境绩效,万吨,120.5,number,2024
