field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,38356,万吨二氧化碳当量,2024,route_a_appendix_table,0.94,auto_cited,,table_page_49,49,1,,"温室气体排放总量 万吨二氧化碳当量 2024 38,356","温室气体排放总量 万吨二氧化碳当量 2024 38,356"
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p46_88,46,1,0.01612903,产损失 降低能源 购置成本 收入增加 增加运营 成本 提升运营 成本 收入减少 增加合规 成本 降低能源 购置成本 收入增加 收入上升 • 工厂、车间、办公楼建筑及 设备可能被破坏，造成资产损失， 甚至可能会引起员工安全事故 • 设备损坏、服务中断或重大设 备损坏可能直接或间接损害业务 运营连续性和经济利益 • 气温升高可能导致公司能耗增 加，运营成本增加 • 关于温室气体排放的政策法规 增加可能提高公司合规运营成本 • 未及时识别并应用低碳技术， 导致同业竞争力削弱 • 上下游供应链、客户偏好转变 可能会增加对绿色低碳产品关注 • 因在应对气候变化及可持续领 域表现不佳，导致利益相关方负 面反馈 • 国家政策对新能源扶持力度 加大 • 在低碳经济转型背景下，绿色 低碳产品与服务的社会需求可能 增加 • 制定自然灾害的应急响应 预案 • 完善自然灾害应急响应机 制 • 识别可能的资产损坏，购 买必要的保险 • 配备完善设施，科学安排 生产计划，提高运营效率 • 密切关注环境法律法规、 政策的变化并及时应对 • 持续研究应用低碳技术， 积极开展行业合作 • 积极开发绿色低碳产品， 跟踪...,产损失 降低能源 购置成本 收入增加 增加运营 成本 提升运营 成本 收入减少 增加合规 成本 降低能源 购置成本 收入增加 收入上升 • 工厂、车间、办公楼建筑及 设备可能被破坏，造成资产损失， 甚至可能会引起员工安全事故 • 设备损坏、服务中断或重大设 备损坏可能直接或间接损害业务 运营连续性和经济利益 • 气温升高可能导致公司能耗增 加，运营成本增加 • 关于温室气体排放的政策法规 增加可能提高公司合规运营成本 • 未及时识别并...
scope_1_emissions,范围一温室气体排放量,E,extracted,334,万吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_49,49,1,,范围一排放量 万吨二氧化碳当量 2024 334,范围一排放量 万吨二氧化碳当量 2024 334
scope_2_emissions,范围二温室气体排放量,E,extracted,47457,万吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_49,49,1,,"范围二排放量 万吨二氧化碳当量 2024 47,457","范围二排放量 万吨二氧化碳当量 2024 47,457"
energy_consumption_total,能源消耗总量,E,extracted,100051,吨标煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_19,19,1,,"环境绩效 综合能源消耗总量 吨标煤 2024年 100,051.00","环境绩效 综合能源消耗总量 吨标煤 2024年 100,051.00"
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p49_93,49,1,0.07639344,"关键绩效表 关键绩效表 有研新材料股份有限公司 2024 年度环境、社会和公司治理报告 总耗水量 新鲜水用量 重复用水总量 重复用水消耗量占比 水资源消耗强度 能源消耗总量 能源消耗强度 环保总投入 废水排放量 一般工业固体废物处置量 危险废物处置量 温室气体排放总量 范围一排放量 范围二排放量 在职员工总数 新入职员工总数 数据安全事件涉及的金额 泄露客户隐私事件涉及的金额 违反科技伦理事件数量 吨 吨 吨 % 吨/ 百万元 吨标准煤 吨标准煤/ 百万元 万元 吨 吨 吨 吨二氧化碳当量 吨二氧化碳当量 吨二氧化碳当量 人 人 人 人 人 人 人 人 人 人 人 人 人 人 人 人 人 人 件 万元 件 少数民族员工 残疾员工 生产人员 销售人员 技术人员 财务人员 行政人员 博士研究生 硕士研究生 本科 专科 高中及以下 男性 女性 应届生毕业生 社会招聘 56,014,451 326,968 55,687,483 98.84 6,124.62 13,475 1.47 453.06 117,738 346 272 38,356 334 47,457 2,091 69 15 1,3...",关键绩效表 关键绩效表 有研新材料股份有限公司 2024 年度环境、社会和公司治理报告 总耗水量 新鲜水用量 重复用水总量 重复用水消耗量占比 水资源消耗强度 能源消耗总量 能源消耗强度 环保总投入 废水排放量 一般工业固体废物处置量 危险废物处置量 温室气体排放总量 范围一排放量 范围二排放量 在职员工总数 新入职员工总数 数据安全事件涉及的金额 泄露客户隐私事件涉及的金额 违反科技伦理事件数量 吨 吨 吨 % 吨/ 百万元 吨标准...
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p44_84,44,1,0.17639344,"方面面，积极主动对生产流程进行持续优化，全力以赴提升资源利用效率，致力于在可持续发 展的道路上迈出坚实步伐。有研稀土子公司有研高技术已取得ISO50001 能源管理体系认证证书。 公司主要消耗的能源涵盖电力、汽油、柴油以及天然气等类别；水资源主要依赖市政管网供水，为公司运 营提供生活给水、循环水给水、消防水给水以及生产给水等多方面的用水保障。2024 年，公司加大节能节 水工作管理力度，成立节能减排领导小组，制定、实施节水计划并强化宣传教育，生产生活用水得到有效 控制，无效损耗大幅减少。 落实节能减排 关键绩效 2024 年 能源消耗总量 13,475 吨标煤 能源消耗强度 1.47 吨标准煤/ 百万元 总耗水量 5,601 万吨 公司大力开展节能环保系列培训，发出节能减排倡议，增强员工能源忧患、节能低碳意识和责任，形成人 人争做绿色低碳理念倡导者、践行者、传播者的良好氛围。 治理为基 汇众策稳航 展望 走进有研新材 有研新材料股份有限公司 2024 年度环境、社会和公司治理报告 • 承担社会责任 • 绿色低碳发展• 应对气候变化 创新为力 集众贤探宇 品质为先 聚众力登峰 以人为本...",方面面，积极主动对生产流程进行持续优化，全力以赴提升资源利用效率，致力于在可持续发 展的道路上迈出坚实步伐。有研稀土子公司有研高技术已取得ISO50001 能源管理体系认证证书。 公司主要消耗的能源涵盖电力、汽油、柴油以及天然气等类别；水资源主要依赖市政管网供水，为公司运 营提供生活给水、循环水给水、消防水给水以及生产给水等多方面的用水保障。2024 年，公司加大节能节 水工作管理力度，成立节能减排领导小组，制定、实施节水计划并强化宣...
electricity_consumption,用电量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p44_84,44,1,0.01639344,"方面面，积极主动对生产流程进行持续优化，全力以赴提升资源利用效率，致力于在可持续发 展的道路上迈出坚实步伐。有研稀土子公司有研高技术已取得ISO50001 能源管理体系认证证书。 公司主要消耗的能源涵盖电力、汽油、柴油以及天然气等类别；水资源主要依赖市政管网供水，为公司运 营提供生活给水、循环水给水、消防水给水以及生产给水等多方面的用水保障。2024 年，公司加大节能节 水工作管理力度，成立节能减排领导小组，制定、实施节水计划并强化宣传教育，生产生活用水得到有效 控制，无效损耗大幅减少。 落实节能减排 关键绩效 2024 年 能源消耗总量 13,475 吨标煤 能源消耗强度 1.47 吨标准煤/ 百万元 总耗水量 5,601 万吨 公司大力开展节能环保系列培训，发出节能减排倡议，增强员工能源忧患、节能低碳意识和责任，形成人 人争做绿色低碳理念倡导者、践行者、传播者的良好氛围。 治理为基 汇众策稳航 展望 走进有研新材 有研新材料股份有限公司 2024 年度环境、社会和公司治理报告 • 承担社会责任 • 绿色低碳发展• 应对气候变化 创新为力 集众贤探宇 品质为先 聚众力登峰 以人为本...",方面面，积极主动对生产流程进行持续优化，全力以赴提升资源利用效率，致力于在可持续发 展的道路上迈出坚实步伐。有研稀土子公司有研高技术已取得ISO50001 能源管理体系认证证书。 公司主要消耗的能源涵盖电力、汽油、柴油以及天然气等类别；水资源主要依赖市政管网供水，为公司运 营提供生活给水、循环水给水、消防水给水以及生产给水等多方面的用水保障。2024 年，公司加大节能节 水工作管理力度，成立节能减排领导小组，制定、实施节水计划并强化宣...
water_consumption,用水量,E,extracted,5601,万吨,2024,route_a_appendix_table,0.92,auto_cited,,table_page_44,44,1,,"2024年 总耗水量 5,601 万吨","2024年 总耗水量 5,601 万吨"
wastewater_discharge,废水排放量,E,extracted,120.5,万吨,2024,route_a_appendix_table,0.9500000000000001,auto_cited,,table_page_19,19,1,,环境绩效 废水排放量 万吨 2024年 120.50,环境绩效 废水排放量 万吨 2024年 120.50
