field_key,name_cn,category,indicator_type,status,value,raw_value,unit,year,row_label,topic,confidence,match_reason,page_image,evidence_text
total_ghg_emissions,温室气体排放总量,E,quantitative,extracted,56.64,56.64,万吨二氧化碳当量,2024,温室气体排放总量,应对气候变化,0.94,heuristic_total_ghg; schema_match_validated,page_50.png,应对气候变化 温室气体排放总量 万吨二氧化碳当量 2022年 49.76 2023年 46.04 2024年 56.64
scope_1_emissions,范围一温室气体排放量,E,quantitative,extracted,38.76,38.76,万吨二氧化碳当量,2024,范围1温室气体排放量,,0.95,llm_match:指标名称'范围1温室气体排放量'与Core ESG Schema中scope_1_emissions的aliases完全匹配，单位'万吨二氧化碳当量'属于其unit_examples范围。; schema_match_validated,page_50.png,范围1温室气体排放量 万吨二氧化碳当量 2022年 38.11 2023年 40.06 2024年 38.76
scope_2_emissions,范围二温室气体排放量,E,quantitative,extracted,5.3,5.30,万吨二氧化碳当量,2024,范围2温室气体排放量,,0.95,llm_match:指标名称'范围2温室气体排放量'与Core ESG Schema中field_key 'scope_2_emissions'的name_cn完全一致，且aliases包含'范围二温室气体排放'、'间接温室气体排放量'等，单位'万吨二氧化碳当量'在unit_examples中明确列出。; schema_match_validated,page_50.png,范围2温室气体排放量 万吨二氧化碳当量 2022年 10.30 2023年 5.18 2024年 5.30
scope_3_emissions,范围三温室气体排放量,E,quantitative,extracted,12.08,12.08,万吨二氧化碳当量,2024,范围3温室气体排放量,,0.96,alias_match:范围 3 温室气体排放量; schema_match_validated,page_50.png,范围3温室气体排放量 万吨二氧化碳当量 2022年 1.35 2023年 0.78 2024年 12.08
ghg_emissions_intensity,温室气体排放强度,E,quantitative,missing,,,,,,,0.0,,,
energy_consumption_total,能源消耗总量,E,quantitative,extracted,23.52,23.52,万吨标准煤,2024,汽油¹,综合能源消耗量,0.95,alias_match:综合能源消耗量; schema_match_validated,page_51.png,综合能源消耗量 汽油¹ 万吨标准煤 2022年 21.63 2023年 23.02 2024年 23.52
energy_consumption_intensity,能源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
electricity_consumption,电力消耗量,E,quantitative,extracted,2.25,2.25,亿千瓦时,2024,电力,按能源类型分,0.9,alias_match:电力; schema_match_validated,page_51.png,按能源类型分 电力 亿千瓦时 2022年 1.98 2023年 2.38 2024年 2.25
renewable_energy_consumption,可再生能源使用量,E,quantitative,extracted,5653,"5,653",兆瓦时,2024,清洁能源使用总量（沼气）,,0.95,llm_match:清洁能源使用总量（沼气）属于可再生能源使用量，沼气是典型可再生能源，单位兆瓦时在aliases和unit_examples中均匹配。; schema_match_validated,page_51_right.png,"清洁能源使用总量（沼气） 兆瓦时 2022年 6,700 2023年 7,240 2024年 5,653"
natural_gas_consumption,天然气消耗量,E,quantitative,extracted,1.69,1.69,亿立方米,2024,天然气,按能源类型分,0.95,llm_match:指标名称为'天然气'，属于能源类型细分，与field_key 'natural_gas_consumption'的中文名'天然气消耗量'及别名'天然气使用量、天然气用量'语义一致；单位'亿立方米'在unit_examples中虽未直接列出，但'立方米、万立方米'已覆盖该量纲，且数值量级合理。; schema_match_validated,page_51.png,按能源类型分 天然气 亿立方米 2022年 1.58 2023年 1.65 2024年 1.69
coal_consumption,煤炭消耗量,E,quantitative,missing,,,,,,,0.0,,,
water_consumption,水资源消耗量,E,quantitative,extracted,1206,"1,206",万吨,2024,总用水量,,0.92,heuristic_water; schema_match_validated,page_51_right.png,"总用水量 万吨 2022年 1,049 2023年 1,096 2024年 1,206"
water_consumption_intensity,水资源消耗强度,E,quantitative,missing,,,,,,,0.0,,,
recycled_water_volume,循环水或回用水量,E,quantitative,extracted,145,145,万吨,2024,万吨,循环用水总量,0.95,llm_match:循环用水总量与 field_key 'recycled_water_volume' 的中文名 '循环水或回用水量' 及别名 '循环水使用量、循环用水量、循环水量、回用水量' 高度一致，单位'万吨'在 unit_examples 中明确列出。; schema_match_validated,page_51.png,循环用水总量 万吨 万吨 2022年 131 2023年 137 2024年 145
wastewater_discharge,废水排放量,E,quantitative,extracted,374.4,374.4,万吨,2024,废水排放总量,水污染物,0.95,llm_match:指标名称'废水排放总量'与field_key 'wastewater_discharge'的中文名'废水排放量'及别名'污水排放量'高度一致，且单位'万吨'在unit_examples中明确列出，属于环境类（E）指标。; schema_match_validated,page_51.png,水污染物 废水排放总量 万吨 2022年 425.04 2023年 440.37 2024年 374.4
cod_emissions,化学需氧量排放量,E,quantitative,extracted,80.43,80.43,吨,2024,化学需氧量（COD）,水污染物,0.93,alias_match:化学需氧量; schema_match_validated,page_51.png,水污染物 化学需氧量（COD） 吨 2022年 84 2023年 105.37 2024年 80.43
ammonia_nitrogen_emissions,氨氮排放量,E,quantitative,extracted,2.92,2.92,吨,2024,氨氮,水污染物,0.9,alias_match:氨氮; schema_match_validated,page_51.png,水污染物 氨氮 吨 2022年 1.5 2023年 1.77 2024年 2.92
so2_emissions,二氧化硫排放量,E,quantitative,extracted,2.2,2.2,吨,2024,二氧化硫（SO₂）,大气污染物,0.91,alias_match:氧化硫; schema_match_validated,page_51.png,大气污染物 二氧化硫（SO₂） 吨 2022年 1.85 2023年 2.69 2024年 2.2
nox_emissions,氮氧化物排放量,E,quantitative,extracted,93,93,吨,2024,氮氧化物（NOx）,大气污染物,0.92,alias_match:氮氧化物; schema_match_validated,page_51.png,大气污染物 氮氧化物（NOx） 吨 2022年 879 2023年 92 2024年 93
particulate_matter_emissions,颗粒物排放量,E,quantitative,extracted,0.4,0.4,吨,2024,颗粒物（PM）,大气污染物,0.91,alias_match:颗粒物; schema_match_validated,page_51.png,大气污染物 颗粒物（PM） 吨 2022年 15.67 2023年 0.49 2024年 0.4
hazardous_waste,危险废弃物产生或排放量,E,quantitative,extracted,44.18,44.18,吨,2024,有害废弃物,按废物类型分类,0.93,heuristic_hazardous_waste; schema_match_validated,page_51.png,按废物类型分类 有害废弃物 吨 吨 2022年 39.00 2023年 38.17 2024年 44.18
non_hazardous_waste,无害废弃物产生或排放量,E,quantitative,extracted,784674.08,"784,674.08",吨,2024,无害废弃物循环利用量,按废弃物类型分类,0.93,heuristic_non_hazardous_waste; schema_match_validated,page_51.png,"按废弃物类型分类 无害废弃物循环利用量 吨 吨 2022年 720,500.43 2023年 796,469.32 2024年 784,674.08"
