page_image,table_title,topic,metric_name,unit,values,evidence_text,reason
page_51.png,股东回报指标表,,公司现金分红比例,%,{'2024年': '100%'},公司现金分红比例 % 2024年 100%,llm_no_match:该指标属于公司财务分配政策类指标，与环境（E）、社会（S）或治理（G）核心议题无直接关联，Core ESG Schema 中无对应字段。
page_51.png,股东回报指标表,,现金分红总额,元,"{'2024年': '157,794,285.00'}","现金分红总额 元 2024年 157,794,285.00",llm_no_match:现金分红总额属于财务分配类经营绩效指标，Core ESG Schema 中无对应字段。
page_51.png,股东回报指标表,,送红股数量（含税）,股,{'2024年': '0股'},送红股数量（含税） 股 2024年 0股,llm_no_match:送红股数量（含税）属于公司财务分配行为，与环境（E）、社会（S）或治理（G）核心ESG议题无直接关联，Core ESG Schema中无任何对应字段。
page_51_right.png,2024年现金分红情况,,公司现金分红比例达,%,{'2024年': '100%'},公司现金分红比例达 % 2024年 100%,llm_no_match:该指标属于经营绩效或公司治理分红政策类指标，Core ESG Schema 中无对应字段（如现金分红比例未在 G 类或其他类别中定义），不属于标准化 ESG 指标。
page_51_right.png,2024年现金分红情况,,现金分红总额为近五年最高水平,,{'2024年': '最高水平'},现金分红总额为近五年最高水平 2024年 最高水平,llm_no_match:该指标描述现金分红总额的相对水平（'近五年最高水平'），属于股东回报或财务分配类经营绩效指标，Core ESG Schema 中无对应字段。
page_52.png,ESG绩效表-环境绩效,,本年度营业收入,万元,"{'2024年': '20,347.10', '2023年': '22,983.30'}","本年度营业收入 万元 2024年 20,347.10 2023年 22,983.30",business_performance_not_core_esg
page_52.png,ESG绩效表-环境绩效,,报告期内用水总量,吨,"{'2024年': '7,094,119.56', '2023年': '7,490,175.83'}","报告期内用水总量 吨 2024年 7,094,119.56 2023年 7,490,175.83",rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:报告期内用水总量与别名'用水量'完全匹配，属于水资源消耗量，单位'吨'在unit_examples中明确列出。
page_52.png,ESG绩效表-环境绩效,,提供用水密度,吨/百万元营收,"{'2024年': '378.14', '2023年': '327.43'}",提供用水密度 吨/百万元营收 2024年 378.14 2023年 327.43,rejected_by_schema_validator:required_keyword_missing; original_reason=llm_match:‘提供用水密度’语义等同于水资源消耗强度（用水强度），单位‘吨/百万元营收’符合 water_consumption_intensity 的 unit_examples（如吨/万元），且在 aliases 中明确包含‘单位收入耗水’‘单位产值耗水’。
page_52.png,ESG绩效表-环境绩效,,本年度循环水使用占比,%,"{'2024年': '25.5', '2023年': '24.8'}",本年度循环水使用占比 % 2024年 25.5 2023年 24.8,llm_no_match:‘循环水使用占比’是循环水用量占总用水量的比例，Core ESG Schema 中无对应字段；water_consumption 对应绝对量（如新鲜水用量），recycled_water_volume 对应循环水绝对量，但无‘占比’类强度指标；water_consumption_intensity 是单位产值耗水，不匹配。该指标不属于 Core Schema。
page_52.png,ESG绩效表-环境绩效,,不可再生原材料耗量,吨,"{'2024年': '104,779,823.77', '2023年': '10,666,836.31'}","不可再生原材料耗量 吨 2024年 104,779,823.77 2023年 10,666,836.31",llm_no_match:不可再生原材料耗量在 Core ESG Schema 中无对应 field_key；Schema 中未定义任何关于原材料（可再生或不可再生）消耗的指标，不属于环境类标准指标。
