field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,17741.19,吨二氧化碳当量,2024,route_a_appendix_table,0.94,auto_cited,,table_page_39,39,1,,温室气体排放总量 吨二氧化碳当量 2024年 17741.19,温室气体排放总量 吨二氧化碳当量 2024年 17741.19
ghg_emissions_intensity,温室气体排放强度,E,extracted,0.027,吨二氧化碳当量/万元营收,2024,route_a_appendix_table,0.94,auto_cited,,table_page_39,39,1,,温室气体排放强度 吨二氧化碳当量/万元营收 2024年 0.0270,温室气体排放强度 吨二氧化碳当量/万元营收 2024年 0.0270
scope_1_emissions,范围一温室气体排放量,E,extracted,2674.96,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_39,39,1,,范围一 吨二氧化碳当量 2024年 2674.96,范围一 吨二氧化碳当量 2024年 2674.96
scope_2_emissions,范围二温室气体排放量,E,extracted,15066.72,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_39,39,1,,范围二 吨二氧化碳当量 2024年 15066.72,范围二 吨二氧化碳当量 2024年 15066.72
energy_consumption_total,能源消耗总量,E,extracted,5154.04,吨标准煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_35,35,1,,能源消耗总量 吨标准煤 2024年 5154.04,能源消耗总量 吨标准煤 2024年 5154.04
energy_consumption_intensity,能源消耗强度,E,extracted,0.0078,吨标准煤/万元营收,2024,route_a_appendix_table,0.94,auto_cited,,table_page_35,35,1,,能源消耗强度 吨标准煤/万元营收 2024年 0.0078,能源消耗强度 吨标准煤/万元营收 2024年 0.0078
natural_gas_consumption,天然气消耗量,E,extracted,1099897,立方米,2024,route_a_appendix_table,0.9,auto_cited,,table_page_35,35,1,,天然气使用量 立方米 2024年 1099897,天然气使用量 立方米 2024年 1099897
electricity_consumption,用电量,E,extracted,30028.23,兆瓦时,2024,route_a_appendix_table,0.92,auto_cited,,table_page_35,35,1,,总用电量 兆瓦时 2024年 30028.23,总用电量 兆瓦时 2024年 30028.23
water_consumption,用水量,E,extracted,27.17,万吨,2024,route_a_appendix_table,0.92,auto_cited,,table_page_67,67,1,,新鲜水用量 万吨 2024年 27.17,新鲜水用量 万吨 2024年 27.17
wastewater_discharge,废水排放量,E,extracted,25.12,万吨,2024,route_a_appendix_table,0.9500000000000001,auto_cited,,table_page_39,39,1,,废水排放量 万吨 2024年 25.12,废水排放量 万吨 2024年 25.12
air_pollutant_emissions,废气或大气污染物排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p39_66,39,1,0.01639344,0-2008）中规定的有关水污染物排放规定，总排放口 处其他生产废水和生活污水排放满足《污水综合排放标准》 （GB8978-1996）表4中三级标准和《污水排入城镇下水道水 质标准》 （GB/T31962-2015）表1中的B等级标准。 根据济南市生态环境局发布的济南市2024年重点排污单位名录，平阴县中医医院被列为2024年济南市重点排污单位 之一，报告期内的排污信息如下： 报告期内，公司产生的温室气体排放量如下： 2024年公司开展碳足迹核算工作，分析医疗器械和医用耗材等产品的碳足迹并进行管理，摸清“碳”家底，为绿色运营 提供降碳着力点。 产品碳足迹 温室气体排放总量 范围一 指标 范围二 温室气体排放强度 吨二氧化碳当量 吨二氧化碳当量 单位 吨二氧化碳当量 吨二氧化碳当量/万元营收 15066.22 0.0270 17741.19 2674.96 2024年数据 废水排放量 化学需氧量 指标 氨氮 废水排放强度 万吨 吨 单位 吨 吨/万元营收 30.00 0.508 25.12 59.25 2024年数据 强化污染治理 新华医疗高度重视环境保护，严格遵守《中华人民共和国水污...,0-2008）中规定的有关水污染物排放规定，总排放口 处其他生产废水和生活污水排放满足《污水综合排放标准》 （GB8978-1996）表4中三级标准和《污水排入城镇下水道水 质标准》 （GB/T31962-2015）表1中的B等级标准。 根据济南市生态环境局发布的济南市2024年重点排污单位名录，平阴县中医医院被列为2024年济南市重点排污单位 之一，报告期内的排污信息如下： 报告期内，公司产生的温室气体排放量如下： 2024年公司开...
non_hazardous_waste,一般废弃物产生量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p33_54,33,1,0.01587302,"新华医疗始终坚持绿色低碳发展理念，在应对气候变化、环境合规管理、 污染物排放、废弃物处理及生物多样性保护等方面，严格遵循法律法规， 持续优化环境管理体系，不断强化环境保护的常态化管理，提升环境治 理水平，不断提升资源利用效率，减少环境影响，积极采取应对气候变化 的举措，为构建可持续发展生态体系贡献新华力量。 绿动新华 守护环境 降低资源消耗 坚持质量制胜 加强环境管理 应对气候变化 强化污染治理 弘扬绿色理念 61 62 山东新华医疗器械股份有限公司 | 环境、社会和公司治理(ESG)报告 Environmental, Social and Governance Report",新华医疗始终坚持绿色低碳发展理念，在应对气候变化、环境合规管理、 污染物排放、废弃物处理及生物多样性保护等方面，严格遵循法律法规， 持续优化环境管理体系，不断强化环境保护的常态化管理，提升环境治 理水平，不断提升资源利用效率，减少环境影响，积极采取应对气候变化 的举措，为构建可持续发展生态体系贡献新华力量。 绿动新华 守护环境 降低资源消耗 坚持质量制胜 加强环境管理 应对气候变化 强化污染治理 弘扬绿色理念 61 62 山东新华医疗...
hazardous_waste,危险废弃物产生量,E,extracted,342.94,吨,2024,route_a_appendix_table,0.93,auto_cited,,table_page_40,40,1,,危险废物 吨 2024年 342.94,危险废物 吨 2024年 342.94
