column_label,confidence,evidence_text,metric_name,page_image,raw_value,reason,table_title,topic,unit,value,values,year
2024年,0.0,营业收入 亿元 2024年 91.46,营业收入,page_7.png,91.46,business_performance_not_core_esg,2024年ESG关键绩效数据-经营绩效,,亿元,91.46,"{""2024年"": ""91.46""}",2024
2024年,0.0,资产总额 亿元 2024年 65.03,资产总额,page_7.png,65.03,business_performance_not_core_esg,2024年ESG关键绩效数据-经营绩效,,亿元,65.03,"{""2024年"": ""65.03""}",2024
2024年,0.0,净资产 亿元 2024年 44.70,净资产,page_7.png,44.70,business_performance_not_core_esg,2024年ESG关键绩效数据-经营绩效,,亿元,44.7,"{""2024年"": ""44.70""}",2024
2024年,0.91,循环用水量占比 % 2024年 99.84,循环用水量占比,page_7.png,99.84,rejected_by_schema_validator:unit_type_mismatch:water; original_reason=alias_match:用水量,2024年ESG关键绩效数据-环境绩效,,%,99.84,"{""2024年"": ""99.84""}",2024
2024年,0.0,万元产值综合能耗 吨标准煤/万元 2024年 0.048,万元产值综合能耗,page_7.png,0.048,no_schema_match,2024年ESG关键绩效数据-环境绩效,,吨标准煤/万元,0.048,"{""2024年"": ""0.048""}",2024
2024年,0.92,研发费用占主营业务比例 % 2024年 2.26,研发费用占主营业务比例,page_7.png,2.26,rejected_by_schema_validator:unit_type_mismatch:money; original_reason=alias_match:研发费用,2024年ESG关键绩效数据-社会绩效,,%,2.26,"{""2024年"": ""2.26""}",2024
2024年,0.0,纳税总额 亿元 2024年 1.44,纳税总额,page_7.png,1.44,business_performance_not_core_esg,2024年ESG关键绩效数据-社会绩效,,亿元,1.44,"{""2024年"": ""1.44""}",2024
2024年,0.0,组织投资者交流会次数 次 2024年 26,组织投资者交流会次数,page_7.png,26,no_schema_match,2024年ESG关键绩效数据-治理绩效,,次,26,"{""2024年"": ""26""}",2024
2024年,0.0,召开党委会 次 2024年 54,召开党委会,page_8.png,54,no_schema_match,2024年关键绩效,,次,54,"{""2024年"": ""54""}",2024
2024年,0.0,研究重要议题 项 2024年 167,研究重要议题,page_8.png,167,no_schema_match,2024年关键绩效,,项,167,"{""2024年"": ""167""}",2024
2024年,0.0,“三重一大”决策事项 项 2024年 37,“三重一大”决策事项,page_8.png,37,no_schema_match,2024年关键绩效,,项,37,"{""2024年"": ""37""}",2024
2024年,0.0,环境绩效 固体废物产生量 万吨 2024年 35.00,固体废物产生量,page_19.png,35.00,no_schema_match,量化数据绩效表,环境绩效,万吨,35,"{""2024年"": ""35.00""}",2024
2024年,0.0,环境绩效 固体废物处置量 万吨 2024年 34.50,固体废物处置量,page_19.png,34.50,no_schema_match,量化数据绩效表,环境绩效,万吨,34.5,"{""2024年"": ""34.50""}",2024
2024年,0.94,"社会绩效 员工培训小时数 小时 2024年 15,000",员工培训小时数,page_19.png,"15,000",rejected_by_schema_validator:required_keyword_missing; original_reason=fuzzy_alias_match:0.93:员工培训总小时数,量化数据绩效表,社会绩效,小时,15000,"{""2024年"": ""15,000""}",2024
2024年,0.0,社会绩效 工伤事故率 次/百万工时 2024年 0.5,工伤事故率,page_19.png,0.5,no_schema_match,量化数据绩效表,社会绩效,次/百万工时,0.5,"{""2024年"": ""0.5""}",2024
2024年,0.93,治理绩效 合规培训覆盖率 % 2024年 95,合规培训覆盖率,page_19.png,95,rejected_by_schema_validator:forbidden_keyword_hit; original_reason=alias_match:培训覆盖率,量化数据绩效表,治理绩效,%,95,"{""2024年"": ""95""}",2024
2024年,0.0,经济绩效 营业收入 亿元 2024年 50.00,营业收入,page_19.png,50.00,business_performance_not_core_esg,量化数据绩效表,经济绩效,亿元,50,"{""2024年"": ""50.00""}",2024
2024年,0.0,经济绩效 净利润 亿元 2024年 5.00,净利润,page_19.png,5.00,business_performance_not_core_esg,量化数据绩效表,经济绩效,亿元,5,"{""2024年"": ""5.00""}",2024
