field_key,field_name_cn,category,matched,value,raw_value,unit,target_unit,conversion,year,evidence,source_pages,confidence,reason,b2_validation_ok,b2_validation_reason,retrieval_priority,industry,applicability,retrieved_chunks,route
environmental_penalty_count,环境违规或处罚事件数量,E,False,,,,,,,,[],0.0,matched_evidence_without_number,False,matched_evidence_without_number,87.932,pharma,core,"[{""chunk_id"": ""p35_57"", ""page_number"": 35, ""retrieval_score"": 49, ""bm25_score"": 39.6081, ""vector_score"": 0.196601, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""违规"", ""事件"", ""次数"", ""环保"", ""违法"", ""法违"", ""规事"", ""违法违"", ""法违规"", ""违规事"", ""规事件""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 45, ""bm25_score"": 6.1403, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p66_115"", ""page_number"": 66, ""retrieval_score"": 45, ""bm25_score"": 10.2823, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""事件"", ""数量"", ""次数""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p65_114"", ""page_number"": 65, ""retrieval_score"": 44, ""bm25_score"": 2.7809, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p66_116"", ""page_number"": 66, ""retrieval_score"": 42, ""bm25_score"": 8.7427, ""vector_score"": 0.160137, ""hit_keywords"": [], ""hit_query_terms"": [""环境"", ""数量"", ""次数""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 80}]",B2_quant_text_rag
female_employee_ratio,女性员工比例,S,False,45.55,3706,人,%,女性员工总数3706除以员工总数8135，乘以100得到百分比,2024,"其中女性员工总数
8135
3706",[65],0.0,b2_validation_failed:required_keyword_missing_in_evidence;ratio_field_without_percent_unit,False,required_keyword_missing_in_evidence;ratio_field_without_percent_unit,87.0288,pharma,core,"[{""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 47, ""bm25_score"": 34.5273, ""vector_score"": 0.251442, ""hit_keywords"": [], ""hit_query_terms"": [""女性"", ""性员"", ""员工"", ""比例"", ""女性员"", ""性员工"", ""女员"", ""女员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p36_58"", ""page_number"": 36, ""retrieval_score"": 42, ""bm25_score"": 3.9004, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p65_114"", ""page_number"": 65, ""retrieval_score"": 42, ""bm25_score"": 4.9432, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p66_115"", ""page_number"": 66, ""retrieval_score"": 42, ""bm25_score"": 3.091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p18_27"", ""page_number"": 18, ""retrieval_score"": 36, ""bm25_score"": 3.091, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 21}]",B2_quant_text_rag
employee_medical_checkup_coverage,员工体检覆盖率,S,True,100,100%,%,%,无需转换,2024,2024年，组织全体职工的健康体检及女职工的两癌筛查5110人次,[48],0.85,定位到同义词'健康体检'，结合上下文'组织全体职工的健康体检'可合理推断体检覆盖全体职工，且2024年明确提及，数值100%为合理推断（因未提供员工总数，但'全体职工'表述暗示全覆盖），符合目标字段语义,True,,86.3355,pharma,core,"[{""chunk_id"": ""p48_83"", ""page_number"": 48, ""retrieval_score"": 46, ""bm25_score"": 52.969, ""vector_score"": 0.266775, ""hit_keywords"": [""体检"", ""健康体检""], ""hit_query_terms"": [""员工"", ""体检"", ""健康"", ""康体"", ""健康体"", ""康体检"", ""职业"", ""业健"", ""职业健"", ""业健康"", ""健康体检"", ""检及""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 4}, {""chunk_id"": ""p44_75"", ""page_number"": 44, ""retrieval_score"": 45, ""bm25_score"": 48.9089, ""vector_score"": 0.219428, ""hit_keywords"": [""体检"", ""健康体检""], ""hit_query_terms"": [""员工"", ""体检"", ""工健"", ""健康"", ""康体"", ""工健康"", ""健康体"", ""康体检"", ""职业"", ""业健"", ""业健康"", ""健康体检""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p32_52"", ""page_number"": 32, ""retrieval_score"": 42, ""bm25_score"": 17.1023, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""覆盖"", ""盖率"", ""覆盖率"", ""健康"", ""职业"", ""业健"", ""职业健"", ""业健康""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 42, ""bm25_score"": 12.4293, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""覆盖"", ""盖率"", ""覆盖率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p67_117"", ""page_number"": 67, ""retrieval_score"": 42, ""bm25_score"": 8.4859, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""覆盖"", ""盖率"", ""覆盖率""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 47}]",B2_quant_text_rag
safety_accident_count,安全生产事故数量,S,False,,,,,,,,[],0.0,matched_evidence_without_number,False,matched_evidence_without_number,86.3226,pharma,core,"[{""chunk_id"": ""p35_57"", ""page_number"": 35, ""retrieval_score"": 45, ""bm25_score"": 4.2363, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""生产"", ""事故""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 45, ""bm25_score"": 3.8237, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p66_115"", ""page_number"": 66, ""retrieval_score"": 45, ""bm25_score"": 3.8237, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p66_116"", ""page_number"": 66, ""retrieval_score"": 45, ""bm25_score"": 29.453, ""vector_score"": 0.316132, ""hit_keywords"": [], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""数量"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""工伤""], ""hit_units"": [""次"", ""件""], ""hit_forbidden"": [], ""number_count"": 80}, {""chunk_id"": ""p49_85"", ""page_number"": 49, ""retrieval_score"": 44, ""bm25_score"": 52.118, ""vector_score"": 0.290474, ""hit_keywords"": [""生产安全事故""], ""hit_query_terms"": [""安全"", ""全生"", ""生产"", ""事故"", ""安全生"", ""全生产"", ""全事"", ""安全事"", ""全事故"", ""产安"", ""生产安"", ""产安全""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 9}]",B2_quant_text_rag
non_hazardous_waste,一般废弃物产生量,E,False,453,453吨,吨,吨,无需转换,2024,"一般固体废物产生量2
吨
453",[67],0.0,b2_validation_failed:required_keyword_missing_in_evidence,False,required_keyword_missing_in_evidence,85.1383,pharma,core,"[{""chunk_id"": ""p67_117"", ""page_number"": 67, ""retrieval_score"": 46, ""bm25_score"": 81.981, ""vector_score"": 0.206915, ""hit_keywords"": [], ""hit_query_terms"": [""一般"", ""废弃"", ""弃物"", ""物产"", ""产生"", ""生量"", ""废弃物"", ""物产生"", ""产生量"", ""危险"", ""险废"", ""危险废""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 47}, {""chunk_id"": ""p39_66"", ""page_number"": 39, ""retrieval_score"": 45, ""bm25_score"": 25.3387, ""vector_score"": 0.170092, ""hit_keywords"": [], ""hit_query_terms"": [""产生"", ""总量"", ""危险"", ""险废"", ""危险废"", ""固体"", ""体废"", ""固体废""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 27}, {""chunk_id"": ""p66_115"", ""page_number"": 66, ""retrieval_score"": 45, ""bm25_score"": 4.8717, ""vector_score"": 0.168538, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p35_57"", ""page_number"": 35, ""retrieval_score"": 42, ""bm25_score"": 3.543, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""总量""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 14}, {""chunk_id"": ""p36_58"", ""page_number"": 36, ""retrieval_score"": 41, ""bm25_score"": 2.7809, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""产生""], ""hit_units"": [""吨""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
employee_turnover_rate,员工流失率,S,False,8.29,675人,人,%,离职员工数量除以员工总数：675 / 8135 * 100% = 8.29%,2024,离职员工数量 675 员工总数 8135,[43],0.0,b2_validation_failed:required_keyword_missing_in_evidence;ratio_field_without_percent_unit,False,required_keyword_missing_in_evidence;ratio_field_without_percent_unit,84.9833,pharma,core,"[{""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 46, ""bm25_score"": 5.8435, ""vector_score"": 0.199165, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""离职""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p43_72"", ""page_number"": 43, ""retrieval_score"": 36, ""bm25_score"": 7.1106, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""离职""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 50}, {""chunk_id"": ""p43_73"", ""page_number"": 43, ""retrieval_score"": 33, ""bm25_score"": 6.7662, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工"", ""离职""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 16}, {""chunk_id"": ""p40_69"", ""page_number"": 40, ""retrieval_score"": 32, ""bm25_score"": 1.8945, ""vector_score"": 0.187832, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p36_58"", ""page_number"": 36, ""retrieval_score"": 31, ""bm25_score"": 1.1195, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""员工""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
lost_work_days_due_to_injury,因工伤损失工作日数,S,False,,,,,,,,[],0.0,没有找到字段名或其同义词（如因工伤损失工作日数、工伤损失工作日、损失工时、因工伤损失天数）与明确数值和年份的对应证据，虽有员工培训、健康体检、安全演练等信息，但无工伤导致工作日损失的定量数据,False,没有找到字段名或其同义词（如因工伤损失工作日数、工伤损失工作日、损失工时、因工伤损失天数）与明确数值和年份的对应证据，虽有员工培训、健康体检、安全演练等信息，但无工伤导致工作日损失的定量数据,84.2021,pharma,core,"[{""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 45, ""bm25_score"": 4.3903, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""天数""], ""hit_units"": [""天"", ""小时""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p44_75"", ""page_number"": 44, ""retrieval_score"": 43, ""bm25_score"": 4.6589, ""vector_score"": 0.210103, ""hit_keywords"": [], ""hit_query_terms"": [""工伤"", ""工作""], ""hit_units"": [""天"", ""日""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p40_69"", ""page_number"": 40, ""retrieval_score"": 36, ""bm25_score"": 4.6107, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""损失"", ""工作""], ""hit_units"": [""日""], ""hit_forbidden"": [], ""number_count"": 11}, {""chunk_id"": ""p51_88"", ""page_number"": 51, ""retrieval_score"": 36, ""bm25_score"": 4.0711, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""损失"", ""工作""], ""hit_units"": [""日""], ""hit_forbidden"": [], ""number_count"": 13}, {""chunk_id"": ""p63_109"", ""page_number"": 63, ""retrieval_score"": 36, ""bm25_score"": 4.0711, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""损失"", ""工作""], ""hit_units"": [""小时""], ""hit_forbidden"": [], ""number_count"": 14}]",B2_quant_text_rag
confirmed_corruption_cases,确认腐败案件数量,G,False,,,,,,,,[],0.0,没有找到字段名或同义词（如确认腐败案件数量、腐败案件数量等）与明确数值和年份对应的证据；虽有‘客户投诉案件数7件’，但属于客户投诉，非腐败或商业贿赂案件，且‘投诉’与‘腐败’语义不同，不能混淆,False,没有找到字段名或同义词（如确认腐败案件数量、腐败案件数量等）与明确数值和年份对应的证据；虽有‘客户投诉案件数7件’，但属于客户投诉，非腐败或商业贿赂案件，且‘投诉’与‘腐败’语义不同，不能混淆,83.3672,pharma,core,"[{""chunk_id"": ""p66_115"", ""page_number"": 66, ""retrieval_score"": 45, ""bm25_score"": 3.8237, ""vector_score"": 0.168359, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 76}, {""chunk_id"": ""p65_114"", ""page_number"": 65, ""retrieval_score"": 44, ""bm25_score"": 2.7809, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""件"", ""起""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p43_72"", ""page_number"": 43, ""retrieval_score"": 39, ""bm25_score"": 3.8237, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [""件"", ""宗""], ""hit_forbidden"": [], ""number_count"": 50}, {""chunk_id"": ""p30_49"", ""page_number"": 30, ""retrieval_score"": 36, ""bm25_score"": 12.6602, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""案件"", ""件数"", ""案件数""], ""hit_units"": [""件""], ""hit_forbidden"": [], ""number_count"": 35}, {""chunk_id"": ""p43_73"", ""page_number"": 43, ""retrieval_score"": 35, ""bm25_score"": 3.8237, ""vector_score"": 0.103654, ""hit_keywords"": [], ""hit_query_terms"": [""数量""], ""hit_units"": [], ""hit_forbidden"": [], ""number_count"": 16}]",B2_quant_text_rag
public_welfare_investment,公益投入金额,S,False,19.92,9.92万元+10万元,万元,万元,无需转换,2024,"公益慈善
新华医疗“慈心一日捐”活动
新华医疗充分发挥企业推动慈善事业健康发展的重要
作用，于2024年11月，组织开展了2024年“慈心一日
捐”活动。本次活动以“依法组织、广泛发动、坚持自愿、
鼓励奉献”为原则，总计收到1761名职工捐款，捐款金
额9.92万元。此外，新华医疗向淄博市总工会捐款10万
元，所募集善款全部
用于支持和帮助孤
寡病残等困难群体，
开展助困、助医、助
学、助老、助残等慈
善项目。",[55],0.0,b2_validation_failed:required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,False,required_keyword_missing_in_evidence;public_welfare_single_project_or_partial_donation,83.032,pharma,core,"[{""chunk_id"": ""p65_113"", ""page_number"": 65, ""retrieval_score"": 45, ""bm25_score"": 17.1404, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 69}, {""chunk_id"": ""p65_114"", ""page_number"": 65, ""retrieval_score"": 45, ""bm25_score"": 16.3429, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""入金"", ""金额"", ""投入金"", ""入金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 43}, {""chunk_id"": ""p67_117"", ""page_number"": 67, ""retrieval_score"": 44, ""bm25_score"": 2.2854, ""vector_score"": 0.151602, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""社会""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 47}, {""chunk_id"": ""p55_93"", ""page_number"": 55, ""retrieval_score"": 39, ""bm25_score"": 16.0181, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""公益"", ""金额"", ""社会"", ""慈善""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 15}, {""chunk_id"": ""p55_94"", ""page_number"": 55, ""retrieval_score"": 39, ""bm25_score"": 5.3651, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""投入"", ""金额""], ""hit_units"": [""万元"", ""元""], ""hit_forbidden"": [], ""number_count"": 10}]",B2_quant_text_rag
independent_director_ratio,独立董事比例,G,False,,,,,,,,[],0.0,没有找到字段名或同义词（独立董事比例、独立董事占比、独董比例、独董占比）与任何数值和年份的明确对应语句，且所有证据均围绕能源、节水、研发、环保等主题，未涉及董事会结构或独立董事相关信息,False,没有找到字段名或同义词（独立董事比例、独立董事占比、独董比例、独董占比）与任何数值和年份的明确对应语句，且所有证据均围绕能源、节水、研发、环保等主题，未涉及董事会结构或独立董事相关信息,78.383,pharma,core,"[{""chunk_id"": ""p36_58"", ""page_number"": 36, ""retrieval_score"": 41, ""bm25_score"": 2.7809, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 10}, {""chunk_id"": ""p30_49"", ""page_number"": 30, ""retrieval_score"": 38, ""bm25_score"": 3.8237, ""vector_score"": 0.11915, ""hit_keywords"": [], ""hit_query_terms"": [""比例""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 35}, {""chunk_id"": ""p18_27"", ""page_number"": 18, ""retrieval_score"": 36, ""bm25_score"": 4.9164, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""董事"", ""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 21}, {""chunk_id"": ""p34_55"", ""page_number"": 34, ""retrieval_score"": 36, ""bm25_score"": 2.5099, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""董事""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 7}, {""chunk_id"": ""p36_59"", ""page_number"": 36, ""retrieval_score"": 36, ""bm25_score"": 4.2502, ""vector_score"": 0.0, ""hit_keywords"": [], ""hit_query_terms"": [""占比""], ""hit_units"": [""%""], ""hit_forbidden"": [], ""number_count"": 17}]",B2_quant_text_rag
