field_key,field_name_cn,category,status,value,unit,year,source_route,confidence,citation_review_status,citation_review_reasons,citation_chunk_id,citation_page_number,citation_rank,citation_hybrid_score,citation_evidence_text,citation_text_excerpt
total_ghg_emissions,温室气体排放总量,E,extracted,1751.5,吨二氧化碳当量,2024,route_a_appendix_table,0.94,auto_cited,,table_page_38,38,1,,温室气体排放总量 吨二氧化碳当量 2024年 1751.5,温室气体排放总量 吨二氧化碳当量 2024年 1751.5
ghg_emissions_intensity,温室气体排放强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p42_86,42,1,0.16639344,：采购实践  - ：反腐败  - - - ：反竞争行为  - ：税务  - - - - 议题标准（GRI ） ：物料  - - - ：能源  - - - GRI 标准 披露项目 章节 降低能源消耗量 降低产品和服务的能源需求量 组织与水作为共有资源的相互影响 管理与排水相关的影响 取水 排水 耗水 组织在位于或邻近保护区和保护区外的生物多样性丰富 区域拥有、租赁、管理的运营点 活动、产品和服务对生物多样性的重大影响 受保护或经修复的栖息地 受运营影响的栖息地中已被列入世界自然保护联盟 (IUCN) 红色名录及国家保护名册的物种 直接（范围）温室气体排放 能源间接（范围）温室气体排放 其他间接（范围）温室气体排放 温室气体排放强度 温室气体减排量 臭氧消耗物质（ODS）的排放 氮氧化物（NOX）、硫氧化物（SOX）和其他重大气体排放 废弃物的产生及废弃物相关重大影响 废弃物...,：采购实践  - ：反腐败  - - - ：反竞争行为  - ：税务  - - - - 议题标准（GRI ） ：物料  - - - ：能源  - - - GRI 标准 披露项目 章节 降低能源消耗量 降低产品和服务的能源需求量 ...
scope_1_emissions,范围一温室气体排放量,E,extracted,460.2,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_38,38,1,,直接温室气体排放量（范围一） 吨二氧化碳当量 2024年 460.2,直接温室气体排放量（范围一） 吨二氧化碳当量 2024年 460.2
scope_2_emissions,范围二温室气体排放量,E,extracted,1291.3,吨二氧化碳当量,2024,route_a_appendix_table,0.96,auto_cited,,table_page_38,38,1,,间接温室气体排放量（范围二） 吨二氧化碳当量 2024年 1291.3,间接温室气体排放量（范围二） 吨二氧化碳当量 2024年 1291.3
energy_consumption_total,能源消耗总量,E,extracted,320.37,吨标准煤,2024,route_a_appendix_table,0.96,auto_cited,,table_page_36,36,1,,能源消耗总量 吨标准煤 320.37,能源消耗总量 吨标准煤 320.37
energy_consumption_intensity,能源消耗强度,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p36_73,36,1,0.07639344,"公司能源消耗情况 电力消耗量 用电强度 汽油消耗量 柴油消耗量 能源消耗总量 能源消耗强度 度（千瓦时） 千瓦时/百万营收 吨 吨 吨标准煤 吨标准煤/百万营收 ,, ,,   . . 能源种类 单位 数量 创新投入 应用节能低碳环保新技术、新工艺、新设备、新材料加 大科技投入和技术攻关力度，形成一批具有自主知识 产权的核心技术。 节能技改 优化用能设备，更换老旧电容补偿装置、老旧照明灯使 用节能省电工具，如太阳能路灯、LED 灯具等。 年度 ENVIRONMENTAL，SOCIAL AND GOVERNANCE REPORT 环境、社会及公司治理（ESG）报告","公司能源消耗情况 电力消耗量 用电强度 汽油消耗量 柴油消耗量 能源消耗总量 能源消耗强度 度（千瓦时） 千瓦时/百万营收 吨 吨 吨标准煤 吨标准煤/百万营收 ,, ,,   . . 能源种类 单位 数量 创新投入 应用节能低碳环保新技术、新工艺、新设备、新材料加 大科技投入和技术攻关力度，形成一批具有自主知识 产权的核心技术。 节能技改 优化用能设备，更换老旧电容补偿装置、老旧照明灯使..."
natural_gas_consumption,天然气消耗量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p42_86,42,1,0.01639344,：采购实践  - ：反腐败  - - - ：反竞争行为  - ：税务  - - - - 议题标准（GRI ） ：物料  - - - ：能源  - - - GRI 标准 披露项目 章节 降低能源消耗量 降低产品和服务的能源需求量 组织与水作为共有资源的相互影响 管理与排水相关的影响 取水 排水 耗水 组织在位于或邻近保护区和保护区外的生物多样性丰富 区域拥有、租赁、管理的运营点 活动、产品和服务对生物多样性的重大影响 受保护或经修复的栖息地 受运营影响的栖息地中已被列入世界自然保护联盟 (IUCN) 红色名录及国家保护名册的物种 直接（范围）温室气体排放 能源间接（范围）温室气体排放 其他间接（范围）温室气体排放 温室气体排放强度 温室气体减排量 臭氧消耗物质（ODS）的排放 氮氧化物（NOX）、硫氧化物（SOX）和其他重大气体排放 废弃物的产生及废弃物相关重大影响 废弃物...,：采购实践  - ：反腐败  - - - ：反竞争行为  - ：税务  - - - - 议题标准（GRI ） ：物料  - - - ：能源  - - - GRI 标准 披露项目 章节 降低能源消耗量 降低产品和服务的能源需求量 ...
electricity_consumption,用电量,E,extracted,1817405,度（千瓦时）,2024,route_a_appendix_table,0.92,auto_cited,,table_page_36,36,1,,"电力消耗量 度（千瓦时） 1,817,405","电力消耗量 度（千瓦时） 1,817,405"
water_consumption,用水量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p25_47,25,1,0.01538462,年度 ENVIRONMENTAL，SOCIAL AND GOVERNANCE REPORT 环境、社会及公司治理（ESG）报告 供应商引入 截至报告期末， 公司供应商总数325 中国大陆供应商 家 323 家 港澳台及海外供应商2 家 关键绩效 报告期内， 公司内部通过可持续采购培训的采购员比例100% 关键绩效 截至报告期末， 公司供应商通过了 质量管理体系认证 通过了环境 管理体系认证 86 48 通过了职业健康 安全管理体系认证 家 家 家 14 因不合规被中止 合作的供应商 家 12 关键绩效 供应链管理 供应商管理 公司秉持合作共赢的理念，致力于与供应商建立长期、稳固且互信的合作关系，确保为客户提供安全可靠的高品质产品。 为规范供应商管理，优化采购流程，降低采购成本，公司制定了《供应商管理制度》并严格执行。 供应链管理 为确保供应链的稳定性和高效性，公司采取了一系列措施降低供应链风险，保障公司可持续发展。公司高度关注国家范围内的 包括经济因素、政治因素在内的产品大类的供应环境，从技术层面提前布局以应对大概率会发生的供应链断裂问题。 根据供应商管理办法，公司对...,年度 ENVIRONMENTAL，SOCIAL AND GOVERNANCE REPORT 环境、社会及公司治理（ESG）报告 供应商引入 截至报告期末， 公司供应商总数325 中国大陆供应商 家 323 家 港澳台及海外供应商2 家 关键绩效 报告期内， 公司内部通过可持续采购培训的采购员比例100% 关键绩效 截至报告期末， 公司供应商通过了 质量管理体系认证 通过了环境 管理体系认证 86 48 通过了职业健康 ...
wastewater_discharge,废水排放量,E,missing,,,,missing,0.0,needs_review,missing_existing_evidence;source_page_inferred_from_retrieval,p38_77,38,1,0.01639344,收，或采取其他高效合理的处理方式。同时，取样分析过程应采用在线闭路采样技 术，以避免气体外泄。此外，生产设备的所有排气口所排放的废气必须全面收集，并通过回收、吸收、吸附或催化燃烧等科 学合理的处理手段，确保废气处理达到国家排放标准，严格禁止未经处理直接排放。 废气管理 公司严格执行《工业企业厂界环境噪声排放标准》 （GB -），确保厂界噪声控制在标准范围内，减少对周边环境的 影响。 噪音管理 公司遵循《国家危险废物名录》对固体危险废弃物进行分类，依据《一般工业固体废弃物贮存、处置场污染控制标准》和《危 险废弃物贮存污染控制标准》的要求建设固体废弃物的临时储存场并及时清运处置。公司产生的一般固体废物主要包括 包装纸箱、泡沫箱、木箱等，危险废物则包括加工过程中产生的废切削液、废润滑油以及工艺尾气处理过程中产生的废活 性碳。 公司重视危险废物的贮存、转移和处置工作，与有资质的危废处置公司签订了委托处置协议，并交由专业的危废处理厂家 进行安全、高效的处理工作。报告期内，公司已完成对股份公司产生的危险废物处置，共计处置乳化液.吨，处理费用 为.万元。 固体废弃物...,收，或采取其他高效合理的处理方式。同时，取样分析过程应采用在线闭路采样技 术，以避免气体外泄。此外，生产设备的所有排气口所排放的废气必须全面收集，并通过回收、吸收、吸附或催化燃烧等科 学合理的处理手段，确保废气处理达到国家排放标准，严格禁止未经处理直接排放。 废气管理 公司严格执行《工业企业厂界环境噪声排放标准》 （GB -），确保厂界噪声控制在标准范围内，减少对周边环境的 影响。 噪音管理 公司遵循《国家危险废物名...
